date,open,high,low,close,volume
2025-02-26,72.97,73.58,72.61,72.82,809211.0
2025-02-27,72.62,74.39,72.53,73.68,941388.0
2025-02-28,74.28,74.92,73.21,74.17,956106.0
2025-03-03,74.17,75.62,73.79,75.02,877774.0
2025-03-04,75.3,75.86,73.41,73.44,795925.0
2025-03-05,72.67,73.91,72.21,73.67,705983.0
2025-03-06,73.09,73.16,71.37,71.91,876337.0
2025-03-07,72.14,72.72,71.38,71.97,894119.0
2025-03-10,72.11,73.14,70.62,70.88,851121.0
2025-03-11,71.2,71.34,69.21,69.78,755610.0
2025-03-12,69.62,69.98,68.76,68.97,523159.0
2025-03-13,68.97,69.68,68.14,68.28,760685.0
2025-03-14,68.53,68.97,67.76,68.94,685202.0
2025-03-17,68.71,70.61,68.71,70.06,793015.0
2025-03-18,69.88,70.4,69.11,69.51,683265.0
2025-03-19,69.3,70.11,68.79,69.77,525335.0
2025-03-20,69.91,70.39,69.21,70.17,629792.0
2025-03-21,69.85,70.19,68.91,69.81,1373638.0
2025-03-24,70.12,71.55,69.9,71.36,492494.0
2025-03-25,71.42,72.17,70.43,71.03,708830.0
2025-03-26,71.56,71.89,71.04,71.57,457142.0
2025-03-27,71.73,72.65,71.13,71.26,620636.0
2025-03-28,71.81,71.81,70.74,71.38,490456.0
2025-03-31,71.16,72.1,70.89,71.58,918891.0
2025-04-01,71.58,71.96,70.45,71.28,533234.0
2025-04-02,70.86,71.97,70.6,71.63,563685.0
2025-04-03,70.97,71.54,68.24,68.55,835315.0
2025-04-04,67.63,68.2,63.63,63.79,1243876.0
2025-04-07,62.73,64.8,60.68,62.52,1661921.0
2025-04-08,64.37,64.37,60.91,61.82,1056116.0
2025-04-09,60.61,67.47,59.41,66.86,3173493.0
2025-04-10,65.65,66.99,62.54,64.27,1299999.0
2025-04-11,63.9,65.23,62.27,64.64,1129542.0
2025-04-14,65.32,67.36,65.14,66.92,868344.0
2025-04-15,67.18,67.48,66.44,67.02,836292.0
2025-04-16,66.88,67.94,66.65,67.05,941970.0
2025-04-17,67.11,69.24,67.04,68.24,1646849.0
2025-04-21,67.64,68.08,66.52,67.5,755295.0
2025-04-22,68.46,69.27,68.08,68.93,732838.0
2025-04-23,69.55,70.64,68.87,69.38,632243.0
2025-04-24,69.24,69.73,68.79,69.31,475924.0
2025-04-25,69.11,69.3,68.36,68.53,534399.0
2025-04-28,68.57,69.45,68.45,69.31,876772.0
2025-04-29,68.94,69.87,68.31,69.53,1533265.0
2025-04-30,69.41,70.6,68.42,70.26,1284944.0
2025-05-01,70.02,71.18,69.33,70.62,931841.0
2025-05-02,71.5,72.4,71.33,71.72,941809.0
2025-05-05,71.14,71.44,70.41,70.83,883927.0
2025-05-06,70.48,70.95,69.95,70.54,788240.0
2025-05-07,70.59,71.04,70.31,70.56,665587.0
2025-05-08,70.8,70.93,69.62,69.68,1064064.0
2025-05-09,69.76,70.16,69.48,69.94,466773.0
2025-05-12,70.7,71.05,70.46,70.9,694224.0
2025-05-13,70.77,71.02,69.28,69.59,1088198.0
2025-05-14,68.96,69.67,68.34,69.06,900380.0
2025-05-15,69.29,70.95,69.2,70.86,856494.0
2025-05-16,71.09,71.8,70.68,71.56,1850693.0
2025-05-19,70.83,71.52,70.58,71.35,664039.0
2025-05-20,70.98,71.39,70.53,71.11,710077.0
2025-05-21,70.76,70.97,68.91,68.93,702570.0
2025-05-22,68.92,69.16,67.85,68.3,885055.0
2025-05-23,67.98,68.43,66.95,67.61,623692.0
2025-05-27,68.56,68.88,67.37,68.62,928585.0
2025-05-28,68.69,69.13,68.17,69.01,1381529.0
2025-05-29,69.09,70.31,68.92,69.98,1001935.0
2025-05-30,69.51,70.3,69.15,70.14,831454.0
2025-06-02,69.48,70.05,68.66,69.93,615098.0
2025-06-03,69.54,69.73,68.26,68.9,947332.0
2025-06-04,68.79,69.26,68.0,69.01,986847.0
2025-06-05,69.02,69.14,68.3,68.46,805879.0
2025-06-06,68.88,69.41,67.99,68.5,490915.0
2025-06-09,68.25,69.86,68.21,69.32,817081.0
2025-06-10,69.64,70.2,69.42,70.0,605440.0
2025-06-11,70.21,70.21,68.81,69.27,708604.0
2025-06-12,69.5,70.18,69.12,70.17,636645.0
2025-06-13,69.53,70.16,68.29,68.88,739653.0
2025-06-16,69.4,69.84,68.91,69.1,541068.0
2025-06-17,69.38,69.38,68.43,68.73,711037.0
2025-06-18,68.99,69.42,68.36,68.87,618224.0
2025-06-20,68.97,69.41,68.53,68.99,1108911.0
2025-06-23,69.17,69.87,68.4,69.06,779495.0
2025-06-24,68.37,68.75,67.28,67.54,1299397.0
2025-06-25,66.31,66.86,65.19,65.64,1966876.0
2025-06-26,66.0,67.48,65.54,67.46,1459617.0
2025-06-27,67.79,68.12,66.99,67.35,709272.0
2025-06-30,67.19,67.54,66.24,67.49,941436.0
2025-07-01,67.2,68.09,66.57,67.26,1791254.0
2025-07-02,66.89,67.36,65.87,66.67,901086.0
2025-07-03,66.56,67.26,66.36,66.88,688613.0
2025-07-07,67.39,67.99,66.31,66.72,1805684.0
2025-07-08,66.29,67.08,66.04,66.62,793297.0
2025-07-09,66.62,67.07,66.43,66.53,814043.0
2025-07-10,66.34,67.54,66.29,67.08,717856.0
2025-07-11,66.29,67.01,66.11,66.79,581697.0
2025-07-14,66.89,67.32,66.55,67.02,510239.0
2025-07-15,66.86,66.97,65.71,66.13,580933.0
2025-07-16,66.4,67.07,66.16,66.95,539385.0
2025-07-17,67.05,67.49,66.83,67.28,847674.0
2025-07-18,67.23,67.54,66.78,67.17,946631.0
2025-07-21,67.23,67.56,66.61,66.98,916005.0
2025-07-22,67.03,68.38,66.87,68.32,910577.0
2025-07-23,68.38,68.51,67.88,68.34,921684.0
2025-07-24,68.34,68.5,67.52,67.65,1076648.0
2025-07-25,67.62,68.07,67.08,67.37,859837.0
2025-07-28,67.45,67.49,66.11,66.21,795405.0
