date,open,high,low,close,volume
2025-02-26,49.54,49.86,48.64,48.79,4964103.0
2025-02-27,49.06,49.35,46.39,46.63,9085563.0
2025-02-28,46.33,48.26,46.2,48.17,5992566.0
2025-03-03,48.85,49.42,48.03,48.71,5918684.0
2025-03-04,48.65,51.21,47.48,50.0,7309152.0
2025-03-05,49.79,50.34,48.76,50.13,6043811.0
2025-03-06,49.1,49.43,45.97,46.16,8799488.0
2025-03-07,45.59,47.28,45.18,47.0,6877251.0
2025-03-10,47.43,47.69,46.43,47.49,6490650.0
2025-03-11,48.16,50.17,47.88,49.11,5401088.0
2025-03-12,49.66,50.0,48.26,48.95,2471657.0
2025-03-13,48.63,49.48,48.14,48.86,2890226.0
2025-03-14,49.47,50.88,48.64,50.72,3349237.0
2025-03-17,50.49,51.85,50.49,51.66,4390642.0
2025-03-18,52.78,53.32,52.2,52.56,3315688.0
2025-03-19,52.84,53.88,52.34,53.6,2531079.0
2025-03-20,53.3,54.5,53.04,53.73,3954790.0
2025-03-21,53.18,53.5,52.66,52.88,4386683.0
2025-03-24,53.43,54.56,53.15,54.0,3158794.0
2025-03-25,54.15,54.65,54.02,54.25,2451488.0
2025-03-26,54.83,55.34,52.8,52.92,4753348.0
2025-03-27,53.15,53.25,51.42,52.32,4876741.0
2025-03-28,52.16,53.15,52.15,53.01,3124577.0
2025-03-31,52.69,53.94,52.15,53.43,2942442.0
2025-04-01,53.67,54.55,53.16,53.88,3789032.0
2025-04-02,53.11,55.25,52.92,54.62,4835013.0
2025-04-03,51.53,53.66,51.41,52.09,6891745.0
2025-04-04,49.18,49.7,43.57,46.11,15569785.0
2025-04-07,44.63,49.94,44.55,47.31,9656710.0
2025-04-08,49.82,50.44,46.84,47.49,10014066.0
2025-04-09,46.4,50.86,44.85,50.17,12247058.0
2025-04-10,48.81,49.23,46.84,48.49,5024726.0
2025-04-11,48.19,50.5,47.76,49.65,5275994.0
2025-04-14,50.49,50.77,49.64,49.97,2562752.0
2025-04-15,49.62,51.0,49.57,50.74,3081984.0
2025-04-16,50.52,51.94,50.49,50.85,3642152.0
2025-04-17,51.23,51.77,50.82,50.98,2876099.0
2025-04-21,50.25,50.4,47.29,47.68,4641580.0
2025-04-22,48.14,49.14,47.95,48.57,4153688.0
2025-04-23,50.03,50.41,47.14,48.75,9581057.0
2025-04-24,49.6,49.76,48.3,48.82,6220256.0
2025-04-25,48.66,50.35,48.31,50.24,4397501.0
2025-04-28,49.98,51.38,49.75,51.12,3872611.0
2025-04-29,50.48,51.63,49.7,51.22,3663383.0
2025-04-30,50.15,50.25,48.94,49.44,5417806.0
2025-05-01,49.31,51.6,48.93,50.36,4649260.0
2025-05-02,51.62,51.91,50.82,51.85,4047303.0
2025-05-05,51.95,53.89,51.86,53.52,5315070.0
2025-05-06,53.53,53.89,52.67,53.45,3553677.0
2025-05-07,53.69,54.57,53.07,53.96,4596076.0
2025-05-08,54.41,54.59,53.22,53.4,6030248.0
2025-05-09,53.9,55.65,53.56,55.62,4838685.0
2025-05-12,56.05,56.11,54.01,54.49,8228174.0
2025-05-13,55.07,56.67,54.8,56.2,5749156.0
2025-05-14,55.66,56.66,55.35,56.36,3428339.0
2025-05-15,55.55,57.04,55.55,56.0,5678540.0
2025-05-16,55.84,56.04,55.43,55.86,2238195.0
2025-05-19,55.55,56.09,54.92,55.56,4150794.0
2025-05-20,55.88,57.37,55.52,56.14,3888788.0
2025-05-21,55.84,56.28,55.04,55.71,3069017.0
2025-05-22,55.99,56.32,55.23,55.69,4945539.0
2025-05-23,55.25,56.02,55.15,55.61,3390587.0
2025-05-27,56.08,56.61,55.3,56.56,2943237.0
2025-05-28,56.73,57.03,55.12,55.5,2861972.0
2025-05-29,55.61,56.02,55.12,55.37,2232701.0
2025-05-30,55.0,55.61,54.48,55.13,3569403.0
2025-06-02,56.45,57.19,55.75,56.66,4271464.0
2025-06-03,56.77,56.89,55.97,56.65,2844304.0
2025-06-04,56.54,56.74,55.3,55.49,2371626.0
2025-06-05,55.79,55.8,54.94,55.33,2686680.0
2025-06-06,55.61,56.72,55.33,56.39,2196930.0
2025-06-09,56.08,56.08,54.61,54.9,3019984.0
2025-06-10,55.24,55.55,53.4,53.73,5226098.0
2025-06-11,54.02,54.68,53.74,53.97,2539283.0
2025-06-12,54.22,55.56,53.94,55.52,2855099.0
2025-06-13,55.88,56.96,54.32,56.84,4764626.0
2025-06-16,56.93,58.75,56.89,58.17,5460346.0
2025-06-17,58.5,59.11,57.89,58.87,3989614.0
2025-06-18,59.43,60.2,58.2,59.37,4415354.0
2025-06-20,59.44,60.8,58.78,60.44,5430221.0
2025-06-23,60.8,61.02,59.13,59.37,4455468.0
2025-06-24,59.18,60.78,58.9,60.34,3641165.0
2025-06-25,60.16,60.32,58.16,58.23,4171375.0
2025-06-26,58.18,58.56,57.57,58.15,4554696.0
2025-06-27,58.21,58.55,57.61,58.31,3209837.0
2025-06-30,57.98,58.88,57.72,58.32,7161877.0
2025-07-01,58.03,58.09,55.2,55.72,7543371.0
2025-07-02,55.85,56.38,54.97,56.14,5954943.0
2025-07-03,56.07,56.39,54.7,55.31,2656841.0
2025-07-07,55.16,56.26,54.76,56.16,4297171.0
2025-07-08,56.81,56.9,54.37,54.86,5186596.0
2025-07-09,54.85,55.26,53.75,54.88,4807735.0
2025-07-10,54.84,55.05,53.42,54.52,5108537.0
2025-07-11,54.43,55.42,54.14,55.33,2858658.0
2025-07-14,55.45,58.36,55.39,58.28,6497255.0
2025-07-15,58.3,58.6,56.71,58.24,6371885.0
2025-07-16,59.2,60.31,58.86,59.18,5979785.0
2025-07-17,59.07,59.35,58.43,58.75,3190913.0
2025-07-18,59.36,59.62,58.15,59.19,3694787.0
2025-07-21,57.8,57.99,53.46,53.54,10267905.0
2025-07-22,53.29,54.66,53.06,54.34,9095553.0
2025-07-23,53.3,53.97,51.26,51.96,15727396.0
2025-07-24,52.38,54.53,52.37,54.03,7585944.0
2025-07-25,53.91,54.0,51.7,52.19,5437447.0
2025-07-28,52.55,52.76,51.07,51.91,6398584.0
2025-07-29,52.47,53.7,52.21,53.1,4650515.0
2025-07-30,52.72,53.72,52.22,53.36,5561379.0
2025-07-31,53.28,54.48,53.11,53.75,4060619.0
2025-08-01,53.08,53.31,52.1,52.34,3607899.0
2025-08-04,52.47,52.8,51.47,51.87,3619940.0
2025-08-05,52.0,52.13,51.12,51.69,3868942.0
2025-08-06,52.0,52.11,51.12,51.46,2645019.0
2025-08-07,51.47,52.42,51.16,51.24,2628815.0
2025-08-08,51.45,51.93,50.63,51.29,2967322.0
2025-08-11,51.51,51.91,51.12,51.82,3049792.0
2025-08-12,51.44,51.55,50.42,51.27,4126483.0
2025-08-13,51.83,52.11,51.03,51.48,3661081.0
2025-08-14,51.53,52.79,51.19,52.05,3394135.0
2025-08-15,52.24,53.38,52.18,52.85,5591329.0
2025-08-18,51.07,51.1,49.4,50.5,7055956.0
2025-08-19,49.9,50.73,49.57,50.54,3965267.0
2025-08-20,50.72,51.38,50.42,51.34,2716565.0
2025-08-21,51.4,52.19,51.06,52.05,2665942.0
2025-08-22,52.05,52.84,51.66,51.97,2755039.0
2025-08-25,51.76,52.54,51.52,51.81,2994780.0
2025-08-26,51.86,52.89,50.8,52.71,4626866.0
2025-08-27,52.75,53.17,51.14,51.35,4763864.0
2025-08-28,51.35,52.54,50.85,52.36,4523012.0
2025-08-29,52.21,52.47,51.67,51.84,3324516.0
2025-09-02,51.2,52.81,51.01,52.38,4060840.0
2025-09-03,52.42,53.0,51.11,51.55,3020587.0
2025-09-04,51.75,52.03,50.66,51.8,3138924.0
2025-09-05,51.57,51.98,50.51,51.6,2767506.0
2025-09-08,52.39,52.56,50.65,50.76,3777082.0
2025-09-09,50.8,51.4,50.04,50.25,3379556.0
2025-09-10,50.42,52.0,50.12,51.17,2929270.0
2025-09-11,50.75,51.22,50.46,50.96,2812676.0
2025-09-12,51.41,52.01,50.75,50.94,2266073.0
2025-09-15,50.81,51.06,49.92,49.98,3248075.0
2025-09-16,50.2,50.5,48.47,49.95,8112790.0
2025-09-17,50.01,50.99,49.76,49.99,5092094.0
2025-09-18,50.14,50.21,48.97,49.39,4633934.0
2025-09-19,49.3,49.52,48.51,49.19,6673139.0
2025-09-22,49.02,50.28,48.6,49.97,4146136.0
2025-09-23,50.12,51.37,49.83,50.95,5446583.0
2025-09-24,51.2,53.56,51.18,53.08,7645560.0
2025-09-25,52.91,54.96,52.75,53.93,7302082.0
2025-09-26,53.74,54.95,53.46,54.06,7322412.0
2025-09-29,53.96,54.97,53.61,54.46,5375327.0
2025-09-30,53.99,55.31,53.96,54.43,7631030.0
2025-10-01,54.25,57.08,54.01,56.16,7645127.0
2025-10-02,55.96,57.35,55.04,55.76,7948161.0
2025-10-03,55.6,56.48,55.03,56.03,4641532.0
2025-10-06,56.59,57.3,55.51,57.19,4233287.0
2025-10-07,57.09,57.55,56.31,57.16,5447121.0
2025-10-08,57.16,57.16,55.55,56.41,4489410.0
2025-10-09,57.1,57.1,54.55,54.92,3836415.0
2025-10-10,54.7,55.36,53.11,53.12,2794467.0
2025-10-13,53.22,53.84,52.76,53.66,2090548.0
2025-10-14,52.74,53.83,51.66,53.29,3108106.0
2025-10-15,53.94,55.53,53.75,55.44,3215957.0
2025-10-16,55.63,56.23,52.79,53.24,4698836.0
2025-10-17,53.49,54.53,52.55,54.08,2661492.0
2025-10-20,55.35,57.05,55.12,56.45,3173789.0
2025-10-21,55.86,56.88,55.58,55.71,3451647.0
2025-10-22,55.3,56.98,53.0,53.49,6471461.0
2025-10-23,54.35,54.74,52.07,53.56,5594652.0
2025-10-24,53.75,54.01,52.91,53.7,3755805.0
2025-10-27,53.84,54.35,53.0,53.75,2489904.0
2025-10-28,53.51,53.51,52.05,52.18,2366134.0
2025-10-29,52.47,53.4,50.91,51.8,3929813.0
2025-10-30,52.01,53.28,51.5,52.45,4450016.0
2025-10-31,53.01,53.89,52.94,53.58,2406620.0
2025-11-03,53.74,55.91,53.43,55.86,3898709.0
2025-11-04,55.03,56.72,54.28,55.85,4361784.0
2025-11-05,55.66,57.1,55.11,55.99,3454665.0
2025-11-06,56.79,57.94,55.54,56.28,4635186.0
2025-11-07,56.17,57.99,55.75,57.97,3130599.0
2025-11-10,58.49,59.29,57.97,58.94,4339976.0
2025-11-11,59.4,61.06,59.24,60.69,5807460.0
2025-11-12,60.03,61.17,60.03,60.84,5404263.0
2025-11-13,60.85,61.26,60.15,60.25,4958614.0
2025-11-14,59.05,60.5,57.9,59.9,7072564.0
2025-11-17,59.59,60.66,58.69,59.04,3505409.0
2025-11-18,58.48,59.01,57.68,58.75,3612297.0
2025-11-19,58.78,59.19,57.56,58.89,5210169.0
2025-11-20,59.29,60.51,56.28,56.35,5631329.0
2025-11-21,56.11,57.38,55.13,57.03,6990607.0
2025-11-24,56.76,57.71,55.26,57.54,6038157.0
2025-11-25,56.9,57.88,56.11,56.76,4290525.0
2025-11-26,57.37,59.34,57.25,59.0,3245985.0
2025-11-28,59.43,61.17,58.94,60.86,2915542.0
2025-12-01,60.66,61.21,59.89,60.52,3209988.0
2025-12-02,60.47,60.47,58.49,58.6,3691551.0
2025-12-03,59.09,61.52,58.7,61.17,5557910.0
2025-12-04,61.08,62.0,59.22,60.07,6853569.0
2025-12-05,60.75,62.23,60.28,60.68,5631433.0
2025-12-08,60.42,60.49,58.41,58.66,5636101.0
2025-12-09,58.73,59.18,58.3,58.52,3274560.0
2025-12-10,58.74,58.79,56.99,57.25,4377904.0
2025-12-11,56.87,56.87,55.27,56.07,6441112.0
2025-12-12,56.29,56.38,55.02,55.57,4701797.0
2025-12-15,55.6,55.6,53.95,55.17,3745954.0
2025-12-16,54.66,54.66,52.73,53.32,5071894.0
2025-12-17,53.69,54.5,53.27,54.36,4166197.0
2025-12-18,54.22,55.41,53.44,53.76,4651615.0
2025-12-19,53.81,54.59,53.75,53.87,6128214.0
2025-12-22,53.84,54.37,53.13,53.5,4589563.0
2025-12-23,54.28,54.74,53.67,54.52,3800002.0
2025-12-24,54.03,54.54,53.64,53.89,1974578.0
2025-12-26,54.28,54.41,53.56,53.93,2503375.0
2025-12-29,54.0,54.73,53.83,54.54,3845788.0
2025-12-30,55.0,55.2,54.47,54.63,2638277.0
2025-12-31,54.04,54.34,53.15,53.6,3129588.0
2026-01-02,53.35,53.65,52.53,53.46,2263100.0
2026-01-05,52.9,53.52,51.03,53.35,8056962.0
2026-01-06,52.76,53.43,52.22,53.41,9364182.0
2026-01-07,53.34,54.69,53.01,54.49,5949282.0
2026-01-08,54.31,54.58,51.74,52.2,8898445.0
2026-01-09,52.11,52.66,50.45,51.09,7254856.0
2026-01-12,51.5,52.45,50.94,52.15,13212827.0
2026-01-13,52.69,53.15,51.13,51.59,3965211.0
2026-01-14,50.84,51.0,49.93,50.26,9597791.0
2026-01-15,49.69,50.93,49.25,49.92,6309626.0
2026-01-16,49.9,51.01,49.52,50.54,6454983.0
2026-01-20,52.83,53.4,50.92,51.48,19396439.0
2026-01-21,53.05,55.14,52.8,54.83,12560619.0
2026-01-22,55.5,55.7,54.04,54.73,11559378.0
2026-01-23,55.7,56.43,55.25,55.52,10716351.0
2026-01-26,56.31,56.9,54.87,56.41,6763764.0
2026-01-27,56.01,56.17,53.92,54.41,6552082.0
2026-01-28,54.68,56.01,53.7,55.96,5541211.0
2026-01-29,57.19,57.2,55.69,56.33,5784812.0
2026-01-30,56.48,58.28,55.99,57.73,8774424.0
2026-02-02,55.5,55.98,54.48,54.75,5010568.0
2026-02-03,54.58,55.62,54.16,55.6,4052944.0
2026-02-04,56.21,56.56,54.87,55.4,5219938.0
2026-02-05,54.9,55.68,54.01,55.33,5159161.0
2026-02-06,55.6,56.99,55.56,56.79,2923002.0
2026-02-09,55.56,56.74,55.12,56.13,4837503.0
2026-02-10,56.16,56.25,55.24,55.39,4275686.0
2026-02-11,56.02,57.34,55.78,56.93,4445703.0
2026-02-12,57.0,57.86,56.16,57.18,8761064.0
2026-02-13,56.67,59.01,56.42,58.7,5251603.0
2026-02-17,58.74,58.89,56.46,57.75,5803809.0
2026-02-18,56.28,59.55,55.81,58.63,7664083.0
2026-02-19,59.77,61.24,59.01,59.77,9799154.0
2026-02-20,60.0,60.89,59.61,60.5,7957811.0
2026-02-23,60.51,61.25,58.63,59.03,5028588.0
2026-02-24,58.95,59.11,57.63,58.41,4439946.0
2026-02-25,58.5,59.6,58.5,59.38,4141650.0
