date,open,high,low,close,volume
2025-02-26,63.55,63.96,63.11,63.46,1266544.0
2025-02-27,62.83,63.38,62.21,62.41,1367525.0
2025-02-28,62.92,63.58,62.32,63.01,1476217.0
2025-03-03,62.77,63.53,62.55,63.01,1338549.0
2025-03-04,62.58,62.7,59.67,59.74,1756876.0
2025-03-05,59.51,60.25,58.76,58.79,1163747.0
2025-03-06,58.79,58.93,57.9,58.71,1481465.0
2025-03-07,58.92,61.25,58.86,60.98,1557944.0
2025-03-10,61.24,62.89,61.15,61.76,1965169.0
2025-03-11,61.75,61.76,60.41,60.54,1413515.0
2025-03-12,60.0,60.39,59.22,59.45,956490.0
2025-03-13,59.66,60.5,59.52,60.11,721201.0
2025-03-14,59.96,61.69,59.88,61.39,1036817.0
2025-03-17,61.72,62.39,61.27,61.5,1347515.0
2025-03-18,61.21,61.91,60.98,61.9,690001.0
2025-03-19,61.67,62.25,61.29,61.5,734494.0
2025-03-20,61.61,62.05,61.15,61.6,629024.0
2025-03-21,61.45,62.09,60.55,60.93,1164128.0
2025-03-24,60.7,61.45,60.67,60.86,477378.0
2025-03-25,60.69,60.83,58.75,59.02,712493.0
2025-03-26,59.17,60.15,59.01,59.94,1170604.0
2025-03-27,60.04,60.8,59.7,60.3,703739.0
2025-03-28,60.86,61.7,60.28,61.12,765662.0
2025-03-31,61.59,62.35,61.25,62.11,1092114.0
2025-04-01,62.0,62.26,61.3,62.09,800735.0
2025-04-02,62.42,62.82,61.96,62.63,990497.0
2025-04-03,62.99,63.5,61.6,61.92,1933021.0
2025-04-04,62.57,62.83,58.21,58.34,1609028.0
2025-04-07,57.0,57.45,54.92,55.56,2682526.0
2025-04-08,56.47,56.99,53.66,54.25,1983385.0
2025-04-09,54.35,56.53,52.28,56.31,2648543.0
2025-04-10,55.05,56.45,54.2,55.69,1920432.0
2025-04-11,55.64,56.55,54.7,56.32,1431360.0
2025-04-14,56.72,58.72,56.5,58.48,1683149.0
2025-04-15,58.58,58.93,57.93,57.98,1262870.0
2025-04-16,58.43,59.08,57.89,58.06,1154109.0
2025-04-17,57.84,58.7,57.36,57.44,2177278.0
2025-04-21,57.21,57.32,55.56,56.38,854239.0
2025-04-22,56.96,58.36,56.92,58.05,695251.0
2025-04-23,57.83,59.18,57.49,57.96,1053690.0
2025-04-24,57.94,58.92,57.35,58.53,1330513.0
2025-04-25,58.42,58.52,57.7,57.86,1275922.0
2025-04-28,58.0,59.34,57.79,59.1,6009571.0
2025-04-29,59.02,59.61,58.52,59.42,3040498.0
2025-04-30,59.48,60.02,58.49,59.48,2871037.0
2025-05-01,59.54,60.02,59.03,59.08,1172658.0
2025-05-02,58.79,59.5,58.03,58.83,2318147.0
2025-05-05,58.99,59.41,58.5,59.29,1058105.0
2025-05-06,59.28,59.73,58.92,59.21,876273.0
2025-05-07,59.62,62.84,59.4,62.24,2689357.0
2025-05-08,62.51,63.38,62.13,62.71,1553014.0
2025-05-09,62.93,63.33,62.53,63.0,1181123.0
2025-05-12,62.74,63.01,61.79,62.25,1155340.0
2025-05-13,62.25,63.51,61.79,62.91,1386666.0
2025-05-14,62.45,62.45,60.62,61.35,1357967.0
2025-05-15,61.05,62.49,60.75,62.38,1361390.0
2025-05-16,62.29,63.27,62.01,63.2,1078384.0
2025-05-19,62.84,63.61,62.64,63.53,753346.0
2025-05-20,64.0,66.16,63.79,65.55,2051827.0
2025-05-21,64.93,65.37,63.85,63.96,1307347.0
2025-05-22,63.39,63.45,62.3,63.06,878236.0
2025-05-23,63.34,63.49,62.22,63.46,719668.0
2025-05-27,64.0,64.91,63.3,64.61,900748.0
2025-05-28,64.36,64.51,63.02,63.37,648481.0
2025-05-29,63.3,64.26,63.05,64.09,854656.0
2025-05-30,63.96,65.1,63.25,64.81,1478022.0
2025-06-02,64.33,64.96,63.76,64.92,788512.0
2025-06-03,65.04,65.42,64.54,65.25,1504901.0
2025-06-04,65.23,65.45,64.54,64.66,1496669.0
2025-06-05,64.64,65.71,64.39,65.3,2454712.0
2025-06-06,65.48,65.56,64.8,65.49,1378200.0
2025-06-09,65.19,66.24,65.1,65.64,974804.0
2025-06-10,65.52,66.17,65.27,65.89,865949.0
2025-06-11,65.81,66.17,65.45,65.55,621207.0
2025-06-12,65.84,66.09,65.43,65.8,695917.0
2025-06-13,65.72,66.11,64.91,65.21,929751.0
2025-06-16,65.56,65.91,64.04,64.36,660562.0
2025-06-17,64.19,64.56,62.94,63.2,1355312.0
2025-06-18,63.32,63.45,62.35,62.4,1236323.0
2025-06-20,62.73,63.36,62.29,62.52,2143022.0
2025-06-23,63.05,63.77,62.77,63.37,1754956.0
2025-06-24,63.5,64.11,63.35,63.84,1607372.0
2025-06-25,63.36,63.72,62.39,62.46,1182257.0
2025-06-26,62.64,63.45,62.48,63.25,1226882.0
2025-06-27,63.31,64.25,63.11,63.36,1265156.0
2025-06-30,63.19,64.41,61.88,63.62,2434334.0
2025-07-01,63.68,65.12,63.3,64.55,1144430.0
2025-07-02,64.25,64.95,63.94,64.45,1020768.0
2025-07-03,64.64,65.12,64.27,64.55,823587.0
2025-07-07,64.56,64.84,64.06,64.39,778268.0
2025-07-08,63.9,64.78,63.23,64.56,797072.0
2025-07-09,64.76,65.14,63.92,65.11,1113121.0
2025-07-10,64.36,66.13,64.1,66.11,791817.0
2025-07-11,65.43,66.07,65.17,65.71,738770.0
2025-07-14,65.57,66.2,65.08,65.38,1196521.0
2025-07-15,65.29,65.44,64.29,64.72,700912.0
2025-07-16,64.94,65.47,64.36,64.79,1133242.0
2025-07-17,64.6,65.25,64.32,64.84,1223687.0
2025-07-18,64.79,65.55,64.79,65.41,1351064.0
2025-07-21,65.53,65.97,65.07,65.54,658705.0
2025-07-22,65.85,66.68,65.45,66.61,729720.0
2025-07-23,66.76,66.88,66.03,66.37,869946.0
2025-07-24,66.49,66.57,66.07,66.41,730201.0
2025-07-25,66.41,66.79,66.19,66.62,870157.0
2025-07-28,66.48,66.57,64.98,65.18,924915.0
2025-07-29,65.23,66.42,65.06,66.37,813334.0
2025-07-30,66.19,66.83,65.77,65.99,925942.0
2025-07-31,65.51,66.3,65.51,66.1,1350419.0
2025-08-01,66.58,66.58,65.22,65.55,1382809.0
2025-08-04,65.75,66.7,65.75,66.46,929431.0
2025-08-05,66.62,67.09,65.69,65.88,585268.0
2025-08-06,66.49,66.49,65.43,65.43,714981.0
2025-08-07,65.82,66.26,65.7,65.93,699422.0
2025-08-08,65.99,66.27,64.59,65.04,773898.0
2025-08-11,65.44,65.73,65.12,65.69,1000993.0
2025-08-12,65.69,65.85,65.11,65.82,782714.0
2025-08-13,65.82,66.31,65.5,66.3,624221.0
2025-08-14,65.97,66.23,65.47,65.51,1275541.0
2025-08-15,65.76,65.81,65.2,65.53,988875.0
2025-08-18,65.68,65.83,64.38,64.54,729919.0
2025-08-19,64.6,65.73,64.6,65.71,461742.0
2025-08-20,66.2,67.15,65.65,65.71,768446.0
2025-08-21,65.64,65.97,65.3,65.42,554879.0
2025-08-22,65.9,66.61,65.7,66.53,792042.0
2025-08-25,63.5,64.22,61.53,63.39,3817321.0
2025-08-26,63.37,64.29,63.28,64.11,1576622.0
2025-08-27,64.56,64.97,64.19,64.8,1074536.0
2025-08-28,64.72,64.91,64.09,64.3,698576.0
2025-08-29,64.3,64.75,63.95,64.07,751582.0
2025-09-02,63.75,64.14,63.02,63.7,860986.0
2025-09-03,63.24,63.62,62.97,63.3,911627.0
2025-09-04,63.75,63.81,62.77,63.42,954053.0
2025-09-05,63.57,63.78,62.95,63.53,784015.0
2025-09-08,63.47,63.72,62.45,62.86,1223841.0
2025-09-09,62.87,64.5,62.63,63.88,1388815.0
2025-09-10,64.02,64.24,63.53,64.01,1721883.0
2025-09-11,64.01,65.1,63.57,65.05,1284327.0
2025-09-12,64.79,65.84,64.6,65.7,1089021.0
2025-09-15,65.8,66.24,65.39,65.52,1247192.0
2025-09-16,65.39,65.45,63.36,63.42,1369951.0
2025-09-17,63.96,64.18,63.23,63.3,1201148.0
2025-09-18,63.0,64.15,62.89,63.88,1796109.0
2025-09-19,64.41,69.47,63.69,67.0,7477846.0
2025-09-22,66.0,68.61,65.4,67.66,3204617.0
2025-09-23,67.6,69.47,67.43,69.42,1785800.0
2025-09-24,69.44,69.64,68.88,69.1,1933617.0
2025-09-25,68.71,69.52,68.43,68.5,1411571.0
2025-09-26,68.83,69.97,68.59,69.77,1403308.0
2025-09-29,69.85,70.65,69.47,70.53,970154.0
2025-09-30,70.52,71.17,70.06,71.14,977097.0
2025-10-01,71.62,71.99,71.17,71.6,1844395.0
2025-10-02,71.06,71.96,71.02,71.79,1384561.0
2025-10-03,72.0,73.48,71.86,72.53,1087984.0
2025-10-06,72.82,73.17,72.49,72.7,1231264.0
2025-10-07,72.91,73.07,72.01,72.84,2103702.0
2025-10-08,73.13,74.46,72.64,73.49,1547743.0
2025-10-09,73.5,73.51,72.33,72.39,880587.0
2025-10-10,72.74,72.82,71.92,72.35,672904.0
2025-10-13,71.55,72.08,70.59,70.97,1575112.0
2025-10-14,70.8,71.3,70.33,70.59,1554867.0
2025-10-15,71.1,72.48,70.71,72.24,1011036.0
2025-10-16,72.14,72.67,71.19,71.36,721563.0
2025-10-17,71.9,72.57,71.52,72.56,1258838.0
2025-10-20,73.05,73.36,72.14,72.85,1138311.0
2025-10-21,74.14,74.19,72.91,73.21,1301181.0
2025-10-22,73.21,73.55,72.65,73.12,916936.0
2025-10-23,73.43,74.02,73.0,73.89,1330201.0
2025-10-24,73.89,75.05,73.69,74.67,863437.0
2025-10-27,74.17,74.78,73.73,74.71,797433.0
