date,open,high,low,close,volume
2025-02-26,86.17,86.99,85.76,86.15,2572478.0
2025-02-27,86.06,86.91,85.13,85.27,1365485.0
2025-02-28,85.41,87.51,85.26,87.31,1488056.0
2025-03-03,86.86,88.02,86.6,87.89,2245877.0
2025-03-04,87.6,88.0,84.95,85.08,2080408.0
2025-03-05,84.5,85.39,83.96,84.66,1183086.0
2025-03-06,83.83,83.94,80.99,81.18,2154808.0
2025-03-07,81.16,82.45,79.93,81.33,2749523.0
2025-03-10,80.67,81.22,78.94,80.46,3513703.0
2025-03-11,80.61,83.26,80.29,82.38,3105866.0
2025-03-12,83.28,84.44,82.53,82.64,2986926.0
2025-03-13,82.65,83.23,81.75,82.84,1390053.0
2025-03-14,82.89,85.17,82.82,84.99,1786660.0
2025-03-17,84.99,86.42,84.56,85.45,1083154.0
2025-03-18,83.25,83.59,82.3,83.48,6306962.0
2025-03-19,83.81,84.96,83.12,84.66,3881340.0
2025-03-20,84.52,84.85,84.18,84.64,1638388.0
2025-03-21,83.5,84.4,83.39,83.88,2414310.0
2025-03-24,84.28,84.78,82.54,84.01,2703265.0
2025-03-25,84.02,84.09,82.42,82.92,1467825.0
2025-03-26,83.04,84.27,82.85,84.11,1926314.0
2025-03-27,84.08,84.83,83.44,84.02,1334951.0
2025-03-28,84.38,85.06,84.1,84.41,1433242.0
2025-03-31,84.36,85.65,84.15,85.49,2017193.0
2025-04-01,85.36,86.07,84.19,85.66,1935748.0
2025-04-02,85.52,86.94,85.02,86.61,1454367.0
2025-04-03,85.55,87.25,84.85,85.06,3544781.0
2025-04-04,85.02,85.02,78.51,79.03,4325730.0
2025-04-07,76.65,81.35,75.62,79.34,3575555.0
2025-04-08,81.67,81.77,78.07,79.01,2915018.0
2025-04-09,78.0,81.32,75.57,80.51,6472451.0
2025-04-10,79.9,81.36,78.46,80.28,2857069.0
2025-04-11,80.06,82.04,78.99,81.72,1644330.0
2025-04-14,82.54,83.38,82.08,82.58,942033.0
2025-04-15,83.21,84.46,82.84,83.46,1708994.0
2025-04-16,83.47,83.74,81.92,82.24,983282.0
2025-04-17,82.52,84.38,82.5,83.27,1797038.0
2025-04-21,82.72,82.75,79.48,80.51,1508153.0
2025-04-22,81.81,83.69,81.23,83.28,1972373.0
2025-04-23,83.41,85.11,83.32,84.26,1675816.0
2025-04-24,83.72,85.26,83.25,84.97,1589678.0
2025-04-25,84.76,85.2,84.19,84.61,1100038.0
2025-04-28,84.68,85.15,84.02,85.09,1493486.0
2025-04-29,83.32,84.84,82.36,83.53,2121411.0
