date,open,high,low,close,volume
2025-02-26,68.67,69.58,68.67,69.1,1287476.0
2025-02-27,68.61,69.9,68.04,68.56,1346142.0
2025-02-28,69.48,69.73,68.18,68.91,1464517.0
2025-03-03,68.75,69.58,68.63,69.52,664513.0
2025-03-04,69.83,69.93,67.67,67.7,1454984.0
2025-03-05,67.24,67.65,66.59,66.97,1361255.0
2025-03-06,66.72,66.81,65.64,65.73,1970595.0
2025-03-07,65.78,66.87,65.65,65.8,1637638.0
2025-03-10,65.14,65.42,63.98,65.06,2289836.0
2025-03-11,65.23,66.57,64.94,65.59,1675567.0
2025-03-12,65.37,66.68,65.33,66.3,2242417.0
2025-03-13,66.3,67.08,66.02,66.61,1358369.0
2025-03-14,66.53,67.51,66.29,67.45,1330828.0
2025-03-17,67.32,68.07,66.86,67.64,1260622.0
2025-03-18,67.42,67.66,66.88,67.1,509692.0
2025-03-19,66.93,67.96,66.75,67.76,788483.0
2025-03-20,67.89,68.14,67.57,67.97,575147.0
2025-03-21,67.92,68.42,66.93,67.45,1027507.0
2025-03-24,67.7,67.91,67.22,67.51,1134059.0
2025-03-25,67.39,67.39,65.88,66.17,848823.0
2025-03-26,66.34,67.53,66.32,67.33,824400.0
2025-03-27,67.44,67.96,67.12,67.32,1709171.0
2025-03-28,67.66,68.14,67.48,67.87,708706.0
2025-03-31,68.26,69.21,68.17,68.95,1337883.0
2025-04-01,68.75,69.12,68.29,69.01,976584.0
2025-04-02,69.12,69.52,68.52,69.43,630026.0
2025-04-03,69.87,70.3,69.13,69.21,905220.0
2025-04-04,69.0,69.22,65.77,66.18,2456427.0
2025-04-07,65.53,66.49,63.93,64.36,2148370.0
2025-04-08,65.43,66.39,63.87,64.51,1574280.0
2025-04-09,63.95,65.43,61.94,65.17,3210512.0
2025-04-10,65.09,66.28,64.25,65.48,1085298.0
2025-04-11,65.71,66.9,64.68,66.52,1279190.0
2025-04-14,66.63,67.76,66.27,67.59,738411.0
2025-04-15,67.75,68.21,67.58,67.87,1105814.0
2025-04-16,67.8,68.46,67.24,67.43,1306227.0
2025-04-17,67.68,69.24,67.61,68.37,1136816.0
2025-04-21,68.3,68.35,66.52,66.95,777560.0
2025-04-22,67.56,68.47,67.2,68.36,714911.0
2025-04-23,68.46,68.76,67.42,68.11,708892.0
2025-04-24,67.97,68.54,67.49,68.28,598259.0
2025-04-25,68.46,68.62,67.65,67.88,504913.0
2025-04-28,68.6,69.17,67.91,69.02,752640.0
2025-04-29,68.96,69.19,68.58,68.91,899169.0
2025-04-30,68.88,69.33,68.37,69.1,808889.0
2025-05-01,68.86,69.47,68.2,68.43,778557.0
2025-05-02,68.78,69.4,68.17,69.25,798966.0
2025-05-05,68.88,69.65,68.62,69.46,773107.0
2025-05-06,69.22,69.75,69.07,69.25,765990.0
2025-05-07,69.24,70.36,69.24,69.64,1142937.0
2025-05-08,68.61,69.2,66.39,66.56,3777402.0
2025-05-09,67.0,67.05,65.95,66.59,1318155.0
2025-05-12,66.15,66.37,65.12,65.35,2084786.0
