date,open,high,low,close,volume
2025-02-26,43.97,44.26,43.64,44.06,5833669.0
2025-02-27,43.89,44.32,43.65,43.79,3435961.0
2025-02-28,44.25,44.46,43.72,44.2,3658856.0
2025-03-03,44.09,44.62,44.0,44.55,4119208.0
2025-03-04,44.85,45.2,43.63,43.68,5299913.0
2025-03-05,43.41,43.82,43.22,43.36,3029446.0
2025-03-06,43.4,43.4,42.62,42.88,3665338.0
2025-03-07,42.79,43.41,42.7,43.11,4027390.0
2025-03-10,43.21,44.3,43.21,43.76,5597086.0
2025-03-11,43.87,43.98,43.25,43.4,4066755.0
2025-03-12,42.97,43.16,42.55,42.61,3705662.0
2025-03-13,42.84,43.51,42.74,43.47,3466728.0
2025-03-14,43.46,44.24,43.16,44.19,4283556.0
2025-03-17,44.2,44.66,43.98,44.39,3209728.0
2025-03-18,44.33,44.46,43.8,44.42,3073625.0
2025-03-19,44.42,44.52,44.07,44.44,3011532.0
2025-03-20,44.41,44.7,44.22,44.59,2822040.0
2025-03-21,44.54,44.77,43.57,43.8,4997522.0
2025-03-24,43.98,44.39,43.55,43.58,3136834.0
2025-03-25,43.41,43.47,42.61,42.76,2921063.0
2025-03-26,42.86,44.24,42.78,44.02,4469645.0
2025-03-27,43.93,44.65,43.9,44.25,3012013.0
2025-03-28,44.52,44.97,44.28,44.71,4894501.0
2025-03-31,45.38,46.22,45.29,46.08,9808167.0
2025-04-01,45.76,46.28,45.62,45.92,5375050.0
2025-04-02,45.98,46.47,45.84,45.97,4335465.0
2025-04-03,46.76,47.6,46.55,47.23,8073316.0
2025-04-04,48.13,48.13,45.09,45.35,8463967.0
2025-04-07,45.11,45.46,43.95,44.69,10932077.0
2025-04-08,44.52,45.41,44.02,44.49,13928321.0
2025-04-09,44.05,45.18,42.85,44.3,12606782.0
2025-04-10,44.32,45.6,44.23,45.12,8364090.0
2025-04-11,45.21,46.19,44.69,46.0,6249492.0
2025-04-14,45.83,47.0,45.69,46.86,5420879.0
2025-04-15,46.47,47.09,46.43,46.74,4967303.0
2025-04-16,46.89,47.49,46.33,46.51,5590362.0
2025-04-17,46.88,47.93,46.72,47.26,4937815.0
2025-04-21,47.48,47.48,45.71,46.23,3212367.0
2025-04-22,46.75,47.53,46.58,47.37,3814596.0
2025-04-23,46.98,47.24,46.24,46.8,4934727.0
2025-04-24,46.64,46.74,46.24,46.33,3387013.0
2025-04-25,46.3,46.4,45.9,46.22,2499293.0
2025-04-28,46.38,46.64,45.83,46.48,2943093.0
2025-04-29,46.46,46.92,46.24,46.85,2610260.0
2025-04-30,47.09,47.25,46.11,46.9,3976621.0
2025-05-01,46.63,47.13,46.49,46.6,2854260.0
2025-05-02,46.92,46.95,46.08,46.48,3435728.0
2025-05-05,46.4,46.48,45.55,46.0,2169063.0
2025-05-06,45.97,46.61,45.87,46.29,3051966.0
2025-05-07,46.34,46.74,46.16,46.34,3231645.0
2025-05-08,46.11,46.32,45.03,45.1,3431278.0
2025-05-09,45.2,45.33,44.8,45.21,2254048.0
2025-05-12,44.29,44.5,43.34,43.61,4835338.0
2025-05-13,43.59,43.77,42.89,42.97,5545091.0
2025-05-14,42.71,42.72,41.7,42.25,7104685.0
2025-05-15,42.67,43.54,42.5,43.43,3679877.0
2025-05-16,42.96,44.12,42.96,44.09,3570507.0
2025-05-19,43.87,44.43,43.66,44.39,3704195.0
2025-05-20,44.31,44.62,44.22,44.26,4228392.0
2025-05-21,44.14,44.47,44.01,44.19,3845791.0
2025-05-22,44.14,44.17,43.17,43.42,3396398.0
2025-05-23,43.92,43.92,42.99,43.67,5608103.0
2025-05-27,43.83,44.15,43.52,43.91,3208437.0
2025-05-28,43.76,43.84,43.09,43.28,1859010.0
2025-05-29,43.12,43.83,43.01,43.7,2860249.0
2025-05-30,43.81,43.98,43.48,43.82,4665943.0
2025-06-02,43.58,43.81,43.27,43.79,2248076.0
2025-06-03,43.77,43.89,42.9,43.46,4149626.0
2025-06-04,43.46,43.52,42.73,42.75,3054822.0
2025-06-05,42.75,43.09,42.49,42.86,3804689.0
2025-06-06,42.91,43.03,42.36,42.62,4430718.0
2025-06-09,42.43,42.68,42.11,42.2,4782541.0
2025-06-10,42.28,42.92,42.14,42.92,3899900.0
2025-06-11,42.77,43.04,42.56,42.88,3987965.0
2025-06-12,43.03,43.74,43.0,43.64,4429684.0
2025-06-13,43.57,43.69,43.13,43.25,2321249.0
2025-06-16,43.25,43.49,42.44,42.68,2415499.0
2025-06-17,42.8,42.8,42.26,42.39,1825810.0
2025-06-18,42.56,42.56,42.18,42.37,2025518.0
2025-06-20,42.52,42.87,42.33,42.6,4993551.0
2025-06-23,42.9,43.29,42.76,43.2,3057811.0
2025-06-24,43.08,43.3,42.86,43.1,2613342.0
2025-06-25,42.88,42.94,42.23,42.29,2305536.0
2025-06-26,42.41,42.71,42.23,42.51,1803133.0
2025-06-27,42.55,43.09,42.39,42.91,3379982.0
2025-06-30,42.69,43.46,42.66,43.42,3307118.0
2025-07-01,43.9,44.05,43.23,43.41,4153918.0
2025-07-02,43.15,43.32,42.54,42.92,3201930.0
2025-07-03,42.99,43.33,42.89,43.13,2050274.0
2025-07-07,43.16,43.23,42.92,43.17,2379187.0
2025-07-08,42.83,43.14,42.49,43.0,2848458.0
2025-07-09,43.07,43.26,42.82,43.14,2888515.0
2025-07-10,43.02,43.68,42.86,43.63,2726345.0
2025-07-11,43.34,43.76,43.09,43.51,3004422.0
2025-07-14,43.49,43.8,43.07,43.43,2295587.0
2025-07-15,43.31,43.36,42.74,42.95,2899410.0
2025-07-16,42.98,43.04,42.47,42.85,2410774.0
2025-07-17,42.7,43.23,42.7,42.95,3139332.0
2025-07-18,43.02,43.55,42.89,43.4,3651508.0
2025-07-21,43.4,43.96,43.34,43.73,3239339.0
2025-07-22,43.91,44.74,43.82,44.45,2777144.0
2025-07-23,44.64,44.64,43.45,43.49,4931356.0
2025-07-24,43.46,43.97,43.37,43.73,2836984.0
2025-07-25,43.82,44.03,43.71,43.99,2185559.0
2025-07-28,43.91,43.93,43.25,43.41,3598553.0
2025-07-29,43.58,44.33,43.33,44.3,2949078.0
2025-07-30,44.35,44.67,44.1,44.26,3653568.0
2025-07-31,43.95,44.97,43.89,44.94,6556027.0
2025-08-01,45.55,45.55,44.13,44.67,5896813.0
2025-08-04,44.77,45.36,44.6,45.17,4279965.0
2025-08-05,45.08,45.4,44.57,44.69,3619873.0
2025-08-06,44.92,45.4,44.52,45.06,4220948.0
2025-08-07,45.16,45.68,45.02,45.54,3785134.0
2025-08-08,45.65,45.78,45.21,45.32,2082767.0
2025-08-11,45.09,45.14,44.55,44.71,2575637.0
2025-08-12,44.75,44.86,44.05,44.61,2779921.0
2025-08-13,44.7,45.25,44.52,45.23,2668052.0
2025-08-14,45.24,45.26,44.62,44.65,2865442.0
2025-08-15,44.61,44.9,44.34,44.58,2982971.0
2025-08-18,44.6,44.71,43.86,44.0,3906212.0
2025-08-19,44.12,44.77,44.01,44.74,2641306.0
2025-08-20,44.9,45.47,44.74,44.88,2888468.0
2025-08-21,44.72,45.05,44.51,44.64,1647696.0
2025-08-22,45.07,45.12,44.54,44.96,1992757.0
2025-08-25,44.91,44.98,44.57,44.6,1710948.0
2025-08-26,44.63,44.8,44.27,44.42,2545678.0
2025-08-27,44.35,44.52,44.2,44.39,1986055.0
2025-08-28,44.33,44.33,43.66,43.76,2991260.0
2025-08-29,43.79,43.89,43.54,43.68,1766696.0
2025-09-02,43.63,43.71,43.15,43.37,2770389.0
2025-09-03,43.58,43.63,42.89,43.38,4971431.0
2025-09-04,43.7,43.98,43.12,43.34,2436201.0
2025-09-05,43.63,43.68,43.15,43.43,1626167.0
2025-09-08,43.52,43.53,42.75,43.02,2368090.0
2025-09-09,43.06,43.37,42.87,43.09,1930076.0
2025-09-10,43.05,43.45,42.89,43.32,2394389.0
2025-09-11,43.25,43.54,43.07,43.5,2641502.0
2025-09-12,43.35,43.63,43.21,43.38,2086772.0
2025-09-15,43.43,43.67,43.13,43.43,3012489.0
2025-09-16,43.38,43.56,42.7,42.73,3327962.0
2025-09-17,42.96,43.33,42.84,43.23,3731874.0
2025-09-18,42.95,43.38,42.58,43.11,1972288.0
2025-09-19,43.1,43.56,42.82,43.41,4780215.0
2025-09-22,43.35,43.57,43.22,43.4,1828696.0
2025-09-23,43.28,44.28,43.24,44.23,2081658.0
2025-09-24,44.23,44.53,44.14,44.23,2260716.0
2025-09-25,44.39,44.67,43.74,43.78,2668394.0
2025-09-26,43.94,44.25,43.81,44.09,4162037.0
2025-09-29,43.94,44.36,43.49,44.27,2698825.0
2025-09-30,44.34,45.06,44.25,45.01,2933417.0
2025-10-01,45.42,45.58,44.96,45.06,4978059.0
2025-10-02,44.88,45.11,44.54,44.97,6881836.0
2025-10-03,44.94,45.64,44.89,45.34,2538777.0
2025-10-06,45.31,45.73,45.12,45.69,3555384.0
2025-10-07,46.3,47.06,45.89,46.79,4257141.0
2025-10-08,46.87,46.92,46.05,46.62,2646957.0
2025-10-09,46.73,46.97,46.52,46.66,2625705.0
2025-10-10,46.74,47.35,46.64,47.07,2811569.0
2025-10-13,46.94,47.1,46.5,46.85,2537847.0
2025-10-14,47.32,47.63,47.17,47.38,2980281.0
2025-10-15,47.44,47.88,47.38,47.83,2686416.0
2025-10-16,47.72,48.07,47.26,47.36,3059427.0
2025-10-17,47.6,48.07,47.36,47.78,3973094.0
2025-10-20,47.99,48.29,47.68,48.24,2052585.0
2025-10-21,48.25,48.39,47.57,48.0,3218844.0
2025-10-22,47.94,48.51,47.77,48.11,3813580.0
2025-10-23,48.28,48.4,47.42,47.6,8749512.0
2025-10-24,47.85,48.11,47.54,48.04,4373164.0
2025-10-27,47.83,48.09,47.59,48.07,4561278.0
2025-10-28,48.17,48.19,47.56,47.7,4492857.0
2025-10-29,47.44,47.86,46.98,47.2,8846387.0
2025-10-30,47.31,47.66,46.99,47.07,3760880.0
2025-10-31,46.73,46.83,46.05,46.12,5014981.0
2025-11-03,46.03,46.4,45.29,46.2,4566723.0
2025-11-04,47.44,48.0,45.6,46.38,6795315.0
2025-11-05,46.64,46.9,46.12,46.15,5125107.0
2025-11-06,46.12,46.5,45.66,45.71,2817400.0
2025-11-07,46.04,46.8,45.82,46.21,4011174.0
2025-11-10,45.78,46.07,45.07,45.46,3532132.0
2025-11-11,45.58,45.75,45.27,45.44,3522563.0
2025-11-12,45.45,46.22,45.31,45.93,4612106.0
2025-11-13,45.9,46.26,45.37,45.45,3815396.0
2025-11-14,45.53,46.2,45.19,45.94,4857148.0
