date,open,high,low,close,volume
2025-02-26,9.46,9.62,9.44,9.47,80992667.0
2025-02-27,9.44,9.53,9.29,9.29,60958994.0
2025-02-28,9.32,9.69,9.31,9.55,123148838.0
2025-03-03,9.71,9.82,9.32,9.39,140726008.0
2025-03-04,9.23,9.27,9.06,9.12,154165421.0
2025-03-05,9.26,9.67,9.2,9.65,143476130.0
2025-03-06,9.52,9.72,9.42,9.61,127454212.0
2025-03-07,9.54,9.96,9.51,9.9,133743758.0
2025-03-10,9.77,10.14,9.77,9.96,154237284.0
2025-03-11,9.92,9.96,9.49,9.69,197934081.0
2025-03-12,9.7,9.71,9.46,9.59,118077715.0
2025-03-13,9.57,9.95,9.5,9.53,129553448.0
2025-03-14,9.66,9.79,9.64,9.73,83754850.0
2025-03-17,9.74,9.98,9.73,9.92,90408037.0
2025-03-18,9.95,10.04,9.88,9.95,93257280.0
2025-03-19,9.96,10.28,9.94,10.17,106037444.0
2025-03-20,10.07,10.15,9.99,10.01,89886867.0
2025-03-21,9.92,10.12,9.83,10.0,116964921.0
2025-03-24,10.04,10.25,10.01,10.25,80184971.0
2025-03-25,10.29,10.35,10.17,10.29,62354972.0
2025-03-26,10.27,10.35,10.09,10.3,125583941.0
2025-03-27,10.26,10.4,9.82,9.9,206430266.0
2025-03-28,9.84,9.89,9.62,9.72,127397614.0
2025-03-31,9.58,10.11,9.54,10.03,126472214.0
2025-04-01,10.1,10.17,9.81,9.94,126681708.0
2025-04-02,9.84,10.27,9.82,10.15,125972430.0
2025-04-03,10.0,10.2,9.53,9.54,208719671.0
2025-04-04,9.32,9.73,9.2,9.58,160359704.0
2025-04-07,9.27,9.64,9.0,9.24,257774389.0
2025-04-08,9.52,9.52,8.55,8.69,183273310.0
2025-04-09,8.5,9.54,8.44,9.5,179429877.0
2025-04-10,9.1,9.28,8.88,9.14,150498732.0
2025-04-11,9.11,9.35,9.04,9.33,135133126.0
2025-04-14,9.38,9.81,9.2,9.71,173604332.0
2025-04-15,9.62,9.63,9.38,9.45,115101246.0
2025-04-16,9.47,9.62,9.29,9.4,122602114.0
2025-04-17,9.41,9.69,9.4,9.63,117264515.0
2025-04-21,9.58,9.63,9.35,9.47,87291055.0
2025-04-22,9.55,9.72,9.53,9.65,111767999.0
2025-04-23,9.84,10.01,9.71,9.78,145138986.0
2025-04-24,9.88,10.09,9.81,10.06,78587870.0
2025-04-25,10.04,10.1,9.97,10.04,81918149.0
2025-04-28,10.06,10.18,9.97,10.02,71154535.0
2025-04-29,10.07,10.19,9.92,10.15,129661553.0
