date,open,high,low,close,volume
2025-02-26,37.29,37.51,36.91,36.95,2172422.0
2025-02-27,36.88,37.42,36.85,37.05,2420292.0
2025-02-28,37.3,38.07,37.11,37.87,3060608.0
2025-03-03,38.01,38.44,37.13,37.19,3342814.0
2025-03-04,37.21,37.67,36.85,37.12,3845322.0
2025-03-05,37.07,37.47,36.62,37.24,2774804.0
2025-03-06,38.03,39.04,37.65,38.93,5064478.0
2025-03-07,38.73,40.17,38.7,39.99,5498038.0
2025-03-10,40.39,41.08,39.73,39.9,5491540.0
2025-03-11,39.85,40.06,38.66,38.68,5029114.0
2025-03-12,38.57,38.74,37.77,37.99,2856328.0
2025-03-13,37.86,38.04,36.79,36.85,3813242.0
2025-03-14,37.2,37.68,36.7,37.63,4714150.0
2025-03-17,37.62,38.19,37.58,38.04,2188732.0
2025-03-18,37.91,38.17,37.74,38.05,2874980.0
2025-03-19,38.08,38.41,37.9,38.23,1925288.0
2025-03-20,37.77,38.21,37.63,37.76,1558398.0
2025-03-21,37.52,37.68,37.18,37.37,5067352.0
2025-03-24,37.82,38.52,37.69,38.47,2354438.0
2025-03-25,38.43,38.84,38.39,38.55,2191876.0
2025-03-26,38.59,39.06,38.48,38.55,2223090.0
2025-03-27,38.63,38.93,38.35,38.87,2442080.0
2025-03-28,38.99,39.07,37.93,38.09,2387658.0
2025-03-31,38.03,38.91,37.93,38.77,3336918.0
2025-04-01,38.63,38.85,38.21,38.81,2149102.0
2025-04-02,38.44,39.09,38.29,39.01,1616950.0
2025-04-03,39.0,39.45,38.68,39.01,6650652.0
2025-04-04,38.61,38.98,37.18,37.21,5259568.0
2025-04-07,36.64,37.71,35.41,36.08,8291010.0
2025-04-08,36.59,37.55,35.31,35.6,5507622.0
2025-04-09,35.38,38.34,35.36,38.24,8515748.0
2025-04-10,37.85,38.63,36.63,37.9,9159590.0
2025-04-11,37.6,40.66,37.38,40.32,8407560.0
2025-04-14,40.4,40.95,39.96,40.65,6289308.0
2025-04-15,40.7,41.21,40.55,40.83,3545202.0
2025-04-16,40.75,40.91,39.93,40.23,4215568.0
2025-04-17,40.67,41.03,40.33,40.79,3850682.0
2025-04-21,40.53,40.73,39.83,40.15,3118872.0
2025-04-22,40.51,40.92,40.27,40.72,2720172.0
2025-04-23,40.96,41.21,39.9,40.1,4169746.0
2025-04-24,40.17,41.1,40.07,41.05,3530262.0
2025-04-25,40.79,40.99,40.27,40.37,2689302.0
2025-04-28,40.26,40.45,39.49,40.06,4102980.0
2025-04-29,39.83,40.32,39.68,40.14,2652894.0
2025-04-30,39.99,40.62,39.43,40.49,2111534.0
2025-05-01,40.32,40.67,40.07,40.35,3476344.0
2025-05-02,40.68,41.18,40.38,41.06,2545448.0
2025-05-05,40.94,41.54,40.79,41.21,3403294.0
2025-05-06,40.6,40.9,39.24,39.25,4323922.0
2025-05-07,39.35,39.54,39.05,39.25,2873368.0
2025-05-08,39.54,40.26,39.38,39.65,2099716.0
2025-05-09,39.67,39.96,39.07,39.3,1715398.0
2025-05-12,39.88,40.09,39.11,40.08,4714288.0
2025-05-13,40.27,40.37,39.98,39.99,2590632.0
2025-05-14,39.85,40.32,39.42,40.26,2594230.0
2025-05-15,40.27,40.99,40.1,40.94,2229916.0
2025-05-16,40.9,41.56,40.8,41.52,2094796.0
2025-05-19,41.27,41.72,41.13,41.58,1800850.0
2025-05-20,41.43,41.58,40.87,40.96,1410054.0
2025-05-21,40.72,41.23,40.58,40.73,1581628.0
2025-05-22,40.86,41.12,40.14,40.72,2485145.0
2025-05-23,40.4,40.93,40.29,40.65,1814069.0
2025-05-27,41.34,41.72,41.0,41.64,2151517.0
2025-05-28,41.82,42.0,41.37,41.47,1351419.0
2025-05-29,41.71,41.71,40.65,41.2,1679612.0
2025-05-30,41.13,41.61,41.06,41.34,1996741.0
2025-06-02,41.14,41.29,40.34,40.91,2233011.0
2025-06-03,40.85,41.22,40.73,41.19,2290360.0
2025-06-04,41.15,41.54,40.63,40.88,2383493.0
2025-06-05,41.07,41.41,40.81,41.34,1835023.0
2025-06-06,41.63,42.16,41.63,42.06,1954137.0
2025-06-09,42.18,42.3,41.77,42.13,2482452.0
2025-06-10,42.1,42.74,42.05,42.72,2583775.0
2025-06-11,42.54,42.75,42.24,42.65,3262114.0
2025-06-12,42.5,43.1,42.27,42.86,2398334.0
2025-06-13,42.57,42.95,42.08,42.17,2883613.0
2025-06-16,42.52,42.68,42.07,42.24,1725491.0
2025-06-17,42.09,42.3,41.35,41.55,2018908.0
2025-06-18,41.72,41.74,41.07,41.49,3306207.0
2025-06-20,41.7,41.91,40.75,40.94,4517067.0
2025-06-23,40.85,41.34,40.36,41.3,3075457.0
2025-06-24,41.4,41.56,40.41,41.53,3972596.0
2025-06-25,41.65,41.69,41.07,41.12,1784373.0
2025-06-26,41.3,41.4,40.88,41.3,3212038.0
2025-06-27,41.39,42.0,41.23,41.96,3833447.0
2025-06-30,41.93,42.13,41.79,42.0,2555272.0
2025-07-01,42.04,43.13,41.75,42.86,3089962.0
2025-07-02,42.72,42.8,42.23,42.68,2911223.0
2025-07-03,42.76,43.21,42.62,43.13,1594865.0
2025-07-07,43.19,43.27,42.37,42.47,3280918.0
2025-07-08,42.42,42.94,42.27,42.84,2875698.0
2025-07-09,42.99,43.49,42.62,43.4,4259566.0
2025-07-10,43.4,44.0,43.3,43.56,3874073.0
2025-07-11,43.54,43.66,42.97,43.27,4410556.0
2025-07-14,44.29,46.04,43.79,45.07,12395602.0
2025-07-15,45.16,45.58,44.7,45.13,4666787.0
2025-07-16,45.21,45.62,44.88,45.6,3839903.0
2025-07-17,45.7,45.97,45.12,45.88,7080303.0
2025-07-18,46.2,46.3,45.64,46.06,3939141.0
2025-07-21,46.03,46.53,45.88,46.02,2567957.0
2025-07-22,46.05,47.11,45.91,47.08,3559525.0
2025-07-23,47.19,47.62,47.14,47.43,3302821.0
2025-07-24,47.4,48.01,47.24,47.93,2849409.0
2025-07-25,48.06,48.1,47.25,47.75,3427354.0
2025-07-28,47.6,47.62,46.76,46.8,3276732.0
2025-07-29,46.73,46.86,46.38,46.6,3655221.0
2025-07-30,46.65,46.88,46.06,46.41,3365537.0
2025-07-31,46.1,46.76,45.89,46.13,4007591.0
2025-08-01,45.85,45.92,44.86,45.44,4517106.0
2025-08-04,45.51,45.8,44.96,45.37,3067025.0
2025-08-05,45.43,45.67,45.17,45.44,2186438.0
2025-08-06,45.77,46.9,45.69,46.78,3828706.0
2025-08-07,47.4,47.53,46.67,47.48,4567777.0
2025-08-08,47.55,48.38,47.3,47.99,3010955.0
2025-08-11,48.02,48.21,47.23,47.84,2151020.0
2025-08-12,47.95,48.54,47.56,48.45,2437689.0
2025-08-13,48.43,49.26,48.36,49.21,2663414.0
2025-08-14,49.2,49.23,48.68,48.69,2267843.0
2025-08-15,49.08,49.2,48.53,48.88,3225179.0
2025-08-18,48.91,49.19,48.54,49.11,2385071.0
2025-08-19,49.1,49.94,49.06,49.9,3543716.0
2025-08-20,50.0,50.06,49.26,49.54,3424189.0
2025-08-21,49.49,49.74,48.82,49.14,3167521.0
2025-08-22,49.47,50.6,49.33,50.39,3405802.0
2025-08-25,50.02,50.63,50.02,50.27,3584880.0
2025-08-26,50.25,50.43,49.5,49.96,2480502.0
2025-08-27,49.91,50.27,49.59,50.2,2094767.0
2025-08-28,50.26,50.32,49.84,50.18,1720131.0
