date,open,high,low,close,volume
2025-02-26,38.54,38.72,37.82,37.95,11659654.0
2025-02-27,38.79,38.86,37.28,37.42,8948650.0
2025-02-28,36.71,37.02,36.23,36.91,9637287.0
2025-03-03,38.1,38.49,35.4,35.53,12560867.0
2025-03-04,35.4,35.62,34.26,34.9,12977733.0
2025-03-05,36.43,38.34,36.35,38.16,21513088.0
2025-03-06,38.0,39.01,37.3,37.68,13446476.0
2025-03-07,37.18,37.65,35.93,36.94,12473929.0
2025-03-10,35.6,35.68,33.98,34.5,15485665.0
2025-03-11,34.72,36.22,34.57,35.88,12940932.0
2025-03-12,36.81,37.24,36.03,36.78,9369839.0
2025-03-13,36.73,38.74,36.73,37.58,15560549.0
2025-03-14,38.09,38.95,38.0,38.85,10448984.0
2025-03-17,38.99,39.99,38.99,39.51,8654432.0
2025-03-18,40.12,40.31,39.27,39.84,9856980.0
2025-03-19,39.8,41.1,39.52,40.42,12626025.0
2025-03-20,41.05,41.53,40.56,40.7,15742750.0
2025-03-21,39.96,40.37,39.21,40.25,12019826.0
2025-03-24,41.49,42.31,41.33,41.61,13237910.0
2025-03-25,42.2,43.27,42.08,43.01,15367802.0
2025-03-26,43.24,43.45,41.35,41.49,14617518.0
2025-03-27,40.69,40.71,39.61,39.98,12460773.0
2025-03-28,39.89,40.27,38.27,38.42,12804451.0
2025-03-31,37.26,38.19,36.33,37.86,11611834.0
2025-04-01,38.06,38.13,37.19,38.13,9378190.0
2025-04-02,37.6,38.22,37.41,38.2,9673759.0
2025-04-03,35.98,35.99,33.42,33.51,24322417.0
2025-04-04,31.15,31.32,28.48,29.15,34868666.0
2025-04-07,28.03,31.65,27.66,30.37,28411290.0
2025-04-08,31.66,31.78,28.64,29.21,24826306.0
2025-04-09,29.93,34.18,28.95,33.74,29221004.0
2025-04-10,32.72,32.82,30.23,31.35,19068440.0
2025-04-11,31.92,33.74,31.85,33.35,19745300.0
2025-04-14,34.07,34.64,33.06,33.75,14237872.0
2025-04-15,33.29,33.81,32.96,33.37,14875411.0
2025-04-16,33.37,33.98,32.83,33.32,12958562.0
2025-04-17,33.34,33.58,32.37,32.9,11095270.0
2025-04-21,33.12,33.3,32.12,32.95,7097757.0
2025-04-22,33.42,34.76,33.3,34.06,13152219.0
2025-04-23,35.44,36.46,35.06,35.19,15958196.0
