date,open,high,low,close,volume
2025-02-26,43.27,43.58,42.96,43.05,4543770.0
2025-02-27,40.81,41.39,38.47,38.54,22117459.0
2025-02-28,38.73,38.8,37.91,38.77,7537248.0
2025-03-03,38.75,39.68,38.68,39.61,9326468.0
2025-03-04,39.79,40.06,39.22,39.28,6019224.0
2025-03-05,39.0,39.3,38.31,38.53,3818839.0
2025-03-06,38.55,38.55,37.92,38.27,3430022.0
2025-03-07,38.25,38.97,38.09,38.56,6315295.0
2025-03-10,38.71,39.51,38.47,39.37,5179595.0
2025-03-11,39.38,39.66,39.05,39.15,4803916.0
2025-03-12,38.92,39.03,38.01,38.21,5017900.0
2025-03-13,38.3,39.18,38.18,39.14,3407432.0
2025-03-14,38.9,39.87,38.75,39.83,3232242.0
2025-03-17,39.83,40.15,39.6,39.83,3213892.0
2025-03-18,39.67,39.97,39.5,39.9,2464238.0
2025-03-19,39.9,40.03,39.41,39.56,2579670.0
2025-03-20,39.79,40.0,39.53,39.81,3421523.0
2025-03-21,39.57,39.84,39.35,39.56,2845391.0
2025-03-24,39.52,39.65,38.98,39.0,2137982.0
2025-03-25,39.07,39.07,37.63,37.95,4240115.0
2025-03-26,38.08,38.59,38.04,38.48,3270759.0
2025-03-27,38.4,39.56,38.37,39.45,3829920.0
2025-03-28,39.75,40.37,39.47,40.06,4837795.0
2025-03-31,40.39,40.62,40.04,40.42,4295381.0
2025-04-01,40.42,40.48,39.97,40.4,2394346.0
2025-04-02,40.45,40.71,40.04,40.58,2067953.0
2025-04-03,40.9,41.35,40.61,41.05,3119619.0
2025-04-04,41.12,41.16,39.22,39.37,4118164.0
2025-04-07,39.15,39.62,38.35,38.71,4535501.0
2025-04-08,39.24,39.3,38.14,38.31,4683054.0
2025-04-09,38.09,39.6,37.58,39.38,5157767.0
2025-04-10,39.29,40.43,39.03,40.09,4229808.0
2025-04-11,40.14,40.82,39.88,40.6,2547624.0
2025-04-14,40.77,41.31,40.4,41.12,2034134.0
2025-04-15,41.2,41.58,41.0,41.04,1390668.0
2025-04-16,41.33,41.42,40.68,40.8,1609140.0
2025-04-17,40.99,42.41,40.86,42.02,5612700.0
2025-04-21,41.85,42.13,41.22,41.8,4120980.0
2025-04-22,42.03,43.01,42.03,42.71,3954680.0
2025-04-23,42.72,43.02,42.02,42.57,4301191.0
2025-04-24,42.6,43.0,42.11,42.28,4870850.0
2025-04-25,42.54,42.8,42.06,42.34,2900993.0
2025-04-28,42.29,42.81,42.06,42.72,2153811.0
2025-04-29,42.63,43.16,42.45,43.07,2721106.0
2025-04-30,43.07,43.19,42.3,42.88,3099320.0
2025-05-01,42.97,43.12,42.6,42.75,2746488.0
2025-05-02,42.95,43.22,42.69,43.09,2207264.0
2025-05-05,43.4,43.44,42.6,43.09,1680048.0
2025-05-06,43.15,43.47,43.01,43.17,1376720.0
2025-05-07,42.72,43.24,42.6,42.95,1846372.0
2025-05-08,42.83,42.98,42.38,42.49,1803777.0
2025-05-09,42.57,42.74,42.28,42.51,1165885.0
2025-05-12,42.19,42.33,41.56,41.72,3486800.0
2025-05-13,41.72,41.9,41.14,41.23,2846779.0
2025-05-14,41.14,41.29,40.61,41.14,3603747.0
2025-05-15,41.49,42.46,41.4,42.44,4364673.0
2025-05-16,42.35,42.68,42.12,42.68,2473328.0
2025-05-19,42.51,42.85,42.42,42.85,1949853.0
2025-05-20,42.85,43.04,42.61,42.73,2221809.0
2025-05-21,42.67,42.73,42.2,42.27,1580090.0
2025-05-22,42.17,42.32,41.86,41.99,1903901.0
