date,open,high,low,close,volume
2025-02-26,43.05,43.52,42.68,42.83,2551177.0
2025-02-27,42.94,43.58,42.84,42.98,1352308.0
2025-02-28,43.31,43.52,42.8,43.47,1745450.0
2025-03-03,43.7,44.31,42.63,43.05,2408086.0
2025-03-04,42.77,42.84,40.83,41.63,4562811.0
2025-03-05,41.5,41.66,39.72,40.45,5334891.0
2025-03-06,40.14,40.2,39.39,39.86,2986352.0
2025-03-07,39.8,40.26,38.89,40.06,4059553.0
2025-03-10,39.42,40.0,38.85,39.28,4172667.0
2025-03-11,39.47,39.55,38.18,38.23,3259029.0
2025-03-12,38.71,38.94,37.93,38.53,2896184.0
2025-03-13,38.62,38.82,37.44,37.48,3063474.0
2025-03-14,37.95,38.58,37.72,38.55,2246982.0
2025-03-17,38.29,39.11,38.16,38.99,2650522.0
2025-03-18,38.99,39.17,38.59,38.89,1675068.0
2025-03-19,38.89,39.83,38.8,39.46,1761292.0
2025-03-20,39.21,39.95,39.08,39.43,1770490.0
2025-03-21,39.15,39.58,38.84,39.48,2998681.0
2025-03-24,39.99,40.39,39.66,40.25,1482647.0
2025-03-25,40.33,40.49,40.05,40.17,1041460.0
2025-03-26,40.31,40.84,40.01,40.17,1641400.0
2025-03-27,40.16,40.49,39.63,39.77,1457198.0
2025-03-28,39.71,40.05,38.6,38.81,1302372.0
2025-03-31,38.16,39.33,37.98,39.2,2267191.0
2025-04-01,38.88,39.3,38.34,38.93,1803036.0
2025-04-02,38.52,39.73,38.49,39.62,1670146.0
2025-04-03,37.66,37.81,35.35,35.47,4483848.0
2025-04-04,34.09,34.61,32.75,33.75,6378813.0
2025-04-07,33.06,35.5,32.25,34.07,5453645.0
2025-04-08,34.91,35.59,32.89,33.42,4265211.0
2025-04-09,32.98,36.55,32.27,35.82,5188219.0
2025-04-10,35.34,35.4,32.8,33.83,6291398.0
2025-04-11,33.59,34.18,32.88,33.84,3454280.0
2025-04-14,34.26,34.97,34.17,34.6,4815244.0
2025-04-15,34.66,35.57,34.6,35.07,3358669.0
2025-04-16,34.93,35.27,34.04,34.4,3511345.0
2025-04-17,33.33,34.74,33.27,34.15,7640846.0
2025-04-21,33.84,34.05,32.79,33.32,3954717.0
2025-04-22,33.62,34.71,33.52,34.65,3454235.0
2025-04-23,35.61,36.27,34.78,35.09,4702651.0
2025-04-24,34.96,35.85,34.8,35.79,1738546.0
2025-04-25,35.51,35.74,35.11,35.28,1841417.0
2025-04-28,35.41,35.8,35.38,35.74,1574317.0
2025-04-29,35.64,36.29,35.5,36.16,2151531.0
2025-04-30,35.74,36.07,35.18,35.94,1558006.0
2025-05-01,35.86,36.43,35.55,36.09,1632687.0
2025-05-02,36.61,37.23,36.48,37.1,1359934.0
2025-05-05,36.74,37.68,36.71,37.28,2091524.0
2025-05-06,36.97,37.12,36.6,36.63,1358066.0
2025-05-07,36.76,37.06,36.55,36.71,1296249.0
2025-05-08,37.06,37.51,36.91,37.26,2001860.0
2025-05-09,37.4,37.57,37.24,37.35,2326932.0
2025-05-12,38.95,39.48,38.83,39.24,2425784.0
2025-05-13,39.36,39.65,39.13,39.43,1873646.0
2025-05-14,39.34,39.62,39.25,39.37,2023464.0
2025-05-15,39.37,39.59,39.27,39.49,2242801.0
2025-05-16,39.5,39.79,39.21,39.64,1634390.0
2025-05-19,39.25,39.59,39.13,39.51,1197067.0
2025-05-20,39.38,39.53,38.99,39.07,1373466.0
2025-05-21,38.98,39.0,37.56,37.59,2041461.0
2025-05-22,37.53,37.8,37.29,37.51,2781763.0
2025-05-23,36.76,37.38,36.64,37.2,1413255.0
2025-05-27,37.75,38.14,37.37,38.14,2071090.0
2025-05-28,38.09,38.29,37.79,37.82,2308888.0
2025-05-29,38.03,38.33,37.77,38.32,1819170.0
2025-05-30,38.14,38.33,37.79,38.19,2046935.0
2025-06-02,38.0,38.17,37.28,38.08,2145547.0
2025-06-03,38.0,38.97,37.81,38.89,2400517.0
2025-06-04,38.84,39.11,38.44,38.45,987604.0
2025-06-05,38.5,38.62,37.98,38.3,4085961.0
2025-06-06,38.76,39.48,38.76,39.41,1785136.0
2025-06-09,39.93,40.0,39.52,39.58,2291065.0
2025-06-10,39.93,40.06,39.39,39.78,3424513.0
2025-06-11,39.97,39.97,39.01,39.14,2442775.0
2025-06-12,38.89,39.0,38.41,38.98,1830488.0
2025-06-13,38.46,38.64,37.86,37.98,1479475.0
2025-06-16,38.34,38.52,38.02,38.32,1689213.0
2025-06-17,38.25,38.47,37.88,38.11,2122619.0
2025-06-18,38.11,39.11,38.1,38.78,3099470.0
2025-06-20,39.21,39.41,38.91,39.34,3912202.0
2025-06-23,39.15,40.24,39.09,40.15,5976254.0
2025-06-24,40.33,41.2,40.33,40.59,4430513.0
2025-06-25,40.64,40.81,40.3,40.68,3653462.0
2025-06-26,40.83,41.5,40.77,41.45,4203099.0
2025-06-27,41.54,41.61,41.04,41.51,6390976.0
2025-06-30,41.34,41.57,41.06,41.13,3166578.0
2025-07-01,40.87,42.57,40.63,42.44,3097723.0
2025-07-02,42.72,43.22,42.41,43.13,3200408.0
2025-07-03,43.43,43.83,43.14,43.4,2936639.0
2025-07-07,43.27,43.65,42.81,43.07,2463595.0
2025-07-08,43.21,43.56,43.03,43.45,2261006.0
2025-07-09,43.72,43.79,43.23,43.43,3277780.0
2025-07-10,43.48,44.34,43.36,44.05,3678654.0
2025-07-11,43.69,44.08,43.43,43.76,2583189.0
2025-07-14,43.57,43.79,43.41,43.75,3454533.0
2025-07-15,43.68,43.92,42.74,42.77,5699816.0
2025-07-16,43.09,43.2,42.21,43.05,5736393.0
2025-07-17,42.91,43.12,41.97,42.61,10076845.0
2025-07-18,42.86,43.08,42.29,43.03,5052604.0
2025-07-21,43.02,43.68,42.9,42.96,4367271.0
2025-07-22,42.99,43.31,41.51,42.64,8918165.0
2025-07-23,42.88,43.03,42.32,42.74,4492882.0
2025-07-24,42.68,42.96,42.47,42.69,3047548.0
2025-07-25,42.76,42.85,42.15,42.84,3017558.0
2025-07-28,42.84,43.02,42.25,42.53,1707759.0
2025-07-29,42.85,42.88,42.47,42.64,1493665.0
2025-07-30,42.76,42.88,41.99,42.22,2238406.0
2025-07-31,42.01,42.31,41.44,41.57,2518315.0
2025-08-01,40.98,41.23,40.21,40.91,3454631.0
2025-08-04,41.06,41.54,41.0,41.43,2289526.0
2025-08-05,41.52,41.67,40.87,41.34,2139269.0
2025-08-06,41.42,41.64,41.17,41.25,2462378.0
2025-08-07,41.56,41.61,40.95,41.17,2499212.0
2025-08-08,41.51,41.74,41.05,41.64,1785896.0
2025-08-11,41.64,41.84,41.15,41.27,2131201.0
2025-08-12,41.61,42.27,41.41,42.24,2260099.0
2025-08-13,42.41,43.01,42.11,42.98,1850163.0
2025-08-14,42.76,43.25,42.49,43.18,1569384.0
2025-08-15,43.29,43.35,42.45,42.48,2135772.0
2025-08-18,42.36,42.83,42.26,42.77,1414764.0
2025-08-19,42.74,43.13,42.5,42.8,1691914.0
2025-08-20,42.84,43.18,42.64,43.1,1493545.0
2025-08-21,42.93,43.0,42.69,42.88,1391018.0
2025-08-22,43.11,44.81,43.11,44.79,2424120.0
2025-08-25,44.66,44.78,44.25,44.36,2312208.0
2025-08-26,44.21,45.02,44.11,45.0,1345788.0
2025-08-27,44.99,45.69,44.91,45.51,2187865.0
2025-08-28,45.73,45.84,45.36,45.6,1890122.0
2025-08-29,45.56,45.93,45.54,45.77,1513758.0
2025-09-02,45.37,45.61,44.98,45.57,3322751.0
2025-09-03,45.57,45.96,45.21,45.58,2164708.0
2025-09-04,45.85,46.29,45.6,46.26,1886043.0
2025-09-05,46.4,46.6,45.53,45.62,2534016.0
2025-09-08,45.7,45.7,44.76,45.49,3468789.0
2025-09-09,45.43,45.88,45.23,45.42,2696691.0
2025-09-10,45.2,46.5,45.2,45.51,4716498.0
2025-09-11,45.53,45.65,45.04,45.27,2578029.0
2025-09-12,45.26,45.7,45.14,45.56,2112806.0
2025-09-15,45.67,45.79,45.28,45.36,2699742.0
2025-09-16,45.43,45.53,44.5,45.0,2813939.0
2025-09-17,45.09,46.29,45.09,45.91,3017353.0
2025-09-18,46.11,46.48,45.71,46.28,1945932.0
2025-09-19,46.38,46.49,45.89,46.08,2905822.0
2025-09-22,45.66,45.86,44.76,44.95,3032702.0
2025-09-23,45.02,45.68,44.9,45.14,1707417.0
2025-09-24,45.08,45.52,44.81,45.17,1681350.0
2025-09-25,45.16,45.4,44.89,45.28,2020566.0
2025-09-26,45.54,45.98,45.32,45.43,1165877.0
2025-09-29,45.57,45.57,44.98,45.4,1313014.0
2025-09-30,44.93,45.17,43.76,44.55,2417387.0
2025-10-01,44.37,44.75,44.18,44.35,2034578.0
2025-10-02,44.29,44.48,43.87,44.22,1947486.0
2025-10-03,44.34,44.76,43.97,44.41,1195050.0
2025-10-06,44.06,45.33,43.08,43.79,27043544.0
2025-10-07,44.11,44.67,43.34,43.68,9044309.0
2025-10-08,43.71,44.46,43.35,43.54,7927600.0
2025-10-09,43.59,44.21,43.46,43.79,7389902.0
2025-10-10,44.06,44.11,41.43,41.47,4701235.0
2025-10-13,42.12,42.43,41.8,42.2,3238807.0
2025-10-14,42.19,43.71,42.01,43.41,4752363.0
2025-10-15,43.59,43.66,42.53,42.92,5832226.0
2025-10-16,42.68,43.0,40.04,40.36,10367896.0
2025-10-17,41.87,42.23,40.65,40.89,9082891.0
2025-10-20,41.16,41.9,41.02,41.8,7212707.0
2025-10-21,41.7,42.58,41.6,42.17,5427869.0
2025-10-22,41.98,42.44,41.57,41.69,3925603.0
2025-10-23,41.86,42.4,41.58,42.07,4273664.0
2025-10-24,42.32,43.03,42.29,42.63,3680212.0
2025-10-27,42.86,42.99,42.16,42.45,3789623.0
2025-10-28,42.48,42.5,42.01,42.27,2568189.0
2025-10-29,42.0,42.49,41.42,41.77,3491509.0
2025-10-30,41.67,42.75,41.59,41.95,2033774.0
2025-10-31,41.69,41.92,41.19,41.62,2937453.0
2025-11-03,41.44,41.61,40.97,41.53,5055815.0
2025-11-04,41.31,42.22,40.94,42.15,7745379.0
2025-11-05,42.1,42.64,41.8,42.51,3423114.0
2025-11-06,42.48,42.79,42.13,42.54,3081125.0
2025-11-07,42.4,42.93,42.08,42.87,3944443.0
2025-11-10,42.87,43.4,42.75,43.13,4951799.0
2025-11-11,43.07,43.5,42.86,42.99,3908346.0
2025-11-12,43.15,43.71,42.95,43.21,4807823.0
2025-11-13,43.06,43.38,42.32,42.44,4224096.0
2025-11-14,42.24,42.63,41.8,42.57,2522414.0
2025-11-17,42.59,42.6,40.92,41.12,5323168.0
2025-11-18,41.06,41.65,40.68,41.34,3652310.0
2025-11-19,41.45,41.64,40.98,41.48,2837884.0
2025-11-20,41.96,42.48,41.16,41.28,4925162.0
2025-11-21,41.56,42.71,41.32,42.42,3832576.0
2025-11-24,42.33,42.46,41.87,42.33,2865384.0
2025-11-25,42.52,43.4,42.52,43.28,2135407.0
2025-11-26,43.18,43.69,43.11,43.33,2119575.0
2025-11-28,43.32,43.61,43.16,43.46,1025992.0
