date,open,high,low,close,volume
2025-02-26,153.78,167.96,153.78,156.84,4716820.0
2025-02-27,155.88,160.92,140.84,141.18,2838300.0
2025-02-28,141.18,141.32,133.9,136.18,3545374.0
2025-03-03,135.28,136.0,126.54,127.63,2935073.0
2025-03-04,125.49,135.68,124.96,131.23,2791250.0
2025-03-05,131.61,132.46,129.22,130.9,1475858.0
2025-03-06,128.65,133.75,127.4,131.13,1415283.0
2025-03-07,130.96,139.72,130.91,139.13,2123930.0
2025-03-10,137.36,139.74,132.12,133.11,2047039.0
2025-03-11,135.29,140.95,135.0,139.1,1606323.0
2025-03-12,139.71,140.98,134.4,136.04,1126792.0
2025-03-13,135.07,138.81,131.79,132.81,923084.0
2025-03-14,136.02,136.02,131.52,132.51,1267504.0
2025-03-17,133.42,135.7,132.06,133.03,1351096.0
2025-03-18,131.51,132.01,125.67,127.34,1790426.0
2025-03-19,127.89,131.26,127.5,129.34,1042852.0
2025-03-20,127.97,130.99,126.6,128.46,997607.0
2025-03-21,129.32,131.65,127.8,131.32,1914319.0
2025-03-24,133.71,135.0,128.68,128.82,1870566.0
2025-03-25,128.64,133.33,128.18,131.46,1863144.0
2025-03-26,131.07,132.5,124.53,126.34,2214862.0
2025-03-27,125.49,130.96,124.32,126.6,1601255.0
2025-03-28,126.02,129.2,124.32,127.32,1788549.0
2025-03-31,125.33,127.1,120.6,126.43,1982699.0
2025-04-01,126.11,127.77,122.36,127.57,1745200.0
2025-04-02,127.09,129.97,125.55,129.82,1017959.0
2025-04-03,128.85,140.52,128.57,136.23,5913837.0
2025-04-04,134.48,134.87,125.36,128.69,2634302.0
2025-04-07,126.16,140.13,126.0,130.05,2971303.0
2025-04-08,135.47,137.24,118.57,120.38,2487146.0
2025-04-09,120.82,130.31,116.56,129.63,3565683.0
2025-04-10,125.73,125.73,117.65,122.19,2106301.0
2025-04-11,122.97,126.33,120.15,125.93,1190286.0
2025-04-14,129.11,133.15,126.45,131.26,1350265.0
2025-04-15,131.21,134.03,126.0,126.82,1393072.0
2025-04-16,126.06,128.7,121.83,124.38,1064549.0
2025-04-17,124.59,128.38,123.2,127.98,1138752.0
2025-04-21,126.46,126.51,120.43,122.45,944242.0
2025-04-22,131.5,141.46,129.33,135.35,4970905.0
2025-04-23,138.07,138.11,129.94,131.1,2020179.0
2025-04-24,133.0,137.7,131.84,136.44,1203270.0
2025-04-25,135.01,142.2,134.92,141.86,1476602.0
2025-04-28,143.65,144.63,138.56,140.73,1323568.0
2025-04-29,140.72,144.0,136.82,137.24,2566179.0
2025-04-30,120.76,127.6,119.09,125.82,8246079.0
2025-05-01,127.94,130.07,126.32,126.57,2570527.0
2025-05-02,127.68,132.27,125.55,130.54,1822906.0
2025-05-05,128.65,129.23,122.47,127.16,2235364.0
2025-05-06,127.0,130.79,126.23,126.76,1334856.0
2025-05-07,125.98,130.0,125.8,129.78,1095544.0
2025-05-08,130.34,135.3,127.32,133.76,2535576.0
2025-05-09,134.17,143.61,133.75,140.68,3485291.0
2025-05-12,148.94,156.89,142.57,156.21,7435691.0
2025-05-13,176.9,195.44,175.24,191.6,12930044.0
2025-05-14,190.48,198.87,186.84,192.98,4922631.0
2025-05-15,190.5,190.83,180.92,186.18,3315883.0
2025-05-16,187.22,188.0,175.57,178.46,3101708.0
2025-05-19,171.4,174.08,160.77,164.92,6931791.0
2025-05-20,165.37,172.89,164.7,167.22,3651153.0
2025-05-21,161.56,164.82,159.61,163.37,2475380.0
2025-05-22,159.95,161.0,152.72,156.35,4321001.0
2025-05-23,154.01,161.62,152.59,158.38,1897217.0
2025-05-27,158.55,158.69,153.78,155.73,1984939.0
2025-05-28,155.5,157.33,153.86,156.45,1132215.0
2025-05-29,158.0,159.38,153.77,155.95,1364638.0
2025-05-30,155.75,160.64,154.19,158.08,2197845.0
2025-06-02,158.21,158.82,148.8,149.65,2459746.0
2025-06-03,149.08,159.65,145.89,159.37,2401636.0
2025-06-04,159.9,163.17,156.25,159.81,1642723.0
2025-06-05,160.65,167.2,157.76,163.84,2055733.0
2025-06-06,165.14,166.92,162.5,166.35,1076659.0
2025-06-09,167.52,168.63,160.09,160.16,1233823.0
2025-06-10,162.47,164.94,159.85,164.62,1204992.0
2025-06-11,169.99,174.44,166.72,167.86,2016222.0
