date,open,high,low,close,volume
2025-02-26,108.46,110.29,107.83,109.02,2031468.0
2025-02-27,109.98,111.31,107.0,107.09,2190340.0
2025-02-28,107.34,108.26,105.89,108.01,1783201.0
2025-03-03,108.82,110.67,106.04,106.54,2648908.0
2025-03-04,106.81,107.71,103.93,106.48,3010343.0
2025-03-05,105.38,107.5,103.72,106.8,2457103.0
2025-03-06,105.65,106.68,101.5,101.72,2249427.0
2025-03-07,102.0,102.35,98.05,101.28,3251374.0
2025-03-10,99.32,99.54,95.71,96.04,2821611.0
2025-03-11,96.43,99.94,95.5,98.28,2501772.0
2025-03-12,99.64,100.85,97.61,97.93,1951647.0
2025-03-13,97.4,97.5,93.27,93.42,2116596.0
2025-03-14,94.64,96.69,94.0,96.25,1830020.0
2025-03-17,95.74,97.49,95.58,96.67,2007481.0
2025-03-18,96.24,97.29,94.81,96.91,1413213.0
2025-03-19,97.33,99.18,97.06,98.17,1536945.0
2025-03-20,97.14,99.59,97.11,98.45,1893324.0
2025-03-21,97.33,98.73,95.94,98.65,2054911.0
2025-03-24,100.0,100.29,98.81,99.79,1733380.0
2025-03-25,99.72,102.22,99.54,102.09,1497644.0
2025-03-26,101.62,102.34,100.41,101.01,1458743.0
2025-03-27,100.26,100.97,98.99,99.54,1750792.0
2025-03-28,99.07,99.48,95.37,96.6,2045035.0
2025-03-31,94.46,96.97,93.26,96.26,2464573.0
2025-04-01,95.22,96.83,94.54,96.67,2050697.0
2025-04-02,95.28,98.4,95.0,98.08,1547080.0
2025-04-03,92.76,93.48,89.33,89.44,4428371.0
2025-04-04,86.59,87.79,84.28,84.71,5696834.0
2025-04-07,82.51,91.38,81.7,88.0,6253048.0
2025-04-08,91.66,91.92,86.82,88.15,4747100.0
2025-04-09,88.81,100.5,87.83,99.93,4288235.0
2025-04-10,97.26,98.19,93.58,96.32,3364759.0
2025-04-11,96.47,98.18,94.97,97.73,2628634.0
2025-04-14,99.89,100.5,95.36,96.85,2027332.0
