date,open,high,low,close,volume
2025-02-26,60.26,60.83,59.83,60.2,2511821.0777807273
2025-02-27,60.27,60.92,59.94,59.97,1788498.8054154501
2025-02-28,60.11,60.27,59.19,59.93,2318606.318024954
2025-03-03,60.22,60.83,59.17,59.52,2381249.004512875
2025-03-04,59.01,59.19,57.79,58.17,1864877.8869126628
2025-03-05,58.34,59.31,58.22,58.85,2060094.2394478365
2025-03-06,58.39,58.61,57.67,58.16,1895825.5906556943
2025-03-07,57.51,58.07,56.93,57.71,2523846.5622511283
2025-03-10,56.88,57.13,56.02,56.44,2096088.399256703
2025-03-11,56.51,56.64,55.47,55.9,2096989.6469338997
2025-03-12,56.25,56.62,55.45,55.66,1907981.1521104327
2025-03-13,55.47,55.53,54.07,54.11,1770966.2861693655
2025-03-14,55.0,55.64,54.47,55.53,1318565.1712237855
2025-03-17,55.45,56.54,55.23,56.31,897273.6925935758
2025-03-18,56.11,56.24,55.72,56.04,1344611.0963631538
2025-03-19,56.05,57.01,55.96,56.69,868374.0376957792
2025-03-20,56.26,56.72,55.87,56.25,1215334.4836740112
2025-03-21,55.66,56.41,55.21,56.35,1948733.740376958
2025-03-24,56.87,57.43,56.75,57.19,1344585.8773559863
2025-03-25,57.41,57.51,56.77,57.24,1006478.630209716
2025-03-26,57.22,57.67,56.43,56.65,621140.1645872047
2025-03-27,56.45,56.89,55.97,56.2,923214.7597557738
2025-03-28,56.2,56.22,54.62,54.72,1039507.5657021503
2025-03-31,54.12,55.31,53.83,55.13,2044875.2322803293
2025-04-01,55.13,55.5,54.59,55.37,1392620.1221130874
2025-04-02,54.8,56.14,54.76,55.97,704050.9689408017
2025-04-03,53.68,54.05,50.85,50.94,3211215.8216087073
2025-04-04,49.45,49.63,47.65,48.32,3955714.0960976905
2025-04-07,47.32,50.27,46.52,48.71,3677168.834616406
2025-04-08,49.54,50.23,46.48,47.15,3374300.5043801437
2025-04-09,46.05,51.41,45.49,51.05,6597699.761083091
2025-04-10,50.13,50.37,46.88,48.04,4920418.104592514
2025-04-11,47.91,49.35,46.82,48.96,3610649.0576055218
2025-04-14,49.54,50.08,49.19,49.73,1763853.198831962
2025-04-15,49.79,50.2,49.29,49.57,1493725.7764799576
2025-04-16,49.5,49.91,48.19,48.97,2028984.6031324663
2025-04-17,49.14,49.61,49.06,49.3,1103697.9028404567
2025-04-21,48.69,48.89,47.55,48.22,1846624.6349880542
2025-04-22,48.9,49.79,48.66,49.72,1388009.0257499337
2025-04-23,51.28,52.06,50.37,50.52,1200096.89408017
2025-04-24,50.48,52.02,50.36,51.92,1101809.131935227
2025-04-25,51.72,52.48,51.43,51.92,1517345.3676665782
2025-04-28,51.94,52.46,51.18,51.84,1329466.4189009822
2025-04-29,51.8,52.26,51.53,52.05,1541387.045394213
2025-04-30,51.97,52.62,51.06,52.5,1847925.4048314309
2025-05-01,49.18,50.6,48.96,50.31,11377644.01380409
2025-05-02,51.27,51.62,50.37,50.89,5454422.617467481
2025-05-05,50.67,51.28,50.42,50.92,3350469.8699230156
2025-05-06,50.19,51.4,50.19,50.67,3144422.6174674807
2025-05-07,51.04,51.82,50.89,51.25,3089466.4189009825
2025-05-08,51.71,53.07,51.71,52.61,2852398.4603132466
2025-05-09,52.81,53.33,52.63,53.13,3043099.28324927
2025-05-12,55.06,55.97,55.06,55.56,3509985.3995221662
2025-05-13,55.49,56.26,55.38,55.49,2520653.039554022
2025-05-14,55.28,55.61,54.76,54.77,1770714.0960976905
2025-05-15,54.65,54.98,54.38,54.61,3549267.3214759757
2025-05-16,54.52,55.21,54.29,55.14,2750667.6400318556
2025-05-19,54.27,54.84,54.27,54.71,4015995.4871250335
2025-05-20,54.46,54.7,54.08,54.21,3432889.5672949296
2025-05-21,53.82,54.04,52.79,52.81,2410974.250066366
2025-05-22,52.64,53.26,52.56,52.85,1865829.5726041945
2025-05-23,51.95,52.81,51.95,52.49,2715039.8194850013
2025-05-27,53.17,53.39,52.72,53.39,5009917.706397664
2025-05-28,54.37,54.66,53.64,53.88,5056559.596495885
2025-05-29,54.25,54.27,53.19,53.54,2034012.4767719673
2025-05-30,53.33,53.48,52.47,52.88,2399929.6522431644
2025-06-02,52.54,53.03,51.66,52.93,2768980.6211839663
2025-06-03,53.09,55.21,53.09,54.35,3478914.2553756307
2025-06-04,54.49,54.63,54.15,54.18,1476639.235465888
2025-06-05,54.43,54.53,53.83,54.06,1150507.0347756837
2025-06-06,54.88,55.41,54.78,55.02,1543903.636846297
2025-06-09,55.18,55.58,55.04,55.16,2182075.922484736
2025-06-10,55.0,55.31,53.34,54.74,3374620.3875763207
2025-06-11,54.79,55.1,53.56,53.72,2205972.922750199
2025-06-12,53.27,53.66,52.93,53.45,1207269.7106450757
2025-06-13,52.69,53.06,51.98,52.31,2639135.9171754713
2025-06-16,53.06,53.69,52.84,53.31,1477037.4303159013
2025-06-17,52.93,53.27,52.33,52.44,1420238.916910008
2025-06-18,52.44,53.17,52.38,52.61,1233036.8993894346
2025-06-20,52.95,53.23,52.28,52.47,1508735.0676931245
2025-06-23,52.35,52.99,51.89,52.98,1487498.00902575
2025-06-24,53.22,53.49,52.98,53.24,2137198.0355720734
2025-06-25,53.3,53.31,52.66,52.8,1855962.3042208655
2025-06-26,53.11,53.79,52.79,53.66,1249473.0554818157
2025-06-27,53.78,54.13,53.6,53.94,1926010.087602867
2025-06-30,52.05,52.39,50.0,52.13,6193441.0
2025-07-01,52.07,54.24,51.25,53.16,4091563.0
2025-07-02,53.26,53.56,52.94,53.34,2946564.0
2025-07-03,53.5,53.75,52.83,53.05,1021433.0
2025-07-07,52.79,53.28,52.61,53.0,3730428.0
2025-07-08,53.17,53.51,52.68,52.8,1894238.0
2025-07-09,52.8,53.03,52.4,52.99,1656039.0
2025-07-10,53.13,53.5,52.83,53.06,3519903.0
2025-07-11,52.59,52.81,52.4,52.69,2522777.0
2025-07-14,52.27,52.5,51.86,52.17,1695869.0
2025-07-15,51.76,52.32,51.09,51.15,2860126.0
2025-07-16,51.17,51.44,50.06,50.32,3094782.0
2025-07-17,50.5,51.31,50.34,51.27,2952457.0
2025-07-18,51.47,51.5,50.23,50.53,1545698.0
2025-07-21,50.72,50.91,50.06,50.14,1765803.0
2025-07-22,50.13,51.1,50.01,51.08,1518365.0
2025-07-23,51.43,51.43,50.95,51.11,1429097.0
2025-07-24,51.0,51.47,49.66,51.06,1214715.0
2025-07-25,51.15,51.54,50.82,51.52,1719660.0
2025-07-28,51.56,51.9,51.09,51.26,1830482.0
2025-07-29,51.41,51.54,50.5,50.92,2200743.0
2025-07-30,52.86,52.86,49.26,49.65,6553933.0
2025-07-31,48.99,49.31,47.83,47.93,2548703.0
2025-08-01,47.03,47.3,46.47,46.55,2636332.0
2025-08-04,46.73,47.31,46.34,47.22,3851071.0
2025-08-05,48.22,48.96,47.85,48.4,5425437.0
2025-08-06,48.53,48.66,47.46,47.59,3450092.0
2025-08-07,48.15,48.28,47.33,47.45,1998132.0
2025-08-08,47.46,47.71,46.99,47.1,2504622.0
2025-08-11,47.19,47.41,46.34,46.72,2522157.0
2025-08-12,47.05,47.8,46.9,47.65,3589175.0
2025-08-13,47.86,48.87,47.61,48.73,4289688.0
2025-08-14,47.94,48.22,47.58,47.8,2503607.0
2025-08-15,48.01,48.37,47.77,48.16,3939817.0
2025-08-18,48.13,48.42,47.75,47.75,2029144.0
2025-08-19,47.97,48.73,47.79,48.16,1334608.0
2025-08-20,48.2,48.51,47.68,48.04,5175187.0
2025-08-21,48.0,48.71,47.62,47.76,2686682.0
