date,open,high,low,close,volume
2025-02-26,110.54,111.07,108.8,110.46,3041290.0
2025-02-27,110.33,112.57,110.05,111.99,3221263.0
2025-02-28,112.15,114.77,111.81,114.31,4917933.0
2025-03-03,114.91,117.16,114.68,115.99,5910696.0
2025-03-04,117.19,117.39,113.58,114.74,6726482.0
2025-03-05,114.92,117.21,114.5,115.44,4461639.0
2025-03-06,115.55,116.31,114.61,116.04,3931131.0
2025-03-07,115.65,118.42,114.79,117.41,7603564.0
2025-03-10,117.0,119.96,116.78,117.21,5130108.0
2025-03-11,116.92,116.98,113.92,114.43,6518795.0
2025-03-12,113.15,114.87,112.82,113.99,4634994.0
2025-03-13,113.79,115.47,112.7,113.35,4015394.0
2025-03-14,112.89,113.36,110.89,111.44,4255432.0
2025-03-17,110.53,112.56,109.46,112.26,4879313.0
2025-03-18,112.19,112.2,109.84,110.23,5426081.0
2025-03-19,109.64,109.72,105.8,107.51,6683742.0
2025-03-20,106.83,106.83,104.7,105.87,6186515.0
2025-03-21,105.0,107.42,104.91,107.08,7021212.0
2025-03-24,107.17,107.39,106.09,106.74,3980197.0
2025-03-25,106.74,107.95,106.3,107.89,4406087.0
2025-03-26,107.99,110.46,107.9,109.27,3962299.0
2025-03-27,110.0,111.81,109.73,111.16,3150750.0
2025-03-28,111.15,112.38,109.64,111.79,4384152.0
2025-03-31,109.67,112.46,109.6,112.05,4018449.0
2025-04-01,112.0,112.86,110.7,111.28,3419567.0
2025-04-02,111.08,112.02,110.47,111.89,4626657.0
2025-04-03,113.02,114.75,112.28,112.39,5417571.0
2025-04-04,110.51,112.87,107.11,107.25,7301949.0
2025-04-07,105.42,109.0,103.32,105.52,7404195.0
2025-04-08,105.88,107.47,101.79,103.19,5504512.0
2025-04-09,97.93,107.46,97.32,105.25,10905958.0
2025-04-10,104.82,105.0,99.25,101.4,8389763.0
2025-04-11,102.18,104.79,100.76,103.63,4535034.0
2025-04-14,103.98,107.18,103.97,106.5,3558121.0
2025-04-15,106.4,106.5,104.87,105.68,4399835.0
2025-04-16,105.94,106.4,104.35,104.88,3839433.0
2025-04-17,104.74,105.75,103.52,104.54,4954325.0
2025-04-21,104.5,105.23,103.09,104.33,4329390.0
