date,open,high,low,close,volume
2025-02-26,61.1,61.27,59.07,59.29,3447024.0
2025-02-27,59.0,60.02,58.69,59.98,2309376.0
2025-02-28,60.73,61.17,60.06,60.62,2514283.0
2025-03-03,60.53,62.19,60.11,62.07,2155231.0
2025-03-04,62.62,64.31,61.09,61.14,3526837.0
2025-03-05,60.6,61.73,60.3,60.96,2289687.0
2025-03-06,61.42,62.64,60.79,62.22,2266601.0
2025-03-07,61.6,66.06,61.6,64.5,5443495.0
2025-03-10,65.34,67.35,65.08,65.3,5743407.0
2025-03-11,64.68,64.95,62.11,62.33,3949800.0
2025-03-12,61.14,61.54,60.0,60.03,2935229.0
2025-03-13,60.36,61.27,59.62,59.85,2334801.0
2025-03-14,59.1,60.23,58.95,59.56,3409617.0
2025-03-17,59.89,61.25,59.7,60.94,2690235.0
2025-03-18,60.94,61.46,60.24,60.44,4995412.0
2025-03-19,59.36,60.45,58.09,59.2,6229695.0
2025-03-20,59.37,59.4,57.99,58.31,4409076.0
2025-03-21,58.4,59.26,58.1,58.64,6076331.0
2025-03-24,58.0,59.09,57.78,58.17,3211124.0
2025-03-25,58.47,58.47,57.62,57.79,2757189.0
2025-03-26,57.94,59.3,57.83,59.07,2971940.0
2025-03-27,59.53,60.03,59.32,59.66,2251258.0
2025-03-28,60.01,60.47,58.97,59.11,3689041.0
2025-03-31,59.73,60.65,59.56,59.79,2320999.0
2025-04-01,60.08,60.28,59.14,59.72,2230682.0
2025-04-02,60.07,60.22,58.78,59.19,2142069.0
2025-04-03,60.05,61.36,59.87,60.97,5092407.0
2025-04-04,61.0,62.61,59.32,59.61,4312705.0
2025-04-07,58.75,60.15,58.03,58.63,4440060.0
2025-04-08,59.03,59.49,56.13,56.7,6780612.0
2025-04-09,56.08,58.4,55.48,58.06,4710886.0
2025-04-10,57.45,58.15,56.24,57.17,2815176.0
2025-04-11,57.45,58.27,56.86,57.97,2393940.0
2025-04-14,57.96,59.21,57.4,59.0,2656984.0
2025-04-15,59.0,59.06,57.59,57.85,2079768.0
2025-04-16,58.39,58.47,56.21,56.47,2489155.0
2025-04-17,56.71,57.79,56.45,57.51,1912751.0
2025-04-21,57.38,57.74,57.17,57.67,2411385.0
2025-04-22,57.72,58.45,57.37,58.06,1719135.0
2025-04-23,57.58,57.85,56.76,57.28,2012763.0
2025-04-24,57.2,57.37,56.23,56.39,2114339.0
2025-04-25,56.59,56.62,55.37,56.14,2492967.0
2025-04-28,56.08,56.37,55.36,55.75,2315199.0
2025-04-29,55.86,56.23,55.01,56.15,1990680.0
2025-04-30,56.65,57.08,55.96,56.74,2612397.0
2025-05-01,56.18,56.26,55.51,55.58,2569074.0
2025-05-02,55.8,55.93,55.08,55.43,2004414.0
2025-05-05,55.39,55.46,54.49,55.05,2287218.0
2025-05-06,54.91,55.16,54.42,54.56,2458311.0
2025-05-07,54.52,54.75,53.82,54.44,3169375.0
2025-05-08,54.42,55.24,54.25,54.71,2080609.0
2025-05-09,54.74,55.13,54.44,54.5,3004361.0
2025-05-12,54.64,55.28,54.11,54.84,2658903.0
2025-05-13,54.84,54.87,53.35,53.77,3916207.0
2025-05-14,53.69,53.72,52.93,53.28,3365938.0
2025-05-15,53.62,54.45,53.31,54.4,2194114.0
2025-05-16,54.57,55.2,54.17,55.13,2231161.0
2025-05-19,55.0,55.04,54.66,54.83,2665109.0
2025-05-20,54.93,55.35,54.69,54.79,2970847.0
2025-05-21,54.7,54.79,53.19,53.36,3548541.0
2025-05-22,53.26,53.63,52.39,53.34,3243023.0
2025-05-23,53.51,53.56,52.69,53.38,2464930.0
2025-05-27,53.55,54.22,53.34,54.13,2434034.0
2025-05-28,53.85,54.3,53.24,53.37,2042160.0
2025-05-29,53.25,54.02,53.01,53.99,1876369.0
2025-05-30,54.13,54.47,53.83,54.26,2430370.0
2025-06-02,53.83,54.15,53.38,54.13,2264837.0
2025-06-03,53.84,54.47,53.29,54.31,2040268.0
2025-06-04,54.54,54.97,54.25,54.61,2576979.0
2025-06-05,54.5,54.67,54.06,54.55,1948377.0
2025-06-06,54.59,55.09,54.43,54.77,1799818.0
2025-06-09,54.59,55.08,54.27,54.8,2955145.0
2025-06-10,54.84,55.19,54.12,54.5,3134654.0
2025-06-11,54.67,54.67,53.96,54.23,2367215.0
2025-06-12,54.34,54.75,53.61,54.74,2154377.0
2025-06-13,54.71,55.13,53.37,53.56,2375885.0
2025-06-16,53.79,53.88,52.98,53.53,2231978.0
2025-06-17,53.5,54.05,52.98,53.08,3541416.0
2025-06-18,53.03,53.23,52.67,52.96,3859251.0
2025-06-20,53.16,53.48,52.64,52.99,4520145.0
2025-06-23,53.2,53.77,52.82,53.47,4318843.0
2025-06-24,53.29,53.69,53.06,53.41,4297293.0
2025-06-25,52.11,53.19,50.66,50.68,9084140.0
2025-06-26,51.06,52.06,50.24,50.37,4966343.0
2025-06-27,50.48,51.01,50.19,50.52,5563611.0
2025-06-30,50.63,51.89,50.5,51.81,4431456.0
2025-07-01,51.79,53.85,51.75,53.19,4726518.0
2025-07-02,53.27,54.18,53.02,53.83,6007510.0
2025-07-03,53.91,54.02,52.91,53.15,2261459.0
2025-07-07,53.02,53.25,51.63,51.84,5104980.0
2025-07-08,51.64,52.51,51.41,51.84,2930433.0
2025-07-09,51.85,52.07,50.84,51.2,3596136.0
2025-07-10,50.23,51.73,49.86,51.36,4886556.0
2025-07-11,51.01,51.82,50.72,51.58,3119801.0
2025-07-14,51.48,51.7,50.73,50.97,2870622.0
2025-07-15,50.86,50.94,49.99,50.01,2710211.0
2025-07-16,49.95,50.27,49.62,50.09,3434040.0
2025-07-17,50.36,51.04,49.98,50.29,3772480.0
2025-07-18,50.55,50.76,50.08,50.1,2616376.0
2025-07-21,50.28,50.53,49.04,49.18,4090750.0
2025-07-22,49.26,50.99,49.21,50.95,3899155.0
