date,open,high,low,close,volume
2025-02-26,50.34,50.87,49.77,50.01,3029889.0
2025-02-27,50.15,50.58,48.91,49.0,2510486.0
2025-02-28,48.73,50.26,48.32,50.15,3221806.0
2025-03-03,50.47,50.6,47.94,48.25,2649993.0
2025-03-04,47.25,47.43,45.69,46.49,5757313.0
2025-03-05,46.87,47.36,46.38,47.04,3410703.0
2025-03-06,46.24,46.99,45.4,45.51,3246136.0
2025-03-07,45.4,45.95,44.1,45.93,3224808.0
2025-03-10,44.67,45.4,44.27,45.01,3385442.0
2025-03-11,44.81,45.71,44.33,44.91,4102691.0
2025-03-12,45.9,46.25,44.87,45.4,4136028.0
2025-03-13,45.68,45.97,45.01,45.6,3632289.0
2025-03-14,46.19,47.08,45.76,46.75,3815835.0
2025-03-17,46.73,47.29,46.18,46.86,4429906.0
2025-03-18,47.16,48.29,46.49,47.27,7719094.0
2025-03-19,47.93,49.42,47.57,48.76,4826866.0
2025-03-20,48.1,49.32,47.92,48.67,3814666.0
2025-03-21,48.26,48.63,47.55,48.53,3662075.0
2025-03-24,49.51,50.06,49.3,49.89,3083014.0
2025-03-25,49.84,49.89,48.69,48.99,2262293.0
2025-03-26,49.14,49.25,46.94,47.1,3499141.0
2025-03-27,46.81,47.09,46.3,46.56,3406923.0
2025-03-28,46.34,46.88,45.55,45.86,2339888.0
2025-03-31,45.17,45.79,44.13,45.78,6023919.0
2025-04-01,45.5,45.93,44.76,45.54,4087359.0
2025-04-02,44.61,46.93,44.5,46.54,2869192.0
2025-04-03,44.45,44.68,42.01,42.29,5888070.0
2025-04-04,40.98,41.1,38.23,39.07,7207867.0
2025-04-07,37.84,41.58,37.31,39.61,6331976.0
2025-04-08,40.75,41.86,38.56,39.18,4936668.0
2025-04-09,39.19,43.94,38.82,43.26,5699290.0
2025-04-10,42.08,42.58,40.59,41.69,3909282.0
2025-04-11,41.3,41.89,40.58,41.26,8372742.0
2025-04-14,42.61,42.61,41.37,41.61,4900321.0
2025-04-15,41.59,42.36,41.59,41.78,2829286.0
2025-04-16,41.08,41.9,40.63,41.28,2454152.0
2025-04-17,41.64,42.04,41.3,41.52,3341377.0
2025-04-21,40.72,41.01,40.16,40.7,3338144.0
2025-04-22,41.29,42.09,41.22,41.75,3021580.0
2025-04-23,43.39,44.43,42.73,42.97,4357630.0
2025-04-24,42.8,44.05,42.77,43.88,3412298.0
2025-04-25,43.83,44.29,43.71,44.18,2176561.0
2025-04-28,44.02,44.61,43.44,44.1,3970403.0
2025-04-29,43.2,45.32,42.0,44.46,6817106.0
2025-04-30,43.73,44.49,43.48,44.38,3453549.0
2025-05-01,44.67,45.29,44.6,44.78,2995824.0
2025-05-02,45.35,45.94,45.06,45.76,2570598.0
