date,open,high,low,close,volume
2025-02-26,48.91,50.19,48.15,48.46,12433774.0
2025-02-27,47.8,48.93,47.56,47.63,6466483.0
2025-02-28,47.52,49.49,47.12,49.13,9805372.0
2025-03-03,49.98,50.5,46.74,47.38,9772129.0
2025-03-04,46.41,46.42,44.41,45.22,14180480.0
2025-03-05,46.7,49.07,46.23,48.48,18354650.0
2025-03-06,47.77,48.33,46.39,47.2,9880868.0
2025-03-07,47.78,47.82,46.04,47.44,8978667.0
2025-03-10,46.81,48.18,46.77,48.08,15345154.0
2025-03-11,48.0,48.82,46.03,48.28,14569589.0
2025-03-12,48.5,48.74,46.93,47.9,6167433.0
2025-03-13,47.77,49.27,46.87,47.11,10538954.0
2025-03-14,47.79,48.75,47.64,48.34,8425312.0
2025-03-17,48.51,49.27,48.28,49.0,8168091.0
2025-03-18,49.35,49.83,48.19,48.67,12867517.0
2025-03-19,48.83,50.21,48.7,49.79,7139622.0
2025-03-20,48.98,49.98,48.75,49.44,6310944.0
2025-03-21,48.98,50.04,48.73,49.8,8904207.0
2025-03-24,50.76,51.89,50.46,51.46,7806629.0
2025-03-25,51.5,52.76,51.5,52.59,6079526.0
2025-03-26,52.69,53.29,50.65,50.95,11571372.0
2025-03-27,46.99,48.4,46.26,47.2,24881526.0
2025-03-28,46.91,47.14,45.81,46.68,10891977.0
2025-03-31,45.66,47.27,45.61,47.03,8284692.0
2025-04-01,47.01,47.77,46.5,47.26,8188448.0
2025-04-02,46.87,48.27,46.87,47.98,8136625.0
2025-04-03,46.95,47.78,45.84,45.9,12241629.0
2025-04-04,44.46,44.73,42.73,44.18,15998666.0
2025-04-07,41.75,45.35,41.6,43.53,17565716.0
2025-04-08,44.94,45.4,41.94,42.48,10759705.0
2025-04-09,41.86,46.3,41.63,45.74,14671526.0
2025-04-10,44.16,44.46,42.62,43.73,12389600.0
2025-04-11,43.5,43.94,42.75,43.63,6293859.0
2025-04-14,43.87,45.87,43.11,45.14,15498144.0
2025-04-15,44.2,44.87,44.13,44.54,5991370.0
2025-04-16,44.36,45.06,43.89,44.22,6301666.0
2025-04-17,44.27,45.28,43.93,44.57,6313695.0
2025-04-21,44.47,44.69,43.76,44.39,3673451.0
2025-04-22,45.1,45.65,44.74,45.16,4194074.0
2025-04-23,46.5,47.42,45.68,45.84,5523214.0
2025-04-24,46.21,47.07,45.84,46.88,4402011.0
2025-04-25,46.54,47.56,46.54,47.11,5066157.0
2025-04-28,47.2,47.81,46.65,47.24,6520798.0
2025-04-29,45.91,47.46,45.34,46.94,16545729.0
2025-04-30,46.21,46.54,44.72,45.24,11567062.0
2025-05-01,46.5,46.54,44.72,45.05,9965694.0
2025-05-02,45.71,45.82,44.95,45.3,6425790.0
2025-05-05,45.28,45.75,45.15,45.38,4157236.0
2025-05-06,45.01,45.97,44.84,45.46,5840092.0
2025-05-07,45.71,45.94,44.97,45.47,4720428.0
2025-05-08,46.1,47.72,46.09,47.35,8776034.0
2025-05-09,47.56,47.97,47.25,47.5,5003412.0
2025-05-12,49.74,50.14,48.87,49.61,8152312.0
2025-05-13,49.56,50.62,49.39,50.46,6830836.0
2025-05-14,50.36,50.81,50.09,50.31,4328106.0
2025-05-15,49.79,50.24,49.58,50.12,4360515.0
2025-05-16,50.11,50.39,49.85,50.37,3551739.0
2025-05-19,49.71,50.35,49.18,50.03,6197853.0
2025-05-20,50.26,50.55,49.9,50.21,3866423.0
2025-05-21,49.88,50.54,49.29,49.37,4780873.0
2025-05-22,49.35,49.68,48.9,49.28,3189729.0
2025-05-23,48.37,49.17,48.31,48.69,2821061.0
2025-05-27,49.17,49.46,48.5,49.09,3747677.0
2025-05-28,49.09,49.09,48.01,48.13,5304269.0
2025-05-29,48.45,48.62,47.96,48.59,4591180.0
2025-05-30,48.46,49.94,48.29,49.61,6233357.0
2025-06-02,49.1,49.19,47.03,47.69,7947610.0
2025-06-03,47.55,49.14,47.28,49.06,7600589.0
2025-06-04,49.06,49.1,47.6,47.67,6737562.0
2025-06-05,47.51,47.85,46.81,47.25,6108519.0
2025-06-06,47.64,47.84,47.19,47.47,5536191.0
2025-06-09,47.87,48.57,47.73,47.93,3500725.0
2025-06-10,48.09,49.33,47.84,48.93,4695131.0
2025-06-11,49.33,50.4,49.27,49.87,6443014.0
2025-06-12,49.46,49.54,48.6,49.26,4075925.0
2025-06-13,48.62,49.18,48.4,48.65,4000834.0
2025-06-16,49.25,49.47,48.65,49.27,3675489.0
2025-06-17,48.87,49.25,48.25,48.28,4551130.0
