date,open,high,low,close,volume
2025-02-26,176.98,178.08,173.59,174.7,14175438.0
2025-02-27,175.91,176.59,169.75,170.21,13703382.0
2025-02-28,170.4,172.5,168.39,172.22,13599600.0
2025-03-03,173.71,175.0,167.64,168.66,12853137.0
2025-03-04,167.98,175.17,167.54,172.61,17977362.0
2025-03-05,172.23,175.75,170.93,174.99,10799164.0
2025-03-06,172.54,176.73,172.5,174.21,11142499.0
2025-03-07,173.33,176.9,172.25,175.75,9333001.0
2025-03-10,170.28,170.45,165.56,167.81,16839626.0
2025-03-11,166.91,168.66,163.24,165.98,13973156.0
2025-03-12,168.46,169.53,165.48,169.0,10307988.0
2025-03-13,167.95,168.12,164.07,164.73,8847868.0
2025-03-14,165.31,168.25,164.51,167.62,10434705.0
2025-03-17,167.26,168.46,165.81,166.57,9227559.0
2025-03-18,165.96,166.44,158.8,162.67,14564780.0
2025-03-19,163.92,168.14,163.05,166.28,12109803.0
2025-03-20,163.83,167.03,163.14,165.05,9940156.0
2025-03-21,163.27,166.47,163.03,166.25,11267434.0
2025-03-24,169.2,170.5,167.44,169.93,8395993.0
2025-03-25,171.18,172.91,170.55,172.79,7076189.0
2025-03-26,171.29,171.94,166.86,167.14,13847691.0
2025-03-27,166.69,167.44,163.85,164.08,12523952.0
2025-03-28,162.36,163.81,155.33,156.06,21224827.0
2025-03-31,154.8,157.13,152.21,156.23,16774129.0
2025-04-01,155.31,160.08,155.25,158.88,11835320.0
2025-04-02,156.96,160.28,156.53,158.86,9381590.0
2025-04-03,152.86,154.69,152.18,152.63,15961813.0
2025-04-04,150.11,153.09,147.54,147.74,19036551.0
2025-04-07,143.39,154.93,142.66,149.24,27127720.0
2025-04-08,153.65,154.44,145.21,146.58,19109660.0
2025-04-09,146.43,161.87,145.81,161.06,23700756.0
2025-04-10,158.79,160.03,152.2,155.37,16400197.0
2025-04-11,155.37,159.86,155.37,159.4,11471504.0
2025-04-14,162.31,164.03,159.92,161.47,9427905.0
2025-04-15,161.42,162.05,157.64,158.68,8693586.0
2025-04-16,155.46,158.18,153.91,155.5,8623947.0
2025-04-17,156.61,157.07,150.9,153.36,11140168.0
2025-04-21,150.97,151.06,148.4,149.86,7271402.0
2025-04-22,151.15,154.61,150.87,153.9,7702470.0
2025-04-23,157.93,160.02,156.35,157.72,8804882.0
2025-04-24,158.53,161.71,158.09,161.47,13238823.0
2025-04-25,167.03,168.24,163.0,163.85,22643275.0
2025-04-28,164.26,164.95,160.38,162.42,12154621.0
2025-04-29,162.1,162.68,159.39,162.06,9480103.0
2025-04-30,159.82,161.38,157.15,160.89,10231727.0
2025-05-01,162.53,163.94,160.93,162.79,11535955.0
2025-05-02,164.92,166.7,163.66,165.81,9613112.0
2025-05-05,164.65,167.1,164.47,166.05,7131273.0
2025-05-06,163.96,166.74,163.13,165.2,5893607.0
2025-05-07,165.96,166.99,149.49,152.8,54568800.0
2025-05-08,155.92,157.41,154.1,155.75,23952284.0
2025-05-09,155.55,156.43,153.83,154.38,14861855.0
2025-05-12,158.99,160.44,157.88,159.58,18967708.0
2025-05-13,159.92,162.06,157.58,160.89,14310589.0
2025-05-14,161.27,168.34,160.93,166.81,17868081.0
2025-05-15,167.14,167.51,163.84,165.4,12105045.0
2025-05-16,169.0,170.65,166.95,167.43,19375856.0
2025-05-19,165.63,167.95,165.41,167.87,10806221.0
2025-05-20,167.76,169.68,164.26,165.32,18041983.0
2025-05-21,164.95,174.53,164.88,170.06,29541338.0
2025-05-22,173.35,178.13,171.88,171.98,26768583.0
2025-05-23,170.29,171.21,169.26,169.59,12813425.0
2025-05-27,171.3,174.29,171.21,173.98,13564223.0
2025-05-28,174.13,176.48,173.01,173.38,11153881.0
2025-05-29,174.99,175.4,171.78,172.96,10716324.0
2025-05-30,172.41,173.44,168.52,172.85,14084867.0
2025-06-02,169.01,171.07,168.65,170.37,11471934.0
2025-06-03,168.87,169.8,166.68,167.71,13800621.0
2025-06-04,168.25,169.58,167.79,169.39,9285789.0
2025-06-05,171.62,172.36,169.35,169.81,11764530.0
2025-06-06,172.3,175.83,172.3,174.92,13300052.0
2025-06-09,175.75,177.92,175.66,177.63,10376234.0
2025-06-10,177.77,182.45,176.47,180.01,19629155.0
2025-06-11,181.11,181.75,178.0,178.79,10875837.0
2025-06-12,177.31,178.13,176.11,176.97,9171830.0
2025-06-13,173.58,178.35,173.57,175.88,10762875.0
2025-06-16,176.0,178.25,175.82,177.94,8406304.0
2025-06-17,177.07,178.72,175.94,177.23,7016901.0
2025-06-18,177.29,177.83,173.92,173.98,12749966.0
2025-06-20,174.87,175.37,166.27,167.73,27504615.0
2025-06-23,167.38,168.48,163.33,166.01,20248331.0
2025-06-24,167.75,169.25,166.91,167.74,14145771.0
2025-06-25,168.65,173.36,168.56,171.49,13282487.0
2025-06-26,173.39,174.65,170.86,174.43,15043226.0
2025-06-27,174.63,178.84,172.71,178.27,23917028.0
2025-06-30,180.78,181.58,175.5,177.39,23735556.0
2025-07-01,176.82,177.22,174.66,176.91,13747936.0
2025-07-02,176.55,179.94,176.09,179.76,11112153.0
2025-07-03,179.82,180.77,178.19,180.55,7678074.0
2025-07-07,180.14,180.34,176.64,177.56,13260072.0
2025-07-08,178.75,178.8,173.92,175.16,15100681.0
2025-07-09,176.12,180.28,173.88,177.66,19640119.0
2025-07-10,176.73,179.59,175.74,178.7,13568370.0
2025-07-11,177.79,182.61,177.54,181.31,14581148.0
2025-07-14,182.04,184.73,180.71,182.81,12249935.0
2025-07-15,183.9,185.41,182.77,183.1,13990917.0
2025-07-16,184.32,185.34,183.08,183.77,11746137.0
2025-07-17,183.12,185.19,181.5,184.7,12844360.0
2025-07-18,186.62,187.36,184.73,185.94,12633561.0
2025-07-21,187.11,191.26,187.05,191.15,14924936.0
2025-07-22,192.42,193.36,188.49,192.11,15179466.0
2025-07-23,192.42,193.36,190.18,191.51,14930320.0
2025-07-24,198.06,198.97,191.95,193.2,30658163.0
2025-07-25,192.92,195.28,192.13,194.08,20576956.0
2025-07-28,194.41,194.82,191.85,193.42,17386130.0
2025-07-29,193.3,196.66,192.99,196.43,17383841.0
2025-07-30,196.4,198.48,195.56,197.44,11966116.0
2025-07-31,196.59,196.82,192.08,192.86,15987178.0
2025-08-01,189.78,191.62,188.7,189.95,12336650.0
2025-08-04,191.23,196.08,190.92,195.75,12695593.0
2025-08-05,195.58,198.7,194.67,195.32,10881675.0
2025-08-06,195.3,197.36,194.46,196.92,8832431.0
2025-08-07,197.72,198.37,195.22,197.28,8589672.0
2025-08-08,197.96,203.43,197.9,202.09,15223760.0
2025-08-11,201.64,202.16,199.8,201.63,9269632.0
2025-08-12,202.09,205.13,201.4,204.16,11389363.0
2025-08-13,204.99,205.43,198.64,203.03,12341139.0
2025-08-14,202.56,205.42,202.32,203.82,9109996.0
2025-08-15,204.76,207.33,202.08,204.91,12846659.0
2025-08-18,205.18,206.14,203.41,204.29,7311752.0
2025-08-19,203.91,204.29,200.93,202.49,7520379.0
2025-08-20,201.72,202.17,197.46,200.19,8181438.0
2025-08-21,200.72,203.36,200.4,200.62,6531755.0
2025-08-22,203.98,209.23,202.13,206.72,16208078.0
