date,open,high,low,close,volume
2025-02-26,175.07,176.08,171.58,172.73,20928740.0
2025-02-27,174.0,174.56,167.94,168.5,20319153.0
2025-02-28,168.6,170.61,166.77,170.28,20014741.0
2025-03-03,171.86,173.37,165.93,167.01,18913118.0
2025-03-04,166.31,173.3,165.8,170.92,26443291.0
2025-03-05,170.52,173.78,169.06,173.02,17140030.0
2025-03-06,170.53,174.81,170.5,172.35,15786366.0
2025-03-07,171.23,174.97,170.27,173.86,15638308.0
2025-03-10,168.35,168.46,163.69,165.87,25481917.0
2025-03-11,164.99,166.75,161.37,164.04,19075381.0
2025-03-12,166.58,167.64,163.53,167.11,14727247.0
2025-03-13,166.05,166.13,162.11,162.76,14727222.0
2025-03-14,163.27,166.49,162.45,165.49,18285179.0
2025-03-17,165.03,166.3,163.67,164.29,15184907.0
2025-03-18,163.68,164.25,156.72,160.67,22701133.0
2025-03-19,161.76,165.87,161.0,163.89,17341402.0
2025-03-20,161.67,164.89,160.96,162.8,14209785.0
2025-03-21,161.24,164.24,160.89,163.99,16637349.0
2025-03-24,167.05,168.32,165.14,167.68,14627994.0
2025-03-25,168.98,170.63,168.31,170.56,13608834.0
2025-03-26,169.0,169.61,164.84,165.06,15367386.0
2025-03-27,164.63,165.42,162.0,162.24,14236165.0
2025-03-28,160.49,161.82,153.63,154.33,27280869.0
2025-03-31,153.08,155.54,150.66,154.64,26569564.0
2025-04-01,153.75,158.1,153.62,157.07,17516607.0
2025-04-02,155.14,158.41,154.7,157.04,14009567.0
2025-04-03,151.11,152.78,150.39,150.72,25218116.0
2025-04-04,148.01,151.07,145.38,145.6,33586467.0
2025-04-07,141.55,152.85,140.53,146.75,42152814.0
2025-04-08,151.22,152.24,143.03,144.7,28860431.0
2025-04-09,144.42,159.55,143.9,158.71,38903183.0
2025-04-10,156.59,157.72,149.96,152.82,25796572.0
2025-04-11,152.94,157.67,152.82,157.14,17321869.0
2025-04-14,160.0,161.72,157.56,159.07,17339651.0
2025-04-15,159.12,159.65,155.21,156.31,15612971.0
2025-04-16,153.1,155.89,151.51,153.33,13878707.0
2025-04-17,154.29,154.68,148.5,151.16,18513265.0
2025-04-21,148.88,148.95,146.1,147.67,12857787.0
2025-04-22,148.89,152.19,148.54,151.47,13470870.0
2025-04-23,155.61,157.53,153.81,155.35,16777898.0
2025-04-24,156.12,159.59,155.79,159.28,19658061.0
2025-04-25,165.07,166.1,161.04,161.96,35716556.0
2025-04-28,162.43,163.15,158.6,160.61,18943777.0
2025-04-29,160.27,160.74,157.52,160.16,16702332.0
2025-04-30,157.93,159.27,155.4,158.8,16295723.0
2025-05-01,160.48,161.95,158.91,161.3,16423406.0
2025-05-02,163.36,164.97,161.87,164.03,14078946.0
2025-05-05,163.0,165.39,162.71,164.21,10176032.0
2025-05-06,162.17,164.8,161.19,163.23,8520797.0
2025-05-07,164.08,165.0,147.84,151.38,90163076.0
2025-05-08,154.73,155.93,152.9,154.28,34483551.0
2025-05-09,154.19,155.05,152.2,152.75,20092035.0
2025-05-12,157.51,159.1,156.25,158.46,26532616.0
2025-05-13,158.77,160.57,156.16,159.53,26503533.0
2025-05-14,159.96,167.0,159.61,165.37,29158170.0
2025-05-15,165.84,166.21,162.37,163.96,18653675.0
2025-05-16,167.7,169.35,165.62,166.19,23433638.0
2025-05-19,164.59,166.64,164.22,166.54,18359160.0
2025-05-20,166.52,168.5,162.9,163.98,31185156.0
2025-05-21,163.72,173.14,163.56,168.56,50409757.0
2025-05-22,171.8,176.77,170.71,170.87,49398920.0
2025-05-23,169.06,169.96,167.89,168.47,20994646.0
2025-05-27,170.16,173.13,170.0,172.9,22618472.0
2025-05-28,173.06,175.27,171.91,172.36,16476182.0
2025-05-29,174.0,174.42,170.63,171.86,15262954.0
2025-05-30,171.32,172.21,167.44,171.74,21815270.0
2025-06-02,167.85,169.87,167.39,169.03,17662674.0
2025-06-03,167.49,168.48,165.28,166.18,24614911.0
2025-06-04,166.74,168.22,166.36,168.05,15626566.0
2025-06-05,170.38,170.93,167.59,168.21,20686164.0
2025-06-06,170.83,174.5,170.83,173.68,21945515.0
2025-06-09,174.54,176.47,174.37,176.09,16582710.0
2025-06-10,176.23,181.11,174.91,178.6,37768093.0
2025-06-11,179.85,180.37,176.75,177.35,15382845.0
2025-06-12,176.18,176.72,174.74,175.7,12275471.0
2025-06-13,172.47,177.13,172.38,174.67,15268456.0
2025-06-16,174.73,176.94,174.65,176.77,13540889.0
2025-06-17,175.7,177.37,174.58,175.95,15442748.0
2025-06-18,176.02,176.56,173.2,173.32,15203502.0
2025-06-20,173.87,174.34,165.46,166.64,35663450.0
