date,open,high,low,close,volume
2025-02-26,26.33,26.47,25.73,25.92,4635091.0
2025-02-27,26.1,26.47,25.88,26.1,4345822.0
2025-02-28,26.0,26.38,25.67,26.37,5157364.0
2025-03-03,26.52,26.73,24.75,25.01,10384107.0
2025-03-04,24.51,24.68,23.79,24.15,11438284.0
2025-03-05,23.71,24.34,23.42,24.19,7357279.0
2025-03-06,24.07,24.62,24.0,24.45,5623886.0
2025-03-07,24.6,25.51,24.57,25.0,9257875.0
2025-03-10,25.02,25.43,24.7,24.89,7162035.0
2025-03-11,24.93,25.06,24.47,24.66,6033463.0
2025-03-12,24.69,25.01,24.47,24.71,5378282.0
2025-03-13,24.69,25.22,24.2,24.34,6910646.0
2025-03-14,24.6,25.15,24.41,25.07,7041410.0
2025-03-17,25.16,25.39,25.07,25.22,6100505.0
2025-03-18,25.38,25.48,24.62,25.0,6546718.0
2025-03-19,25.09,25.43,25.03,25.08,6375568.0
2025-03-20,24.89,25.34,24.72,24.99,12414255.0
2025-03-21,24.82,25.01,24.51,24.74,11899505.0
2025-03-24,25.11,25.68,24.95,25.6,10693332.0
2025-03-25,25.76,26.07,25.54,25.69,5907917.0
2025-03-26,25.96,26.24,25.64,25.7,5514024.0
2025-03-27,25.63,25.79,25.26,25.34,6890165.0
2025-03-28,25.35,25.56,24.92,25.07,4362962.0
2025-03-31,24.89,25.51,24.82,25.37,6956667.0
2025-04-01,25.25,25.65,25.06,25.55,5179826.0
2025-04-02,25.18,25.74,25.01,25.7,4046451.0
2025-04-03,24.11,24.18,22.35,22.39,13970285.0
2025-04-04,21.35,21.77,19.58,19.98,16025512.0
2025-04-07,19.28,20.83,18.72,19.99,14312514.0
2025-04-08,20.67,20.95,18.89,19.26,13058935.0
2025-04-09,18.86,22.55,18.75,22.07,15318544.0
2025-04-10,21.18,21.21,19.79,20.27,11199727.0
2025-04-11,20.36,21.2,20.06,21.07,10208222.0
2025-04-14,21.59,21.59,20.97,21.25,7523917.0
2025-04-15,21.22,21.67,21.12,21.25,5707327.0
2025-04-16,21.38,21.89,21.19,21.43,7323098.0
2025-04-17,21.88,22.68,21.77,22.53,12041963.0
2025-04-21,22.05,22.11,21.63,21.92,9115081.0
2025-04-22,20.12,21.0,19.75,20.7,23494889.0
2025-04-23,21.03,21.58,20.26,20.61,17147292.0
2025-04-24,20.82,21.34,20.64,21.21,10757953.0
2025-04-25,20.89,21.1,20.56,20.85,7963227.0
2025-04-28,20.78,21.04,20.47,20.65,6457099.0
2025-04-29,20.5,20.65,20.18,20.51,8194474.0
2025-04-30,20.09,20.16,19.59,19.82,10555329.0
2025-05-01,19.84,20.35,19.69,19.93,13301339.0
2025-05-02,20.25,20.65,19.86,20.6,8339771.0
2025-05-05,20.18,20.43,19.84,19.86,10185656.0
2025-05-06,20.0,20.12,19.36,19.44,11507882.0
2025-05-07,19.55,19.63,19.22,19.36,15437340.0
2025-05-08,19.65,20.46,19.58,20.24,13193686.0
2025-05-09,20.57,20.69,20.19,20.36,8688683.0
2025-05-12,21.71,22.2,21.04,21.25,11421625.0
2025-05-13,21.3,21.52,21.24,21.31,6670711.0
2025-05-14,21.15,21.48,21.08,21.23,5673572.0
2025-05-15,20.68,21.07,20.4,21.04,8848983.0
2025-05-16,21.16,21.28,20.84,21.25,9023057.0
2025-05-19,21.09,21.09,20.72,20.87,5868853.0
2025-05-20,20.9,20.97,20.43,20.48,7365540.0
2025-05-21,20.34,20.46,19.86,19.9,8429894.0
2025-05-22,19.75,20.07,19.38,19.96,7744541.0
2025-05-23,19.47,19.96,19.42,19.91,5899380.0
2025-05-27,20.07,20.1,19.71,19.97,10314899.0
2025-05-28,20.22,20.34,19.82,19.86,16873999.0
2025-05-29,20.05,20.12,19.74,20.08,11978792.0
2025-05-30,19.87,19.92,19.44,19.59,12716559.0
2025-06-02,20.11,20.14,19.52,20.01,10786082.0
2025-06-03,19.99,20.67,19.64,20.43,10469108.0
2025-06-04,20.25,20.6,19.84,20.01,10314169.0
2025-06-05,20.19,20.24,19.9,19.95,6284130.0
2025-06-06,20.24,20.68,20.24,20.52,6174420.0
2025-06-09,20.68,21.16,20.52,21.0,8756285.0
2025-06-10,21.2,22.05,21.2,21.75,11912199.0
2025-06-11,21.89,22.28,21.61,22.19,8076913.0
2025-06-12,22.02,22.04,21.67,21.98,6591754.0
2025-06-13,22.52,23.27,22.41,23.19,17766073.0
2025-06-16,23.2,23.38,22.44,22.91,18447663.0
2025-06-17,23.28,23.5,22.96,23.01,16281854.0
2025-06-18,22.96,23.21,22.19,22.28,11540339.0
2025-06-20,22.37,22.54,22.03,22.28,10532875.0
2025-06-23,22.37,22.45,20.7,20.77,17979547.0
2025-06-24,20.5,21.08,20.3,20.78,13914885.0
2025-06-25,20.68,20.76,20.16,20.26,10280276.0
2025-06-26,20.41,20.85,20.29,20.64,7085513.0
2025-06-27,20.74,20.82,20.37,20.57,7759029.0
2025-06-30,20.57,20.74,20.33,20.38,10278968.0
2025-07-01,20.3,21.62,20.09,21.21,11785585.0
2025-07-02,21.59,21.75,21.06,21.71,11223984.0
2025-07-03,21.76,21.78,21.46,21.52,5679876.0
2025-07-07,21.34,21.51,20.61,20.89,7820865.0
2025-07-08,20.95,22.4,20.95,22.16,16271291.0
2025-07-09,22.07,22.25,21.88,22.04,8259064.0
2025-07-10,21.91,22.43,21.66,22.16,7453077.0
2025-07-11,22.11,23.08,22.0,23.08,15099063.0
2025-07-14,22.97,22.97,21.88,22.02,15636781.0
2025-07-15,22.05,22.12,21.35,21.39,9809834.0
2025-07-16,21.35,21.63,20.99,21.24,8837221.0
2025-07-17,21.1,21.6,21.05,21.54,7454844.0
2025-07-18,21.75,21.84,21.0,21.22,11644394.0
2025-07-21,21.37,21.48,21.03,21.18,13458416.0
2025-07-22,20.7,21.54,20.17,21.39,19519862.0
2025-07-23,21.62,22.16,21.45,21.97,11271553.0
2025-07-24,21.96,22.5,21.75,22.42,15605691.0
2025-07-25,22.49,22.68,22.08,22.45,12571676.0
2025-07-28,22.55,23.02,22.52,22.84,9768706.0
2025-07-29,22.75,23.17,22.6,23.08,14287833.0
2025-07-30,22.96,23.0,22.18,22.4,17028598.0
2025-07-31,22.22,22.75,22.18,22.4,9812981.0
2025-08-01,22.14,22.24,21.25,21.6,13433834.0
2025-08-04,21.53,21.86,21.48,21.67,7913646.0
2025-08-05,21.87,21.95,21.26,21.68,7673229.0
2025-08-06,21.96,22.22,21.12,21.22,12853076.0
2025-08-07,21.52,21.79,20.84,20.88,7823087.0
