date,open,high,low,close,volume
2025-02-26,68.82,68.97,67.89,68.02,664267.0
2025-02-27,67.47,67.94,65.89,66.01,1104966.0
2025-02-28,65.93,66.16,64.29,65.11,1012206.0
2025-03-03,64.41,65.15,63.46,63.69,708990.0
2025-03-04,63.66,63.84,61.79,61.81,1034076.0
2025-03-05,61.81,63.32,61.55,63.04,787266.0
2025-03-06,62.83,63.93,62.5,63.51,649034.0
2025-03-07,63.33,65.04,62.97,64.35,1239439.0
2025-03-10,64.04,65.71,63.59,63.93,792056.0
2025-03-11,63.93,64.19,62.65,62.95,1145258.0
2025-03-12,62.81,63.58,61.6,61.86,1038952.0
2025-03-13,61.7,62.24,59.1,59.3,1049826.0
2025-03-14,60.23,60.23,59.04,59.79,959058.0
2025-03-17,59.56,60.66,59.52,60.22,694018.0
2025-03-18,60.26,60.53,59.65,59.96,751166.0
2025-03-19,60.12,60.78,59.66,60.62,590958.0
2025-03-20,60.38,61.56,59.84,60.38,1435368.0
2025-03-21,60.04,60.99,58.82,60.57,913401.0
2025-03-24,60.83,61.83,60.76,61.6,526714.0
2025-03-25,61.74,61.75,60.6,61.04,598556.0
2025-03-26,61.17,61.98,61.0,61.49,620140.0
2025-03-27,61.62,61.77,60.8,61.38,300055.0
2025-03-28,61.51,61.61,60.43,60.59,377018.0
2025-03-31,60.51,61.59,59.89,61.49,604369.0
2025-04-01,61.32,62.17,60.93,62.14,570595.0
2025-04-02,61.7,62.91,61.44,62.69,371968.0
2025-04-03,58.84,59.02,53.81,54.99,2424508.0
2025-04-04,52.84,54.5,51.12,53.96,1755046.0
2025-04-07,52.11,55.57,51.32,53.17,2044087.0
2025-04-08,55.04,55.5,50.4,50.71,1897564.0
2025-04-09,50.18,55.55,49.0,55.18,2001277.0
2025-04-10,53.81,54.35,49.79,51.0,1324316.0
2025-04-11,50.88,52.17,49.08,52.04,926682.0
2025-04-14,52.82,53.56,52.29,53.35,661633.0
2025-04-15,53.04,53.69,51.96,52.49,791841.0
2025-04-16,52.49,52.91,51.33,51.88,725804.0
2025-04-17,51.8,52.97,51.8,52.65,706613.0
2025-04-21,51.91,52.16,50.55,51.54,1037719.0
2025-04-22,52.18,52.77,51.73,52.1,837973.0
2025-04-23,53.66,55.34,52.31,52.69,2270520.0
2025-04-24,56.65,61.57,56.64,60.37,3817511.0
2025-04-25,61.76,61.85,59.85,60.99,2207336.0
2025-04-28,61.08,62.64,60.35,61.34,1166054.0
2025-04-29,60.86,62.24,60.64,61.57,968030.0
2025-04-30,61.01,62.03,60.04,61.9,1006025.0
2025-05-01,61.71,62.06,60.67,60.71,726527.0
2025-05-02,61.69,62.76,61.05,61.75,1370764.0
2025-05-05,61.29,61.96,60.33,61.19,767749.0
2025-05-06,61.03,61.66,60.56,60.92,876197.0
2025-05-07,61.41,61.67,60.64,61.43,971445.0
2025-05-08,61.82,62.82,61.19,61.78,1575850.0
2025-05-09,61.82,62.7,61.45,61.52,639470.0
2025-05-12,64.02,66.07,64.0,65.56,2845205.0
2025-05-13,65.67,66.59,65.15,65.83,1059649.0
2025-05-14,65.58,65.78,64.82,65.21,1111637.0
2025-05-15,65.26,66.52,64.86,66.47,1170273.0
2025-05-16,66.3,67.26,66.22,67.21,750791.0
2025-05-19,66.49,68.32,66.49,68.18,1959677.0
2025-05-20,68.08,68.88,68.08,68.36,1020619.0
2025-05-21,67.32,67.76,66.25,66.28,694198.0
2025-05-22,66.16,66.66,65.86,66.4,526124.0
2025-05-23,65.07,66.14,64.74,65.83,610434.0
2025-05-27,66.69,67.44,66.12,67.38,543434.0
2025-05-28,67.38,67.72,66.14,66.28,545903.0
2025-05-29,66.93,67.61,66.07,66.8,1783649.0
2025-05-30,66.77,67.2,66.0,66.71,821721.0
2025-06-02,66.55,66.55,65.43,65.55,945317.0
2025-06-03,65.45,66.01,64.85,65.68,467708.0
2025-06-04,65.66,66.0,64.91,65.43,758676.0
2025-06-05,65.18,66.16,65.06,65.18,605898.0
2025-06-06,65.43,66.7,65.43,66.32,608543.0
2025-06-09,66.53,67.85,66.3,67.57,864336.0
2025-06-10,67.7,69.0,67.7,68.85,968332.0
2025-06-11,69.25,69.55,68.73,69.04,1305602.0
2025-06-12,68.96,69.71,68.42,69.5,1263751.0
2025-06-13,68.92,69.45,67.43,67.81,714197.0
2025-06-16,68.66,69.8,67.82,69.77,1083467.0
2025-06-17,69.16,69.53,67.45,67.5,1590970.0
2025-06-18,67.29,68.52,67.11,67.93,1010423.0
2025-06-20,68.36,68.85,67.89,68.63,792450.0
2025-06-23,68.32,70.84,68.2,70.6,1572335.0
2025-06-24,70.93,73.02,70.76,72.58,1733402.0
2025-06-25,72.45,72.66,71.21,71.68,811770.0
2025-06-26,71.69,72.56,71.37,72.31,476150.0
2025-06-27,72.8,73.46,72.31,73.13,687094.0
2025-06-30,73.16,73.97,72.23,73.82,1007039.0
2025-07-01,75.12,78.83,74.95,76.99,3156741.0
2025-07-02,76.67,78.27,75.49,78.22,1190347.0
2025-07-03,78.09,78.38,77.27,77.64,1109484.0
2025-07-07,77.25,77.94,75.91,76.55,999476.0
2025-07-08,76.57,77.17,75.72,76.51,928280.0
2025-07-09,76.83,77.0,75.49,76.68,929162.0
2025-07-10,76.91,77.83,76.45,77.1,819401.0
2025-07-11,76.78,76.78,75.11,75.37,810851.0
2025-07-14,75.3,76.33,74.8,75.79,816595.0
2025-07-15,76.12,76.14,74.52,74.84,816891.0
2025-07-16,75.36,75.98,74.6,75.92,769007.0
2025-07-17,76.12,77.93,76.05,77.19,881313.0
2025-07-18,77.31,77.88,76.42,77.81,950054.0
2025-07-21,77.9,78.0,76.84,77.67,1230626.0
2025-07-22,77.92,78.82,77.37,77.57,2581110.0
2025-07-23,77.5,77.9,74.09,76.84,3131092.0
2025-07-24,76.48,77.52,74.86,75.05,2176606.0
2025-07-25,75.84,76.12,73.86,74.98,1284205.0
2025-07-28,75.72,76.45,74.66,76.3,1656649.0
2025-07-29,76.45,77.42,75.54,76.3,1564884.0
2025-07-30,76.4,76.63,75.31,76.0,776522.0
2025-07-31,75.59,75.82,74.69,75.16,748145.0
2025-08-01,74.52,75.43,74.05,74.63,1021696.0
2025-08-04,75.23,77.02,74.88,76.89,1300095.0
2025-08-05,77.01,77.47,75.8,76.97,1048297.0
2025-08-06,77.32,77.59,76.64,77.05,800761.0
2025-08-07,77.32,77.5,76.29,77.35,999087.0
2025-08-08,77.59,78.28,77.05,77.49,1226454.0
2025-08-11,77.53,78.0,77.28,77.57,712493.0
2025-08-12,77.75,78.3,77.09,78.25,1108048.0
2025-08-13,78.82,80.43,78.48,80.32,1989190.0
2025-08-14,79.39,80.83,79.07,80.55,1058836.0
2025-08-15,80.64,81.31,80.13,81.14,752739.0
2025-08-18,81.14,81.83,80.92,81.51,744942.0
2025-08-19,81.56,81.97,79.9,80.05,793899.0
2025-08-20,79.42,80.13,79.16,79.69,577297.0
2025-08-21,79.18,79.6,78.5,79.41,483842.0
2025-08-22,79.79,82.05,79.67,81.85,574048.0
2025-08-25,81.43,81.69,80.88,81.06,421134.0
2025-08-26,81.09,81.84,80.74,81.6,783132.0
2025-08-27,81.53,82.19,81.19,81.56,482073.0
2025-08-28,81.56,81.72,80.86,81.6,460047.0
2025-08-29,81.47,82.01,80.57,81.17,324822.0
2025-09-02,79.9,80.6,79.19,79.75,595688.0
2025-09-03,79.67,80.5,78.98,79.03,652332.0
2025-09-04,79.28,80.44,78.78,80.4,457655.0
2025-09-05,80.62,81.28,79.29,79.73,543062.0
2025-09-08,79.79,79.79,78.4,79.36,640942.0
2025-09-09,79.16,79.16,78.12,78.64,568752.0
2025-09-10,78.36,78.56,77.13,77.66,562829.0
2025-09-11,77.71,80.11,77.71,79.95,1005731.0
2025-09-12,79.5,79.85,78.36,78.38,540448.0
2025-09-15,78.61,78.61,75.96,76.0,1101920.0
2025-09-16,76.16,76.35,74.09,74.69,972963.0
2025-09-17,75.1,75.85,73.74,73.92,721166.0
2025-09-18,74.44,75.18,73.77,74.88,493269.0
2025-09-19,74.6,74.74,72.97,74.15,686850.0
2025-09-22,74.15,75.35,73.7,74.71,788774.0
2025-09-23,74.77,75.54,74.73,74.82,573080.0
2025-09-24,74.94,75.43,74.33,75.23,504206.0
2025-09-25,75.16,75.53,74.46,74.56,668563.0
2025-09-26,74.98,75.65,74.34,75.59,717453.0
2025-09-29,76.45,77.14,75.28,76.95,904692.0
2025-09-30,76.83,77.16,75.08,75.85,562821.0
2025-10-01,75.85,76.23,74.48,75.31,748675.0
2025-10-02,75.52,75.52,73.96,75.17,735393.0
2025-10-03,75.33,76.25,75.04,75.89,507720.0
2025-10-06,75.83,76.42,74.63,74.78,640391.0
2025-10-07,74.75,75.34,74.45,74.83,625064.0
2025-10-08,74.87,76.07,74.15,75.57,476303.0
2025-10-09,75.82,75.9,74.04,74.64,336105.0
2025-10-10,75.03,75.03,70.91,70.95,933308.0
2025-10-13,71.95,72.84,71.31,72.41,661607.0
2025-10-14,71.88,73.56,71.25,73.14,562480.0
2025-10-15,73.69,74.39,73.3,74.13,516566.0
2025-10-16,74.4,74.54,73.16,74.4,542211.0
2025-10-17,74.27,74.9,73.95,74.81,502631.0
2025-10-20,75.0,75.25,74.27,74.79,550886.0
2025-10-21,74.51,75.56,74.06,74.83,745951.0
2025-10-22,74.23,75.84,73.84,75.16,1096995.0
2025-10-23,71.0,78.38,69.5,77.94,2401773.0
2025-10-24,78.66,80.04,76.09,76.7,2858004.0
2025-10-27,77.53,78.39,77.18,78.09,1038330.0
2025-10-28,77.77,78.29,77.04,77.94,665080.0
2025-10-29,77.65,78.98,77.06,77.96,821419.0
2025-10-30,77.65,78.43,76.41,76.55,1340150.0
2025-10-31,76.12,77.19,75.82,76.31,864561.0
2025-11-03,75.98,76.31,75.07,75.85,896997.0
2025-11-04,75.46,76.71,75.37,75.98,813005.0
2025-11-05,76.05,77.97,74.81,76.87,1702920.0
2025-11-06,76.98,78.0,76.14,76.61,702131.0
2025-11-07,76.59,77.19,76.09,76.57,714760.0
2025-11-10,77.15,78.37,76.6,78.15,746799.0
2025-11-11,78.48,79.03,77.91,78.43,674875.0
2025-11-12,78.98,79.81,78.84,79.13,788715.0
2025-11-13,78.72,79.6,78.52,78.9,787477.0
2025-11-14,78.8,79.0,77.55,77.71,715586.0
2025-11-17,77.76,77.98,76.66,77.04,628950.0
2025-11-18,76.61,76.82,75.37,76.04,729623.0
