date,open,high,low,close,volume
2025-02-26,15.94,16.22,15.87,16.06,22393388.0
2025-02-27,16.11,16.37,16.05,16.21,21770408.0
2025-02-28,16.31,16.51,16.22,16.47,24691734.0
2025-03-03,16.55,16.71,16.04,16.19,14817150.0
2025-03-04,15.94,16.0,15.23,15.51,21468506.0
2025-03-05,15.43,15.62,15.17,15.38,23348501.0
2025-03-06,15.25,15.26,14.95,15.13,20968677.0
2025-03-07,15.19,15.19,14.69,15.14,20466355.0
2025-03-10,14.87,14.91,14.41,14.64,23599863.0
2025-03-11,14.62,14.72,14.24,14.4,30391323.0
2025-03-12,14.63,14.71,14.37,14.55,19112463.0
2025-03-13,14.61,14.67,14.26,14.28,15659994.0
2025-03-14,14.44,14.77,14.36,14.75,24269364.0
2025-03-17,14.67,14.98,14.64,14.9,19740579.0
2025-03-18,14.69,14.8,14.55,14.76,18755405.0
2025-03-19,14.79,15.1,14.72,14.97,16912261.0
2025-03-20,14.8,15.12,14.78,14.95,16907247.0
2025-03-21,14.8,15.07,14.74,15.02,31724553.0
2025-03-24,15.19,15.4,15.11,15.35,12289260.0
2025-03-25,15.35,15.46,15.24,15.32,12691436.0
2025-03-26,15.39,15.55,15.16,15.26,12274132.0
2025-03-27,15.28,15.35,15.05,15.12,12276436.0
2025-03-28,15.1,15.2,14.72,14.79,10780324.0
2025-03-31,14.64,15.07,14.49,15.01,13331795.0
2025-04-01,15.03,15.05,14.66,14.95,15699143.0
2025-04-02,14.77,15.23,14.72,15.21,13707760.0
2025-04-03,14.46,14.5,13.44,13.46,27057633.0
2025-04-04,12.81,12.95,12.13,12.6,24449846.0
2025-04-07,12.14,13.15,11.91,12.71,32335704.0
2025-04-08,13.2,13.38,12.28,12.49,19036299.0
2025-04-09,12.3,13.96,12.08,13.71,25375195.0
2025-04-10,13.34,13.41,12.42,12.89,23368859.0
2025-04-11,12.74,13.02,12.48,12.89,20090778.0
2025-04-14,13.12,13.26,12.96,13.15,12075832.0
2025-04-15,13.21,13.63,13.21,13.4,12001498.0
2025-04-16,13.28,13.49,13.1,13.27,22745807.0
2025-04-17,13.72,13.96,13.54,13.67,26836184.0
2025-04-21,13.58,13.64,13.36,13.47,16897271.0
2025-04-22,13.67,13.96,13.6,13.93,17571037.0
2025-04-23,14.31,14.68,14.07,14.18,17415007.0
2025-04-24,14.11,14.58,14.09,14.55,11917227.0
2025-04-25,14.44,14.56,14.34,14.4,15076932.0
2025-04-28,14.48,14.63,14.4,14.58,11967682.0
2025-04-29,14.52,14.68,14.39,14.64,11248516.0
2025-04-30,14.32,14.58,14.19,14.53,12607131.0
2025-05-01,14.48,14.76,14.42,14.62,11844111.0
2025-05-02,14.88,15.13,14.8,15.08,15244234.0
2025-05-05,14.92,15.25,14.89,15.02,10868056.0
2025-05-06,14.83,15.02,14.78,14.88,16666108.0
2025-05-07,14.95,15.11,14.86,14.96,11362436.0
2025-05-08,15.12,15.35,15.09,15.22,16414651.0
2025-05-09,15.25,15.31,15.14,15.22,15958206.0
2025-05-12,15.87,16.17,15.87,15.93,22214391.0
2025-05-13,15.97,16.17,15.88,16.09,17808540.0
2025-05-14,16.07,16.15,15.98,16.09,18043316.0
2025-05-15,16.13,16.15,15.94,16.1,18558383.0
2025-05-16,16.06,16.23,16.0,16.18,12387454.0
2025-05-19,16.0,16.18,15.96,16.12,16991461.0
2025-05-20,16.11,16.11,15.89,15.94,12693436.0
2025-05-21,15.84,15.87,15.29,15.32,20974757.0
2025-05-22,15.3,15.57,15.24,15.43,25987742.0
2025-05-23,15.09,15.42,15.06,15.32,22510530.0
2025-05-27,15.57,15.76,15.39,15.76,17601408.0
2025-05-28,15.73,15.77,15.54,15.56,19282479.0
2025-05-29,15.63,15.72,15.52,15.72,25321455.0
2025-05-30,15.64,15.69,15.5,15.63,18564359.0
2025-06-02,15.56,15.6,15.26,15.58,17101053.0
2025-06-03,15.58,15.94,15.49,15.91,16852805.0
2025-06-04,15.85,15.99,15.72,15.74,16830213.0
2025-06-05,15.74,15.84,15.59,15.74,23782448.0
2025-06-06,15.99,16.24,15.91,16.22,26693548.0
2025-06-09,16.27,16.41,16.18,16.23,20234427.0
2025-06-10,16.23,16.41,16.16,16.31,28414474.0
2025-06-11,16.51,16.56,16.03,16.09,44112644.0
2025-06-12,16.0,16.03,15.83,15.96,28889065.0
2025-06-13,15.76,15.8,15.47,15.51,32562941.0
2025-06-16,15.75,15.8,15.56,15.7,18851065.0
2025-06-17,15.41,15.62,15.38,15.48,23660392.0
2025-06-18,15.49,15.82,15.45,15.73,20151121.0
2025-06-20,15.88,15.91,15.76,15.84,18183954.0
2025-06-23,15.8,16.09,15.68,16.07,19138357.0
2025-06-24,16.21,16.44,16.16,16.26,22692823.0
2025-06-25,16.24,16.3,16.12,16.28,17407740.0
2025-06-26,16.36,16.67,16.34,16.64,28063707.0
2025-06-27,16.65,16.75,16.53,16.6,27993309.0
2025-06-30,16.7,16.84,16.66,16.76,26874213.0
2025-07-01,16.74,17.27,16.69,17.18,44940395.0
2025-07-02,17.23,17.43,17.11,17.4,25957929.0
2025-07-03,17.7,17.75,17.51,17.54,19009371.0
2025-07-07,17.51,17.73,17.38,17.54,28382567.0
2025-07-08,17.59,17.61,17.45,17.48,17799176.0
2025-07-09,17.62,17.64,17.35,17.42,17208820.0
2025-07-10,17.43,17.65,17.39,17.56,14137698.0
2025-07-11,17.37,17.51,17.26,17.39,16250810.0
2025-07-14,16.97,17.39,16.76,17.07,58616973.0
2025-07-15,17.06,17.12,16.52,16.56,56495131.0
2025-07-16,16.65,16.7,16.38,16.64,35571050.0
2025-07-17,16.56,17.03,16.5,16.98,50038369.0
2025-07-18,16.92,17.03,16.36,16.71,45187554.0
2025-07-21,16.74,17.14,16.74,16.81,33824224.0
2025-07-22,16.78,16.88,16.62,16.66,41525156.0
2025-07-23,16.74,16.87,16.63,16.82,35944365.0
2025-07-24,16.81,16.95,16.61,16.64,37833857.0
2025-07-25,16.66,16.9,16.48,16.84,42945156.0
2025-07-28,16.84,16.87,16.58,16.64,26886115.0
2025-07-29,16.71,16.85,16.69,16.75,32435743.0
2025-07-30,16.77,17.02,16.49,16.58,33420615.0
2025-07-31,16.5,16.62,16.39,16.43,37853254.0
2025-08-01,16.12,16.16,15.72,16.04,37710071.0
2025-08-04,16.13,16.32,16.06,16.27,29839422.0
2025-08-05,16.29,16.33,15.92,16.2,26132504.0
2025-08-06,16.22,16.24,16.02,16.04,23089440.0
2025-08-07,16.24,16.24,15.82,15.87,21241143.0
2025-08-08,16.04,16.14,15.87,16.09,13959092.0
2025-08-11,16.15,16.23,15.98,16.01,18929566.0
2025-08-12,16.18,16.49,16.1,16.47,28334353.0
2025-08-13,16.54,16.74,16.47,16.72,19851676.0
2025-08-14,16.6,16.82,16.47,16.81,18556024.0
2025-08-15,16.81,16.85,16.57,16.57,17900165.0
2025-08-18,16.52,16.69,16.45,16.68,17591738.0
2025-08-19,16.63,16.83,16.57,16.62,18810668.0
2025-08-20,16.64,16.85,16.5,16.8,26065509.0
2025-08-21,16.78,16.79,16.6,16.66,16985613.0
2025-08-22,16.78,17.42,16.73,17.36,27736833.0
2025-08-25,17.3,17.38,17.2,17.29,21488123.0
2025-08-26,17.21,17.51,17.21,17.49,18941570.0
2025-08-27,17.48,17.87,17.44,17.8,23047399.0
2025-08-28,17.89,17.9,17.69,17.8,17271036.0
2025-08-29,17.76,17.92,17.71,17.81,20305333.0
2025-09-02,17.62,17.73,17.45,17.68,26775317.0
2025-09-03,17.68,17.89,17.41,17.61,22385717.0
2025-09-04,17.76,17.91,17.62,17.88,31328503.0
2025-09-05,17.91,18.03,17.43,17.63,30579194.0
2025-09-08,17.68,17.75,17.39,17.73,29639424.0
2025-09-09,17.7,17.87,17.54,17.64,22168229.0
2025-09-10,17.66,17.77,17.55,17.66,24207411.0
2025-09-11,17.7,17.77,17.53,17.74,24658831.0
2025-09-12,17.69,17.85,17.64,17.77,19603491.0
2025-09-15,17.79,17.86,17.6,17.63,23860647.0
