date,open,high,low,close,volume
2025-02-26,260.14,262.8,259.16,259.96,703513.0
2025-02-27,260.96,263.62,258.36,259.1,524075.0
2025-02-28,260.18,265.26,259.95,264.96,702898.0
2025-03-03,264.9,267.89,260.98,263.58,500040.0
2025-03-04,259.69,262.81,255.59,259.56,908135.0
2025-03-05,259.55,260.74,255.72,259.49,586995.0
2025-03-06,255.08,256.22,250.63,251.12,884481.0
2025-03-07,250.11,250.11,242.22,247.14,1170381.0
2025-03-10,242.63,243.27,237.1,238.9,2046351.0
2025-03-11,236.76,238.46,229.16,231.83,2456330.0
2025-03-12,234.87,235.35,225.18,228.4,1931464.0
2025-03-13,227.43,227.87,220.69,221.78,2598964.0
2025-03-14,224.7,230.17,224.44,229.37,1557165.0
2025-03-17,228.36,235.5,228.36,234.65,1193125.0
2025-03-18,234.03,234.04,226.56,227.05,773352.0
2025-03-19,228.35,234.92,227.67,232.95,629218.0
2025-03-20,230.74,233.78,230.71,231.91,704242.0
2025-03-21,227.26,229.43,219.51,229.33,1700771.0
2025-03-24,232.46,233.06,229.01,232.56,1154696.0
2025-03-25,234.0,235.0,231.87,234.67,946197.0
2025-03-26,235.0,236.51,232.97,234.86,937661.0
2025-03-27,233.41,233.94,229.42,232.05,1068722.0
2025-03-28,230.93,231.99,224.32,225.71,1010875.0
2025-03-31,222.16,228.39,219.21,227.55,2111580.0
2025-04-01,226.24,228.01,223.35,227.28,1103944.0
2025-04-02,224.39,232.04,224.2,231.38,808617.0
2025-04-03,219.85,223.32,215.99,217.38,2601406.0
2025-04-04,212.18,216.16,207.2,208.85,3106582.0
2025-04-07,202.16,214.38,199.68,204.14,3667448.0
2025-04-08,211.01,211.49,197.94,201.28,2503855.0
2025-04-09,199.7,219.18,196.04,218.65,4400164.0
2025-04-10,213.69,214.13,204.26,209.92,1922661.0
2025-04-11,208.53,213.9,205.03,212.41,1611138.0
2025-04-14,211.75,213.24,206.66,210.13,1692124.0
2025-04-15,211.32,213.05,210.37,211.32,1037749.0
2025-04-16,209.27,213.03,206.86,209.09,1131549.0
2025-04-17,210.8,212.45,208.88,210.45,1155739.0
2025-04-21,209.0,209.1,201.15,204.59,1374145.0
2025-04-22,206.6,211.09,206.6,210.64,885057.0
2025-04-23,217.17,221.99,213.82,215.36,1232670.0
2025-04-24,214.5,220.24,214.04,219.36,1015509.0
2025-04-25,219.56,221.27,217.24,219.62,889658.0
2025-04-28,220.91,225.18,219.23,221.6,1518324.0
2025-04-29,224.6,227.64,221.59,226.41,1740478.0
2025-04-30,223.03,225.83,217.05,225.48,1163915.0
2025-05-01,226.91,235.79,226.9,234.09,2251450.0
2025-05-02,235.2,241.52,235.2,240.9,1370009.0
2025-05-05,238.41,241.37,237.53,238.96,630652.0
2025-05-06,238.0,239.94,235.98,236.59,821086.0
2025-05-07,238.07,244.38,237.57,241.65,1062435.0
2025-05-08,242.9,246.1,241.49,243.18,894446.0
2025-05-09,242.55,243.62,240.76,243.01,636356.0
2025-05-12,253.87,259.56,249.84,252.42,1540583.0
2025-05-13,253.92,258.21,253.1,256.01,822387.0
2025-05-14,255.5,257.16,252.78,253.0,696033.0
2025-05-15,251.72,253.53,251.03,252.49,597728.0
2025-05-16,252.35,255.87,250.47,255.77,535146.0
2025-05-19,252.82,257.24,252.0,256.45,421369.0
2025-05-20,254.83,255.63,252.52,253.41,673126.0
2025-05-21,250.11,251.24,246.49,246.76,765334.0
2025-05-22,246.68,248.17,245.24,246.64,734458.0
2025-05-23,243.12,245.77,243.07,244.77,419137.0
2025-05-27,247.97,253.48,247.97,253.08,754637.0
2025-05-28,253.0,253.78,250.29,250.78,789489.0
2025-05-29,250.99,252.67,246.81,248.26,592784.0
2025-05-30,247.76,249.47,246.15,248.44,673273.0
2025-06-02,247.66,249.48,243.54,249.13,782985.0
2025-06-03,248.82,252.79,248.79,251.1,649964.0
2025-06-04,251.12,252.13,249.23,249.43,575687.0
2025-06-05,249.0,250.91,247.27,248.47,415349.0
2025-06-06,250.98,253.32,249.51,252.81,847061.0
2025-06-09,252.82,254.12,251.28,252.07,430288.0
2025-06-10,252.53,253.94,251.55,253.54,657243.0
2025-06-11,254.32,256.66,252.34,253.54,720133.0
2025-06-12,251.9,253.15,249.5,250.55,750750.0
2025-06-13,245.83,248.64,241.45,243.88,1093855.0
2025-06-16,246.7,248.81,246.12,247.35,551600.0
2025-06-17,245.65,249.43,245.65,246.97,612437.0
2025-06-18,247.75,250.54,246.59,247.56,750019.0
2025-06-20,249.29,250.8,246.62,248.86,1140894.0
2025-06-23,248.79,252.44,243.53,252.34,798184.0
2025-06-24,254.37,257.42,253.07,255.93,649595.0
2025-06-25,256.76,256.76,251.57,253.72,690521.0
2025-06-26,254.55,258.05,253.72,257.49,707948.0
2025-06-27,257.69,266.24,257.69,265.5,2041722.0
2025-06-30,265.61,266.69,262.74,266.34,1348509.0
2025-07-01,265.42,270.45,264.7,268.96,1006946.0
2025-07-02,268.69,270.78,268.01,270.11,549132.0
2025-07-03,271.32,274.29,271.32,273.42,372224.0
2025-07-07,272.1,274.33,268.17,270.85,637981.0
2025-07-08,271.85,274.81,271.05,272.96,891510.0
2025-07-09,274.56,274.81,270.02,272.53,615581.0
2025-07-10,273.9,277.77,273.01,277.48,633988.0
2025-07-11,275.99,277.86,275.15,277.31,508739.0
2025-07-14,277.27,279.29,274.05,278.65,1008672.0
2025-07-15,278.65,279.46,273.55,274.34,627034.0
2025-07-16,275.26,275.94,271.68,273.47,687082.0
2025-07-17,273.27,274.48,270.04,272.21,743174.0
