date,open,high,low,close,volume
2025-02-26,20.49,20.79,20.24,20.37,7030806.0
2025-02-27,20.49,20.68,19.81,19.84,6182944.0
2025-02-28,19.6,20.03,19.24,19.81,8537568.0
2025-03-03,20.07,20.09,18.88,19.03,7019278.0
2025-03-04,18.86,19.12,18.33,18.84,11914864.0
2025-03-05,18.95,19.1,18.57,18.89,8417861.0
2025-03-06,18.32,18.69,17.88,17.96,14177982.0
2025-03-07,15.26,16.04,14.93,15.81,68704614.0
2025-03-10,15.51,15.67,14.85,15.08,26642594.0
2025-03-11,15.02,15.51,14.92,15.34,21424585.0
2025-03-12,15.25,15.52,14.93,15.09,20658528.0
2025-03-13,15.11,15.43,14.64,14.77,21913737.0
2025-03-14,15.05,15.69,15.05,15.62,18149441.0
2025-03-17,15.65,15.96,15.6,15.84,11785991.0
2025-03-18,15.76,16.04,15.72,15.93,15203569.0
2025-03-19,16.08,16.55,16.06,16.34,14653685.0
2025-03-20,16.1,16.48,16.06,16.23,12834163.0
2025-03-21,15.94,16.12,15.78,16.05,15573924.0
2025-03-24,16.4,16.55,16.31,16.48,13963427.0
2025-03-25,16.46,16.59,16.4,16.52,14163515.0
2025-03-26,16.45,16.55,16.03,16.07,15483596.0
2025-03-27,15.96,16.06,15.76,15.94,13813247.0
2025-03-28,15.85,15.92,15.52,15.79,14822963.0
2025-03-31,15.48,15.55,15.24,15.43,20679776.0
2025-04-01,15.49,15.74,15.27,15.64,18274850.0
2025-04-02,15.39,16.2,15.39,16.12,16782221.0
2025-04-03,15.13,15.3,13.6,13.68,29971538.0
2025-04-04,13.31,13.31,11.96,12.79,25689031.0
2025-04-07,12.34,14.2,12.31,13.33,29307032.0
2025-04-08,13.71,13.95,12.26,12.51,24479480.0
2025-04-09,12.37,14.6,12.15,14.5,31175040.0
2025-04-10,13.94,14.07,13.2,13.74,18609562.0
2025-04-11,13.73,14.18,13.43,14.14,17008479.0
2025-04-14,14.86,14.86,14.27,14.28,15447599.0
2025-04-15,14.28,15.54,14.2,15.01,38556762.0
2025-04-16,14.72,15.19,14.6,14.88,19796459.0
2025-04-17,14.97,15.26,14.75,15.14,16653371.0
2025-04-21,14.95,15.02,14.55,14.82,14733782.0
2025-04-22,15.02,15.25,14.91,15.15,11841116.0
2025-04-23,15.78,16.26,15.31,15.35,13456784.0
2025-04-24,15.44,16.27,15.42,16.18,11307064.0
2025-04-25,16.22,16.34,16.06,16.24,6894759.0
2025-04-28,16.29,16.54,16.2,16.49,11184875.0
2025-04-29,16.35,16.49,16.26,16.31,6593554.0
2025-04-30,15.72,16.29,15.71,16.22,12426622.0
2025-05-01,16.4,16.76,16.4,16.41,10253204.0
2025-05-02,16.78,16.99,16.64,16.86,10712472.0
2025-05-05,16.66,16.99,16.63,16.67,8708045.0
2025-05-06,16.57,16.64,16.33,16.49,7830149.0
2025-05-07,16.56,16.6,16.17,16.56,8498034.0
2025-05-08,16.71,17.13,16.69,16.87,8633656.0
2025-05-09,16.96,17.11,16.76,16.89,7286963.0
2025-05-12,17.85,17.98,17.54,17.74,14593878.0
2025-05-13,17.8,18.06,17.67,17.92,10695136.0
2025-05-14,17.96,18.18,17.76,17.85,11467307.0
2025-05-15,17.72,17.72,17.44,17.62,11290333.0
2025-05-16,17.68,17.84,17.57,17.75,8656200.0
2025-05-19,17.36,17.55,17.33,17.46,10772499.0
2025-05-20,18.02,18.02,17.58,17.72,12428974.0
2025-05-21,17.6,18.07,17.48,17.54,15010665.0
2025-05-22,17.54,17.71,17.34,17.55,7364203.0
2025-05-23,17.18,17.47,17.03,17.42,6530786.0
2025-05-27,17.83,17.98,17.6,17.94,9179414.0
2025-05-28,17.95,18.01,17.63,17.69,5935406.0
2025-05-29,17.84,17.91,17.57,17.65,11921285.0
2025-05-30,17.38,17.45,17.09,17.28,12544329.0
2025-06-02,17.28,17.38,17.02,17.34,9393261.0
2025-06-03,17.32,17.77,17.15,17.69,17153207.0
2025-06-04,19.17,19.2,17.58,17.84,34830574.0
2025-06-05,17.78,18.06,17.52,17.76,18340738.0
2025-06-06,17.86,18.23,17.76,18.11,10713017.0
2025-06-09,18.2,18.59,18.16,18.31,8650868.0
2025-06-10,18.52,18.53,18.18,18.34,7927138.0
2025-06-11,18.3,18.42,18.12,18.22,9060349.0
2025-06-12,18.06,18.24,17.96,18.13,6666296.0
2025-06-13,17.76,17.96,17.53,17.65,7712469.0
2025-06-16,17.8,18.24,17.76,18.24,7314572.0
2025-06-17,18.03,18.26,17.84,17.9,7979498.0
2025-06-18,17.87,18.17,17.7,17.78,9639135.0
2025-06-20,18.03,18.19,17.78,17.96,9758261.0
2025-06-23,17.9,17.97,17.49,17.81,8955314.0
2025-06-24,17.99,18.25,17.94,18.15,9388448.0
2025-06-25,18.24,18.62,18.2,18.49,8888469.0
2025-06-26,18.6,18.63,18.32,18.37,10745962.0
2025-06-27,18.44,18.58,18.27,18.41,6670692.0
2025-06-30,20.69,20.97,20.12,20.45,41523763.0
2025-07-01,20.12,20.71,20.1,20.48,19494199.0
2025-07-02,20.54,21.47,20.26,21.25,23859024.0
2025-07-03,21.44,21.47,21.15,21.34,7479570.0
2025-07-07,21.22,21.29,20.77,20.91,19338644.0
2025-07-08,20.94,21.01,20.55,20.82,13533378.0
2025-07-09,21.02,21.02,20.59,20.8,14054054.0
2025-07-10,20.94,21.72,20.71,21.29,28778155.0
2025-07-11,21.05,21.05,20.68,20.72,11777588.0
2025-07-14,20.58,20.85,20.45,20.67,9455060.0
2025-07-15,20.86,20.9,20.28,20.28,8802075.0
2025-07-16,20.39,20.51,20.07,20.35,11279171.0
2025-07-17,20.89,21.16,20.6,20.83,12479821.0
2025-07-18,20.97,21.19,20.88,21.11,10850587.0
2025-07-21,21.01,21.09,20.64,20.66,9687701.0
2025-07-22,20.65,20.7,20.26,20.41,8686124.0
2025-07-23,20.66,21.16,20.66,20.76,9833553.0
2025-07-24,20.7,20.73,20.49,20.51,5155738.0
2025-07-25,20.73,20.73,20.5,20.73,6123875.0
2025-07-28,20.82,20.93,20.67,20.88,9781158.0
2025-07-29,20.94,21.1,20.72,20.85,10811190.0
2025-07-30,20.88,21.09,20.76,20.89,10137107.0
2025-07-31,20.92,21.2,20.66,20.69,6533110.0
2025-08-01,20.29,20.29,19.66,19.81,10447688.0
2025-08-04,20.03,20.06,19.83,20.02,7167652.0
2025-08-05,20.08,20.14,19.63,19.87,7883775.0
2025-08-06,19.86,20.31,19.65,20.13,9367206.0
2025-08-07,20.46,20.55,20.13,20.4,12098705.0
2025-08-08,20.56,21.02,20.51,20.81,9740353.0
2025-08-11,20.93,21.08,20.57,20.59,10263999.0
2025-08-12,20.9,21.44,20.74,21.32,12776176.0
2025-08-13,21.4,21.76,21.28,21.56,12256700.0
2025-08-14,21.24,21.48,21.13,21.32,4834387.0
2025-08-15,21.38,21.38,21.03,21.16,7450708.0
2025-08-18,21.11,21.67,21.1,21.63,9662620.0
2025-08-19,21.55,21.68,21.3,21.34,7997845.0
2025-08-20,21.6,21.62,20.44,21.04,13167145.0
2025-08-21,21.68,21.91,21.41,21.82,14585592.0
2025-08-22,21.87,22.69,21.84,22.45,14751328.0
2025-08-25,22.49,22.67,22.34,22.56,12007654.0
2025-08-26,22.55,22.75,22.4,22.5,9773971.0
2025-08-27,22.32,22.87,22.24,22.73,17836640.0
2025-08-28,22.82,23.31,22.7,23.16,20031829.0
2025-08-29,22.84,22.87,22.43,22.57,13554945.0
2025-09-02,22.05,22.71,21.92,22.68,19792854.0
2025-09-03,22.96,23.04,22.57,22.82,24946346.0
2025-09-04,23.9,24.18,22.68,23.16,44719974.0
2025-09-05,23.16,23.56,22.7,23.52,19008656.0
2025-09-08,23.6,23.78,23.05,23.5,13181516.0
2025-09-09,23.42,23.98,23.37,23.88,12501942.0
2025-09-10,24.01,24.68,23.93,24.44,16641427.0
2025-09-11,24.58,24.96,24.44,24.86,16265590.0
2025-09-12,24.86,25.1,24.73,24.73,14447427.0
2025-09-15,24.8,25.04,24.5,24.84,13351534.0
2025-09-16,24.91,24.97,24.34,24.43,13445939.0
2025-09-17,24.55,24.96,24.25,24.73,16421013.0
2025-09-18,25.0,25.35,24.89,25.24,14757553.0
2025-09-19,25.21,25.32,24.86,24.99,12829533.0
2025-09-22,24.96,25.36,24.9,25.16,15706994.0
2025-09-23,25.12,25.32,24.68,24.7,20545854.0
2025-09-24,24.89,25.07,24.37,24.46,19733275.0
2025-09-25,24.02,24.26,23.87,24.21,28580919.0
2025-09-26,24.08,24.15,23.8,24.0,17617917.0
2025-09-29,24.31,24.69,24.1,24.14,11389471.0
2025-09-30,24.1,24.57,23.98,24.56,19112753.0
2025-10-01,24.38,24.98,24.23,24.93,20582688.0
2025-10-02,25.17,25.31,24.41,24.48,13796549.0
2025-10-03,24.6,25.0,24.3,24.43,18132056.0
2025-10-06,24.97,25.26,24.76,24.79,11921810.0
2025-10-07,25.46,25.92,24.66,24.91,17765387.0
2025-10-08,24.86,26.44,24.85,26.08,24437418.0
2025-10-09,26.04,26.37,25.73,26.25,16046869.0
2025-10-10,26.25,26.37,24.39,24.4,30231732.0
2025-10-13,24.95,25.46,24.75,24.8,31257366.0
2025-10-14,24.38,25.37,24.28,25.0,30225590.0
2025-10-15,25.25,26.31,24.86,25.04,42126864.0
2025-10-16,22.97,23.49,22.11,22.5,65532558.0
2025-10-17,22.35,23.27,22.24,22.96,56430616.0
2025-10-20,23.07,23.11,22.44,22.87,50878704.0
2025-10-21,22.96,23.43,22.62,23.27,77433581.0
2025-10-22,23.14,23.25,22.6,23.09,41065558.0
2025-10-23,23.14,23.46,23.05,23.19,26574892.0
2025-10-24,23.66,23.7,23.27,23.5,16109905.0
2025-10-27,23.78,24.22,23.58,24.18,29569127.0
2025-10-28,24.25,24.7,23.69,24.25,33243589.0
2025-10-29,24.55,24.59,24.08,24.27,29099003.0
2025-10-30,24.15,24.75,24.04,24.41,30377960.0
2025-10-31,24.49,24.92,24.2,24.42,25245256.0
2025-11-03,24.62,24.78,24.11,24.5,22475052.0
2025-11-04,23.94,24.1,23.43,23.56,25884404.0
2025-11-05,23.6,24.03,23.39,23.71,20969855.0
2025-11-06,23.68,23.9,23.12,23.4,15788588.0
2025-11-07,23.27,23.53,22.79,23.45,17467432.0
2025-11-10,24.12,24.41,23.58,23.88,28861741.0
2025-11-11,23.7,23.75,22.76,22.89,24412855.0
2025-11-12,23.07,23.7,23.0,23.48,23966211.0
2025-11-13,23.27,23.6,22.65,22.93,27761741.0
2025-11-14,22.48,23.42,22.35,22.83,24237151.0
2025-11-17,21.94,22.19,20.73,21.23,39656608.0
2025-11-18,21.01,21.46,20.72,20.9,34913134.0
2025-11-19,20.82,21.15,20.57,20.6,21973607.0
2025-11-20,21.12,21.31,19.92,20.02,17712863.0
2025-11-21,20.18,20.79,19.95,20.52,17001010.0
2025-11-24,20.83,21.25,20.65,21.09,16572405.0
2025-11-25,21.11,21.45,20.93,21.36,15021432.0
2025-11-26,21.6,21.61,21.1,21.53,14080573.0
2025-11-28,21.59,21.94,21.54,21.87,5404517.0
2025-12-01,21.56,22.03,21.48,21.94,19483417.0
2025-12-02,22.23,22.24,21.84,21.92,12464579.0
2025-12-03,21.89,22.41,21.82,22.26,11551253.0
2025-12-04,22.31,23.09,22.3,22.9,25059955.0
2025-12-05,20.9,23.56,20.61,23.33,38710175.0
2025-12-08,23.14,24.37,23.05,23.86,20294887.0
2025-12-09,23.69,24.81,23.67,24.77,23711262.0
2025-12-10,24.74,25.41,24.58,25.26,24405504.0
2025-12-11,24.73,24.9,24.04,24.54,18865768.0
2025-12-12,24.39,24.44,23.68,23.87,28436851.0
2025-12-15,24.0,24.09,23.71,24.05,24738955.0
2025-12-16,23.92,24.5,23.83,24.3,28284202.0
2025-12-17,24.37,24.67,23.84,24.02,25198415.0
2025-12-18,24.1,24.19,23.38,23.92,19209716.0
2025-12-19,23.91,24.58,23.89,24.43,15387669.0
2025-12-22,24.67,24.8,24.38,24.7,11643245.0
2025-12-23,24.73,24.8,24.46,24.58,11006420.0
2025-12-24,24.6,24.7,24.44,24.44,4018292.0
2025-12-26,24.5,24.56,24.34,24.49,8018350.0
2025-12-29,24.25,24.53,24.13,24.33,7394802.0
2025-12-30,24.33,24.44,24.07,24.07,6532845.0
2025-12-31,24.02,24.24,23.84,24.02,10317554.0
2026-01-02,24.28,24.39,23.82,24.17,8418951.0
2026-01-05,24.22,24.41,23.73,24.13,13560548.0
2026-01-06,24.09,24.35,23.78,23.79,11717996.0
2026-01-07,23.71,23.8,22.43,22.43,16261682.0
2026-01-08,22.3,22.33,21.8,22.02,18725422.0
2026-01-09,22.1,22.39,21.76,22.17,16387603.0
2026-01-12,21.96,22.4,21.87,22.1,7982958.0
2026-01-13,22.5,22.72,22.23,22.29,7382576.0
2026-01-14,22.18,22.59,21.88,22.09,9683201.0
2026-01-15,22.42,22.55,21.94,21.95,9939098.0
2026-01-16,22.0,22.0,21.42,21.44,10772058.0
2026-01-20,20.99,21.11,20.07,20.39,20218472.0
2026-01-21,20.54,21.1,20.37,21.02,13737950.0
2026-01-22,21.3,21.94,21.3,21.36,11417323.0
2026-01-23,21.31,21.31,20.97,21.05,6642555.0
2026-01-26,21.07,21.42,21.02,21.37,6945281.0
2026-01-27,21.6,21.84,21.43,21.6,7241266.0
2026-01-28,21.75,21.92,21.53,21.71,10323549.0
2026-01-29,21.75,22.01,21.35,22.01,11413120.0
2026-01-30,21.63,21.81,21.26,21.52,12365119.0
2026-02-02,21.41,22.08,21.35,22.01,10453351.0
2026-02-03,22.19,22.49,21.66,21.78,15939709.0
2026-02-04,21.78,23.29,21.73,23.24,22996223.0
2026-02-05,22.92,23.1,22.16,22.71,17341137.0
2026-02-06,23.08,23.8,22.98,23.61,9856901.0
2026-02-09,23.41,24.07,23.3,23.91,8219570.0
2026-02-10,24.01,24.25,23.9,23.97,6102158.0
2026-02-11,24.23,24.38,23.29,23.81,9365376.0
2026-02-12,23.17,23.33,21.85,22.2,23835210.0
2026-02-13,22.23,23.0,22.03,22.69,12144102.0
2026-02-17,22.28,22.6,21.9,21.97,8368642.0
2026-02-18,21.78,22.02,21.46,21.55,11425927.0
2026-02-19,21.59,21.83,21.1,21.39,9023942.0
2026-02-20,21.28,21.94,21.26,21.37,8142608.0
2026-02-23,21.23,21.31,19.96,20.0,10607623.0
2026-02-24,20.03,20.39,19.84,20.25,9201232.0
2026-02-25,20.26,20.76,20.24,20.63,9842261.0
