date,open,high,low,close,volume
2025-02-26,29.27,29.31,28.55,28.73,2811683.0
2025-02-27,28.55,28.72,27.59,28.38,2736130.0
2025-02-28,28.65,28.77,28.17,28.63,2107622.0
2025-03-03,28.63,29.51,28.48,29.48,2090722.0
2025-03-04,29.75,29.87,28.89,28.9,1660800.0
2025-03-05,28.68,29.17,28.59,28.76,973979.0
2025-03-06,28.86,29.15,28.59,29.0,1029433.0
2025-03-07,28.88,30.31,28.88,29.94,1671352.0
2025-03-10,30.2,31.08,30.12,30.27,2218375.0
2025-03-11,30.2,30.22,29.73,29.92,1842564.0
2025-03-12,29.43,29.72,29.11,29.22,1663074.0
2025-03-13,29.3,29.75,29.22,29.49,1193368.0
2025-03-14,29.29,29.67,29.22,29.54,1526538.0
2025-03-17,29.61,30.2,29.54,29.96,1193582.0
2025-03-18,30.07,30.25,29.79,29.94,1370100.0
2025-03-19,29.77,29.91,29.6,29.77,1355268.0
2025-03-20,29.76,29.89,29.45,29.68,1307581.0
2025-03-21,29.62,30.06,29.52,29.98,3255818.0
2025-03-24,29.72,30.03,29.02,29.26,2184321.0
2025-03-25,29.31,29.34,28.76,28.81,1428582.0
2025-03-26,28.91,29.69,28.91,29.58,1133734.0
2025-03-27,29.85,30.44,29.77,30.32,1491784.0
2025-03-28,30.52,30.56,30.16,30.36,1266848.0
2025-03-31,30.58,31.23,30.51,30.94,1688537.0
2025-04-01,31.08,31.13,30.57,30.74,1265806.0
2025-04-02,30.76,30.91,30.38,30.62,1164522.0
2025-04-03,30.75,31.53,30.75,31.44,2274896.0
2025-04-04,31.38,32.07,30.57,30.74,2498025.0
2025-04-07,30.26,30.83,29.77,30.04,2295571.0
2025-04-08,30.43,30.45,29.04,29.32,2261144.0
2025-04-09,29.0,29.92,28.78,29.71,2659862.0
2025-04-10,29.71,30.26,29.09,29.51,3281926.0
2025-04-11,29.75,30.56,29.55,30.31,2146402.0
2025-04-14,29.9,30.83,29.85,30.55,2438757.0
2025-04-15,31.07,31.07,30.28,30.38,996605.0
2025-04-16,30.63,30.63,30.06,30.18,1135218.0
2025-04-17,30.17,30.69,30.11,30.58,1303264.0
2025-04-21,30.45,30.47,30.09,30.4,1095197.0
2025-04-22,30.43,30.77,30.32,30.71,1165436.0
2025-04-23,30.65,30.88,30.35,30.81,1085349.0
2025-04-24,30.63,30.71,30.08,30.19,1048807.0
2025-04-25,30.08,30.15,29.57,29.7,1002478.0
2025-04-28,29.64,29.79,29.37,29.52,1277735.0
2025-04-29,29.51,29.65,29.17,29.61,1205335.0
2025-04-30,29.88,30.04,29.35,29.9,1416223.0
2025-05-01,29.56,29.65,29.23,29.39,1401983.0
2025-05-02,29.54,29.64,29.23,29.31,1330033.0
2025-05-05,29.29,29.31,28.82,29.21,1418677.0
2025-05-06,29.13,29.31,29.02,29.15,855306.0
2025-05-07,29.18,29.35,28.97,29.11,1054758.0
2025-05-08,29.13,29.74,29.04,29.39,1327263.0
2025-05-09,29.25,29.52,29.18,29.21,876005.0
2025-05-12,29.18,29.65,29.02,29.55,1479449.0
2025-05-13,29.44,29.55,28.99,29.27,1442677.0
2025-05-14,29.13,29.3,28.9,29.16,2258480.0
2025-05-15,29.34,30.2,29.34,30.16,1822508.0
2025-05-16,30.13,30.55,30.01,30.53,1536625.0
2025-05-19,30.5,30.5,30.05,30.12,1458436.0
2025-05-20,30.09,30.46,30.05,30.14,2185912.0
