date,open,high,low,close,volume
2025-02-26,16.12,16.21,15.86,16.01,4873640.0
2025-02-27,16.1,16.33,15.98,16.0,6190456.0
2025-02-28,16.1,16.21,15.92,16.13,6340429.0
2025-03-03,16.26,16.54,16.13,16.14,7844856.0
2025-03-04,16.01,16.06,15.65,15.85,7484045.0
2025-03-05,15.79,16.18,15.78,16.08,4838162.0
2025-03-06,15.97,16.08,15.75,15.8,8937742.0
2025-03-07,15.83,16.35,15.77,16.33,5587924.0
2025-03-10,16.19,16.3,15.78,15.9,6813480.0
2025-03-11,15.89,15.99,15.25,15.34,7026741.0
2025-03-12,15.46,15.46,15.0,15.11,6904946.0
2025-03-13,15.09,15.25,14.46,14.52,7246188.0
2025-03-14,14.74,14.98,14.68,14.91,7036453.0
2025-03-17,14.9,15.36,14.9,15.3,4741327.0
2025-03-18,15.24,15.27,15.01,15.07,3812888.0
2025-03-19,15.06,15.31,15.04,15.12,4661733.0
2025-03-20,15.01,15.16,14.86,14.96,4948331.0
2025-03-21,14.78,14.8,14.25,14.69,9297099.0
2025-03-24,14.92,15.07,14.77,15.02,4183994.0
2025-03-25,15.07,15.14,14.7,14.8,3046962.0
2025-03-26,14.83,14.93,14.64,14.81,5904082.0
2025-03-27,14.72,14.8,14.43,14.53,6466638.0
2025-03-28,14.47,14.56,14.14,14.27,4567985.0
2025-03-31,13.97,14.29,13.83,14.21,5069757.0
2025-04-01,14.23,14.53,14.02,14.44,6284111.0
2025-04-02,14.25,14.7,14.23,14.65,9161284.0
2025-04-03,14.06,14.11,13.26,13.3,12189336.0
2025-04-04,12.87,13.31,12.27,13.14,15203649.0
2025-04-07,12.75,13.46,12.22,12.92,15055276.0
2025-04-08,13.28,13.4,12.51,12.7,10683514.0
2025-04-09,12.46,14.47,12.32,14.22,16155199.0
2025-04-10,13.9,14.1,13.05,13.45,9298634.0
2025-04-11,13.38,13.85,13.16,13.71,6513508.0
2025-04-14,13.86,14.08,13.47,13.78,7193757.0
2025-04-15,13.74,13.92,13.56,13.59,5280291.0
