date,open,high,low,close,volume
2025-02-26,177.53,177.75,170.38,171.29,1812037.0
2025-02-27,170.74,172.49,169.56,172.34,723980.0
2025-02-28,173.79,175.76,171.42,172.71,944668.0
2025-03-03,173.0,179.12,173.0,178.5,841195.0
2025-03-04,180.95,184.25,176.26,176.38,1611919.0
2025-03-05,176.33,178.6,175.08,177.03,532363.0
2025-03-06,178.57,180.28,176.02,180.01,437955.0
2025-03-07,179.78,189.48,179.61,185.06,1517257.0
2025-03-10,186.92,193.39,185.71,186.36,1512447.0
2025-03-11,185.99,186.49,179.22,179.54,1239322.0
2025-03-12,177.01,177.01,170.65,170.94,1045230.0
2025-03-13,170.59,174.23,170.59,171.94,739053.0
2025-03-14,171.59,175.0,170.09,170.22,704668.0
2025-03-17,170.0,172.17,168.85,170.49,439365.0
2025-03-18,170.76,171.7,168.76,169.42,386697.0
2025-03-19,167.77,168.55,165.65,167.35,572758.0
2025-03-20,167.25,167.78,163.79,164.47,756644.0
2025-03-21,164.26,167.86,164.26,167.18,853797.0
2025-03-24,166.85,168.74,164.51,168.01,585802.0
2025-03-25,167.54,167.54,164.43,165.23,517552.0
2025-03-26,165.09,169.7,165.09,168.52,473975.0
2025-03-27,169.8,171.55,168.01,170.62,353123.0
2025-03-28,172.0,173.55,169.23,169.86,531074.0
2025-03-31,170.75,172.77,169.35,171.03,763633.0
2025-04-01,171.69,172.2,168.52,169.62,423733.0
2025-04-02,169.97,171.25,163.43,163.95,850557.0
2025-04-03,163.65,167.48,162.27,166.83,1743272.0
2025-04-04,168.0,171.58,161.22,162.24,1355935.0
2025-04-07,160.7,165.01,157.06,162.6,1239015.0
2025-04-08,164.23,166.04,157.4,159.1,1007660.0
2025-04-09,158.47,166.38,157.07,164.16,915279.0
2025-04-10,163.63,166.43,160.89,164.09,729027.0
2025-04-11,164.56,166.9,162.65,165.65,547348.0
2025-04-14,166.0,171.26,165.58,170.3,552662.0
2025-04-15,170.3,171.5,166.72,167.95,616386.0
2025-04-16,168.66,169.51,163.62,164.23,481860.0
2025-04-17,165.86,167.14,162.77,166.59,536839.0
2025-04-21,166.37,166.68,164.72,166.47,328979.0
2025-04-22,166.85,168.92,165.74,167.44,376744.0
2025-04-23,167.02,168.66,164.97,166.6,372792.0
2025-04-24,165.95,166.24,163.7,163.99,339113.0
2025-04-25,163.52,164.35,161.5,163.28,441707.0
2025-04-28,163.56,164.42,161.26,163.06,649856.0
2025-04-29,163.07,165.72,160.77,165.07,583770.0
2025-04-30,165.47,168.15,165.03,167.19,1993224.0
2025-05-01,166.31,167.46,161.0,167.13,1363596.0
2025-05-02,166.74,167.59,160.92,163.35,1162147.0
2025-05-05,163.25,166.72,161.87,166.66,901561.0
2025-05-06,166.28,170.09,165.4,170.01,810000.0
2025-05-07,170.02,170.02,166.5,168.67,1382024.0
2025-05-08,168.39,170.31,167.22,170.12,972654.0
2025-05-09,169.0,171.14,168.36,170.9,657184.0
