date,open,high,low,close,volume
2025-02-26,131.63,135.23,131.18,131.98,1518297.0
2025-02-27,133.53,135.59,131.84,133.42,1466152.0
2025-02-28,133.39,136.77,132.6,136.6,2222258.0
2025-03-03,137.93,139.25,130.87,131.02,1738375.0
2025-03-04,127.66,129.94,123.03,127.02,3394723.0
2025-03-05,127.61,131.72,126.78,130.3,1580544.0
2025-03-06,127.61,129.12,123.73,124.49,1731695.0
2025-03-07,123.46,125.01,119.03,124.4,3244039.0
2025-03-10,121.0,123.31,120.32,122.31,2739261.0
2025-03-11,122.47,126.89,122.38,125.5,2244895.0
2025-03-12,129.0,129.37,125.09,127.93,1261109.0
2025-03-13,127.0,128.0,121.6,122.77,2145306.0
2025-03-14,125.0,126.75,123.13,126.51,1311696.0
2025-03-17,125.7,130.15,125.31,129.27,1096103.0
2025-03-18,128.14,129.0,124.34,128.25,1423075.0
2025-03-19,128.88,133.0,128.75,131.98,1276837.0
2025-03-20,130.32,133.36,129.9,131.67,1060086.0
2025-03-21,131.17,131.54,128.8,130.85,1255413.0
2025-03-24,133.27,136.49,132.38,136.1,1246630.0
2025-03-25,136.55,137.81,134.89,137.72,1340132.0
2025-03-26,137.87,138.06,133.83,134.14,1614336.0
2025-03-27,133.58,134.68,130.73,132.43,566001.0
2025-03-28,131.63,133.01,128.54,129.69,840185.0
2025-03-31,127.46,130.67,124.17,129.73,1558218.0
2025-04-01,128.93,131.99,128.02,131.78,1279325.0
2025-04-02,129.17,134.13,129.0,133.9,877591.0
2025-04-03,127.8,130.0,124.8,125.0,1217819.0
2025-04-04,115.95,117.22,109.42,112.33,4116057.0
2025-04-07,107.41,119.25,105.04,115.78,3536477.0
2025-04-08,122.23,122.95,112.69,114.62,2219604.0
2025-04-09,113.28,129.46,112.08,128.09,3205936.0
2025-04-10,124.72,127.45,120.34,124.19,1693455.0
2025-04-11,123.37,126.35,121.93,125.67,980042.0
2025-04-14,128.45,129.08,126.26,127.46,924843.0
2025-04-15,123.6,126.57,123.05,124.47,2207233.0
2025-04-16,123.9,126.3,122.24,123.93,1525508.0
2025-04-17,123.58,125.14,122.96,123.23,1296084.0
2025-04-21,122.49,122.99,118.09,119.47,1124351.0
2025-04-22,121.29,125.02,121.07,124.3,1063638.0
2025-04-23,129.19,132.31,127.5,129.7,1630731.0
2025-04-24,129.28,134.34,129.28,133.49,1193012.0
2025-04-25,134.3,136.46,133.74,135.76,788455.0
2025-04-28,138.27,139.61,135.06,136.35,1747910.0
2025-04-29,136.0,138.41,135.75,137.5,1246878.0
2025-04-30,135.1,138.97,134.81,138.58,1261383.0
2025-05-01,146.46,150.48,144.71,148.03,2585119.0
2025-05-02,150.21,154.73,150.21,154.07,2025264.0
2025-05-05,153.07,155.59,152.82,154.34,1013267.0
2025-05-06,151.32,156.8,150.62,155.8,1340387.0
2025-05-07,155.63,157.43,154.31,157.12,1642182.0
2025-05-08,158.69,159.04,157.05,157.5,1344735.0
2025-05-09,157.9,158.98,154.72,157.41,1244908.0
2025-05-12,160.62,161.58,155.61,156.96,3106454.0
2025-05-13,156.03,160.14,155.22,158.3,1840291.0
2025-05-14,158.79,160.83,158.12,159.46,1740064.0
2025-05-15,159.0,161.72,159.0,161.29,2792544.0
2025-05-16,161.13,162.91,160.59,162.8,874707.0
2025-05-19,162.5,166.38,160.4,166.24,1149412.0
2025-05-20,165.74,166.5,164.08,165.1,993758.0
2025-05-21,164.34,165.7,162.16,162.76,952730.0
2025-05-22,162.56,164.35,161.53,163.01,1193043.0
2025-05-23,161.58,166.03,160.01,165.09,1095912.0
2025-05-27,167.27,169.81,167.14,169.69,1464818.0
2025-05-28,169.75,171.52,169.35,170.32,1303416.0
2025-05-29,170.11,171.3,168.29,170.09,1878255.0
2025-05-30,169.54,170.79,167.89,169.89,1580151.0
2025-06-02,170.24,172.76,169.92,172.65,1062327.0
2025-06-03,172.56,174.66,170.17,172.61,1488552.0
2025-06-04,173.3,175.26,172.76,173.94,1098015.0
2025-06-05,174.98,175.44,173.18,175.01,1158357.0
2025-06-06,175.84,177.25,174.6,175.37,931749.0
2025-06-09,176.57,176.87,172.79,172.87,1268305.0
2025-06-10,171.5,173.41,166.86,168.62,3023618.0
