date,open,high,low,close,volume
2025-02-26,50.95,52.47,50.65,51.67,3561428.0
2025-02-27,52.41,52.79,50.69,50.88,2771588.0
2025-02-28,50.63,51.74,50.35,51.1,6263932.0
2025-03-03,52.29,52.91,50.17,50.38,3756276.0
2025-03-04,49.07,49.99,46.5,49.01,7321380.0
2025-03-05,48.93,49.44,48.32,49.17,4766304.0
2025-03-06,48.32,48.64,46.31,47.43,7291364.0
2025-03-07,47.0,48.11,45.58,48.04,7811508.0
2025-03-10,46.06,46.25,41.35,41.79,12788520.0
2025-03-11,42.34,43.41,41.67,42.59,7561992.0
2025-03-12,44.23,44.36,42.59,42.79,6708236.0
2025-03-13,42.9,42.9,39.76,40.26,8718820.0
2025-03-14,41.31,42.35,40.88,42.03,5085120.0
2025-03-17,41.94,43.93,41.94,43.6,4095328.0
2025-03-18,42.88,43.4,42.31,43.17,3192788.0
2025-03-19,43.26,45.24,42.8,44.54,2956016.0
2025-03-20,43.85,44.5,43.62,43.97,4055084.0
2025-03-21,43.28,43.47,42.61,43.34,5327008.0
2025-03-24,44.56,45.47,44.28,44.99,4096956.0
2025-03-25,45.34,45.93,44.5,44.85,4628600.0
2025-03-26,44.9,44.95,43.31,43.49,4805464.0
2025-03-27,43.13,43.25,41.6,42.25,8020104.0
2025-03-28,41.6,42.26,40.62,41.18,5836676.0
2025-03-31,39.82,41.66,39.3,41.4,3360836.0
2025-04-01,41.35,43.36,40.82,43.27,4990620.0
2025-04-02,42.6,44.4,42.24,43.58,2745764.0
2025-04-03,40.34,41.28,39.71,39.87,4826520.0
2025-04-04,37.87,38.08,35.36,36.52,7192304.0
2025-04-07,34.27,37.67,32.82,36.07,11310120.0
2025-04-08,38.19,38.79,36.02,36.76,7578140.0
2025-04-09,36.21,43.28,36.21,42.68,11119716.0
2025-04-10,41.2,42.8,40.02,41.08,8153580.0
2025-04-11,41.08,43.14,40.76,42.84,5569416.0
2025-04-14,44.24,44.3,42.73,43.25,3564248.0
2025-04-15,43.31,44.33,43.31,43.36,4651656.0
2025-04-16,39.85,40.82,38.3,39.48,17590088.0
2025-04-17,39.75,40.43,39.13,39.88,5069888.0
2025-04-21,39.31,39.45,38.1,38.38,3229404.0
2025-04-22,38.73,39.9,38.53,39.37,3571740.0
2025-04-23,41.32,42.28,40.19,40.43,3728956.0
2025-04-24,40.63,42.48,40.58,42.26,2732160.0
2025-04-25,42.13,42.6,41.88,42.32,2120636.0
2025-04-28,42.74,43.25,41.76,42.34,2682304.0
2025-04-29,42.09,43.19,41.9,42.95,2068708.0
2025-04-30,41.69,43.06,41.43,42.96,2295652.0
2025-05-01,43.19,44.27,43.1,43.59,3490904.0
2025-05-02,44.57,45.62,44.31,45.39,2911752.0
2025-05-05,44.85,45.57,44.47,44.88,2038492.0
2025-05-06,44.05,44.85,43.78,44.58,1982340.0
2025-05-07,44.48,45.35,44.45,44.95,2226776.0
2025-05-08,46.15,46.74,45.69,46.12,2296992.0
2025-05-09,46.17,46.74,46.1,46.4,1087788.0
2025-05-12,48.85,49.38,48.23,49.31,3469056.0
2025-05-13,49.48,51.31,49.36,50.7,2293920.0
2025-05-14,50.76,51.37,50.44,50.88,1802720.0
2025-05-15,50.53,51.79,50.36,51.75,1987824.0
2025-05-16,51.77,52.62,51.73,52.29,1539972.0
2025-05-19,50.85,52.32,50.78,52.0,2161496.0
2025-05-20,51.95,52.61,51.82,52.59,1775388.0
