date,open,high,low,close,volume
2025-02-26,55.04,56.02,54.95,55.73,3730968.0
2025-02-27,56.0,56.57,55.74,56.25,3784951.0
2025-02-28,55.98,56.54,55.2,56.35,4144157.0
2025-03-03,56.34,57.07,55.22,55.31,2981561.0
2025-03-04,55.0,55.17,51.18,51.3,4590628.0
2025-03-05,52.43,53.15,52.0,52.51,2736060.0
2025-03-06,52.49,53.11,51.68,51.71,2830983.0
2025-03-07,51.69,52.55,50.83,52.3,3439890.0
2025-03-10,51.1,51.36,48.62,49.9,4721411.0
2025-03-11,49.57,50.27,49.16,49.38,3535709.0
2025-03-12,49.77,51.08,49.65,50.63,2662363.0
2025-03-13,51.89,51.96,49.61,50.38,2748988.0
2025-03-14,51.08,51.89,50.75,51.41,2416213.0
2025-03-17,51.54,52.49,51.44,51.58,2010525.0
2025-03-18,51.69,52.35,51.35,52.04,2166372.0
2025-03-19,51.89,53.13,51.87,52.62,2006041.0
2025-03-20,52.56,52.77,52.14,52.29,1614656.0
2025-03-21,51.7,51.88,50.63,51.39,4189465.0
2025-03-24,51.52,53.01,51.28,52.83,3972996.0
2025-03-25,54.92,56.64,54.13,56.26,7449847.0
2025-03-26,55.43,56.1,54.75,55.41,5163870.0
2025-03-27,54.46,55.1,53.89,54.6,2712897.0
2025-03-28,54.53,54.83,52.85,53.21,2820769.0
2025-03-31,52.58,53.61,52.09,53.35,2156703.0
2025-04-01,53.4,53.69,52.06,53.65,1765240.0
2025-04-02,53.13,54.88,53.12,54.46,2033325.0
2025-04-03,51.73,51.96,48.1,49.18,6826736.0
2025-04-04,47.69,48.73,45.41,47.98,5159647.0
2025-04-07,45.73,48.89,44.32,46.74,3801119.0
2025-04-08,47.22,47.64,43.74,44.66,3984307.0
2025-04-09,44.2,49.64,43.27,49.02,5249413.0
2025-04-10,47.92,48.11,45.26,46.2,2955379.0
2025-04-11,45.72,47.07,44.94,46.84,2943579.0
2025-04-14,47.93,48.28,46.65,47.58,1848401.0
2025-04-15,47.58,48.29,46.73,46.87,1427917.0
2025-04-16,46.27,47.09,45.93,46.3,1611393.0
2025-04-17,46.11,47.09,46.11,46.28,1633845.0
2025-04-21,45.83,46.26,44.62,45.06,1000600.0
2025-04-22,45.54,46.75,45.42,46.48,1275747.0
2025-04-23,47.59,48.33,46.39,46.75,2108589.0
2025-04-24,46.51,47.84,45.99,47.63,1048950.0
2025-04-25,47.35,47.7,46.83,47.35,890398.0
2025-04-28,47.54,48.66,46.95,47.48,2002624.0
2025-04-29,47.55,48.29,47.17,47.63,2134585.0
2025-04-30,44.06,46.51,43.96,45.68,6391155.0
2025-05-01,45.0,45.19,43.79,43.89,3605668.0
2025-05-02,44.97,45.92,44.43,45.84,2165491.0
2025-05-05,44.55,45.07,43.81,44.27,4663360.0
2025-05-06,44.0,44.5,43.56,44.45,3334578.0
2025-05-07,44.8,45.02,43.74,44.02,2440069.0
2025-05-08,44.52,45.56,44.17,44.92,1930329.0
2025-05-09,44.41,44.5,43.5,44.27,2800155.0
2025-05-12,47.11,48.32,46.96,47.91,4143755.0
2025-05-13,48.05,48.42,47.51,48.0,3260676.0
2025-05-14,48.04,50.6,47.91,50.32,6682605.0
2025-05-15,49.85,50.12,49.37,49.57,4061847.0
2025-05-16,49.6,50.37,49.21,50.14,3094268.0
2025-05-19,49.47,50.74,49.34,50.49,2087163.0
2025-05-20,50.37,50.58,49.74,50.01,1574340.0
2025-05-21,49.56,49.88,48.58,48.66,2624626.0
2025-05-22,48.43,48.89,48.23,48.63,1478531.0
2025-05-23,47.37,47.96,47.34,47.67,1267324.0
2025-05-27,48.71,48.84,47.97,48.56,1768533.0
2025-05-28,48.45,48.69,47.7,47.72,2053395.0
2025-05-29,48.13,48.15,47.49,47.95,1691298.0
2025-05-30,47.62,48.21,47.32,47.81,2078476.0
2025-06-02,47.68,47.77,46.43,47.2,3319302.0
2025-06-03,47.23,47.63,46.65,47.32,2021022.0
2025-06-04,47.98,48.18,47.19,47.29,1874146.0
2025-06-05,47.47,47.58,46.71,47.1,2669243.0
2025-06-06,47.92,47.99,47.22,47.35,1637990.0
2025-06-09,47.54,48.46,47.24,48.0,1899282.0
2025-06-10,48.05,48.24,47.3,47.62,1369445.0
2025-06-11,47.6,47.89,46.84,47.08,1489357.0
2025-06-12,46.69,47.19,46.34,47.15,1575087.0
2025-06-13,46.34,46.79,45.6,45.89,1730639.0
2025-06-16,46.5,47.02,46.22,46.58,1361708.0
2025-06-17,46.03,46.41,45.67,45.93,1947899.0
2025-06-18,46.05,46.44,45.71,46.12,2106244.0
2025-06-20,46.44,46.6,45.76,45.83,3077042.0
2025-06-23,45.58,46.15,44.75,46.09,1766510.0
2025-06-24,46.89,46.89,46.25,46.59,1294902.0
