date,open,high,low,close,volume
2025-02-26,84.08,84.87,83.23,83.36,1183203.0
2025-02-27,83.4,84.67,82.82,83.09,1608389.0
2025-02-28,83.61,85.0,83.08,84.78,1453957.0
2025-03-03,85.46,85.97,81.91,82.6,1728745.0
2025-03-04,81.39,82.85,79.96,81.45,1842187.0
2025-03-05,81.85,84.59,81.49,84.43,1605326.0
2025-03-06,83.47,85.51,82.66,84.75,2693455.0
2025-03-07,84.23,85.4,82.3,85.23,2779788.0
2025-03-10,83.7,85.15,82.36,83.52,2973376.0
2025-03-11,83.21,84.08,81.83,82.89,1565041.0
2025-03-12,83.53,83.88,81.09,81.49,1560585.0
2025-03-13,81.25,82.06,79.79,80.0,1188964.0
2025-03-14,81.34,82.27,80.46,81.87,1035966.0
2025-03-17,81.84,83.56,81.61,82.97,856721.0
2025-03-18,82.61,82.8,81.09,81.61,971276.0
2025-03-19,81.95,82.54,80.93,82.13,1320460.0
2025-03-20,81.08,82.32,80.88,81.67,657462.0
2025-03-21,80.64,81.12,79.85,80.96,1188943.0
2025-03-24,81.98,82.89,81.33,82.23,1658213.0
2025-03-25,82.7,83.05,81.39,82.37,1002153.0
2025-03-26,82.32,83.16,81.15,81.38,959658.0
2025-03-27,81.08,81.6,79.85,81.3,1006067.0
2025-03-28,81.0,81.77,79.03,79.44,1077899.0
2025-03-31,78.2,80.56,77.18,80.03,1396837.0
2025-04-01,79.71,80.88,78.96,80.61,1094232.0
2025-04-02,79.42,82.07,79.42,81.7,839624.0
2025-04-03,77.94,78.36,73.0,73.52,3450699.0
2025-04-04,70.74,70.76,67.19,69.7,4329659.0
2025-04-07,68.26,72.01,65.64,67.94,4119075.0
2025-04-08,70.64,71.66,65.61,66.75,2857311.0
2025-04-09,65.89,74.14,65.7,73.32,4592834.0
2025-04-10,71.38,73.16,69.41,70.94,5258515.0
2025-04-11,70.95,73.44,69.12,73.0,2992378.0
2025-04-14,74.02,74.13,72.68,73.37,937568.0
2025-04-15,73.33,74.36,72.68,72.83,971950.0
2025-04-16,71.89,72.69,70.76,71.36,712288.0
2025-04-17,71.87,72.98,71.7,72.04,1140340.0
2025-04-21,70.89,71.26,68.97,69.72,1473003.0
2025-04-22,70.77,72.62,70.31,72.25,1143505.0
2025-04-23,75.2,76.58,73.2,73.37,1128620.0
2025-04-24,73.35,76.14,73.06,75.74,1009384.0
2025-04-25,75.28,76.05,74.61,74.98,2176822.0
2025-04-28,75.22,76.12,74.14,74.8,5557187.0
2025-04-29,74.1,75.36,73.89,74.86,5671607.0
2025-04-30,73.97,75.63,72.73,75.43,3132211.0
2025-05-01,76.05,77.39,75.35,76.21,3084092.0
2025-05-02,75.99,78.39,75.2,76.73,2897798.0
2025-05-05,76.31,77.98,75.98,76.95,2352258.0
2025-05-06,76.1,76.91,75.63,75.92,1873946.0
2025-05-07,76.43,78.15,76.26,77.86,3367200.0
2025-05-08,78.86,79.88,77.88,79.23,2334939.0
2025-05-09,79.62,80.32,79.06,79.32,2004126.0
2025-05-12,83.06,84.67,82.68,84.22,5061633.0
2025-05-13,84.5,85.37,84.04,84.5,1651265.0
2025-05-14,84.11,84.55,83.17,83.24,1312041.0
2025-05-15,83.0,83.54,82.67,83.0,1803222.0
2025-05-16,82.91,84.08,82.65,84.01,1178018.0
2025-05-19,82.84,83.95,82.71,83.55,1692578.0
2025-05-20,83.03,83.49,82.58,82.92,1462513.0
2025-05-21,82.02,82.63,81.06,81.19,2625845.0
2025-05-22,80.78,81.78,80.58,81.2,2833821.0
2025-05-23,79.72,80.96,79.46,80.38,2333095.0
2025-05-27,81.61,82.72,80.81,82.59,1836514.0
2025-05-28,82.71,82.97,81.59,81.84,1438917.0
2025-05-29,82.57,82.57,81.44,82.15,1593743.0
2025-05-30,81.73,81.9,80.96,81.64,1691821.0
2025-06-02,81.41,81.59,79.62,81.06,1509285.0
2025-06-03,81.25,82.22,80.81,81.95,1104357.0
2025-06-04,82.43,82.57,81.6,81.88,859204.0
2025-06-05,82.24,82.27,81.24,81.87,1116889.0
2025-06-06,83.2,83.54,82.85,83.12,1238505.0
2025-06-09,83.7,84.0,83.22,83.46,752535.0
2025-06-10,83.78,84.9,83.25,84.7,1633102.0
2025-06-11,84.9,84.9,82.88,83.2,1478704.0
2025-06-12,82.3,82.77,81.61,82.52,1002563.0
2025-06-13,81.38,81.93,80.21,80.5,1124462.0
2025-06-16,81.49,82.29,80.98,81.61,729952.0
2025-06-17,80.83,81.78,80.42,80.64,854014.0
2025-06-18,80.98,81.66,80.64,80.79,737349.0
2025-06-20,81.7,81.73,80.05,80.39,1055901.0
2025-06-23,80.4,82.07,79.74,81.93,843528.0
2025-06-24,82.65,84.1,82.15,83.69,1525789.0
2025-06-25,83.96,84.16,83.25,83.28,747706.0
2025-06-26,83.65,85.16,83.33,84.94,844445.0
2025-06-27,84.89,85.45,83.76,84.27,1113586.0
2025-06-30,83.97,83.97,83.08,83.18,1051483.0
2025-07-01,82.86,86.17,82.58,85.3,1616462.0
2025-07-02,85.46,86.59,85.07,86.55,1429475.0
2025-07-03,87.03,87.43,86.89,86.98,708731.0
2025-07-07,86.64,87.53,85.86,86.84,3442725.0
2025-07-08,87.07,87.77,86.73,87.01,1082046.0
2025-07-09,87.82,88.11,87.04,87.7,927498.0
2025-07-10,87.85,90.44,87.5,88.69,2118458.0
2025-07-11,87.74,89.16,87.71,89.02,1352000.0
2025-07-14,88.07,88.5,86.74,87.64,1363868.0
2025-07-15,88.12,88.24,86.28,86.3,1157080.0
2025-07-16,86.27,86.52,84.42,86.13,1379512.0
2025-07-17,86.33,87.84,86.08,87.75,1454863.0
2025-07-18,86.33,87.38,84.69,85.55,2708805.0
2025-07-21,86.38,86.38,83.89,83.89,1401874.0
2025-07-22,83.84,85.52,83.57,85.44,1513951.0
2025-07-23,86.4,87.26,85.76,86.83,1545936.0
2025-07-24,86.32,87.47,86.02,86.89,1453822.0
2025-07-25,87.26,88.36,86.84,88.27,1177555.0
2025-07-28,88.27,88.67,87.65,87.83,892755.0
2025-07-29,88.33,88.47,86.7,87.07,1196698.0
2025-07-30,87.3,87.5,85.33,85.76,1358739.0
2025-07-31,85.37,86.7,84.41,84.63,2856502.0
2025-08-01,79.2,79.35,73.87,74.98,8838877.0
2025-08-04,75.68,79.03,75.38,78.6,4544277.0
2025-08-05,78.44,78.51,76.75,77.65,2658351.0
2025-08-06,77.61,77.85,76.39,76.48,2657550.0
2025-08-07,77.42,77.43,76.11,76.28,1329090.0
2025-08-08,76.52,76.86,75.69,75.89,802307.0
2025-08-11,76.21,76.74,75.62,76.45,1551781.0
2025-08-12,77.1,79.24,76.8,78.43,1572037.0
2025-08-13,78.72,80.81,77.89,80.77,1875530.0
2025-08-14,79.88,80.34,79.22,80.2,2011300.0
2025-08-15,80.4,80.44,77.71,78.32,1581292.0
2025-08-18,78.22,79.13,77.81,78.89,1295079.0
2025-08-19,78.86,80.57,78.72,79.84,988865.0
2025-08-20,79.54,79.61,78.64,79.04,1616103.0
2025-08-21,78.91,79.12,77.27,77.45,1049402.0
2025-08-22,78.45,81.42,77.99,80.63,1310235.0
2025-08-25,80.76,81.0,79.68,79.68,747451.0
2025-08-26,79.7,81.27,79.42,81.13,1264713.0
2025-08-27,80.84,81.49,80.44,80.64,757578.0
2025-08-28,80.87,80.87,79.69,80.26,531123.0
2025-08-29,79.95,80.51,79.06,79.43,867113.0
2025-09-02,78.6,78.93,77.23,77.94,1193156.0
2025-09-03,77.58,78.11,76.87,77.38,693740.0
2025-09-04,77.39,79.7,77.15,79.2,1583635.0
2025-09-05,79.93,81.5,79.52,80.95,1823471.0
2025-09-08,80.95,81.28,79.21,80.38,2589021.0
2025-09-09,80.05,80.53,79.02,79.66,1988578.0
2025-09-10,79.68,81.12,79.37,80.24,1456981.0
2025-09-11,80.05,82.36,79.95,81.02,2655316.0
2025-09-12,80.81,81.3,78.76,78.79,2113268.0
2025-09-15,79.25,80.09,78.45,79.05,1696772.0
2025-09-16,78.94,79.4,77.49,77.7,1985934.0
2025-09-17,78.23,80.2,77.85,79.0,3532295.0
2025-09-18,79.76,81.59,79.34,81.53,2560971.0
2025-09-19,81.77,82.23,80.37,81.61,2957893.0
2025-09-22,80.63,81.93,79.82,81.8,2285438.0
2025-09-23,82.19,82.39,80.76,81.32,2900668.0
2025-09-24,81.07,81.83,80.62,80.91,2441269.0
2025-09-25,80.14,80.74,79.37,80.5,2136722.0
2025-09-26,81.17,82.58,80.38,82.3,1687159.0
2025-09-29,82.92,83.03,81.65,82.55,1623064.0
2025-09-30,82.36,83.0,81.37,82.62,2041107.0
2025-10-01,81.86,83.8,81.63,83.5,2057340.0
2025-10-02,83.25,84.58,82.55,84.18,1669026.0
2025-10-03,83.83,84.6,83.38,83.95,1682974.0
2025-10-06,84.0,84.62,83.36,83.41,2299447.0
2025-10-07,83.8,84.3,80.96,81.35,2046925.0
2025-10-08,81.52,81.88,80.25,80.99,1758366.0
2025-10-09,81.27,81.41,78.26,78.48,1192773.0
2025-10-10,78.94,79.47,75.92,76.1,1130682.0
2025-10-13,76.89,77.79,76.08,76.1,1663071.0
2025-10-14,74.78,77.59,74.42,77.24,2569701.0
2025-10-15,77.7,78.26,75.98,76.67,1452471.0
2025-10-16,76.97,77.61,74.98,75.81,1400941.0
2025-10-17,74.61,77.33,74.61,77.22,1602639.0
2025-10-20,77.97,78.85,77.79,78.47,869168.0
2025-10-21,77.78,80.61,77.76,79.56,924177.0
2025-10-22,79.63,80.57,78.1,78.13,1728836.0
2025-10-23,78.92,80.63,78.5,80.36,845503.0
2025-10-24,81.19,81.19,79.7,79.78,842601.0
2025-10-27,80.99,81.3,79.96,80.24,1913777.0
2025-10-28,80.75,80.75,78.44,78.85,2085407.0
2025-10-29,79.32,81.41,78.83,79.7,2599089.0
2025-10-30,79.35,81.08,78.53,78.73,3440837.0
2025-10-31,76.43,79.21,75.0,76.33,4247083.0
2025-11-03,76.0,76.76,74.7,76.0,3379971.0
2025-11-04,75.42,77.62,75.29,77.24,2362235.0
2025-11-05,76.93,79.84,76.93,78.4,2311487.0
2025-11-06,78.44,79.55,77.32,77.68,1747297.0
2025-11-07,76.87,77.89,76.04,77.5,1351757.0
2025-11-10,77.94,78.11,76.01,77.25,1479291.0
2025-11-11,77.15,77.51,76.59,77.33,1556976.0
2025-11-12,77.56,78.92,77.42,77.71,1721375.0
2025-11-13,77.23,78.22,75.74,76.2,1316936.0
2025-11-14,74.98,75.9,74.64,75.47,1032940.0
2025-11-17,75.0,75.15,73.36,73.67,1638985.0
2025-11-18,73.19,74.23,72.45,73.56,895765.0
2025-11-19,73.73,73.93,72.89,73.71,3301638.0
2025-11-20,73.31,75.56,73.31,74.54,2753575.0
2025-11-21,74.38,79.4,74.38,78.54,2050977.0
2025-11-24,78.59,78.77,76.79,77.74,2191147.0
2025-11-25,78.45,79.87,77.8,79.46,1078163.0
2025-11-26,79.25,80.43,79.08,79.87,1233957.0
2025-11-28,79.8,80.72,79.75,80.34,455631.0
2025-12-01,79.68,80.87,79.13,79.19,1095471.0
2025-12-02,79.29,79.74,78.17,79.18,1073811.0
2025-12-03,79.48,80.16,79.01,79.75,672536.0
2025-12-04,79.81,80.25,79.44,79.99,1105158.0
2025-12-05,79.85,80.12,79.36,79.86,783830.0
2025-12-08,79.77,80.22,78.89,79.31,1474785.0
2025-12-09,79.26,79.71,78.32,78.38,735945.0
2025-12-10,78.54,81.08,78.48,80.98,1131153.0
2025-12-11,81.47,83.54,80.61,83.44,1189912.0
2025-12-12,83.77,84.47,81.41,81.76,1411129.0
2025-12-15,82.13,82.37,80.98,81.63,1880402.0
2025-12-16,81.88,81.91,79.49,79.61,1142883.0
2025-12-17,79.39,80.37,77.68,78.12,1475500.0
2025-12-18,79.06,79.97,78.6,78.85,1855455.0
2025-12-19,78.81,79.55,78.31,79.28,1208586.0
2025-12-22,79.99,81.4,79.15,81.12,908576.0
2025-12-23,80.77,81.47,80.3,81.45,651074.0
2025-12-24,81.44,81.71,81.27,81.57,302981.0
2025-12-26,81.22,81.72,80.88,81.28,405307.0
2025-12-29,81.36,81.82,80.81,80.9,528465.0
2025-12-30,80.78,81.16,80.49,80.65,563928.0
2025-12-31,80.67,80.78,79.14,79.22,490540.0
2026-01-02,79.83,80.13,78.65,79.76,777711.0
2026-01-05,79.15,82.76,78.96,82.21,1121396.0
2026-01-06,82.08,83.47,81.09,83.43,1389712.0
2026-01-07,83.46,83.8,80.89,81.33,1052583.0
2026-01-08,81.3,84.55,80.9,84.37,1089309.0
2026-01-09,84.72,85.86,84.39,85.51,1273815.0
2026-01-12,85.3,86.42,84.95,86.04,951940.0
2026-01-13,86.25,87.18,84.95,85.83,1239588.0
2026-01-14,85.53,86.08,84.26,85.99,1449505.0
2026-01-15,86.4,87.67,86.4,87.32,834917.0
2026-01-16,87.03,88.44,87.03,88.16,1245343.0
2026-01-20,87.05,87.15,84.66,85.16,3586602.0
2026-01-21,86.36,90.85,85.93,89.82,2296111.0
2026-01-22,90.35,90.8,87.21,87.55,4332228.0
2026-01-23,87.65,87.93,86.81,87.21,1206470.0
2026-01-26,87.25,87.37,86.22,86.79,1540556.0
2026-01-27,85.84,87.35,85.84,86.27,2496786.0
2026-01-28,85.87,86.53,84.93,85.25,1875009.0
2026-01-29,86.32,88.87,85.41,88.87,6587354.0
2026-01-30,88.18,88.23,85.19,86.09,2107662.0
2026-02-02,86.09,89.16,86.04,88.94,1822526.0
2026-02-03,89.25,94.02,88.9,93.72,3828611.0
2026-02-04,95.0,99.44,94.64,97.41,8467599.0
2026-02-05,96.66,98.0,95.07,96.0,3402133.0
2026-02-06,97.41,99.31,96.94,98.5,4409638.0
2026-02-09,97.91,99.54,97.65,98.39,3224307.0
2026-02-10,98.69,99.51,97.57,97.8,5062568.0
2026-02-11,98.43,100.0,96.68,96.75,6556406.0
2026-02-12,97.87,99.42,93.97,94.21,5695346.0
2026-02-13,96.46,100.96,94.71,98.52,4722079.0
2026-02-17,97.11,99.74,97.11,98.76,2707732.0
2026-02-18,99.64,100.0,96.94,97.2,1436029.0
2026-02-19,96.67,97.44,95.13,96.2,1620645.0
2026-02-20,95.86,97.66,94.89,95.6,2115288.0
2026-02-23,95.36,96.21,93.75,93.94,1665198.0
2026-02-24,94.06,95.42,93.82,94.64,1430162.0
2026-02-25,94.93,95.33,92.18,93.02,1837984.0
