date,open,high,low,close,volume
2025-02-26,93.0,94.77,92.59,93.08,934766.0
2025-02-27,93.35,94.11,91.46,91.72,708742.0
2025-02-28,92.22,93.76,92.02,93.17,1116160.0
2025-03-03,92.84,93.16,90.0,90.21,1287537.0
2025-03-04,89.73,90.41,87.76,88.24,1602466.0
2025-03-05,87.66,89.5,87.21,88.31,1400767.0
2025-03-06,86.5,86.76,82.61,82.79,2235781.0
2025-03-07,83.2,84.83,81.5,84.38,2390401.0
2025-03-10,83.65,85.17,81.71,83.4,2027405.0
2025-03-11,83.36,85.14,82.67,84.51,1312025.0
2025-03-12,86.17,87.02,84.37,86.45,1164472.0
2025-03-13,86.14,87.05,84.94,85.1,1279706.0
2025-03-14,86.0,87.06,85.44,86.62,947864.0
2025-03-17,85.85,89.5,85.67,89.15,1131485.0
2025-03-18,88.69,89.65,87.4,87.62,939330.0
2025-03-19,87.52,89.52,86.67,88.61,608465.0
2025-03-20,88.59,89.37,87.67,88.43,898869.0
2025-03-21,87.98,88.15,86.54,87.54,1177593.0
2025-03-24,88.33,90.4,88.27,90.09,508130.0
2025-03-25,90.11,90.26,86.99,87.87,936417.0
2025-03-26,87.85,88.6,86.28,87.03,614549.0
2025-03-27,87.02,87.22,85.32,85.51,644943.0
2025-03-28,86.04,86.66,84.6,85.1,721886.0
2025-03-31,84.78,86.92,84.16,86.04,1095265.0
2025-04-01,88.3,88.3,84.17,86.89,1217794.0
2025-04-02,86.05,88.45,85.53,88.1,603847.0
2025-04-03,84.66,85.65,82.56,83.1,1111311.0
2025-04-04,81.24,81.59,77.14,77.19,1505735.0
2025-04-07,75.12,79.39,72.33,77.53,1870810.0
2025-04-08,79.5,82.17,76.02,76.93,2121565.0
2025-04-09,75.84,85.27,74.69,84.49,2146467.0
2025-04-10,82.59,83.0,78.89,81.63,1169466.0
2025-04-11,80.93,83.61,79.47,83.44,877199.0
2025-04-14,84.75,85.41,83.86,84.39,660220.0
2025-04-15,84.15,85.29,82.88,83.3,659474.0
2025-04-16,82.85,84.23,81.83,82.63,520970.0
2025-04-17,83.58,85.32,83.58,84.21,657898.0
2025-04-21,83.59,83.59,80.47,81.61,559952.0
2025-04-22,83.06,84.0,82.1,83.03,448801.0
2025-04-23,85.32,86.44,83.62,84.23,437489.0
2025-04-24,84.09,86.12,83.6,85.32,436038.0
2025-04-25,86.5,88.13,85.72,87.72,1169093.0
2025-04-28,87.33,88.82,87.22,88.47,665646.0
2025-04-29,87.73,89.05,87.36,88.27,714680.0
2025-04-30,87.4,90.15,86.5,89.67,1236751.0
2025-05-01,89.99,93.16,88.87,91.85,1456839.0
2025-05-02,93.24,97.11,93.24,95.76,1224073.0
2025-05-05,95.32,97.84,95.14,97.17,767196.0
2025-05-06,95.89,97.48,95.5,96.92,738887.0
2025-05-07,96.81,98.17,96.23,97.31,629659.0
2025-05-08,98.08,98.4,96.57,96.74,579624.0
2025-05-09,96.75,97.38,95.71,97.07,447101.0
2025-05-12,100.0,100.0,96.93,97.94,339456.0
2025-05-13,98.34,98.45,96.57,97.38,435979.0
2025-05-14,96.96,97.23,95.85,97.14,732286.0
2025-05-15,97.51,99.83,96.94,99.5,638112.0
2025-05-16,99.75,100.88,98.9,100.61,817846.0
2025-05-19,99.61,101.39,99.22,101.06,411366.0
2025-05-20,100.38,100.89,99.77,100.54,494706.0
2025-05-21,99.71,100.24,96.05,96.12,783846.0
2025-05-22,96.14,96.35,94.63,95.8,488941.0
2025-05-23,95.57,96.42,95.17,96.21,332268.0
2025-05-27,97.27,98.06,96.07,97.31,653123.0
2025-05-28,97.22,97.87,96.66,97.29,480678.0
2025-05-29,98.0,98.9,96.84,97.8,559122.0
2025-05-30,97.64,98.88,96.89,98.71,617102.0
2025-06-02,98.19,99.49,96.71,99.47,615188.0
2025-06-03,99.58,100.25,98.55,99.96,486867.0
2025-06-04,99.97,101.62,99.3,100.21,521651.0
2025-06-05,100.49,101.8,99.59,101.28,688768.0
2025-06-06,102.19,103.8,101.93,102.21,903660.0
2025-06-09,102.21,102.51,101.02,101.22,547810.0
2025-06-10,101.2,101.64,99.91,101.06,661497.0
2025-06-11,101.3,102.19,100.36,100.98,421683.0
2025-06-12,101.17,102.75,101.07,102.51,777771.0
2025-06-13,102.13,102.82,100.9,101.59,450283.0
2025-06-16,101.35,103.15,101.09,102.07,557221.0
2025-06-17,102.07,103.23,101.64,102.77,855733.0
2025-06-18,102.67,103.5,102.38,102.65,374049.0
2025-06-20,103.23,103.39,100.94,101.33,870501.0
2025-06-23,101.14,103.15,100.66,103.05,373306.0
2025-06-24,103.13,105.57,102.54,105.25,454705.0
2025-06-25,104.45,104.92,102.27,102.68,572592.0
2025-06-26,102.55,102.55,96.57,100.91,1728535.0
2025-06-27,101.01,103.25,100.73,102.3,848861.0
2025-06-30,102.29,102.65,100.68,102.57,1057881.0
2025-07-01,102.02,103.0,99.63,99.93,1092552.0
2025-07-02,99.79,99.95,98.6,99.61,1133696.0
2025-07-03,100.37,101.69,100.11,100.68,424909.0
2025-07-07,100.5,101.4,99.65,100.32,583785.0
2025-07-08,100.01,100.19,98.76,99.59,381948.0
2025-07-09,100.04,100.39,99.21,99.25,631243.0
2025-07-10,99.39,99.89,98.02,98.96,445161.0
2025-07-11,98.0,98.73,97.46,97.99,507007.0
2025-07-14,97.95,98.62,97.48,98.0,388688.0
2025-07-15,98.55,99.18,96.79,97.26,740651.0
2025-07-16,97.59,98.24,96.33,98.24,416475.0
2025-07-17,98.11,99.06,97.43,98.69,518330.0
2025-07-18,98.92,100.25,98.89,99.67,366614.0
2025-07-21,99.64,100.03,98.3,98.73,563086.0
2025-07-22,98.73,99.55,98.32,99.3,391179.0
2025-07-23,99.33,99.82,98.65,99.38,260558.0
2025-07-24,99.38,99.59,98.7,98.77,343423.0
2025-07-25,99.14,99.5,97.93,99.34,274576.0
2025-07-28,99.19,99.22,97.63,98.0,350048.0
2025-07-29,98.52,99.47,97.9,99.42,348260.0
2025-07-30,99.15,99.66,97.29,97.95,343805.0
2025-07-31,97.75,98.2,97.13,97.36,517275.0
2025-08-01,97.2,97.88,93.46,94.13,691974.0
2025-08-04,94.09,95.23,93.85,94.77,741978.0
2025-08-05,95.31,96.0,94.24,95.55,995493.0
2025-08-06,98.05,98.19,89.05,90.04,3009875.0
2025-08-07,90.13,92.01,89.22,91.83,1730329.0
2025-08-08,92.02,92.8,90.0,90.16,841069.0
2025-08-11,89.76,90.48,89.1,89.55,634477.0
2025-08-12,90.2,92.22,89.83,92.15,611837.0
2025-08-13,92.47,94.45,92.37,93.97,750010.0
2025-08-14,93.27,93.29,90.41,91.4,735408.0
2025-08-15,91.67,92.14,91.17,91.49,573217.0
2025-08-18,91.65,91.75,90.22,90.74,458267.0
2025-08-19,90.9,91.96,90.5,91.56,598550.0
2025-08-20,91.88,92.65,90.91,91.29,581850.0
2025-08-21,90.84,91.29,89.74,90.55,498285.0
2025-08-22,90.86,95.0,90.86,93.86,648536.0
2025-08-25,93.85,94.0,91.76,91.79,400704.0
2025-08-26,91.54,92.53,91.13,91.43,268579.0
2025-08-27,91.71,92.35,91.45,91.87,303026.0
2025-08-28,92.5,92.5,91.12,91.97,227914.0
2025-08-29,92.04,92.44,91.5,92.33,474329.0
2025-09-02,91.05,91.17,88.75,89.46,938884.0
2025-09-03,88.94,90.0,87.8,89.81,1007390.0
2025-09-04,89.91,91.15,89.64,91.08,577271.0
2025-09-05,92.27,93.53,91.31,92.18,425648.0
2025-09-08,92.1,92.5,90.52,92.43,573193.0
2025-09-09,92.24,96.8,92.12,96.67,814074.0
2025-09-10,96.56,99.16,96.52,97.43,775998.0
2025-09-11,97.6,99.14,97.52,98.83,463935.0
2025-09-12,98.66,99.6,96.68,96.69,466503.0
2025-09-15,96.27,100.5,96.07,99.82,1021750.0
2025-09-16,100.16,101.02,98.28,100.35,893536.0
2025-09-17,100.63,101.64,99.39,99.48,626507.0
2025-09-18,99.63,100.63,98.47,98.92,355744.0
2025-09-19,99.34,100.66,98.49,99.89,974933.0
2025-09-22,100.41,104.72,99.82,104.46,1077368.0
2025-09-23,103.96,104.74,103.36,104.09,518322.0
2025-09-24,103.5,103.7,101.21,101.23,580098.0
2025-09-25,100.58,102.13,100.37,100.8,508370.0
2025-09-26,101.0,101.96,100.45,100.93,494611.0
2025-09-29,101.57,101.79,99.7,100.35,840191.0
2025-09-30,100.76,102.16,100.46,101.94,440636.0
2025-10-01,101.75,103.26,101.16,102.26,508809.0
2025-10-02,102.37,103.43,102.14,103.3,434760.0
2025-10-03,103.77,106.35,103.42,104.8,801618.0
2025-10-06,104.92,107.09,104.83,106.37,594023.0
2025-10-07,106.69,106.83,105.15,105.89,389497.0
