date,open,high,low,close,volume
2025-02-26,85.08,86.52,84.84,84.91,2198470.0
2025-02-27,85.28,86.28,84.2,84.25,2428869.0
2025-02-28,84.29,85.71,83.96,85.66,2773970.0
2025-03-03,86.23,86.5,82.09,82.56,2293730.0
2025-03-04,81.1,82.59,79.29,80.9,2646196.0
2025-03-05,81.26,82.93,81.05,82.22,1712890.0
2025-03-06,80.96,82.21,80.69,81.07,1860926.0
2025-03-07,80.1,81.23,79.07,80.06,2856775.0
2025-03-10,77.89,78.8,77.25,77.92,2702057.0
2025-03-11,77.92,78.74,76.6,76.99,3642721.0
2025-03-12,78.5,79.93,78.0,78.68,2533328.0
2025-03-13,78.23,79.12,76.94,77.46,2018128.0
2025-03-14,78.9,79.86,78.37,79.65,1606391.0
2025-03-17,79.19,82.05,79.01,81.51,1622550.0
2025-03-18,80.76,81.68,80.23,81.61,1599925.0
2025-03-19,81.42,83.43,81.38,82.89,1910058.0
2025-03-20,81.93,83.39,81.85,83.15,1719113.0
2025-03-21,82.41,82.79,81.27,82.73,2310064.0
2025-03-24,83.79,84.58,83.3,84.52,1837856.0
2025-03-25,84.52,85.1,83.77,84.34,1683255.0
2025-03-26,84.26,84.8,82.46,82.76,1449956.0
2025-03-27,82.74,82.83,81.69,82.17,1799689.0
2025-03-28,81.78,82.04,79.38,79.69,1879545.0
2025-03-31,78.63,80.57,77.51,80.11,1834836.0
2025-04-01,79.72,81.45,79.07,81.4,2166966.0
2025-04-02,80.01,83.06,80.01,82.86,1982400.0
2025-04-03,78.09,79.5,76.94,77.23,3279937.0
2025-04-04,75.02,75.74,71.62,71.7,3876908.0
2025-04-07,70.1,74.2,68.03,72.03,3976814.0
2025-04-08,73.29,74.65,69.99,71.14,3145178.0
2025-04-09,70.71,79.93,70.08,78.83,4850405.0
2025-04-10,76.5,77.51,74.08,76.23,3716527.0
2025-04-11,76.03,78.13,74.84,77.72,1446444.0
2025-04-14,78.74,79.38,77.78,78.5,1970450.0
2025-04-15,78.61,79.84,78.38,78.59,1810885.0
2025-04-16,77.52,78.1,75.91,76.66,1849547.0
2025-04-17,76.94,77.86,76.59,76.83,3030827.0
2025-04-21,75.7,76.34,73.55,74.45,2463185.0
2025-04-22,75.69,76.88,75.17,76.61,1987128.0
2025-04-23,78.96,80.33,78.12,78.28,2167094.0
2025-04-24,78.08,80.61,77.99,80.36,1155975.0
2025-04-25,80.35,81.47,80.01,81.07,1463529.0
2025-04-28,81.33,81.95,80.19,81.1,1496086.0
2025-04-29,80.85,82.48,80.55,82.33,1346118.0
2025-04-30,82.47,84.02,81.54,83.9,2217742.0
2025-05-01,84.65,88.26,84.6,87.25,4663875.0
2025-05-02,88.16,89.38,88.06,88.92,3484025.0
2025-05-05,88.08,89.49,87.31,89.33,2219909.0
2025-05-06,87.93,89.24,87.93,88.81,2428087.0
2025-05-07,87.49,91.05,87.49,89.75,4685458.0
2025-05-08,90.81,92.41,90.35,91.24,2501686.0
2025-05-09,91.83,92.08,90.9,91.92,1246776.0
2025-05-12,95.33,95.5,94.35,95.28,2340365.0
2025-05-13,95.58,97.11,95.31,96.06,2662173.0
2025-05-14,96.06,96.69,95.64,96.35,2474399.0
2025-05-15,95.8,96.98,95.8,96.79,1361335.0
2025-05-16,96.78,97.95,96.3,97.93,1832000.0
2025-05-19,96.53,98.33,96.05,97.86,1656009.0
2025-05-20,97.75,98.19,97.05,97.65,2256198.0
2025-05-21,96.21,97.87,96.01,97.21,2675195.0
2025-05-22,97.03,98.53,96.7,97.93,3175783.0
2025-05-23,96.67,98.1,96.31,97.99,1599079.0
2025-05-27,99.3,101.05,98.74,101.02,2878736.0
2025-05-28,101.02,101.5,100.4,101.49,2880666.0
2025-05-29,102.26,102.36,100.46,102.14,2586931.0
2025-05-30,101.67,101.67,100.54,101.37,2267051.0
2025-06-02,100.9,101.0,99.1,100.39,2553419.0
2025-06-03,100.39,101.36,100.1,101.18,1731524.0
2025-06-04,102.07,102.97,101.23,102.33,1514642.0
2025-06-05,102.64,102.68,101.37,102.32,1776747.0
2025-06-06,103.28,103.84,102.5,103.79,1859890.0
2025-06-09,103.24,104.0,102.67,103.54,1456176.0
2025-06-10,103.81,104.01,101.64,102.9,1886533.0
2025-06-11,103.2,104.15,102.3,103.19,3022223.0
2025-06-12,102.97,103.95,102.81,103.6,1220411.0
2025-06-13,102.34,102.74,101.29,101.97,2122781.0
2025-06-16,103.33,105.19,103.25,104.49,2221450.0
2025-06-17,104.44,104.88,103.52,103.84,1354251.0
2025-06-18,103.97,104.84,103.28,103.48,1531979.0
2025-06-20,103.72,104.0,100.86,102.25,2901423.0
2025-06-23,101.96,103.43,101.25,103.35,2105611.0
2025-06-24,104.0,104.4,102.86,103.6,1145735.0
2025-06-25,104.02,104.02,102.99,103.35,2231562.0
2025-06-26,103.85,104.79,103.66,104.44,2538544.0
2025-06-27,104.75,105.89,104.5,105.07,1831791.0
2025-06-30,105.17,105.68,104.56,105.62,1922489.0
2025-07-01,105.22,106.07,103.59,104.67,2852463.0
2025-07-02,104.7,105.19,104.33,105.07,2025596.0
2025-07-03,104.98,106.96,104.98,106.71,1647505.0
2025-07-07,106.82,107.06,105.48,105.98,2023703.0
2025-07-08,106.43,107.09,104.7,105.5,3936941.0
2025-07-09,106.44,106.56,105.27,106.5,3543522.0
2025-07-10,106.76,107.2,105.56,106.33,2321276.0
2025-07-11,105.68,106.63,105.17,105.85,1147308.0
2025-07-14,105.78,106.68,105.15,106.26,1593338.0
2025-07-15,106.55,106.88,105.83,106.02,1607658.0
2025-07-16,106.23,107.36,105.19,107.28,2243105.0
2025-07-17,107.06,109.02,106.9,108.95,1668119.0
2025-07-18,108.95,109.4,108.35,108.96,1492238.0
2025-07-21,109.07,109.18,107.88,108.27,1316437.0
2025-07-22,108.01,108.51,105.4,108.3,2281616.0
2025-07-23,109.01,110.59,108.7,110.13,4259795.0
2025-07-24,109.43,110.67,109.06,110.02,2782117.0
2025-07-25,110.21,112.0,109.67,111.73,2192257.0
2025-07-28,112.0,112.63,111.01,111.52,3792992.0
2025-07-29,106.56,108.6,102.52,103.24,6470341.0
2025-07-30,102.68,105.2,102.09,104.02,4410914.0
2025-07-31,104.36,107.2,104.26,105.0,3557886.0
2025-08-01,104.27,107.48,103.36,106.48,3210755.0
2025-08-04,107.0,107.2,105.89,106.48,1547348.0
2025-08-05,107.0,107.0,103.72,104.84,2012031.0
2025-08-06,104.83,105.42,103.76,104.67,1711318.0
2025-08-07,105.58,105.94,104.01,104.31,1378229.0
2025-08-08,104.85,105.98,104.33,105.55,2094547.0
2025-08-11,105.44,105.98,105.13,105.71,1474860.0
2025-08-12,106.17,106.83,105.08,106.64,2205431.0
2025-08-13,107.28,107.87,104.68,105.77,3032646.0
2025-08-14,104.86,105.98,104.86,105.02,1975247.0
2025-08-15,105.44,105.44,103.38,103.52,2960904.0
2025-08-18,103.49,105.95,103.07,105.71,2268398.0
2025-08-19,105.54,105.99,103.96,104.52,2285491.0
2025-08-20,104.21,106.44,103.65,106.0,2872923.0
2025-08-21,105.71,106.45,104.57,104.75,1537848.0
2025-08-22,105.34,107.96,105.11,107.26,3286139.0
2025-08-25,107.03,107.62,106.37,106.4,1937481.0
2025-08-26,106.68,108.76,106.38,108.46,1921924.0
2025-08-27,108.24,110.35,108.06,109.27,2277602.0
2025-08-28,109.51,109.64,108.5,108.65,1678021.0
2025-08-29,108.68,109.17,106.23,106.89,1927877.0
2025-09-02,105.06,106.03,103.82,105.96,1896358.0
2025-09-03,106.01,106.29,104.8,105.34,1575573.0
2025-09-04,105.88,107.16,105.25,107.09,1403385.0
2025-09-05,107.26,107.69,104.03,106.23,2316853.0
2025-09-08,106.57,108.26,105.71,107.17,2151747.0
2025-09-09,106.69,107.21,104.51,106.29,1700858.0
2025-09-10,107.75,109.98,105.86,107.8,2118574.0
2025-09-11,108.02,109.29,107.24,107.82,2089614.0
2025-09-12,107.32,108.72,107.06,107.53,1215752.0
2025-09-15,107.81,108.06,106.55,107.81,1684885.0
2025-09-16,107.86,107.94,106.08,106.96,1547799.0
2025-09-17,106.94,108.37,106.42,107.41,1488769.0
2025-09-18,107.81,109.89,107.63,108.48,1572890.0
2025-09-19,109.19,109.19,107.03,108.69,1666901.0
2025-09-22,107.69,109.6,107.23,109.29,1395596.0
2025-09-23,109.17,110.33,107.44,108.29,2127943.0
2025-09-24,108.54,108.93,106.24,106.54,1818584.0
2025-09-25,105.63,106.0,104.58,105.77,2178908.0
2025-09-26,106.33,107.29,105.67,107.01,1644158.0
2025-09-29,108.24,108.88,107.44,108.16,977656.0
2025-09-30,108.4,110.01,108.22,109.95,1480070.0
2025-10-01,109.12,109.81,107.25,108.89,2288011.0
2025-10-02,109.41,110.25,107.45,108.66,1794042.0
2025-10-03,108.76,109.34,107.6,108.79,2035464.0
2025-10-06,110.11,111.22,109.47,109.58,1536014.0
2025-10-07,110.06,110.14,107.67,108.31,1267298.0
2025-10-08,108.58,109.91,107.0,108.43,1396252.0
2025-10-09,108.97,110.0,106.79,107.76,1490863.0
2025-10-10,108.42,109.34,105.41,105.55,1456713.0
2025-10-13,106.69,107.6,106.02,106.38,980590.0
2025-10-14,105.0,108.25,104.49,107.85,1299190.0
2025-10-15,108.78,111.13,108.7,110.82,2151345.0
2025-10-16,111.45,111.45,108.45,109.37,2210695.0
2025-10-17,108.87,109.69,107.77,108.83,2381566.0
2025-10-20,109.86,110.63,109.36,110.6,1618238.0
2025-10-21,110.22,111.59,109.73,111.18,1519079.0
2025-10-22,112.0,112.17,107.83,108.54,1568410.0
2025-10-23,108.8,110.71,108.46,110.55,1630229.0
2025-10-24,112.0,113.38,111.6,112.94,2385481.0
2025-10-27,114.07,114.6,112.39,113.05,1628601.0
2025-10-28,112.97,113.41,111.53,112.21,1169279.0
2025-10-29,112.07,114.31,112.07,113.34,1470019.0
2025-10-30,113.07,116.48,112.39,114.21,1535881.0
2025-10-31,113.8,115.16,113.8,114.39,1572754.0
