date,open,high,low,close,volume
2025-02-26,34.74,34.84,33.67,33.74,7347733.0
2025-02-27,32.81,33.88,32.7,33.61,46025233.0
2025-02-28,33.93,34.23,33.32,33.52,18515228.0
2025-03-03,33.31,34.36,33.3,34.13,12029178.0
2025-03-04,34.44,34.58,33.57,33.6,7877301.0
2025-03-05,33.35,33.81,33.25,33.3,4702864.0
2025-03-06,33.23,33.67,33.04,33.53,5892035.0
2025-03-07,33.46,34.07,33.19,33.34,7992922.0
2025-03-10,33.59,34.05,32.39,32.54,14124695.0
2025-03-11,32.64,33.43,32.38,33.24,10503022.0
2025-03-12,32.82,33.05,32.49,32.81,7221509.0
2025-03-13,32.87,33.13,32.36,33.11,8023053.0
2025-03-14,32.99,33.69,32.92,33.59,7620169.0
2025-03-17,33.53,33.99,33.52,33.84,5179364.0
2025-03-18,33.84,33.89,33.53,33.59,4389297.0
2025-03-19,33.54,33.68,33.13,33.47,4463139.0
2025-03-20,33.5,33.65,33.25,33.43,4238957.0
2025-03-21,33.55,33.68,33.06,33.55,7418606.0
2025-03-24,33.55,33.96,33.36,33.85,7787744.0
2025-03-25,33.8,33.91,33.54,33.83,7138935.0
2025-03-26,33.97,34.24,33.82,34.06,8750125.0
2025-03-27,34.19,34.38,34.11,34.26,6552876.0
2025-03-28,34.11,34.27,33.44,33.74,10427320.0
2025-03-31,33.98,34.37,33.83,34.22,8289243.0
2025-04-01,35.03,35.17,34.38,34.97,8634374.0
2025-04-02,35.05,35.21,34.58,35.14,10570288.0
2025-04-03,35.37,35.79,34.96,35.63,15056189.0
2025-04-04,36.02,36.12,33.78,33.81,9842612.0
2025-04-07,33.3,34.1,32.71,33.6,10270894.0
2025-04-08,33.81,34.32,33.24,33.57,12780563.0
2025-04-09,33.73,34.89,33.09,34.69,13768203.0
2025-04-10,34.72,35.28,34.23,34.75,9081988.0
2025-04-11,34.98,35.42,34.49,35.16,7247723.0
2025-04-14,35.21,35.84,35.09,35.71,8381231.0
2025-04-15,35.92,35.92,35.34,35.39,4622368.0
2025-04-16,35.6,35.71,35.0,35.11,6266256.0
2025-04-17,35.23,35.78,35.07,35.4,9070360.0
2025-04-21,35.49,35.62,34.98,35.31,5916501.0
2025-04-22,35.52,35.73,35.08,35.48,8886718.0
2025-04-23,35.38,35.54,34.72,35.19,15040592.0
2025-04-24,34.52,35.4,33.91,34.46,10427940.0
2025-04-25,34.76,34.76,34.16,34.4,5961809.0
2025-04-28,34.5,34.61,33.93,34.04,6771514.0
2025-04-29,34.07,34.37,33.56,34.23,6675136.0
2025-04-30,34.42,34.74,33.91,34.59,6085992.0
2025-05-01,34.29,34.39,33.99,34.04,5575874.0
2025-05-02,34.01,34.64,34.01,34.41,24364729.0
2025-05-05,34.56,34.71,34.27,34.45,13766366.0
2025-05-06,34.34,34.4,33.97,34.12,8227267.0
2025-05-07,34.42,34.42,33.82,34.04,6095937.0
2025-05-08,34.12,34.31,34.0,34.14,4463412.0
2025-05-09,34.05,34.12,33.51,33.54,6440437.0
2025-05-12,33.7,33.87,33.15,33.51,6305076.0
2025-05-13,33.53,33.76,33.06,33.08,6711479.0
2025-05-14,33.0,33.01,32.42,32.72,6726623.0
2025-05-15,32.87,33.57,32.85,33.54,4481155.0
2025-05-16,33.54,33.83,33.45,33.82,4853576.0
2025-05-19,33.81,33.94,33.74,33.83,4626318.0
2025-05-20,33.81,33.94,33.76,33.87,4275734.0
2025-05-21,33.96,33.96,33.43,33.59,5990223.0
2025-05-22,33.53,33.71,32.97,33.01,5649637.0
2025-05-23,32.95,33.06,32.67,32.92,5354925.0
2025-05-27,33.11,33.15,32.75,32.87,7328905.0
2025-05-28,32.88,33.05,32.63,32.73,4384168.0
2025-05-29,32.75,33.5,32.66,33.45,8393076.0
2025-05-30,33.55,33.82,33.33,33.67,7892643.0
2025-06-02,33.44,33.54,32.74,33.25,8925430.0
2025-06-03,33.05,33.15,32.69,32.82,9730811.0
2025-06-04,32.85,33.22,32.71,32.8,7794572.0
2025-06-05,32.78,32.88,32.48,32.56,5593743.0
2025-06-06,32.68,32.85,32.56,32.77,4722299.0
2025-06-09,32.72,33.02,32.64,32.97,5859511.0
2025-06-10,32.97,33.3,32.77,32.95,5426422.0
2025-06-11,32.88,32.92,32.48,32.86,7265941.0
2025-06-12,32.86,33.15,32.67,33.14,5235863.0
2025-06-13,33.01,33.39,32.95,33.02,5432962.0
2025-06-16,33.13,33.46,32.83,33.1,5114254.0
2025-06-17,33.02,33.18,32.75,32.87,4586901.0
2025-06-18,32.89,33.28,32.8,33.21,4717378.0
2025-06-20,33.48,33.9,33.22,33.58,8351572.0
2025-06-23,33.6,33.68,32.9,33.26,4965676.0
2025-06-24,33.28,33.62,33.17,33.55,6216254.0
2025-06-25,33.51,33.57,32.89,32.98,5336805.0
2025-06-26,33.08,33.2,32.97,33.04,6053543.0
2025-06-27,32.86,33.04,32.6,32.85,6437827.0
2025-06-30,32.89,33.16,32.81,33.06,6666950.0
2025-07-01,33.09,34.06,32.98,33.57,8703612.0
2025-07-02,33.68,33.93,33.47,33.84,5052117.0
2025-07-03,33.77,33.92,33.68,33.79,2693635.0
2025-07-07,33.83,33.97,33.57,33.78,9117709.0
2025-07-08,33.72,34.14,33.53,34.03,7287127.0
2025-07-09,34.07,34.09,33.18,33.65,9855293.0
2025-07-10,33.6,33.74,33.02,33.65,10562441.0
2025-07-11,33.5,33.65,33.26,33.49,5350081.0
