date,open,high,low,close,volume
2025-02-26,16.77,17.17,16.75,16.86,7947613.0
2025-02-27,16.92,17.44,16.9,16.98,7683106.0
2025-02-28,17.08,17.34,17.0,17.32,5882796.0
2025-03-03,17.35,17.61,16.78,16.98,8886246.0
2025-03-04,16.47,16.69,15.62,16.24,16686464.0
2025-03-05,16.24,16.39,15.83,16.26,12350317.0
2025-03-06,16.0,16.22,15.72,15.93,10780978.0
2025-03-07,15.83,15.87,15.23,15.73,15172438.0
2025-03-10,15.48,15.52,14.88,15.16,18004913.0
2025-03-11,15.19,15.35,14.87,15.16,11911205.0
2025-03-12,15.32,15.63,15.21,15.48,12055408.0
2025-03-13,15.53,15.61,15.13,15.15,9579324.0
2025-03-14,15.43,15.71,15.39,15.68,14977314.0
2025-03-17,15.68,15.88,15.53,15.8,8691618.0
2025-03-18,15.85,15.9,15.67,15.85,7442290.0
2025-03-19,15.87,16.24,15.76,16.05,6231098.0
2025-03-20,15.84,16.31,15.84,16.09,10487438.0
2025-03-21,16.0,16.28,15.87,16.15,14505005.0
2025-03-24,16.35,16.66,16.3,16.57,7624729.0
2025-03-25,16.58,16.75,16.43,16.57,9144072.0
2025-03-26,16.66,16.86,16.28,16.4,10411486.0
2025-03-27,16.34,16.46,16.1,16.17,10911172.0
2025-03-28,16.1,16.28,15.64,15.8,7910040.0
2025-03-31,15.55,16.06,15.38,15.99,11455781.0
2025-04-01,15.81,15.93,15.6,15.8,8690475.0
2025-04-02,15.53,16.1,15.53,16.07,10274395.0
2025-04-03,15.18,15.24,14.07,14.12,16892806.0
2025-04-04,13.6,13.66,12.72,13.47,18760196.0
2025-04-07,13.15,14.05,12.78,13.51,31737859.0
2025-04-08,14.02,14.32,12.98,13.23,25704091.0
2025-04-09,12.97,14.79,12.8,14.52,23639257.0
2025-04-10,14.08,14.13,13.26,13.74,16081397.0
2025-04-11,13.56,13.79,13.21,13.73,12972657.0
2025-04-14,14.04,14.21,13.83,14.06,14497130.0
2025-04-15,14.14,14.6,14.12,14.25,12028116.0
2025-04-16,14.12,14.47,13.89,14.07,13841413.0
2025-04-17,14.5,14.73,14.21,14.27,15503534.0
2025-04-21,14.05,14.21,13.68,13.79,10172534.0
2025-04-22,14.0,14.2,13.9,14.17,14631623.0
2025-04-23,14.63,15.14,14.46,14.52,13166501.0
2025-04-24,14.5,14.93,14.42,14.87,5898649.0
2025-04-25,14.7,14.87,14.63,14.72,5952607.0
2025-04-28,14.74,14.94,14.74,14.87,7516766.0
2025-04-29,14.78,15.04,14.65,14.94,8239923.0
2025-04-30,14.63,14.88,14.44,14.84,6763241.0
2025-05-01,14.82,15.12,14.72,14.99,7862391.0
2025-05-02,15.29,15.55,15.14,15.49,9820586.0
2025-05-05,15.33,15.79,15.29,15.56,10495165.0
2025-05-06,15.36,15.49,15.27,15.3,7406522.0
2025-05-07,15.39,15.48,15.16,15.23,8957433.0
2025-05-08,15.41,15.68,15.4,15.57,8216993.0
2025-05-09,15.64,15.64,15.39,15.49,10576875.0
