date,open,high,low,close,volume
2025-02-26,21.89,22.01,21.64,21.68,1680522.0
2025-02-27,21.73,21.91,21.56,21.61,1318831.0
2025-02-28,21.75,22.12,21.66,22.1,2825459.0
2025-03-03,22.04,22.34,21.86,22.05,3066270.0
2025-03-04,22.02,22.06,21.48,21.51,3506195.0
2025-03-05,21.35,21.77,21.3,21.71,2495199.0
2025-03-06,21.5,21.7,21.29,21.47,6334646.0
2025-03-07,21.29,21.8,21.17,21.43,5375651.0
2025-03-10,21.41,21.7,21.19,21.27,3566775.0
2025-03-11,21.32,21.47,20.44,20.62,4515111.0
2025-03-12,20.7,20.95,20.6,20.87,3728131.0
2025-03-13,20.89,21.02,20.02,20.13,3874516.0
2025-03-14,20.32,20.58,20.0,20.58,2827746.0
2025-03-17,20.41,20.8,20.41,20.74,2111026.0
2025-03-18,20.69,21.16,20.59,20.95,4225063.0
2025-03-19,20.87,21.16,20.69,20.97,2835679.0
2025-03-20,20.91,21.05,20.76,20.91,2614653.0
2025-03-21,20.81,20.94,20.46,20.75,4289567.0
2025-03-24,20.85,21.4,20.78,21.33,2614994.0
2025-03-25,21.39,21.5,21.02,21.19,2088494.0
2025-03-26,21.2,21.39,21.04,21.21,1959733.0
2025-03-27,21.26,21.39,20.91,21.01,4163107.0
2025-03-28,21.11,21.12,20.7,20.93,1371702.0
2025-03-31,20.95,21.33,20.81,21.24,1937278.0
2025-04-01,21.24,21.47,20.9,21.14,2681939.0
2025-04-02,21.08,21.52,20.95,21.45,2462903.0
2025-04-03,20.98,21.04,19.83,20.07,7243310.0
2025-04-04,19.84,19.94,19.21,19.32,7120370.0
2025-04-07,19.1,19.68,18.42,19.12,6950096.0
2025-04-08,19.58,19.97,18.44,18.7,5582211.0
2025-04-09,18.4,20.23,17.93,20.16,7974371.0
2025-04-10,19.8,20.3,19.19,19.77,5227432.0
2025-04-11,19.64,20.22,19.32,20.13,3664410.0
2025-04-14,20.42,20.45,20.06,20.29,3865443.0
2025-04-15,20.33,20.46,20.24,20.29,2763788.0
2025-04-16,20.33,20.52,20.04,20.16,5181904.0
2025-04-17,20.25,20.85,20.22,20.59,2516697.0
2025-04-21,20.31,20.45,19.92,20.09,3325373.0
2025-04-22,20.38,20.57,20.2,20.45,3470762.0
2025-04-23,20.59,20.95,20.41,20.51,3543154.0
2025-04-24,20.48,20.6,20.35,20.43,4798308.0
2025-04-25,20.43,20.43,20.06,20.35,3263759.0
2025-04-28,20.34,20.56,20.23,20.49,2951530.0
2025-04-29,20.42,20.49,20.03,20.08,4367946.0
2025-04-30,20.0,20.03,19.59,19.98,3675999.0
2025-05-01,20.22,21.21,19.94,20.95,7780873.0
2025-05-02,21.15,21.23,20.94,21.12,2879138.0
2025-05-05,20.95,20.98,20.65,20.72,2948218.0
2025-05-06,20.59,20.78,20.41,20.61,1583265.0
2025-05-07,20.68,20.81,20.56,20.65,2062737.0
2025-05-08,20.75,20.84,20.36,20.68,2900334.0
2025-05-09,20.68,20.89,20.57,20.82,1718379.0
2025-05-12,21.16,21.61,21.16,21.57,2882669.0
2025-05-13,21.68,21.68,21.19,21.46,4155278.0
2025-05-14,21.18,21.47,20.97,21.1,2813193.0
2025-05-15,21.08,21.43,21.07,21.39,1449025.0
2025-05-16,21.46,21.7,21.3,21.69,1699280.0
2025-05-19,21.45,21.74,21.44,21.67,1566827.0
2025-05-20,21.56,21.65,21.21,21.3,2548590.0
2025-05-21,21.18,21.21,20.55,20.61,1960635.0
2025-05-22,20.6,20.71,20.36,20.61,2205564.0
2025-05-23,20.43,20.55,20.35,20.48,1910096.0
2025-05-27,20.7,21.03,20.59,21.01,1810506.0
2025-05-28,21.06,21.06,20.81,20.98,1853152.0
2025-05-29,21.05,21.44,20.98,21.35,1952313.0
2025-05-30,21.28,21.34,21.09,21.26,2362161.0
2025-06-02,21.1,21.23,20.77,21.17,2338774.0
2025-06-03,21.01,21.15,20.96,21.05,1870287.0
2025-06-04,21.14,21.14,20.87,20.96,1859847.0
2025-06-05,20.96,20.96,20.65,20.82,2747017.0
2025-06-06,20.71,21.01,20.67,20.99,2817809.0
2025-06-09,21.04,21.19,20.88,21.05,2089919.0
2025-06-10,21.1,21.32,21.04,21.2,3962774.0
2025-06-11,21.37,21.46,20.9,20.99,3604882.0
2025-06-12,20.96,21.05,20.77,21.02,1703485.0
2025-06-13,20.84,20.93,20.62,20.83,1517079.0
2025-06-16,20.99,21.14,20.87,20.92,1573600.0
2025-06-17,20.91,21.02,20.69,20.78,1984994.0
2025-06-18,20.84,21.16,20.76,21.0,2503683.0
2025-06-20,21.12,21.22,20.81,20.89,5157589.0
2025-06-23,20.9,21.25,20.84,21.22,1602799.0
2025-06-24,21.28,21.41,21.2,21.24,1640981.0
2025-06-25,21.1,21.15,20.8,20.83,2702076.0
2025-06-26,20.87,21.07,20.81,21.02,2355426.0
2025-06-27,21.06,21.17,20.83,20.93,1992707.0
2025-06-30,20.91,21.04,20.61,21.02,1927911.0
2025-07-01,21.01,21.58,20.87,21.18,3775264.0
2025-07-02,21.34,21.5,21.16,21.44,3279346.0
2025-07-03,21.46,21.68,21.4,21.62,2043971.0
2025-07-07,21.57,21.67,21.16,21.21,1543174.0
2025-07-08,21.07,21.24,21.03,21.08,2828863.0
2025-07-09,21.2,21.27,21.06,21.15,2054907.0
2025-07-10,21.18,21.52,21.15,21.37,1809673.0
2025-07-11,21.24,21.52,21.08,21.48,2434060.0
2025-07-14,21.43,21.72,21.31,21.71,3424267.0
2025-07-15,21.74,21.78,21.13,21.17,2587430.0
2025-07-16,21.23,21.46,21.09,21.41,1852173.0
2025-07-17,21.41,21.72,21.35,21.66,1782701.0
2025-07-18,21.66,21.78,21.52,21.67,1531687.0
2025-07-21,21.67,21.86,21.58,21.62,1995742.0
2025-07-22,21.73,22.11,21.57,22.07,1883135.0
2025-07-23,22.12,22.18,21.98,22.12,1629235.0
2025-07-24,22.1,22.14,21.94,21.98,1477321.0
2025-07-25,21.98,22.14,21.63,21.78,2925202.0
2025-07-28,21.74,21.81,21.48,21.55,1769252.0
2025-07-29,21.69,22.0,21.57,21.93,3556765.0
2025-07-30,22.01,22.41,21.83,21.9,4901983.0
2025-07-31,21.46,22.09,21.18,21.23,4060352.0
2025-08-01,21.37,21.38,20.65,20.74,3371572.0
2025-08-04,20.8,21.2,20.78,21.05,3084252.0
2025-08-05,21.1,21.31,20.98,21.29,2447233.0
2025-08-06,21.36,21.47,21.29,21.33,3068928.0
2025-08-07,21.53,21.54,20.93,21.19,2562349.0
2025-08-08,21.2,21.23,20.73,20.81,2012242.0
2025-08-11,20.75,21.06,20.73,20.8,1959177.0
2025-08-12,20.89,21.14,20.8,21.13,1376674.0
2025-08-13,21.24,21.57,21.12,21.53,1980914.0
2025-08-14,21.33,21.39,21.0,21.16,2562726.0
2025-08-15,21.17,21.3,21.06,21.21,1767540.0
2025-08-18,21.27,21.36,21.1,21.11,1144920.0
2025-08-19,21.11,21.71,21.11,21.7,1392709.0
2025-08-20,21.75,21.87,21.56,21.63,1541751.0
2025-08-21,21.54,21.67,21.48,21.55,993885.0
2025-08-22,21.72,22.3,21.62,22.2,1610659.0
2025-08-25,22.15,22.26,21.98,22.2,1738287.0
2025-08-26,22.21,22.34,22.05,22.11,1856921.0
2025-08-27,22.17,22.45,22.14,22.38,1286928.0
2025-08-28,22.4,22.42,22.14,22.4,1766838.0
2025-08-29,22.42,22.52,22.28,22.49,1365156.0
2025-09-02,22.36,22.45,22.14,22.25,2321910.0
2025-09-03,22.15,22.49,22.13,22.48,1896230.0
2025-09-04,22.64,22.8,22.48,22.79,2034804.0
2025-09-05,22.7,22.97,22.56,22.76,2004012.0
2025-09-08,22.53,22.7,22.34,22.52,2044226.0
2025-09-09,22.57,22.6,22.24,22.36,1944869.0
2025-09-10,22.3,22.45,22.24,22.3,1519055.0
2025-09-11,22.24,22.55,22.23,22.46,1766840.0
2025-09-12,22.47,22.6,22.33,22.39,1792900.0
2025-09-15,22.38,22.46,22.26,22.34,1328872.0
2025-09-16,22.3,22.38,22.05,22.11,1505158.0
2025-09-17,22.13,22.38,21.92,21.95,1916975.0
2025-09-18,21.95,22.21,21.95,22.17,1429223.0
2025-09-19,22.22,22.28,21.91,21.94,2781582.0
2025-09-22,21.84,21.91,21.69,21.77,1704754.0
2025-09-23,21.78,21.97,21.71,21.9,1220061.0
2025-09-24,21.89,21.94,21.59,21.63,1473103.0
2025-09-25,21.64,21.79,21.45,21.48,1738981.0
2025-09-26,21.61,21.73,21.45,21.59,1897656.0
2025-09-29,21.6,21.71,21.47,21.67,1735486.0
2025-09-30,21.67,21.87,21.62,21.85,1395720.0
2025-10-01,21.7,21.91,21.43,21.52,2992773.0
2025-10-02,21.5,21.57,21.2,21.36,1473416.0
2025-10-03,21.38,21.7,21.38,21.47,1964938.0
2025-10-06,21.53,21.82,21.37,21.52,1628976.0
2025-10-07,21.49,21.54,21.23,21.37,1847080.0
2025-10-08,21.32,21.36,21.2,21.29,1198018.0
2025-10-09,21.27,21.41,21.12,21.23,1311519.0
2025-10-10,21.24,21.3,20.75,20.78,2265797.0
2025-10-13,20.85,21.09,20.75,21.05,1569797.0
