date,open,high,low,close,volume
2025-02-26,26.11,26.31,25.93,26.17,9255194.0
2025-02-27,26.27,26.55,25.88,26.21,11985664.0
2025-02-28,26.19,27.12,26.18,27.1,9700479.0
2025-03-03,27.5,27.89,26.94,27.14,11537232.0
2025-03-04,26.91,27.55,26.61,26.99,11719996.0
2025-03-05,26.8,26.96,26.22,26.73,8939942.0
2025-03-06,26.41,26.52,25.85,26.31,9587288.0
2025-03-07,26.36,26.5,25.53,26.14,9458724.0
2025-03-10,26.03,26.41,25.77,26.14,9391139.0
2025-03-11,26.15,26.8,26.1,26.41,9005013.0
2025-03-12,26.66,26.89,26.32,26.52,7695329.0
2025-03-13,26.6,26.78,26.34,26.54,7724368.0
2025-03-14,26.82,27.2,26.64,27.1,6000993.0
2025-03-17,27.04,27.88,26.97,27.79,6426371.0
2025-03-18,27.8,27.92,27.46,27.52,8552118.0
2025-03-19,27.64,27.94,27.46,27.85,6933815.0
2025-03-20,27.77,28.17,27.72,28.06,5663293.0
2025-03-21,27.99,28.08,27.76,27.93,7650753.0
2025-03-24,28.08,28.79,28.06,28.71,8153800.0
2025-03-25,28.83,29.13,28.65,28.83,7378367.0
2025-03-26,29.03,29.09,28.35,28.48,8093662.0
2025-03-27,28.49,28.56,28.07,28.23,5808373.0
2025-03-28,28.04,28.45,27.98,28.37,5701108.0
2025-03-31,28.11,28.68,28.09,28.53,6337614.0
2025-04-01,28.37,28.66,28.08,28.63,6045856.0
2025-04-02,28.38,28.94,28.36,28.92,5913559.0
2025-04-03,27.86,28.65,27.63,27.72,12245016.0
2025-04-04,26.72,27.09,25.11,25.29,22139338.0
2025-04-07,24.38,26.18,23.94,25.37,17370116.0
2025-04-08,26.27,26.53,24.81,25.21,12579533.0
2025-04-09,24.69,26.64,24.39,26.25,18358179.0
2025-04-10,25.9,26.35,25.11,25.79,13277406.0
2025-04-11,25.92,26.58,25.42,26.47,11271891.0
2025-04-14,27.0,27.05,26.61,26.8,8179418.0
2025-04-15,26.92,27.61,26.87,27.22,9018722.0
2025-04-16,27.09,27.46,26.81,26.95,8127098.0
2025-04-17,26.77,27.68,26.71,27.1,12521356.0
2025-04-21,26.86,27.01,25.42,25.79,13095607.0
2025-04-22,26.28,26.79,26.02,26.6,11547691.0
2025-04-23,26.85,27.13,26.41,26.6,9901210.0
2025-04-24,26.7,27.03,26.49,26.87,7513469.0
2025-04-25,26.72,26.9,26.59,26.85,6147209.0
2025-04-28,26.83,27.14,26.56,27.07,8796680.0
2025-04-29,26.87,27.33,26.84,27.21,7873437.0
2025-04-30,26.52,26.67,25.95,26.3,8942789.0
2025-05-01,26.09,26.88,26.02,26.3,10153818.0
2025-05-02,26.63,26.89,26.44,26.83,7610540.0
2025-05-05,26.56,27.0,26.27,26.87,11307125.0
2025-05-06,26.85,27.38,26.73,27.21,14141243.0
2025-05-07,27.28,27.77,27.23,27.62,9876733.0
2025-05-08,27.85,27.87,27.02,27.04,9571327.0
2025-05-09,27.31,27.43,26.96,27.31,5800118.0
2025-05-12,27.84,27.85,26.9,27.31,9380873.0
2025-05-13,27.4,27.73,27.33,27.5,8048265.0
2025-05-14,27.37,27.49,27.23,27.46,7194774.0
2025-05-15,27.21,28.03,27.21,28.0,8993484.0
2025-05-16,28.02,28.23,27.82,28.09,6107014.0
2025-05-19,27.88,28.04,27.65,28.0,4874964.0
2025-05-20,28.0,28.18,27.95,27.98,5153628.0
2025-05-21,27.87,27.96,27.46,27.47,7184487.0
2025-05-22,27.39,27.54,27.06,27.34,8007185.0
2025-05-23,27.26,27.9,27.2,27.86,6747826.0
2025-05-27,28.08,28.28,28.02,28.19,11012776.0
2025-05-28,28.3,28.35,27.88,27.95,8042162.0
2025-05-29,27.93,27.98,27.61,27.92,9421150.0
2025-05-30,27.79,28.24,27.79,28.04,8366556.0
2025-06-02,28.25,28.69,27.82,28.65,10528149.0
2025-06-03,28.66,28.7,28.45,28.56,6335356.0
2025-06-04,28.53,28.67,27.92,28.03,8936560.0
2025-06-05,28.13,28.37,27.92,28.24,6719538.0
2025-06-06,28.26,28.43,27.93,28.14,8890134.0
2025-06-09,28.1,28.13,27.42,27.53,9262215.0
2025-06-10,27.71,27.88,27.19,27.38,10261901.0
2025-06-11,27.51,27.66,27.37,27.52,9271582.0
2025-06-12,27.66,27.73,27.38,27.66,6507205.0
2025-06-13,27.89,28.03,27.35,27.64,9349417.0
2025-06-16,27.62,28.03,27.55,27.66,8551258.0
2025-06-17,27.83,27.92,27.43,27.47,8227185.0
2025-06-18,27.62,27.74,27.28,27.57,7527447.0
2025-06-20,27.63,28.16,27.53,28.01,8628536.0
2025-06-23,28.22,28.55,27.78,28.09,10087116.0
2025-06-24,27.94,28.65,27.89,28.54,9062585.0
2025-06-25,28.68,28.7,28.17,28.31,9734527.0
2025-06-26,28.34,28.9,28.26,28.89,9534695.0
2025-06-27,28.94,29.16,28.75,28.98,10285076.0
2025-06-30,29.08,29.58,28.92,29.4,9779186.0
2025-07-01,29.36,29.43,28.11,28.33,14385869.0
2025-07-02,28.33,28.56,27.88,28.5,11340306.0
2025-07-03,28.43,28.57,28.18,28.41,3685855.0
2025-07-07,28.4,28.54,28.18,28.33,6265988.0
2025-07-08,28.14,28.24,27.71,28.13,8807314.0
2025-07-09,28.21,28.26,27.62,27.8,8334352.0
2025-07-10,27.7,27.82,27.32,27.79,8658212.0
2025-07-11,27.76,27.93,27.64,27.84,7059465.0
2025-07-14,27.83,28.36,27.75,28.32,11075602.0
2025-07-15,28.28,28.35,27.77,27.94,11958885.0
2025-07-16,27.98,28.11,27.76,27.91,12445855.0
2025-07-17,27.2,27.68,26.89,27.49,18313496.0
2025-07-18,27.63,28.0,27.54,27.88,13429778.0
2025-07-21,27.76,27.82,27.0,27.11,10855854.0
2025-07-22,27.17,27.33,26.95,26.97,9509933.0
2025-07-23,26.87,26.99,26.48,26.81,16074601.0
2025-07-24,26.84,27.48,26.74,27.42,15463190.0
2025-07-25,27.53,27.7,27.26,27.39,12199502.0
2025-07-28,27.58,27.64,27.13,27.21,10908327.0
2025-07-29,27.4,27.95,27.27,27.88,12460220.0
2025-07-30,27.86,28.21,27.8,28.01,12832465.0
2025-07-31,27.61,28.12,27.6,28.06,10289015.0
2025-08-01,27.78,28.23,27.5,28.1,12668348.0
2025-08-04,28.11,28.46,28.02,28.28,12125286.0
2025-08-05,28.27,28.33,27.42,28.04,14763407.0
2025-08-06,27.11,27.38,26.67,26.75,32297492.0
2025-08-07,26.89,27.18,26.75,26.76,11585220.0
2025-08-08,26.92,27.07,26.67,26.89,11056381.0
2025-08-11,26.9,27.09,26.76,26.89,8318065.0
2025-08-12,26.9,26.92,26.27,26.56,10391192.0
2025-08-13,26.65,26.87,26.26,26.87,10197722.0
2025-08-14,26.81,27.1,26.68,26.85,11118365.0
2025-08-15,26.91,27.0,26.64,26.67,9623702.0
2025-08-18,26.55,26.55,26.18,26.23,7927097.0
2025-08-19,26.1,26.4,26.01,26.4,8380894.0
2025-08-20,26.41,26.73,26.31,26.57,13197418.0
2025-08-21,26.51,26.91,26.49,26.82,8314430.0
2025-08-22,26.9,26.99,26.63,26.7,8170748.0
2025-08-25,26.7,26.82,26.43,26.48,7063493.0
2025-08-26,26.54,26.67,26.14,26.62,8090368.0
2025-08-27,26.62,26.92,26.57,26.83,8203565.0
2025-08-28,26.87,27.05,26.73,27.01,8407216.0
2025-08-29,27.0,27.09,26.83,26.98,7543551.0
2025-09-02,26.73,26.98,26.55,26.74,7908368.0
2025-09-03,26.74,26.88,26.56,26.73,7359527.0
2025-09-04,26.87,27.15,26.61,26.71,9914759.0
2025-09-05,26.76,26.85,26.22,26.59,8822869.0
2025-09-08,26.75,27.09,26.28,26.48,8860659.0
2025-09-09,26.63,26.9,26.61,26.64,8284693.0
2025-09-10,26.62,27.46,26.62,27.38,8501790.0
2025-09-11,27.3,27.58,27.21,27.57,7709142.0
2025-09-12,27.6,27.82,27.49,27.58,6288886.0
2025-09-15,27.67,27.75,27.33,27.36,6814765.0
2025-09-16,27.41,27.41,27.07,27.21,8704690.0
2025-09-17,27.29,27.66,27.27,27.57,7244790.0
2025-09-18,27.57,27.88,27.48,27.67,6963853.0
2025-09-19,27.7,27.72,27.28,27.42,8644231.0
2025-09-22,27.34,27.46,27.17,27.18,6014456.0
2025-09-23,27.2,27.73,27.14,27.47,7279423.0
2025-09-24,27.63,28.03,27.61,27.82,10582572.0
2025-09-25,27.84,28.2,27.75,27.93,10225021.0
2025-09-26,28.18,28.51,28.03,28.21,10167335.0
2025-09-29,28.3,28.37,28.01,28.37,9600935.0
2025-09-30,28.28,28.48,28.19,28.31,11229749.0
2025-10-01,28.23,28.4,28.0,28.3,9762966.0
2025-10-02,28.24,28.91,28.14,28.22,9031144.0
2025-10-03,28.23,28.73,28.03,28.46,9734487.0
2025-10-06,28.59,28.62,27.93,27.93,7379209.0
2025-10-07,28.01,28.08,27.72,28.01,6677206.0
2025-10-08,27.84,28.19,27.61,28.14,10528341.0
2025-10-09,28.1,28.34,27.46,27.52,11605657.0
2025-10-10,27.5,27.8,27.09,27.1,10670615.0
2025-10-13,27.1,27.37,27.01,27.34,9427065.0
2025-10-14,27.09,27.38,27.0,27.31,7624422.0
2025-10-15,27.47,27.83,27.34,27.61,6259001.0
2025-10-16,27.62,27.74,27.0,27.21,10016381.0
2025-10-17,27.1,27.4,27.02,27.38,9786199.0
2025-10-20,27.65,27.87,27.35,27.52,12226080.0
2025-10-21,27.62,27.63,27.35,27.5,8404476.0
2025-10-22,27.56,27.67,27.12,27.56,10809026.0
2025-10-23,28.0,28.13,26.24,26.25,23398303.0
2025-10-24,26.48,26.48,25.76,25.86,15298225.0
2025-10-27,25.9,26.19,25.8,26.15,13317868.0
2025-10-28,26.18,26.18,25.82,26.08,11516975.0
2025-10-29,26.16,26.4,25.85,25.9,13640393.0
2025-10-30,25.94,26.33,25.73,26.08,11194766.0
2025-10-31,26.1,26.28,25.95,26.19,9960367.0
2025-11-03,25.98,26.09,25.6,26.08,12007071.0
2025-11-04,25.96,26.08,25.75,25.84,12635927.0
2025-11-05,25.8,26.22,25.65,25.92,14660304.0
2025-11-06,26.0,26.36,25.92,26.12,9231133.0
2025-11-07,26.12,26.61,26.03,26.55,8820987.0
2025-11-10,26.55,27.13,26.39,27.06,10026924.0
2025-11-11,27.14,27.2,26.79,26.94,9232251.0
2025-11-12,26.97,27.34,26.91,27.01,7857528.0
2025-11-13,27.08,27.2,26.82,26.89,11362125.0
2025-11-14,26.85,27.49,26.68,27.42,14575698.0
