date,open,high,low,close,volume
2025-02-26,64.48,64.94,63.68,63.8,3363308.0
2025-02-27,64.05,64.75,63.81,63.93,3191312.0
2025-02-28,64.4,65.25,64.17,64.82,2951094.0
2025-03-03,62.8,64.56,62.58,62.89,5652798.0
2025-03-04,63.0,64.07,62.74,63.18,3584726.0
2025-03-05,62.43,63.13,62.0,62.53,4074964.0
2025-03-06,62.61,65.87,62.61,63.78,7201432.0
2025-03-07,63.34,67.57,62.72,66.7,6461971.0
2025-03-10,67.16,68.51,66.26,67.72,6091445.0
2025-03-11,67.8,67.8,66.51,66.55,2815517.0
2025-03-12,65.99,66.75,64.95,64.99,2910552.0
2025-03-13,65.15,66.88,65.0,66.1,5318371.0
2025-03-14,66.06,66.49,64.49,65.1,4436423.0
2025-03-17,65.32,66.68,65.25,66.39,2233533.0
2025-03-18,66.27,67.15,65.93,65.99,3855378.0
2025-03-19,65.66,65.91,65.35,65.48,2703447.0
2025-03-20,65.48,65.83,64.52,64.72,3089067.0
2025-03-21,64.72,65.64,64.68,65.4,3612539.0
2025-03-24,65.33,65.66,64.81,65.4,2923989.0
2025-03-25,65.37,65.62,64.18,64.34,2699341.0
2025-03-26,64.65,66.23,64.65,66.03,2765453.0
2025-03-27,66.31,66.86,66.12,66.14,2731262.0
2025-03-28,66.3,66.99,65.72,66.72,3795562.0
2025-03-31,67.1,68.23,66.59,67.69,3980247.0
2025-04-01,66.82,68.19,66.81,68.14,2742999.0
2025-04-02,68.11,68.68,66.96,67.27,3124581.0
2025-04-03,67.89,70.95,67.89,70.74,10444717.0
2025-04-04,70.7,71.93,66.98,67.18,9234124.0
2025-04-07,66.0,67.41,64.91,66.46,6745344.0
2025-04-08,67.21,67.49,65.5,66.37,7749472.0
2025-04-09,65.42,69.5,65.22,65.83,8077412.0
2025-04-10,66.5,68.27,66.14,67.9,9535313.0
2025-04-11,68.2,68.87,66.86,68.22,5919664.0
2025-04-14,68.53,69.4,67.65,69.08,4974707.0
2025-04-15,68.76,69.34,68.0,68.14,5640036.0
2025-04-16,68.48,69.63,68.33,69.01,4174556.0
2025-04-17,68.9,71.68,68.83,71.22,7482763.0
2025-04-21,71.63,72.51,71.26,72.31,6233010.0
2025-04-22,72.53,73.63,72.17,72.98,4130122.0
2025-04-23,72.17,72.39,70.92,72.0,8895539.0
2025-04-24,71.78,72.19,71.07,71.35,6704774.0
2025-04-25,71.26,71.56,69.24,70.0,5932201.0
2025-04-28,70.48,70.73,69.56,70.37,3671579.0
2025-04-29,69.8,71.52,69.5,71.38,3247829.0
2025-04-30,71.8,72.57,71.34,72.21,3149407.0
2025-05-01,71.78,72.79,71.4,72.18,3105043.0
2025-05-02,72.56,72.9,71.27,72.02,3707255.0
2025-05-05,72.5,73.12,72.04,72.88,2766309.0
2025-05-06,72.94,73.13,72.5,72.97,1947969.0
2025-05-07,72.96,73.47,72.37,72.38,3235684.0
2025-05-08,72.36,72.89,71.78,71.81,2488248.0
2025-05-09,71.7,72.23,71.14,71.87,2152780.0
2025-05-12,70.86,70.87,67.7,69.04,5887248.0
2025-05-13,69.25,69.37,66.77,67.49,5432661.0
2025-05-14,67.55,67.61,65.85,66.34,5036727.0
2025-05-15,66.55,67.79,66.12,67.6,4852572.0
2025-05-16,68.1,68.85,67.4,68.85,4456718.0
2025-05-19,69.09,69.36,68.63,68.96,2406035.0
2025-05-20,69.76,70.32,69.36,69.5,3701505.0
2025-05-21,68.81,69.19,68.53,68.9,2645620.0
2025-05-22,69.1,69.32,67.76,67.95,2818528.0
2025-05-23,68.82,69.44,68.03,68.59,3061886.0
2025-05-27,68.45,68.58,67.03,67.83,3324918.0
2025-05-28,67.9,68.11,67.37,67.69,3064572.0
2025-05-29,67.2,67.2,66.02,66.95,4379817.0
2025-05-30,67.03,68.46,66.77,68.23,4142551.0
2025-06-02,68.1,68.49,67.36,68.2,4321677.0
2025-06-03,68.0,68.2,66.05,67.08,3954625.0
2025-06-04,66.99,67.1,66.13,66.34,3402561.0
2025-06-05,66.4,66.54,65.7,66.24,2869835.0
2025-06-06,66.15,66.4,65.59,66.15,2866869.0
2025-06-09,65.89,66.24,65.15,65.49,3875712.0
2025-06-10,65.65,65.87,65.03,65.43,2879526.0
2025-06-11,65.2,65.3,64.15,64.62,3899476.0
2025-06-12,65.15,65.28,64.47,65.06,3175653.0
2025-06-13,65.29,66.04,65.17,65.56,3717536.0
2025-06-16,65.65,66.26,65.31,66.01,3851544.0
2025-06-17,66.01,66.36,65.61,65.95,3753123.0
2025-06-18,66.0,66.18,65.21,65.52,6707480.0
2025-06-20,68.2,72.23,67.5,71.97,14669132.0
2025-06-23,72.12,74.11,71.63,74.0,7423799.0
2025-06-24,73.22,73.69,72.24,73.42,7171470.0
2025-06-25,73.25,73.26,72.19,72.22,3066745.0
2025-06-26,72.1,72.94,70.93,71.28,3256078.0
2025-06-27,71.15,71.61,70.68,71.42,3148986.0
2025-06-30,71.56,72.05,71.01,71.73,3266099.0
2025-07-01,72.09,72.5,70.89,71.35,3551733.0
2025-07-02,71.0,71.3,69.97,70.23,3854192.0
2025-07-03,69.78,70.04,68.62,69.83,2146054.0
2025-07-07,70.13,71.47,69.5,71.45,3266862.0
2025-07-08,71.0,71.18,69.69,69.74,3947631.0
2025-07-09,69.7,70.29,68.88,70.26,3854356.0
2025-07-10,69.94,71.17,69.73,70.71,3282178.0
2025-07-11,70.93,71.1,70.06,70.58,2452773.0
2025-07-14,70.86,72.43,70.31,72.27,4563578.0
2025-07-15,71.98,72.29,71.49,71.88,3426844.0
2025-07-16,71.7,72.08,71.18,71.91,3245076.0
2025-07-17,71.91,72.5,71.62,72.22,3657023.0
2025-07-18,72.11,72.85,71.14,71.39,2407443.0
2025-07-21,71.39,72.6,71.3,72.02,2252396.0
2025-07-22,71.96,73.3,71.8,72.61,2314090.0
2025-07-23,72.51,73.03,72.12,72.88,3014301.0
2025-07-24,73.26,73.45,72.37,72.38,2193766.0
2025-07-25,72.42,72.81,71.42,71.46,1890998.0
2025-07-28,71.39,71.44,69.11,69.32,4133243.0
2025-07-29,69.6,70.45,69.23,69.3,3501604.0
2025-07-30,69.31,69.57,68.69,69.3,3144146.0
2025-07-31,68.81,70.36,68.75,70.1,7201970.0
2025-08-01,70.5,71.69,70.5,71.36,4693373.0
2025-08-04,71.31,72.22,71.07,71.59,3574287.0
2025-08-05,71.67,72.31,71.23,71.75,3563426.0
2025-08-06,71.64,73.96,71.35,73.73,3043727.0
2025-08-07,73.31,74.25,73.2,73.76,3275150.0
2025-08-08,73.92,74.69,73.84,74.24,3032192.0
2025-08-11,74.38,74.9,74.11,74.35,2394196.0
2025-08-12,74.3,74.42,73.12,73.55,4683279.0
2025-08-13,70.6,71.5,68.38,70.33,10878466.0
2025-08-14,70.2,70.67,68.9,69.23,3176522.0
2025-08-15,68.92,69.96,68.74,69.69,2220770.0
2025-08-18,69.88,70.49,69.74,69.74,3656317.0
2025-08-19,69.82,71.15,69.82,70.72,3175404.0
2025-08-20,70.67,71.83,70.36,71.83,3220472.0
2025-08-21,71.71,71.87,71.08,71.42,2950914.0
2025-08-22,71.41,71.9,68.82,69.56,4218981.0
2025-08-25,69.66,70.47,69.63,70.14,2414304.0
2025-08-26,70.16,70.41,68.87,68.99,3951314.0
2025-08-27,68.99,69.34,67.31,67.98,4533504.0
2025-08-28,67.82,67.98,66.76,67.46,3553571.0
2025-08-29,67.69,67.89,67.1,67.84,2444260.0
2025-09-02,68.14,68.98,68.03,68.64,3734381.0
2025-09-03,68.35,68.58,67.17,68.2,3893769.0
2025-09-04,68.46,68.73,67.73,67.84,3561376.0
2025-09-05,67.92,68.2,67.31,67.75,2941131.0
2025-09-08,67.74,68.18,67.28,68.0,4187929.0
2025-09-09,67.86,67.9,66.72,67.63,4444521.0
2025-09-10,67.38,67.7,66.34,67.03,5880734.0
2025-09-11,69.0,69.89,66.15,67.23,8486054.0
2025-09-12,67.38,68.98,67.15,68.29,4976081.0
2025-09-15,68.29,69.09,67.13,67.41,4319517.0
2025-09-16,67.5,68.05,66.57,66.75,5562227.0
2025-09-17,67.81,68.02,66.61,66.96,5796017.0
2025-09-18,66.61,66.76,65.76,65.99,4924248.0
2025-09-19,65.76,65.98,64.88,65.58,6237836.0
2025-09-22,65.58,65.6,64.5,64.52,3750558.0
2025-09-23,64.46,65.47,64.37,65.35,3291257.0
