date,open,high,low,close,volume
2025-02-26,23.4,23.44,22.89,23.22,9663383.0
2025-02-27,23.06,23.25,22.83,23.14,12191307.0
2025-02-28,23.25,23.63,23.14,23.6,11438080.0
2025-03-03,23.5,23.89,23.47,23.79,8575651.0
2025-03-04,23.92,24.36,23.41,23.42,11203596.0
2025-03-05,23.43,23.48,22.82,23.04,11860635.0
2025-03-06,23.09,23.24,22.94,23.18,6778264.0
2025-03-07,23.03,23.61,23.02,23.42,11625819.0
2025-03-10,23.53,24.36,23.44,23.92,13317818.0
2025-03-11,24.05,24.15,23.38,23.49,12524144.0
2025-03-12,23.08,23.3,22.77,23.07,9339468.0
2025-03-13,23.1,23.35,22.94,23.18,12250951.0
2025-03-14,23.22,23.25,22.71,22.81,11910726.0
2025-03-17,22.97,23.66,22.78,23.41,11152289.0
2025-03-18,23.4,23.68,23.29,23.34,11645776.0
2025-03-19,23.19,23.53,23.15,23.53,5918304.0
2025-03-20,23.44,23.67,23.22,23.39,12089580.0
2025-03-21,23.3,23.38,22.96,23.31,14182960.0
2025-03-24,23.15,23.59,23.09,23.37,9288989.0
2025-03-25,23.47,23.49,22.97,23.1,10902167.0
2025-03-26,23.1,23.42,22.8,23.4,6271969.0
2025-03-27,23.46,23.7,23.41,23.5,10060332.0
2025-03-28,23.6,23.77,23.43,23.7,11729834.0
2025-03-31,23.84,24.04,23.62,23.98,10806721.0
2025-04-01,24.02,24.04,23.76,23.88,6870979.0
2025-04-02,23.85,24.08,23.61,23.87,11121277.0
2025-04-03,23.87,24.23,23.32,23.62,16936436.0
2025-04-04,23.67,23.78,22.27,22.33,11660295.0
2025-04-07,22.01,22.47,21.37,21.77,20884707.0
2025-04-08,22.1,22.22,21.28,21.49,9958677.0
2025-04-09,21.21,22.16,20.96,21.78,16592870.0
2025-04-10,21.7,22.11,21.41,21.87,12418615.0
2025-04-11,21.98,22.24,21.63,22.09,8972106.0
2025-04-14,22.37,22.89,22.19,22.71,11372998.0
2025-04-15,22.71,23.12,22.56,22.91,17970583.0
2025-04-16,23.06,23.21,22.62,22.73,22099046.0
2025-04-17,22.72,23.53,22.72,23.39,16715457.0
2025-04-21,23.33,23.38,22.02,22.27,12424749.0
2025-04-22,22.56,23.23,22.44,23.19,13967643.0
2025-04-23,22.96,23.19,22.74,22.94,7602201.0
2025-04-24,22.92,22.94,22.54,22.75,12124564.0
2025-04-25,22.88,23.46,22.38,23.01,18446819.0
2025-04-28,22.98,23.23,22.9,23.11,6258711.0
2025-04-29,22.98,23.44,22.6,23.38,9911660.0
2025-04-30,23.5,23.72,23.18,23.6,5746243.0
2025-05-01,23.35,24.04,23.16,23.96,11347815.0
2025-05-02,24.06,24.2,23.67,23.98,10045328.0
2025-05-05,23.94,23.98,23.41,23.64,11371787.0
2025-05-06,23.48,23.7,23.37,23.57,11082247.0
2025-05-07,23.51,23.63,23.0,23.11,28814579.0
2025-05-08,24.5,25.17,23.97,24.06,25795877.0
2025-05-09,24.05,24.5,24.01,24.44,19918634.0
2025-05-12,24.26,24.61,23.9,24.0,11226065.0
2025-05-13,23.9,24.0,23.5,23.66,13614624.0
2025-05-14,23.4,23.57,23.09,23.2,8024862.0
2025-05-15,23.43,24.0,23.32,23.88,14019786.0
2025-05-16,24.02,24.23,23.9,24.18,14440651.0
2025-05-19,24.22,24.27,23.88,24.0,15210418.0
2025-05-20,24.0,24.19,23.92,24.13,12384260.0
2025-05-21,24.08,24.36,23.93,24.0,9088059.0
2025-05-22,24.0,24.03,23.47,23.5,9232509.0
2025-05-23,23.64,23.77,23.4,23.73,6850183.0
2025-05-27,23.86,24.0,23.63,23.93,8951517.0
2025-05-28,23.92,23.94,23.4,23.55,7723512.0
2025-05-29,23.51,23.73,23.47,23.58,13593710.0
2025-05-30,23.68,23.9,23.46,23.87,11087086.0
2025-06-02,23.65,23.78,23.35,23.67,7106322.0
2025-06-03,23.63,23.63,21.81,22.21,33559011.0
2025-06-04,22.28,22.43,21.65,21.68,19648982.0
2025-06-05,21.68,21.91,21.34,21.65,13005215.0
2025-06-06,21.69,21.91,21.65,21.73,6735314.0
2025-06-09,21.59,21.67,21.28,21.3,11345641.0
2025-06-10,21.39,21.59,21.3,21.52,10618158.0
2025-06-11,21.52,21.86,21.46,21.85,18069119.0
2025-06-12,21.75,22.14,21.67,22.04,21791200.0
2025-06-13,21.96,22.07,21.33,21.45,31845195.0
2025-06-16,21.65,22.03,21.44,21.65,9738280.0
2025-06-17,21.6,21.82,21.42,21.44,11982298.0
2025-06-18,21.41,21.54,21.12,21.36,10698289.0
2025-06-20,21.39,21.7,21.34,21.39,10137642.0
2025-06-23,21.4,21.47,21.03,21.37,7724198.0
2025-06-24,21.29,21.49,21.12,21.19,9428409.0
2025-06-25,21.13,21.39,21.0,21.17,11918620.0
2025-06-26,21.17,21.18,20.93,21.11,11814660.0
2025-06-27,21.16,21.22,20.81,20.88,13963666.0
2025-06-30,20.86,21.01,20.73,20.93,15656923.0
2025-07-01,20.94,21.34,20.9,20.97,13225638.0
2025-07-02,20.98,21.03,20.69,20.9,14057542.0
2025-07-03,20.99,21.13,20.85,21.05,3764371.0
2025-07-07,21.01,21.15,20.81,20.9,7512970.0
2025-07-08,20.75,20.85,20.48,20.7,10215658.0
2025-07-09,20.8,20.87,20.51,20.76,10421258.0
2025-07-10,20.79,21.1,20.75,20.92,8883131.0
2025-07-11,20.82,21.48,20.64,21.34,18933747.0
2025-07-14,22.55,22.59,20.96,21.82,45933293.0
2025-07-15,21.57,21.83,21.17,21.39,23724994.0
2025-07-16,21.31,21.92,21.29,21.85,16405073.0
2025-07-17,21.83,22.02,21.62,21.85,9547294.0
2025-07-18,21.95,22.23,21.9,22.0,8389169.0
2025-07-21,21.97,22.3,21.8,22.13,6922914.0
2025-07-22,22.02,22.71,22.0,22.67,9167398.0
2025-07-23,22.71,22.79,22.35,22.54,8480441.0
2025-07-24,22.57,22.65,22.41,22.5,4730273.0
2025-07-25,22.46,22.87,22.31,22.84,6343686.0
2025-07-28,22.63,22.74,22.35,22.36,6083490.0
2025-07-29,22.38,22.44,21.53,22.17,19021666.0
2025-07-30,22.18,22.35,21.67,21.68,10333224.0
2025-07-31,21.48,21.86,21.32,21.44,11387390.0
2025-08-01,21.71,21.75,21.4,21.59,10312278.0
2025-08-04,21.44,22.29,21.42,22.18,13281127.0
2025-08-05,22.14,22.22,21.64,21.64,8445731.0
2025-08-06,21.68,21.78,21.41,21.44,21105850.0
2025-08-07,21.38,21.96,21.12,21.76,24839046.0
2025-08-08,21.62,21.83,20.96,21.34,14353419.0
2025-08-11,21.38,21.44,20.97,21.22,10460960.0
2025-08-12,21.25,21.93,20.99,21.9,12232346.0
2025-08-13,21.76,21.96,21.38,21.71,9582986.0
2025-08-14,21.56,21.6,20.82,21.06,11922380.0
2025-08-15,21.2,21.29,20.99,21.2,7704799.0
2025-08-18,21.18,21.29,20.97,21.1,6451662.0
2025-08-19,21.2,21.54,21.09,21.49,8105546.0
2025-08-20,21.57,21.85,21.4,21.63,7215499.0
2025-08-21,21.43,21.59,21.35,21.44,5610074.0
2025-08-22,21.51,21.78,21.47,21.61,4478354.0
2025-08-25,21.54,21.63,21.16,21.19,5752013.0
2025-08-26,21.26,21.4,20.75,20.79,10517668.0
2025-08-27,20.78,20.95,20.71,20.75,9020475.0
2025-08-28,20.77,20.81,20.43,20.54,9953528.0
2025-08-29,20.55,20.76,20.5,20.71,6904692.0
2025-09-02,20.66,20.82,20.59,20.78,7512446.0
2025-09-03,20.69,20.79,20.41,20.45,14085212.0
2025-09-04,20.53,20.57,20.26,20.54,11012264.0
2025-09-05,20.51,20.69,17.14,18.62,120644644.0
2025-09-08,18.75,18.93,18.2,18.43,40717165.0
2025-09-09,18.5,18.97,18.12,18.87,27889665.0
2025-09-10,18.88,18.95,18.05,18.47,17892931.0
2025-09-11,18.43,19.04,18.41,18.85,12358685.0
2025-09-12,18.82,19.42,18.77,18.99,20824456.0
2025-09-15,18.99,19.01,18.08,18.25,18855454.0
2025-09-16,18.35,18.58,18.0,18.13,15530371.0
2025-09-17,18.13,18.62,18.02,18.34,13899959.0
2025-09-18,18.18,18.53,18.05,18.1,18317392.0
2025-09-19,18.21,18.59,18.04,18.34,19522467.0
2025-09-22,17.71,17.96,16.88,16.97,56280464.0
2025-09-23,17.9,18.19,17.22,17.24,48629446.0
2025-09-24,17.51,17.51,16.53,16.86,42255180.0
2025-09-25,16.96,17.03,16.14,16.17,50457488.0
2025-09-26,16.42,16.56,16.07,16.42,43680902.0
2025-09-29,16.5,16.6,16.13,16.34,29138616.0
2025-09-30,16.36,16.52,16.16,16.23,30657866.0
2025-10-01,16.22,16.4,15.82,15.85,37774659.0
2025-10-02,15.92,15.94,15.47,15.73,22963892.0
2025-10-03,15.77,15.96,15.6,15.81,16911380.0
2025-10-06,15.83,15.92,15.65,15.69,19236196.0
2025-10-07,15.73,16.3,15.64,16.22,25864728.0
2025-10-08,16.1,16.29,16.02,16.08,11746113.0
2025-10-09,16.17,16.85,16.06,16.84,28857867.0
2025-10-10,16.85,16.95,16.57,16.65,14059859.0
2025-10-13,16.56,16.65,16.14,16.22,17714119.0
2025-10-14,16.2,16.41,15.99,16.15,14559360.0
2025-10-15,16.2,16.73,16.18,16.26,9722346.0
2025-10-16,16.28,16.43,14.05,14.11,75538428.0
2025-10-17,14.22,15.58,14.22,15.29,45414251.0
2025-10-20,15.17,15.26,14.88,14.96,22014695.0
2025-10-21,15.1,15.25,14.8,14.93,20359987.0
2025-10-22,14.94,15.54,14.87,15.19,17391359.0
2025-10-23,15.16,15.25,14.99,15.09,11156959.0
2025-10-24,15.24,15.33,14.98,15.0,10898925.0
2025-10-27,15.1,15.23,14.88,15.08,13400754.0
2025-10-28,14.9,14.93,14.43,14.51,25065037.0
2025-10-29,14.34,15.08,14.09,14.31,53102937.0
2025-10-30,14.36,14.37,14.02,14.24,28880478.0
2025-10-31,14.24,14.41,14.06,14.37,18366842.0
2025-11-03,17.07,17.18,16.13,16.14,140132102.0
2025-11-04,16.13,16.43,15.88,15.97,56627230.0
2025-11-05,16.01,16.45,15.95,16.23,43736280.0
2025-11-06,16.22,16.74,16.2,16.46,42907867.0
2025-11-07,16.51,17.04,16.49,16.88,31242026.0
2025-11-10,16.74,16.89,16.47,16.77,29370907.0
2025-11-11,16.78,17.04,16.7,16.72,20804074.0
2025-11-12,16.66,17.04,16.61,16.67,26970440.0
2025-11-13,16.79,17.06,16.75,16.77,22902446.0
2025-11-14,16.82,16.98,16.64,16.66,26103615.0
2025-11-17,16.69,17.24,15.94,16.24,45830484.0
2025-11-18,16.44,16.61,16.1,16.23,30474641.0
2025-11-19,16.24,16.28,16.0,16.06,21124125.0
2025-11-20,16.12,16.45,16.07,16.15,23076641.0
2025-11-21,16.25,16.75,16.2,16.64,22695642.0
2025-11-24,16.62,16.91,16.48,16.76,43822493.0
2025-11-25,16.8,17.06,16.76,17.03,36469611.0
2025-11-26,16.98,17.47,16.96,17.22,31514568.0
2025-11-28,17.2,17.41,17.16,17.35,6528018.0
2025-12-01,17.3,17.55,17.21,17.22,14196277.0
2025-12-02,17.12,17.15,16.83,16.86,19596110.0
2025-12-03,16.95,17.05,16.75,16.97,27652623.0
2025-12-04,16.95,17.19,16.92,16.99,21639797.0
2025-12-05,16.93,17.09,16.82,16.93,13957338.0
2025-12-08,16.87,16.91,16.7,16.76,22661496.0
2025-12-09,16.78,17.04,16.76,17.02,31126049.0
2025-12-10,17.0,17.35,16.98,17.32,27885530.0
2025-12-11,17.32,17.59,17.24,17.32,41109017.0
2025-12-12,17.4,17.49,17.3,17.33,32958992.0
2025-12-15,17.35,17.38,17.18,17.21,24300557.0
2025-12-16,17.38,17.44,17.14,17.25,16639237.0
2025-12-17,17.27,17.48,17.24,17.28,25073559.0
