date,open,high,low,close,volume
2025-02-26,123.59,124.09,120.99,121.52,1032926.0
2025-02-27,121.22,122.92,120.09,120.37,940550.0
2025-02-28,120.0,121.17,118.25,119.63,1400715.0
2025-03-03,119.69,121.08,117.5,117.93,1107362.0
2025-03-04,117.16,120.14,116.67,118.75,1771880.0
2025-03-05,119.31,122.21,119.0,122.03,1117030.0
2025-03-06,123.8,126.57,122.2,126.14,1531513.0
2025-03-07,126.14,126.86,123.71,125.19,1414282.0
2025-03-10,125.57,129.27,124.76,125.22,1429473.0
2025-03-11,124.62,125.67,120.84,121.44,1796724.0
2025-03-12,122.25,122.68,117.85,118.93,2030561.0
2025-03-13,118.46,120.0,115.61,116.33,1645941.0
2025-03-14,117.78,118.14,116.3,118.1,2074648.0
2025-03-17,118.32,119.7,117.79,118.96,1112449.0
2025-03-18,118.82,119.77,117.64,118.5,878669.0
2025-03-19,118.83,121.29,118.0,120.3,1525581.0
2025-03-20,120.38,122.82,119.49,120.07,1854376.0
2025-03-21,112.97,116.03,111.26,115.22,4563244.0
2025-03-24,115.06,117.61,115.06,117.56,1575814.0
2025-03-25,116.44,119.83,115.23,117.74,1804655.0
2025-03-26,117.73,119.55,116.95,117.87,752696.0
2025-03-27,117.4,119.59,117.01,117.98,831647.0
2025-03-28,118.33,118.45,113.61,113.93,2015763.0
2025-03-31,114.22,115.45,112.59,114.78,1643207.0
2025-04-01,115.14,115.57,113.18,114.51,1039817.0
2025-04-02,112.91,115.8,112.55,115.66,1227261.0
2025-04-03,112.4,113.23,108.18,108.4,2562392.0
2025-04-04,106.95,115.89,106.2,111.03,4851699.0
2025-04-07,108.88,112.12,105.39,107.08,2815192.0
2025-04-08,109.48,109.62,101.73,102.96,3160316.0
2025-04-09,100.29,110.82,98.42,108.66,3189313.0
2025-04-10,106.24,107.0,101.58,104.49,1170059.0
2025-04-11,103.95,105.47,100.61,105.24,1372035.0
2025-04-14,107.38,107.38,103.98,106.07,908849.0
2025-04-15,105.62,107.56,104.41,105.08,734211.0
2025-04-16,104.18,105.74,101.89,102.76,1447530.0
2025-04-17,103.39,105.24,102.82,104.73,1338811.0
2025-04-21,103.78,104.32,102.62,103.71,1119185.0
2025-04-22,105.04,108.12,104.28,107.92,1363629.0
2025-04-23,110.01,111.61,107.5,107.57,1203532.0
2025-04-24,108.28,109.58,106.55,109.22,1231286.0
2025-04-25,108.44,108.44,106.64,107.63,858064.0
2025-04-28,107.6,109.02,106.88,108.15,959103.0
2025-04-29,107.61,108.29,106.43,107.58,922734.0
2025-04-30,106.34,108.76,105.41,108.61,673047.0
2025-05-01,108.82,110.18,107.66,108.19,738971.0
2025-05-02,109.16,110.44,109.01,110.2,932999.0
2025-05-05,109.5,110.75,108.77,109.21,1161332.0
2025-05-06,108.48,109.23,106.08,106.2,1328103.0
2025-05-07,107.3,108.46,107.09,107.81,1181778.0
2025-05-08,108.78,110.55,108.5,109.57,959792.0
2025-05-09,109.72,110.49,108.39,108.64,971283.0
2025-05-12,111.86,114.32,110.67,112.55,1349538.0
2025-05-13,113.56,113.6,112.28,112.37,1003091.0
2025-05-14,111.81,112.12,108.07,108.37,1600439.0
2025-05-15,108.67,110.32,107.2,110.11,1615895.0
