date,open,high,low,close,volume
2025-02-26,467.38,467.51,461.27,461.55,665785.0
2025-02-27,463.54,468.23,459.88,460.28,747708.0
2025-02-28,465.23,468.34,460.63,467.05,700949.0
2025-03-03,469.1,472.24,460.98,462.25,881663.0
2025-03-04,468.6,469.28,459.88,461.35,1034726.0
2025-03-05,461.93,470.42,460.55,468.25,809165.0
2025-03-06,466.59,470.15,463.35,466.16,985724.0
2025-03-07,466.48,470.0,463.42,468.77,713276.0
2025-03-10,466.32,471.18,458.02,462.06,1045165.0
2025-03-11,461.78,461.9,451.12,454.07,1301573.0
2025-03-12,453.11,454.95,448.82,451.17,1042618.0
2025-03-13,449.44,455.35,447.5,453.26,1036044.0
2025-03-14,454.72,458.0,452.85,455.5,726895.0
2025-03-17,452.86,462.28,452.34,460.31,579477.0
2025-03-18,464.11,464.8,457.73,460.71,553269.0
2025-03-19,459.0,461.57,454.89,459.75,1007332.0
2025-03-20,456.9,460.01,455.23,457.75,568785.0
2025-03-21,453.21,458.63,449.38,458.33,1323699.0
2025-03-24,457.12,461.9,455.02,459.09,521987.0
2025-03-25,458.94,458.99,454.98,457.45,755691.0
2025-03-26,457.45,463.1,456.98,461.43,547221.0
2025-03-27,462.17,466.65,459.43,464.73,476098.0
2025-03-28,466.36,466.6,458.79,459.11,390367.0
2025-03-31,458.9,468.04,458.41,465.64,740982.0
2025-04-01,462.0,467.51,460.77,467.09,556805.0
2025-04-02,462.73,470.31,462.4,469.74,609940.0
2025-04-03,466.56,472.01,464.99,467.22,1113303.0
2025-04-04,464.21,470.0,437.12,437.96,1896225.0
2025-04-07,428.81,441.56,417.83,425.86,1634021.0
2025-04-08,430.76,433.06,408.65,413.33,1529969.0
2025-04-09,414.33,448.33,412.97,445.97,1653574.0
2025-04-10,440.37,444.53,427.09,431.88,1689140.0
2025-04-11,437.31,449.63,432.71,441.83,1658877.0
2025-04-14,443.09,448.13,441.75,446.03,704436.0
2025-04-15,449.22,454.51,447.94,450.97,1225644.0
2025-04-16,450.51,454.83,445.24,447.99,757387.0
2025-04-17,451.36,455.16,449.69,452.12,748867.0
2025-04-21,450.54,452.47,440.26,443.85,559798.0
2025-04-22,448.01,455.26,447.35,454.61,445612.0
2025-04-23,454.39,457.81,445.5,448.21,814269.0
2025-04-24,447.23,451.13,442.07,449.53,978030.0
2025-04-25,447.92,449.35,443.1,448.4,916363.0
2025-04-28,448.65,450.89,444.17,448.0,679799.0
2025-04-29,448.84,452.35,446.77,450.58,439733.0
2025-04-30,448.84,455.27,444.92,453.23,915936.0
2025-05-01,436.75,450.61,433.14,448.05,1060821.0
2025-05-02,453.38,457.14,452.11,454.95,523797.0
2025-05-05,452.68,455.49,450.14,452.49,385974.0
2025-05-06,452.41,453.53,446.24,447.05,508545.0
2025-05-07,447.97,454.22,444.9,449.66,536651.0
2025-05-08,449.93,458.0,449.53,453.23,516592.0
2025-05-09,454.77,455.03,450.56,452.66,404842.0
2025-05-12,456.38,458.0,452.37,454.42,694007.0
2025-05-13,454.3,455.96,450.09,450.67,699736.0
2025-05-14,448.14,448.67,439.57,445.97,798318.0
2025-05-15,446.35,455.0,445.97,454.22,1076369.0
2025-05-16,455.76,458.36,451.95,457.77,597391.0
2025-05-19,457.77,461.65,455.3,460.33,599411.0
2025-05-20,461.36,461.71,457.86,459.85,558698.0
2025-05-21,456.72,459.09,453.79,455.5,454694.0
2025-05-22,456.08,459.11,453.62,459.0,697212.0
2025-05-23,453.72,460.47,453.57,458.9,580615.0
2025-05-27,463.41,468.13,462.5,467.95,762750.0
2025-05-28,466.11,467.05,462.1,462.51,740243.0
2025-05-29,463.63,464.96,461.14,464.08,519085.0
2025-05-30,466.55,469.1,460.62,467.58,1019476.0
2025-06-02,465.17,466.35,461.32,464.57,728156.0
2025-06-03,462.4,472.28,462.0,471.82,1058747.0
2025-06-04,471.14,475.48,468.96,473.77,818120.0
2025-06-05,474.0,474.89,469.33,470.26,701952.0
2025-06-06,473.04,475.23,471.25,472.71,493375.0
2025-06-09,472.17,475.94,468.1,472.17,416493.0
2025-06-10,472.39,476.0,471.74,475.56,507377.0
2025-06-11,473.75,474.54,467.38,468.54,813774.0
2025-06-12,468.42,472.15,466.46,470.53,694066.0
2025-06-13,470.64,472.89,465.13,465.98,583463.0
2025-06-16,466.81,469.56,464.88,466.6,496575.0
2025-06-17,465.07,465.57,460.2,460.9,441797.0
2025-06-18,460.9,462.43,458.27,458.7,347629.0
2025-06-20,462.49,463.25,455.38,455.86,1136467.0
2025-06-23,457.31,460.06,452.95,459.75,547537.0
2025-06-24,460.87,463.93,458.89,463.16,409076.0
2025-06-25,461.73,463.82,459.73,460.2,519743.0
2025-06-26,461.36,466.44,458.51,464.46,764146.0
2025-06-27,464.97,467.38,461.85,463.79,667865.0
2025-06-30,466.9,470.04,463.55,469.18,517354.0
2025-07-01,469.79,477.84,468.97,476.75,678211.0
2025-07-02,476.12,478.72,474.44,477.17,558191.0
2025-07-03,476.63,477.22,474.0,475.58,310920.0
2025-07-07,472.5,473.7,467.79,469.59,589695.0
2025-07-08,468.38,471.79,467.52,469.95,529854.0
2025-07-09,472.41,476.47,467.56,471.27,461441.0
2025-07-10,472.04,472.22,469.05,470.34,575457.0
2025-07-11,468.96,469.62,464.48,468.81,534212.0
2025-07-14,468.1,470.0,466.3,468.78,296361.0
2025-07-15,468.17,469.26,460.07,460.56,399467.0
2025-07-16,460.5,462.54,456.0,459.67,606411.0
2025-07-17,458.85,462.12,457.06,461.29,611883.0
2025-07-18,463.67,465.47,461.03,465.01,773524.0
2025-07-21,465.01,476.23,464.22,470.43,727811.0
2025-07-22,470.43,476.38,468.91,472.02,587102.0
2025-07-23,472.94,474.2,469.7,469.99,375693.0
2025-07-24,465.95,472.16,462.44,471.49,488140.0
2025-07-25,472.44,473.66,468.57,472.89,365875.0
2025-07-28,468.75,471.35,466.01,467.46,492478.0
2025-07-29,469.9,471.67,467.25,471.51,348752.0
2025-07-30,471.4,472.34,465.26,466.23,367162.0
2025-07-31,458.41,467.6,458.41,460.26,635713.0
2025-08-01,458.33,462.51,449.32,459.41,831571.0
2025-08-04,459.86,468.49,459.86,467.4,467108.0
2025-08-05,467.94,471.04,465.97,469.84,460361.0
2025-08-06,471.77,473.38,467.95,471.48,424926.0
2025-08-07,473.33,475.79,467.48,469.43,379026.0
2025-08-08,469.09,473.39,468.69,472.42,321682.0
2025-08-11,471.18,473.43,466.13,470.38,317096.0
2025-08-12,470.5,474.48,469.94,473.23,365642.0
2025-08-13,475.16,476.15,468.5,475.63,788400.0
2025-08-14,475.71,478.6,472.62,477.63,655642.0
2025-08-15,480.88,482.67,478.57,480.08,703669.0
2025-08-18,480.43,481.05,477.16,478.51,319739.0
2025-08-19,478.47,482.82,476.54,479.92,409993.0
2025-08-20,482.79,486.38,480.5,482.36,386179.0
2025-08-21,480.86,482.91,480.05,480.71,347100.0
2025-08-22,484.06,485.73,479.69,481.67,768157.0
2025-08-25,482.62,484.0,476.68,477.85,383459.0
2025-08-26,476.29,482.09,475.01,481.92,450335.0
2025-08-27,480.31,483.82,479.37,482.71,316696.0
2025-08-28,482.56,483.01,479.13,482.15,277204.0
2025-08-29,481.16,483.32,477.0,478.29,697940.0
2025-09-02,477.17,477.17,472.5,474.14,413276.0
2025-09-03,471.81,474.23,470.0,471.78,320950.0
2025-09-04,470.58,472.93,468.61,472.39,374026.0
2025-09-05,471.15,475.05,466.59,469.52,344213.0
2025-09-08,469.99,475.07,466.6,474.63,609757.0
2025-09-09,473.12,474.52,470.38,473.44,535971.0
2025-09-10,472.93,474.94,469.48,472.7,403770.0
2025-09-11,472.91,484.44,472.48,483.59,598679.0
2025-09-12,479.16,483.92,479.14,482.04,356151.0
2025-09-15,481.38,483.3,475.52,476.73,343134.0
2025-09-16,476.44,478.44,470.9,471.47,480230.0
2025-09-17,474.37,481.38,472.01,479.86,628163.0
2025-09-18,478.89,479.94,471.29,476.0,560900.0
2025-09-19,476.98,480.88,474.0,479.01,1061464.0
2025-09-22,476.3,478.68,474.29,477.76,511567.0
2025-09-23,479.07,482.97,474.65,479.94,514404.0
2025-09-24,478.91,481.74,473.32,474.13,591245.0
2025-09-25,474.13,476.35,469.91,473.78,447129.0
2025-09-26,472.73,475.16,470.72,474.41,567220.0
2025-09-29,474.74,476.71,471.4,476.49,581816.0
2025-09-30,473.7,478.78,473.23,475.0,787044.0
2025-10-01,472.78,475.08,460.8,466.81,924018.0
2025-10-02,463.43,470.29,462.95,469.48,596793.0
2025-10-03,467.02,469.43,463.0,466.73,389368.0
2025-10-06,466.25,470.57,465.09,468.55,525937.0
2025-10-07,468.1,470.57,465.89,470.37,380951.0
2025-10-08,470.31,471.69,467.53,467.83,442010.0
2025-10-09,467.85,470.0,457.51,458.16,622715.0
2025-10-10,457.89,463.04,452.92,453.82,781910.0
2025-10-13,456.56,459.8,455.0,456.64,427674.0
2025-10-14,453.25,462.07,453.06,459.25,612248.0
2025-10-15,458.8,461.53,450.79,451.42,833300.0
2025-10-16,451.65,452.5,440.95,444.24,1418634.0
2025-10-17,444.47,451.33,442.89,450.89,1164728.0
2025-10-20,452.36,455.24,449.71,451.56,716872.0
2025-10-21,450.58,452.46,448.38,450.08,757652.0
2025-10-22,450.7,455.08,447.75,449.92,736344.0
2025-10-23,452.58,452.67,448.66,450.08,719741.0
2025-10-24,449.54,450.4,445.59,446.0,622558.0
2025-10-27,447.65,450.15,444.26,444.82,994913.0
2025-10-28,445.34,447.22,441.99,442.72,904471.0
2025-10-29,438.79,439.44,431.22,432.01,1338354.0
2025-10-30,432.45,435.19,428.61,429.91,1606612.0
2025-10-31,425.0,426.41,414.47,418.3,1984015.0
2025-11-03,422.42,422.55,409.0,412.18,2643798.0
2025-11-04,416.38,421.32,414.0,417.94,1646936.0
2025-11-05,416.29,419.79,415.0,418.23,1593362.0
2025-11-06,416.35,419.49,413.59,415.32,1917788.0
2025-11-07,417.21,422.82,414.0,420.51,1372638.0
2025-11-10,420.75,422.17,415.92,420.67,1152940.0
2025-11-11,425.74,428.4,421.94,426.65,1078364.0
2025-11-12,427.39,431.56,424.89,428.96,1489215.0
2025-11-13,425.54,429.0,420.92,428.64,1566452.0
2025-11-14,428.64,430.1,423.07,423.39,1350235.0
2025-11-17,421.61,423.38,417.56,417.85,1062124.0
2025-11-18,418.73,419.38,413.65,414.72,1281578.0
2025-11-19,414.73,416.07,410.73,413.2,1374016.0
2025-11-20,414.85,415.95,408.21,408.51,1426106.0
2025-11-21,407.38,416.42,406.42,412.74,1594653.0
2025-11-24,410.24,412.46,406.71,407.67,1011925.0
2025-11-25,411.83,412.87,406.09,407.85,1665588.0
2025-11-26,407.5,410.49,407.02,407.9,1017187.0
2025-11-28,408.24,411.58,406.46,410.32,623775.0
2025-12-01,410.55,411.57,406.72,407.14,920527.0
2025-12-02,408.0,411.32,404.27,408.79,875953.0
2025-12-03,408.34,411.02,406.0,409.15,874456.0
2025-12-04,407.15,408.73,401.93,403.73,1589990.0
2025-12-05,403.96,404.61,398.93,399.57,1657445.0
2025-12-08,398.76,399.42,387.78,389.38,2329206.0
2025-12-09,391.69,396.83,390.1,390.38,2308451.0
2025-12-10,390.23,394.35,389.0,392.68,2763536.0
2025-12-11,395.24,404.29,394.87,403.3,1847747.0
2025-12-12,406.75,418.02,406.75,416.24,2945334.0
2025-12-15,417.77,421.51,410.0,416.99,3051476.0
2025-12-16,418.31,424.45,414.9,423.51,2226446.0
2025-12-17,423.0,424.41,420.78,422.34,2182519.0
2025-12-18,422.56,424.48,418.47,418.99,1378196.0
2025-12-19,417.5,423.39,417.19,421.43,2033682.0
2025-12-22,421.56,425.29,420.53,423.51,1169241.0
2025-12-23,423.21,425.33,423.0,425.1,715141.0
2025-12-24,424.61,426.63,424.13,424.9,273077.0
2025-12-26,425.4,426.0,423.41,424.77,516515.0
2025-12-29,423.85,427.3,423.75,426.54,1117983.0
2025-12-30,424.42,429.46,423.4,428.36,786711.0
2025-12-31,427.11,429.0,426.28,426.39,719367.0
2026-01-02,426.28,430.81,422.08,429.11,1086397.0
2026-01-05,425.61,433.99,424.07,433.1,1565409.0
2026-01-06,433.86,439.0,433.41,437.16,1113389.0
2026-01-07,436.77,439.02,432.88,434.14,1249850.0
2026-01-08,433.04,442.43,432.41,439.69,1588595.0
2026-01-09,437.82,445.05,437.17,444.08,867327.0
2026-01-12,442.02,445.98,439.39,443.63,1044402.0
2026-01-13,443.97,444.67,440.09,442.9,818320.0
2026-01-14,441.83,444.36,437.9,439.98,1363958.0
2026-01-15,441.22,444.0,437.74,440.04,1375200.0
2026-01-16,439.49,440.53,435.66,438.96,1235616.0
2026-01-20,434.32,434.91,429.17,433.15,1407245.0
2026-01-21,433.47,440.95,433.03,439.35,1236593.0
2026-01-22,439.85,447.29,439.85,445.64,1265067.0
2026-01-23,443.24,451.98,443.06,451.57,812265.0
2026-01-26,452.63,455.58,452.15,455.03,934291.0
2026-01-27,455.03,457.0,452.44,453.03,1127356.0
2026-01-28,452.47,453.49,449.0,451.5,1177641.0
2026-01-29,451.85,456.04,448.16,455.0,1353261.0
2026-01-30,452.63,457.37,451.59,456.97,1403758.0
2026-02-02,459.67,462.37,458.0,460.16,1098303.0
2026-02-03,459.75,466.81,458.28,463.57,1485267.0
2026-02-04,465.67,477.33,465.62,473.33,1884232.0
2026-02-05,471.07,474.38,459.26,459.69,1861525.0
2026-02-06,455.9,457.99,445.0,448.24,1876092.0
2026-02-09,448.17,457.5,444.02,456.34,2274741.0
2026-02-10,454.5,464.16,454.18,460.51,1240507.0
2026-02-11,458.43,467.66,455.28,467.51,1133454.0
2026-02-12,469.92,477.55,469.29,472.86,2216100.0
2026-02-13,474.17,488.54,473.35,481.0,2723592.0
2026-02-17,479.13,483.77,478.01,482.22,1279519.0
2026-02-18,482.83,488.27,482.6,485.28,1306582.0
2026-02-19,484.97,490.55,482.2,490.11,1839226.0
2026-02-20,487.39,498.35,487.39,496.51,2066360.0
2026-02-23,493.9,500.57,492.77,498.19,1342375.0
2026-02-24,497.75,504.49,494.57,504.0,1498127.0
2026-02-25,506.85,509.62,500.39,508.27,1585634.0
