date,open,high,low,close,volume
2025-02-26,251.93,252.95,241.07,247.07,2420098.0
2025-02-27,247.08,248.45,244.93,245.5,1075511.0
2025-02-28,248.17,249.71,244.3,248.64,1060849.0
2025-03-03,248.68,249.68,243.8,246.16,1027308.0
2025-03-04,244.61,244.67,239.08,239.85,1128976.0
2025-03-05,238.0,243.0,237.8,242.96,1230530.0
2025-03-06,241.82,245.31,240.04,243.5,1174485.0
2025-03-07,242.06,243.06,238.35,242.66,1140952.0
2025-03-10,242.5,246.62,241.07,242.38,1167320.0
2025-03-11,241.82,242.03,231.59,232.67,1207761.0
2025-03-12,233.01,234.75,226.4,228.33,1210206.0
2025-03-13,227.73,228.36,220.16,222.66,1321493.0
2025-03-14,224.34,224.76,221.02,224.44,1181160.0
2025-03-17,225.0,226.64,223.4,225.85,1117450.0
2025-03-18,224.87,225.58,222.57,222.95,790888.0
2025-03-19,223.8,225.89,222.42,225.51,837739.0
2025-03-20,225.54,229.56,224.01,226.26,826099.0
2025-03-21,224.34,227.19,221.0,227.07,1696264.0
2025-03-24,228.38,233.13,228.38,232.89,1148919.0
2025-03-25,232.31,233.15,228.07,230.69,1109514.0
2025-03-26,230.8,233.57,230.66,232.05,776198.0
2025-03-27,232.74,233.88,230.86,232.17,1183261.0
2025-03-28,232.49,232.63,227.44,228.42,874490.0
2025-03-31,226.74,234.98,226.74,233.23,1325092.0
2025-04-01,232.4,234.51,230.48,234.01,914903.0
2025-04-02,232.14,236.11,232.14,235.28,1165443.0
2025-04-03,222.78,226.17,220.61,222.52,2374496.0
2025-04-04,220.65,229.83,219.04,223.29,2441091.0
2025-04-07,218.05,225.65,211.69,216.94,2143770.0
2025-04-08,220.02,223.88,207.58,211.69,1262474.0
2025-04-09,208.8,224.31,206.38,223.2,1882607.0
2025-04-10,220.96,223.4,213.36,221.2,1563435.0
2025-04-11,219.35,221.17,213.83,220.35,1307951.0
2025-04-14,222.92,225.6,220.5,224.14,1174125.0
2025-04-15,224.0,225.03,218.8,220.51,1152277.0
2025-04-16,219.35,221.35,213.3,214.41,780840.0
2025-04-17,217.02,220.69,215.78,219.0,1150117.0
2025-04-21,217.67,218.17,210.41,212.77,1062013.0
2025-04-22,214.8,220.55,214.56,219.07,1045593.0
2025-04-23,222.13,225.66,217.15,217.76,1096229.0
2025-04-24,217.76,222.94,216.29,222.05,968886.0
2025-04-25,222.21,222.34,218.76,220.91,607239.0
2025-04-28,220.5,223.54,219.3,221.15,820840.0
2025-04-29,219.31,223.88,219.31,223.27,605127.0
2025-04-30,221.93,224.0,218.19,223.56,980504.0
2025-05-01,223.49,225.54,221.19,222.32,782549.0
2025-05-02,224.52,227.73,223.94,227.19,1005398.0
2025-05-05,226.01,227.11,224.09,225.19,750693.0
2025-05-06,223.15,224.68,221.96,223.01,935736.0
