date,open,high,low,close,volume
2025-02-26,81.7,82.93,80.65,81.3,5380936.0
2025-02-27,81.75,82.17,76.04,76.17,7851683.0
2025-02-28,76.75,78.18,75.37,76.74,10535311.0
2025-03-03,77.72,79.75,74.55,75.78,7956292.0
2025-03-04,76.0,78.47,74.08,76.44,8497487.0
2025-03-05,76.76,79.41,75.52,79.05,8542189.0
2025-03-06,77.08,78.57,75.85,76.47,5860264.0
2025-03-07,76.65,79.49,75.34,79.01,7472188.0
2025-03-10,76.9,77.38,72.7,73.81,9105451.0
2025-03-11,74.08,75.39,72.45,73.36,7426857.0
2025-03-12,75.19,77.66,75.17,76.59,7769993.0
2025-03-13,76.12,77.27,74.54,75.26,4740339.0
2025-03-14,76.76,79.08,76.52,78.69,7032307.0
2025-03-17,77.11,79.14,77.11,78.31,4693957.0
2025-03-18,77.48,77.84,76.17,77.36,4014432.0
2025-03-19,77.37,79.48,76.86,77.93,2991419.0
2025-03-20,76.69,78.1,76.44,77.55,4533504.0
2025-03-21,76.03,76.37,75.27,75.84,6330005.0
2025-03-24,77.75,78.78,77.38,77.99,3504463.0
2025-03-25,77.85,78.38,77.47,77.67,2993083.0
2025-03-26,77.73,77.86,75.13,76.14,3250258.0
2025-03-27,76.03,76.07,74.35,74.81,3935169.0
2025-03-28,74.63,75.3,72.23,72.61,4310057.0
2025-03-31,71.57,72.85,70.44,72.7,5733933.0
2025-04-01,72.04,72.85,70.75,72.83,5289825.0
2025-04-02,71.72,74.81,71.56,73.78,4234143.0
2025-04-03,70.11,70.55,65.1,65.22,10406630.0
2025-04-04,62.57,63.07,57.97,59.09,14355580.0
2025-04-07,58.37,66.1,56.32,62.2,15368207.0
2025-04-08,64.73,66.11,58.74,60.25,8865323.0
2025-04-09,60.79,71.87,59.92,71.11,15791169.0
2025-04-10,67.77,68.0,63.27,66.43,11289320.0
2025-04-11,65.69,67.96,64.58,67.48,7883356.0
2025-04-14,68.64,69.36,66.91,67.86,5312108.0
2025-04-15,68.09,69.55,67.95,68.44,6759994.0
2025-04-16,65.16,66.82,62.95,65.14,9349394.0
2025-04-17,65.37,65.38,63.48,63.76,8395345.0
2025-04-21,62.36,62.67,61.14,62.39,8295031.0
2025-04-22,63.11,64.02,62.56,63.48,5487180.0
2025-04-23,66.81,68.01,66.34,66.73,9682889.0
2025-04-24,69.67,71.21,67.55,70.9,10759771.0
2025-04-25,70.33,72.29,70.29,71.42,5393880.0
2025-04-28,70.91,71.94,70.04,71.57,4840251.0
2025-04-29,70.89,71.66,70.22,70.9,4535566.0
2025-04-30,68.89,71.84,68.52,71.67,5504084.0
2025-05-01,72.18,73.53,71.4,71.73,7408085.0
2025-05-02,74.25,75.49,73.69,74.52,6444793.0
2025-05-05,73.88,74.9,73.78,73.91,3289331.0
2025-05-06,72.6,73.88,72.59,73.16,3417669.0
2025-05-07,73.45,75.3,72.91,75.06,4236900.0
2025-05-08,76.05,76.42,74.82,74.9,5177688.0
2025-05-09,75.78,76.3,74.65,75.36,4180196.0
2025-05-12,81.22,82.55,80.66,82.25,9549614.0
2025-05-13,82.36,85.78,82.25,85.25,6519771.0
2025-05-14,85.08,86.04,84.33,84.97,4836143.0
2025-05-15,84.23,85.26,83.5,84.79,4835474.0
2025-05-16,84.38,84.46,82.53,84.43,5261821.0
2025-05-19,82.7,84.45,82.54,83.82,4158763.0
2025-05-20,83.53,84.35,83.05,84.29,3483357.0
2025-05-21,83.27,84.78,82.23,82.79,3436855.0
2025-05-22,82.64,83.82,82.05,82.56,3279263.0
2025-05-23,80.12,81.39,79.77,81.06,3692725.0
2025-05-27,83.04,84.12,82.3,83.94,4294032.0
2025-05-28,83.98,85.03,83.58,84.0,5272953.0
2025-05-29,85.85,86.26,83.61,84.16,4130972.0
2025-05-30,83.62,83.81,79.49,80.79,8155002.0
2025-06-02,80.59,82.53,80.42,82.48,3966022.0
2025-06-03,82.07,84.01,81.95,83.66,3567671.0
2025-06-04,84.23,85.04,83.49,84.77,3521648.0
2025-06-05,85.46,86.34,84.34,84.91,5702083.0
2025-06-06,86.48,87.58,85.85,86.35,4486854.0
2025-06-09,87.09,89.33,87.02,88.3,4439321.0
2025-06-10,88.79,91.37,88.34,91.0,6022649.0
2025-06-11,91.39,91.99,89.87,90.95,4593394.0
2025-06-12,90.59,91.9,90.49,91.66,3015717.0
2025-06-13,88.72,91.23,88.18,89.52,4855789.0
2025-06-16,91.06,93.58,90.85,93.41,5590062.0
2025-06-17,93.34,95.02,92.55,92.66,5610533.0
2025-06-18,93.24,93.6,91.8,92.24,4543716.0
2025-06-20,93.05,93.43,87.75,90.49,9446220.0
2025-06-23,91.36,92.76,90.29,91.61,5580354.0
2025-06-24,93.24,95.77,93.23,95.63,4846521.0
2025-06-25,96.44,97.37,95.32,96.02,4272075.0
2025-06-26,96.27,96.93,95.83,96.84,4236055.0
2025-06-27,97.04,98.02,96.39,97.2,4093276.0
2025-06-30,97.56,97.67,96.85,97.34,2855306.0
2025-07-01,96.59,97.32,94.49,96.81,4820278.0
2025-07-02,96.0,98.95,95.2,98.83,4858010.0
2025-07-03,98.72,99.5,98.65,98.81,2663695.0
2025-07-07,98.39,98.92,97.7,98.14,3337080.0
2025-07-08,98.92,100.29,98.22,99.83,4464036.0
2025-07-09,99.8,101.09,98.91,99.81,3893209.0
2025-07-10,100.92,101.65,100.18,101.06,2936595.0
2025-07-11,100.32,102.03,100.26,101.73,3091366.0
2025-07-14,100.55,101.0,98.78,99.62,7382015.0
2025-07-15,101.54,102.19,100.61,101.07,4251325.0
2025-07-16,97.83,100.42,96.19,100.37,9381747.0
2025-07-17,99.44,101.38,98.26,100.79,4726977.0
2025-07-18,101.02,101.73,100.36,100.66,4095122.0
2025-07-21,100.88,102.59,100.73,101.74,3421426.0
2025-07-22,101.06,101.13,97.04,97.69,8549548.0
2025-07-23,98.26,98.38,96.39,97.1,7133335.0
2025-07-24,97.55,98.62,97.03,97.78,4627315.0
2025-07-25,96.69,97.33,96.32,96.96,5071150.0
2025-07-28,99.14,99.53,97.91,98.62,4524378.0
2025-07-29,99.32,100.22,98.03,98.94,4024608.0
2025-07-30,99.52,100.65,97.95,99.09,6691838.0
2025-07-31,91.02,95.63,90.73,94.84,15752978.0
2025-08-01,92.78,96.66,92.47,96.37,8243231.0
2025-08-04,97.44,98.81,96.64,98.41,5358945.0
2025-08-05,98.84,99.35,95.62,96.68,4882288.0
2025-08-06,96.3,96.47,94.27,95.94,5952291.0
2025-08-07,98.89,100.19,97.97,99.15,5152835.0
2025-08-08,99.15,102.23,98.99,101.75,4753118.0
2025-08-11,103.9,104.15,101.71,102.0,4847088.0
2025-08-12,102.65,105.64,101.39,105.28,6698964.0
2025-08-13,106.5,107.49,105.44,106.74,6463820.0
2025-08-14,106.2,108.02,105.59,107.38,5906184.0
2025-08-15,104.69,105.89,99.26,99.51,14697876.0
2025-08-18,99.15,99.8,98.4,98.88,9368138.0
2025-08-19,99.09,100.63,98.2,100.33,5445469.0
2025-08-20,100.91,101.02,97.32,99.15,7791285.0
2025-08-21,98.78,99.85,97.14,98.41,6420791.0
2025-08-22,99.05,102.55,98.59,100.08,5377527.0
2025-08-25,100.03,101.75,99.9,101.28,3131072.0
2025-08-26,101.22,103.99,101.1,103.63,4251834.0
2025-08-27,103.17,103.78,102.36,103.67,3600771.0
2025-08-28,103.93,104.9,102.95,104.09,4084588.0
2025-08-29,101.91,102.69,98.81,100.15,5951120.0
2025-09-02,95.77,97.27,94.11,97.03,8909975.0
2025-09-03,97.01,97.86,96.44,97.74,6232998.0
2025-09-04,97.53,101.11,97.15,100.42,5221232.0
2025-09-05,101.7,103.01,100.68,102.95,4243604.0
2025-09-08,105.01,106.37,104.47,105.07,4005165.0
2025-09-09,104.86,105.82,104.46,105.57,2787937.0
2025-09-10,106.64,107.78,104.61,107.36,5746889.0
2025-09-11,108.31,115.9,108.29,115.58,11453741.0
2025-09-12,115.92,117.5,115.87,116.96,5782711.0
2025-09-15,117.8,119.33,117.03,119.21,4404905.0
2025-09-16,119.98,120.97,118.67,120.47,4698065.0
2025-09-17,120.81,123.28,119.51,121.9,6152102.0
2025-09-18,126.3,128.7,125.04,126.32,6928590.0
2025-09-19,126.36,127.8,125.0,126.92,6000035.0
2025-09-22,129.8,132.63,129.16,132.2,7413227.0
2025-09-23,129.75,133.57,129.36,131.93,5918780.0
2025-09-24,130.0,130.23,127.02,128.32,7124305.0
2025-09-25,126.42,129.06,125.02,128.13,4163147.0
2025-09-26,128.04,128.76,126.37,128.33,4224977.0
2025-09-29,133.16,133.36,131.03,131.09,4894879.0
2025-09-30,131.34,134.21,130.81,133.9,5135065.0
2025-10-01,132.41,143.09,131.94,142.79,8764849.0
2025-10-02,146.91,147.35,143.71,146.99,8469828.0
2025-10-03,145.56,147.91,144.6,145.81,5123062.0
2025-10-06,149.85,153.7,149.12,149.15,5671359.0
2025-10-07,149.1,149.37,139.5,140.35,9811272.0
2025-10-08,137.91,142.88,137.61,142.54,8068017.0
2025-10-09,141.51,142.86,140.58,141.0,4085148.0
2025-10-10,140.6,141.8,131.02,131.37,9376443.0
2025-10-13,138.09,138.9,136.58,137.81,4234817.0
2025-10-14,134.28,140.92,134.04,138.31,5151902.0
2025-10-15,143.96,145.22,141.1,144.78,4676985.0
2025-10-16,147.46,147.58,140.37,142.37,5701037.0
2025-10-17,142.57,142.65,139.82,141.51,2829638.0
2025-10-20,143.49,146.48,143.31,144.05,4118097.0
2025-10-21,143.98,145.44,142.47,145.04,4337121.0
2025-10-22,144.9,145.75,136.86,141.25,8291063.0
2025-10-23,138.0,148.46,137.37,147.54,6631868.0
2025-10-24,149.91,153.21,148.0,151.68,6083310.0
2025-10-27,156.31,158.25,155.74,156.9,7032712.0
2025-10-28,155.52,156.13,154.28,155.62,4221645.0
2025-10-29,158.08,163.09,158.08,160.67,5466534.0
2025-10-30,162.37,165.22,160.3,161.01,4711016.0
2025-10-31,162.55,164.06,156.6,157.46,3381006.0
2025-11-03,159.99,162.24,159.0,161.24,2921018.0
2025-11-04,155.63,161.1,155.16,155.78,4418630.0
2025-11-05,157.74,166.92,157.0,165.05,4855032.0
2025-11-06,163.39,165.22,160.19,162.19,3747609.0
2025-11-07,159.83,159.96,153.19,159.35,5469477.0
2025-11-10,164.56,167.15,163.7,166.37,4489822.0
2025-11-11,164.17,164.63,157.71,159.18,4349363.0
2025-11-12,161.31,162.16,158.48,161.42,4649256.0
2025-11-13,159.32,160.31,151.73,153.32,6297031.0
2025-11-14,147.89,152.95,145.37,148.26,7941304.0
2025-11-17,147.4,153.81,145.94,147.46,4601338.0
2025-11-18,145.1,147.44,142.5,143.24,6396302.0
2025-11-19,146.77,150.4,145.51,148.8,4285836.0
2025-11-20,153.76,154.37,138.3,139.59,6378602.0
2025-11-21,139.8,144.41,135.5,142.65,7270597.0
2025-11-24,145.6,152.56,144.43,150.38,6003003.0
2025-11-25,149.16,152.8,145.5,151.93,3976454.0
2025-11-26,152.86,156.97,152.5,155.14,3779075.0
2025-11-28,156.2,156.2,153.83,156.0,2209795.0
2025-12-01,154.85,156.79,153.25,154.79,2174455.0
2025-12-02,155.85,159.45,155.66,158.19,4195384.0
2025-12-03,156.89,160.1,153.15,159.75,4024414.0
2025-12-04,157.07,158.52,154.92,157.09,3417313.0
2025-12-05,159.0,161.05,157.88,158.7,2480704.0
2025-12-08,161.98,164.62,160.84,162.74,3719518.0
2025-12-09,160.88,166.36,160.75,165.81,3730702.0
2025-12-10,164.97,169.69,162.54,168.26,4610567.0
2025-12-11,165.95,169.15,160.32,168.71,3974485.0
2025-12-12,166.71,167.8,159.08,160.52,4414603.0
2025-12-15,163.4,166.87,162.16,164.3,4735082.0
2025-12-16,164.5,166.2,160.79,163.26,3145333.0
2025-12-17,163.68,164.53,153.6,154.98,5226211.0
2025-12-18,163.19,168.29,162.0,164.7,6000820.0
2025-12-19,166.08,173.58,165.98,172.27,9441388.0
2025-12-22,175.68,175.96,171.49,175.26,5574008.0
2025-12-23,175.26,177.29,174.78,175.16,2825554.0
2025-12-24,175.4,177.57,175.2,177.33,1105961.0
2025-12-26,178.31,179.8,177.8,178.07,2760574.0
2025-12-29,176.5,179.23,174.75,175.87,2432246.0
2025-12-30,176.28,177.36,173.59,173.78,2604921.0
2025-12-31,174.49,174.91,170.76,171.18,1752583.0
2026-01-02,178.08,185.78,177.5,185.06,6048851.0
2026-01-05,190.25,198.36,190.12,194.76,9574702.0
2026-01-06,197.35,210.45,197.15,206.96,10697344.0
2026-01-07,201.72,205.38,199.8,203.08,7712102.0
2026-01-08,202.87,203.35,195.04,200.96,6839470.0
2026-01-09,204.65,219.59,202.72,218.36,10406681.0
2026-01-12,216.03,222.58,215.18,220.4,5515280.0
2026-01-13,219.42,220.57,213.39,214.38,6748782.0
2026-01-14,211.13,211.31,206.61,208.79,10505525.0
2026-01-15,228.15,229.57,217.21,217.47,9157605.0
2026-01-16,221.61,225.69,219.0,222.96,6000912.0
2026-01-20,218.41,226.15,217.61,222.41,5020653.0
2026-01-21,222.96,232.9,220.66,228.39,6169665.0
2026-01-22,235.56,236.1,219.76,220.7,6098228.0
2026-01-23,217.31,223.36,213.86,217.94,4877630.0
2026-01-26,218.38,225.35,215.93,222.87,4757479.0
2026-01-27,230.63,239.5,228.76,238.46,6395322.0
2026-01-28,241.15,243.99,237.14,239.58,7899640.0
2026-01-29,245.04,251.38,236.81,248.17,9681160.0
2026-01-30,244.26,251.87,232.0,233.46,9142084.0
2026-02-02,233.86,242.95,232.0,237.5,6848543.0
2026-02-03,244.35,246.62,226.87,230.1,6593590.0
2026-02-04,229.87,231.11,205.11,209.78,11112817.0
2026-02-05,208.13,215.85,204.57,213.31,5893476.0
2026-02-06,220.75,232.45,218.76,231.01,7192750.0
2026-02-09,228.19,231.32,223.39,229.28,4099235.0
2026-02-10,229.09,229.31,220.25,226.61,3632347.0
2026-02-11,236.01,240.34,230.04,235.12,5058335.0
2026-02-12,235.28,238.91,229.64,231.29,5001448.0
2026-02-13,236.18,242.78,233.39,235.53,4889715.0
2026-02-17,232.16,238.15,228.88,235.58,3293523.0
2026-02-18,236.38,245.27,234.1,240.09,4932627.0
2026-02-19,234.07,237.92,231.42,237.39,3160484.0
2026-02-20,237.96,245.76,236.96,244.92,4229685.0
2026-02-23,245.0,249.4,237.37,242.27,4242239.0
2026-02-24,243.45,247.76,238.97,244.25,4158400.0
2026-02-25,249.89,256.68,248.39,249.48,4065966.0
