date,open,high,low,close,volume
2025-02-26,30.4,30.91,30.31,30.69,4965989.0
2025-02-27,30.87,31.12,30.19,30.64,4664479.0
2025-02-28,30.63,31.15,30.47,31.06,4027881.0
2025-03-03,30.53,31.24,30.18,30.61,5805718.0
2025-03-04,30.32,30.32,29.35,29.45,7401874.0
2025-03-05,29.63,30.06,29.22,29.95,7131895.0
2025-03-06,29.58,30.14,29.33,29.53,4949591.0
2025-03-07,29.0,29.35,28.55,29.2,10678497.0
2025-03-10,28.65,28.9,27.64,28.18,10268784.0
2025-03-11,32.28,32.74,29.58,30.53,31903643.0
2025-03-12,30.42,30.64,29.3,30.1,15742394.0
2025-03-13,30.52,31.55,30.02,31.0,14881849.0
2025-03-14,31.48,31.9,30.88,31.73,11653518.0
2025-03-17,31.7,32.48,31.6,32.13,7546597.0
2025-03-18,32.32,32.77,31.9,32.39,7412279.0
2025-03-19,32.42,33.75,32.26,33.6,8461543.0
2025-03-20,33.69,34.43,33.49,34.15,10020727.0
2025-03-21,33.77,34.89,33.68,34.83,11071203.0
2025-03-24,34.8,35.0,34.32,34.84,6836452.0
2025-03-25,35.0,35.24,34.39,34.67,5057342.0
2025-03-26,34.8,34.93,34.0,34.39,5427851.0
2025-03-27,34.45,34.56,33.89,33.93,5348443.0
2025-03-28,34.33,34.4,33.34,33.59,7943666.0
2025-03-31,32.9,33.89,32.77,33.58,6834830.0
2025-04-01,32.72,33.16,31.28,31.59,12464715.0
2025-04-02,31.23,32.06,31.21,31.86,7005784.0
2025-04-03,30.8,31.01,28.85,28.86,14302818.0
2025-04-04,28.0,28.12,25.55,25.87,18939975.0
2025-04-07,25.09,26.99,24.5,25.96,13715001.0
2025-04-08,26.34,26.83,24.42,24.75,11845344.0
2025-04-09,24.58,29.06,24.32,28.55,17994214.0
2025-04-10,27.5,28.06,25.19,25.79,10507839.0
2025-04-11,25.67,26.24,24.98,26.19,9069981.0
2025-04-14,26.41,26.46,25.18,25.56,8356706.0
2025-04-15,25.51,26.63,25.5,25.81,5986925.0
2025-04-16,26.02,26.08,24.57,24.86,7226251.0
