date,open,high,low,close,volume
2025-02-26,51.92,52.21,51.21,51.91,2037704.0
2025-02-27,51.62,51.99,50.74,51.48,1870360.0
2025-02-28,51.62,52.29,50.28,51.87,2841940.0
2025-03-03,52.03,52.84,49.49,50.02,1822149.0
2025-03-04,49.43,50.71,49.28,49.91,1853706.0
2025-03-05,49.54,51.78,49.5,51.46,1652379.0
2025-03-06,51.55,52.09,50.88,51.7,1186130.0
2025-03-07,51.6,53.75,51.47,53.01,1552468.0
2025-03-10,52.83,54.0,52.07,52.47,1175231.0
2025-03-11,52.41,52.46,50.79,51.53,906282.0
2025-03-12,51.31,51.58,50.7,51.31,1452003.0
2025-03-13,51.39,51.72,47.9,48.65,1952543.0
2025-03-14,48.84,51.72,48.63,50.95,2052515.0
2025-03-17,51.4,53.95,51.12,53.6,1033997.0
2025-03-18,53.53,53.53,52.52,52.88,664174.0
2025-03-19,52.33,53.06,52.12,52.68,860066.0
2025-03-20,53.01,53.57,52.51,52.75,919149.0
2025-03-21,52.34,53.4,52.1,53.08,1161826.0
2025-03-24,53.21,54.41,52.89,53.93,839601.0
2025-03-25,53.82,53.95,52.65,53.01,691770.0
2025-03-26,52.81,53.83,52.79,53.71,765036.0
2025-03-27,53.32,54.42,53.06,53.9,1043810.0
2025-03-28,53.88,54.43,53.57,54.01,1845798.0
2025-03-31,53.64,54.38,52.76,53.3,1548174.0
2025-04-01,53.93,54.44,52.04,53.31,2913100.0
2025-04-02,53.12,54.77,53.01,54.15,2244258.0
2025-04-03,59.94,60.92,57.5,59.57,7487140.0
2025-04-04,58.98,59.97,57.96,59.0,2846441.0
2025-04-07,57.19,58.61,55.14,56.54,2231138.0
2025-04-08,57.42,57.7,52.22,52.48,1723402.0
2025-04-09,52.12,55.49,52.11,55.26,1859412.0
2025-04-10,55.07,55.26,52.88,53.91,1150348.0
2025-04-11,53.51,54.95,53.27,54.74,1174036.0
2025-04-14,55.21,56.26,54.74,55.98,1209664.0
2025-04-15,55.77,56.26,54.34,54.63,691835.0
2025-04-16,54.67,55.07,53.18,53.4,753054.0
2025-04-17,53.5,54.27,53.35,53.56,694900.0
2025-04-21,52.81,53.15,50.16,51.51,1258927.0
2025-04-22,51.84,52.72,51.84,52.47,760833.0
2025-04-23,53.13,53.5,51.97,52.44,843130.0
2025-04-24,52.26,53.01,51.6,52.6,655956.0
2025-04-25,52.44,52.49,51.39,51.94,616637.0
2025-04-28,51.89,52.48,51.56,51.75,672319.0
2025-04-29,51.53,52.34,51.01,52.18,642983.0
2025-04-30,52.27,53.06,51.47,52.81,656544.0
2025-05-01,52.84,53.15,51.99,52.11,661137.0
2025-05-02,52.42,52.62,51.37,51.5,756848.0
2025-05-05,51.25,51.81,50.88,51.29,951821.0
2025-05-06,50.89,51.31,50.71,51.21,677843.0
2025-05-07,51.21,51.97,50.54,50.84,664151.0
2025-05-08,51.02,51.78,50.23,51.46,878992.0
2025-05-09,51.37,51.69,50.71,50.83,615347.0
2025-05-12,51.74,52.45,50.61,51.24,1092246.0
2025-05-13,51.23,52.0,50.37,51.21,807255.0
2025-05-14,51.21,51.48,50.47,51.41,945271.0
2025-05-15,51.42,52.36,51.28,51.79,1531604.0
2025-05-16,51.8,53.85,51.78,53.85,1205157.0
2025-05-19,53.18,53.63,52.88,53.55,1139221.0
2025-05-20,53.69,54.45,53.34,53.91,832158.0
2025-05-21,53.71,53.71,51.39,51.41,814066.0
2025-05-22,51.0,51.44,50.1,51.02,990749.0
2025-05-23,50.75,51.2,49.96,50.56,1123907.0
2025-05-27,51.57,53.25,51.05,53.19,1007416.0
2025-05-28,53.18,53.82,52.96,53.36,1064179.0
2025-05-29,53.73,54.28,53.2,54.24,1193753.0
2025-05-30,54.1,56.2,54.01,55.78,1324028.0
2025-06-02,55.22,55.73,53.97,54.84,952804.0
2025-06-03,55.01,56.01,53.94,55.67,598236.0
2025-06-04,55.63,56.17,55.21,55.22,441234.0
2025-06-05,54.94,55.61,54.26,55.24,521599.0
2025-06-06,55.96,56.47,55.37,55.68,494263.0
2025-06-09,55.89,56.11,54.97,55.67,463685.0
2025-06-10,56.13,56.62,55.32,55.63,504613.0
2025-06-11,55.64,56.01,55.35,55.77,763910.0
2025-06-12,55.11,56.28,54.64,56.28,457800.0
2025-06-13,55.77,56.99,54.51,54.8,882540.0
2025-06-16,55.05,55.49,54.2,55.29,636163.0
2025-06-17,54.89,55.35,53.79,53.95,1234389.0
2025-06-18,53.25,54.32,52.97,53.22,1324420.0
2025-06-20,53.21,53.71,52.64,53.53,611251.0
2025-06-23,53.58,54.32,53.25,54.09,594607.0
2025-06-24,54.53,54.89,53.38,53.79,820533.0
2025-06-25,53.22,53.54,52.6,53.01,818863.0
2025-06-26,53.36,53.65,52.86,53.19,583834.0
2025-06-27,53.46,53.53,52.61,53.4,1247128.0
2025-06-30,54.0,55.04,51.46,51.85,1820196.0
2025-07-01,51.77,53.22,51.43,52.37,1726643.0
2025-07-02,52.46,53.77,52.44,52.76,1044499.0
2025-07-03,52.8,53.25,52.3,52.47,604420.0
2025-07-07,52.22,52.59,50.95,50.97,1137725.0
2025-07-08,51.19,53.63,50.93,52.34,2218278.0
2025-07-09,52.02,53.68,50.9,51.26,1811054.0
2025-07-10,51.09,51.79,50.58,51.38,1826533.0
2025-07-11,50.85,51.51,49.85,51.32,1390026.0
2025-07-14,50.43,51.44,50.24,51.07,1363041.0
2025-07-15,51.41,51.52,49.74,49.79,912254.0
2025-07-16,49.74,50.05,48.71,50.0,1717819.0
2025-07-17,50.16,50.62,49.74,50.49,1619166.0
2025-07-18,50.5,50.5,48.81,49.0,1530006.0
2025-07-21,49.32,49.5,47.87,48.04,2211724.0
2025-07-22,48.22,49.32,48.13,49.17,1858175.0
2025-07-23,56.06,59.5,54.98,57.19,6714146.0
2025-07-24,57.1,58.7,55.72,58.61,2082551.0
2025-07-25,58.23,61.02,58.11,60.86,1840353.0
2025-07-28,60.25,60.7,59.17,59.22,1115431.0
2025-07-29,59.21,59.89,58.56,59.46,743613.0
2025-07-30,59.76,59.76,58.42,58.7,691748.0
2025-07-31,58.16,58.79,56.7,57.07,1473746.0
2025-08-01,56.75,56.82,55.5,55.99,854617.0
2025-08-04,55.95,56.6,54.57,54.64,933114.0
2025-08-05,54.4,54.67,53.05,53.16,987179.0
2025-08-06,53.26,53.26,51.25,51.45,963377.0
2025-08-07,51.99,52.37,50.72,52.12,936913.0
2025-08-08,51.92,52.67,51.16,51.55,471937.0
2025-08-11,51.4,52.2,51.39,51.65,557513.0
2025-08-12,51.65,53.5,51.47,52.97,840484.0
2025-08-13,52.97,55.26,52.73,54.73,751504.0
2025-08-14,53.88,54.85,53.64,54.83,830212.0
2025-08-15,55.04,55.15,53.96,54.15,467732.0
2025-08-18,54.41,54.91,54.06,54.3,595688.0
2025-08-19,54.64,55.7,54.55,55.1,479554.0
2025-08-20,54.96,55.49,54.47,55.19,489313.0
2025-08-21,54.86,55.17,54.49,54.66,675666.0
2025-08-22,55.17,57.03,54.93,56.99,579663.0
2025-08-25,56.75,56.8,55.83,55.98,462867.0
2025-08-26,56.07,56.5,55.62,56.41,558791.0
2025-08-27,56.07,56.93,55.92,56.66,421462.0
2025-08-28,56.67,56.67,55.79,56.25,525863.0
2025-08-29,56.34,57.68,56.02,57.53,499792.0
2025-09-02,57.08,57.61,56.34,56.55,523155.0
2025-09-03,56.39,56.78,55.19,56.55,550628.0
2025-09-04,56.64,56.98,55.48,55.77,394922.0
2025-09-05,55.74,58.16,55.74,58.0,849112.0
2025-09-08,57.43,57.67,56.32,57.57,676020.0
2025-09-09,57.37,57.88,56.9,57.12,600634.0
2025-09-10,56.79,56.79,54.84,55.87,776558.0
2025-09-11,56.33,57.78,56.08,57.12,701077.0
2025-09-12,56.88,57.16,56.23,56.42,515671.0
2025-09-15,56.85,57.1,56.09,56.09,804635.0
2025-09-16,56.43,57.86,56.32,57.74,933071.0
2025-09-17,57.7,57.93,55.55,55.65,854106.0
2025-09-18,56.18,57.0,55.97,56.47,580669.0
2025-09-19,56.77,56.77,55.52,55.66,745490.0
2025-09-22,55.52,55.94,54.63,55.37,485590.0
2025-09-23,55.44,55.77,54.11,54.32,505104.0
2025-09-24,54.41,54.88,53.46,53.77,523579.0
2025-09-25,53.58,54.07,52.49,52.83,494707.0
2025-09-26,52.93,55.3,52.51,55.22,1504976.0
2025-09-29,55.98,56.32,54.93,55.67,2444438.0
2025-09-30,59.41,60.6,56.54,58.08,3607870.0
2025-10-01,58.21,62.9,58.21,62.01,2335871.0
2025-10-02,62.2,63.75,62.02,62.14,1494251.0
2025-10-03,62.3,63.14,61.96,62.9,1163190.0
2025-10-06,62.66,63.49,62.4,63.4,1142352.0
2025-10-07,63.5,63.57,62.35,63.31,1638219.0
2025-10-08,63.8,64.61,63.26,64.02,904645.0
2025-10-09,63.87,64.78,63.5,64.58,694821.0
2025-10-10,64.83,66.16,63.48,63.75,1229878.0
2025-10-13,63.67,64.1,62.51,63.81,665020.0
2025-10-14,63.34,64.25,62.94,64.16,596139.0
2025-10-15,64.0,64.7,63.63,63.98,676872.0
2025-10-16,64.37,65.21,64.02,64.96,667415.0
2025-10-17,65.02,65.18,64.38,65.01,1190288.0
2025-10-20,65.57,66.29,64.92,65.67,1323005.0
2025-10-21,65.87,65.9,64.48,64.65,1293206.0
2025-10-22,64.75,64.97,63.97,64.75,698154.0
2025-10-23,64.28,65.22,63.54,65.16,815487.0
2025-10-24,65.73,66.66,65.0,66.38,785859.0
2025-10-27,66.76,67.07,66.12,66.57,721590.0
2025-10-28,66.45,66.56,65.16,65.57,433560.0
2025-10-29,65.2,65.74,62.69,63.18,1050576.0
2025-10-30,62.9,63.38,62.14,62.19,794492.0
2025-10-31,61.65,61.86,60.66,61.73,1287000.0
2025-11-03,61.54,62.8,60.89,62.76,960732.0
2025-11-04,62.33,62.65,61.68,62.01,687544.0
2025-11-05,61.96,62.94,61.58,62.76,651475.0
2025-11-06,62.42,63.07,61.33,61.89,615830.0
2025-11-07,61.96,62.48,61.42,62.42,672263.0
2025-11-10,62.63,62.87,59.77,60.36,1207851.0
2025-11-11,60.66,61.12,59.91,60.1,1394782.0
2025-11-12,60.27,60.28,57.64,58.46,1122272.0
2025-11-13,58.32,59.15,57.7,57.83,835384.0
2025-11-14,57.6,57.73,56.25,57.01,906600.0
2025-11-17,57.34,57.39,56.08,56.25,664200.0
2025-11-18,56.32,56.55,55.7,56.18,436262.0
2025-11-19,55.9,56.14,55.08,56.05,458995.0
2025-11-20,56.12,56.84,55.47,55.59,445710.0
2025-11-21,55.97,58.63,55.7,57.68,827760.0
2025-11-24,57.28,57.4,56.4,56.52,621912.0
2025-11-25,56.81,59.17,56.57,59.01,757580.0
2025-11-26,58.96,59.77,58.95,59.61,926441.0
2025-11-28,59.47,59.91,59.05,59.06,130051.0
2025-12-01,59.06,60.05,58.94,59.5,396330.0
2025-12-02,59.57,59.57,58.53,59.05,290148.0
2025-12-03,59.41,60.75,59.14,60.49,401603.0
2025-12-04,61.0,61.0,59.59,59.76,272476.0
2025-12-05,59.78,60.03,59.4,59.7,447957.0
2025-12-08,59.77,60.41,59.32,59.53,561883.0
2025-12-09,59.46,59.75,57.0,58.23,609909.0
2025-12-10,58.82,59.14,58.03,58.98,485600.0
2025-12-11,58.78,59.95,58.47,59.48,447539.0
2025-12-12,59.79,60.55,59.32,59.66,441470.0
2025-12-15,60.45,60.55,59.2,59.46,427043.0
2025-12-16,59.78,60.37,59.27,59.8,424577.0
2025-12-17,59.74,60.24,59.0,59.46,427380.0
2025-12-18,59.56,60.51,58.74,59.33,1623968.0
2025-12-19,50.85,50.98,43.7,43.94,17306012.0
2025-12-22,43.49,44.58,42.45,42.8,5701521.0
2025-12-23,42.53,42.6,41.41,41.8,4034814.0
2025-12-24,41.66,42.85,41.5,42.48,1594458.0
2025-12-26,42.34,42.68,42.09,42.15,1765077.0
2025-12-29,42.07,42.31,41.41,41.84,2080040.0
2025-12-30,41.76,42.37,41.71,41.95,1817333.0
2025-12-31,41.84,42.71,41.81,41.89,1668570.0
2026-01-02,42.1,42.54,41.63,42.29,1100028.0
2026-01-05,42.4,42.6,41.29,41.3,2037151.0
2026-01-06,41.35,41.74,41.08,41.52,1710120.0
2026-01-07,41.55,41.64,39.96,40.29,3487357.0
2026-01-08,40.0,41.36,39.79,41.3,2147183.0
2026-01-09,41.35,41.61,40.65,41.37,1390807.0
2026-01-12,41.18,41.6,40.77,41.43,1144456.0
2026-01-13,41.34,42.0,41.17,41.87,1641828.0
2026-01-14,41.76,43.47,41.66,43.28,2126155.0
2026-01-15,43.15,44.07,42.61,43.93,1410637.0
2026-01-16,43.48,43.87,43.09,43.33,1317390.0
2026-01-20,43.06,43.93,42.38,43.51,1357965.0
2026-01-21,43.53,44.41,43.0,44.32,1721093.0
2026-01-22,44.44,45.35,43.88,44.11,2473023.0
2026-01-23,43.94,44.26,43.65,43.72,1802344.0
2026-01-26,43.76,44.1,43.24,43.72,2077807.0
2026-01-27,43.47,45.06,43.21,45.05,1398232.0
2026-01-28,45.0,45.47,44.31,45.47,1779574.0
