date,open,high,low,close,volume
2025-02-26,77.89,78.0,75.66,76.2,878580.0
2025-02-27,75.72,76.74,74.66,75.99,861932.0
2025-02-28,76.12,77.08,75.99,76.83,1572442.0
2025-03-03,77.87,77.87,73.36,73.41,1899547.0
2025-03-04,73.62,74.89,72.86,73.47,2844545.0
2025-03-05,74.42,76.63,74.37,76.21,1824178.0
2025-03-06,75.4,76.31,74.94,75.91,1152473.0
2025-03-07,75.45,77.73,75.18,77.5,1841954.0
2025-03-10,76.81,78.41,76.35,76.54,1822458.0
2025-03-11,76.96,77.0,73.14,73.96,2345306.0
2025-03-12,73.84,73.95,71.98,72.19,1773544.0
2025-03-13,72.0,73.91,71.81,72.61,1552100.0
2025-03-14,73.85,74.53,73.48,74.15,1065346.0
2025-03-17,74.01,75.56,74.01,75.15,1379975.0
2025-03-18,75.44,75.62,74.68,75.09,888798.0
2025-03-19,75.02,75.35,73.35,73.66,1266836.0
2025-03-20,73.18,73.18,72.28,72.69,1377005.0
2025-03-21,72.07,72.2,70.75,71.55,2563466.0
2025-03-24,72.0,72.5,71.37,71.96,2082105.0
2025-03-25,72.02,72.12,69.79,69.85,1727177.0
2025-03-26,69.86,71.12,69.81,71.06,1730948.0
2025-03-27,70.35,71.38,70.1,70.95,2209119.0
2025-03-28,70.9,71.33,69.73,69.82,1609352.0
2025-03-31,69.37,71.0,69.15,70.4,2120745.0
2025-04-01,69.84,70.08,69.12,70.04,2322516.0
2025-04-02,69.32,70.83,69.31,70.65,1375686.0
2025-04-03,68.01,68.67,62.92,63.11,4615009.0
2025-04-04,60.62,60.7,57.56,57.98,5430975.0
2025-04-07,55.56,59.69,54.11,56.6,4814390.0
2025-04-08,59.78,59.78,52.5,53.23,4646613.0
2025-04-09,52.5,61.6,51.11,59.83,8294999.0
2025-04-10,57.96,58.03,53.3,54.34,5385956.0
2025-04-11,54.04,56.98,52.8,56.89,3760002.0
2025-04-14,58.3,58.59,55.95,57.45,2587430.0
2025-04-15,57.09,57.69,56.46,56.7,2846243.0
2025-04-16,56.71,57.57,55.48,55.94,2645293.0
2025-04-17,56.33,57.48,56.15,56.77,2843378.0
2025-04-21,56.85,56.95,55.59,56.3,2663635.0
2025-04-22,57.2,58.33,57.07,58.14,1971752.0
2025-04-23,60.0,61.06,57.56,57.78,2201080.0
2025-04-24,58.01,59.66,57.57,59.25,2340091.0
2025-04-25,57.55,59.88,57.15,59.44,2856365.0
2025-04-28,59.8,60.86,58.06,58.72,2753550.0
2025-04-29,58.2,58.96,57.78,58.83,2611436.0
2025-04-30,57.7,58.33,57.19,58.21,1805031.0
2025-05-01,58.07,59.04,57.84,58.31,2309753.0
2025-05-02,58.93,59.46,58.09,58.38,1684572.0
2025-05-05,57.4,58.15,56.1,56.21,2335351.0
2025-05-06,56.1,56.84,55.8,55.89,1874723.0
2025-05-07,56.35,56.46,55.16,55.61,1757509.0
2025-05-08,56.23,58.26,56.06,57.22,1513127.0
2025-05-09,57.64,58.47,56.71,56.93,2482721.0
2025-05-12,60.63,62.55,60.49,60.68,2416745.0
2025-05-13,60.6,61.2,59.95,60.34,1781778.0
2025-05-14,60.04,60.16,58.78,59.17,2050341.0
2025-05-15,58.33,58.69,57.64,58.42,1503373.0
2025-05-16,58.43,59.89,57.9,59.77,2551012.0
2025-05-19,58.78,59.35,58.21,59.18,1447600.0
2025-05-20,59.14,59.36,58.25,58.52,1572096.0
2025-05-21,58.18,58.26,56.52,56.55,1642022.0
2025-05-22,56.23,56.66,55.52,56.33,1549845.0
2025-05-23,55.79,56.23,55.3,56.13,1865330.0
2025-05-27,57.41,58.1,57.15,57.97,2807491.0
2025-05-28,58.2,58.63,56.98,57.07,3539507.0
2025-05-29,57.93,58.36,56.72,57.61,2834722.0
2025-05-30,56.75,57.3,55.95,56.49,2865053.0
2025-06-02,55.14,55.17,53.91,54.44,3084040.0
2025-06-03,54.44,56.07,53.16,55.7,2402475.0
2025-06-04,55.56,56.09,55.43,56.01,1932719.0
2025-06-05,56.49,56.61,55.45,55.6,2457208.0
2025-06-06,56.38,56.94,55.93,56.54,2297204.0
2025-06-09,57.3,59.31,57.15,58.48,4184682.0
2025-06-10,59.34,61.25,59.01,60.58,5525897.0
2025-06-11,61.09,61.22,60.3,61.12,2898781.0
2025-06-12,60.33,60.76,59.77,60.13,2729192.0
2025-06-13,60.05,61.69,59.8,60.1,3379890.0
2025-06-16,60.83,61.3,60.02,61.22,2265798.0
2025-06-17,60.98,61.4,59.52,59.59,2339991.0
2025-06-18,59.5,59.9,58.58,58.64,2396732.0
2025-06-20,58.98,59.12,57.73,58.34,2681262.0
2025-06-23,58.01,58.48,56.72,57.34,2679132.0
2025-06-24,57.98,58.48,57.62,58.33,1729149.0
2025-06-25,58.1,58.28,57.34,57.48,1910793.0
2025-06-26,57.96,58.57,57.74,58.4,1302762.0
2025-06-27,58.72,59.5,57.95,58.67,2229918.0
2025-06-30,58.3,58.62,57.47,57.86,2526152.0
2025-07-01,57.75,61.69,57.5,61.2,3129295.0
2025-07-02,62.0,62.88,60.65,62.56,2771445.0
2025-07-03,62.58,62.78,61.82,62.01,1198903.0
2025-07-07,61.32,62.01,60.14,60.73,1799128.0
2025-07-08,61.11,64.4,61.0,63.7,2479305.0
2025-07-09,64.25,66.14,63.77,64.84,2266737.0
2025-07-10,64.5,66.41,64.25,65.32,1554725.0
2025-07-11,64.26,64.85,63.5,64.55,1548397.0
2025-07-14,63.98,64.6,62.66,63.04,2141585.0
2025-07-15,63.55,64.0,62.37,62.44,1081445.0
2025-07-16,62.58,62.84,61.4,62.42,1106747.0
2025-07-17,62.3,63.47,62.0,63.3,1296760.0
2025-07-18,63.88,63.9,62.63,63.21,1337089.0
2025-07-21,63.77,64.21,62.59,62.65,2118572.0
2025-07-22,62.9,66.05,62.84,65.41,3459370.0
2025-07-23,66.57,67.5,66.15,67.22,2229393.0
2025-07-24,62.64,63.06,59.78,60.7,6480557.0
2025-07-25,61.0,64.2,60.51,64.01,3836047.0
2025-07-28,63.89,64.03,62.5,62.88,3065122.0
