date,open,high,low,close,volume
2025-02-26,144.68,147.3,139.94,142.16,2185653.0
2025-02-27,142.75,143.72,139.67,140.96,1158529.0
2025-02-28,141.2,143.4,140.17,143.36,1221764.0
2025-03-03,144.27,145.79,141.48,142.26,1129743.0
2025-03-04,141.25,141.34,135.64,138.15,1538009.0
2025-03-05,138.1,138.1,134.54,136.84,1257835.0
2025-03-06,134.6,136.78,130.63,131.11,1377970.0
2025-03-07,129.5,130.39,122.91,127.51,2345164.0
2025-03-10,124.37,125.44,120.49,122.79,1910077.0
2025-03-11,122.66,125.42,120.26,121.64,1516040.0
2025-03-12,124.57,125.76,120.28,122.92,2766794.0
2025-03-13,121.0,121.46,112.87,115.79,3361631.0
2025-03-14,118.25,120.61,117.0,119.26,1655981.0
2025-03-17,119.22,122.25,119.14,121.91,1331533.0
2025-03-18,121.32,121.97,118.35,119.21,846901.0
2025-03-19,119.52,123.97,119.23,122.65,996501.0
2025-03-20,121.46,124.1,121.0,122.14,737593.0
2025-03-21,121.07,123.07,119.25,123.06,1198252.0
2025-03-24,125.0,127.61,124.73,127.02,847076.0
2025-03-25,127.4,128.64,125.72,127.02,813565.0
2025-03-26,127.18,129.76,126.13,126.75,833061.0
2025-03-27,125.92,129.51,125.26,128.08,1117847.0
2025-03-28,128.14,128.33,124.3,125.03,771822.0
2025-03-31,125.34,131.6,124.1,130.58,3139916.0
2025-04-01,130.25,133.63,129.27,132.01,1983360.0
2025-04-02,129.99,134.83,129.99,134.65,998365.0
2025-04-03,127.89,130.36,125.57,126.06,1930672.0
2025-04-04,121.8,123.04,117.83,120.84,2129102.0
2025-04-07,116.33,125.82,113.2,119.23,2105346.0
2025-04-08,124.11,125.13,117.29,118.81,1313980.0
2025-04-09,118.35,133.31,117.81,131.75,2078808.0
2025-04-10,128.92,130.13,124.53,129.23,1927386.0
2025-04-11,127.5,130.46,125.41,129.6,1249592.0
2025-04-14,131.31,131.59,127.07,128.4,798117.0
2025-04-15,128.4,130.12,128.21,128.98,789770.0
2025-04-16,127.94,128.04,123.88,125.46,861907.0
2025-04-17,126.38,128.74,125.14,127.22,1308171.0
2025-04-21,127.0,127.5,122.08,123.48,976746.0
2025-04-22,125.74,128.84,125.05,128.5,1596845.0
2025-04-23,131.84,134.54,130.49,131.28,1492160.0
2025-04-24,130.9,133.87,129.02,132.72,828649.0
2025-04-25,132.72,133.34,131.47,132.76,602109.0
2025-04-28,133.41,134.24,132.02,133.27,667466.0
2025-04-29,132.7,133.75,130.4,132.3,801528.0
2025-04-30,129.98,132.61,127.76,132.45,802575.0
2025-05-01,133.38,133.98,131.11,131.34,1441132.0
2025-05-02,131.68,134.81,128.7,133.77,1656279.0
2025-05-05,132.73,137.38,132.22,136.12,891275.0
2025-05-06,134.3,135.81,133.17,134.15,592077.0
2025-05-07,134.42,136.73,131.65,134.13,1402346.0
2025-05-08,135.03,136.33,133.45,134.69,529675.0
2025-05-09,134.92,136.95,134.85,136.52,593784.0
2025-05-12,139.42,141.09,138.46,140.83,789185.0
2025-05-13,141.48,144.0,140.15,143.0,616946.0
2025-05-14,142.54,144.35,141.09,142.22,767155.0
2025-05-15,141.98,145.85,141.77,145.42,1001832.0
2025-05-16,145.56,148.01,144.23,147.68,1293647.0
2025-05-19,145.34,148.46,144.91,148.3,793053.0
2025-05-20,147.18,147.84,145.11,146.29,878368.0
2025-05-21,145.09,146.93,143.84,144.17,1152719.0
2025-05-22,144.18,145.56,142.5,144.43,945620.0
2025-05-23,142.6,145.22,142.21,145.01,962270.0
2025-05-27,146.29,147.15,142.59,143.02,835607.0
2025-05-28,143.4,143.4,140.16,140.22,751074.0
2025-05-29,135.99,137.46,134.74,136.15,4919292.0
2025-05-30,135.93,137.56,134.91,137.19,3358686.0
2025-06-02,136.91,138.78,134.85,138.55,2064800.0
2025-06-03,138.37,138.99,135.04,136.64,1700805.0
2025-06-04,137.41,140.91,137.25,140.17,1958085.0
2025-06-05,141.2,144.97,141.16,144.03,2311380.0
2025-06-06,145.41,145.68,142.96,144.15,1636661.0
2025-06-09,144.2,145.0,141.49,143.48,1151789.0
2025-06-10,144.37,144.59,141.66,143.71,634114.0
2025-06-11,143.95,144.5,142.82,143.59,647760.0
2025-06-12,143.0,143.74,140.79,141.31,616138.0
2025-06-13,139.81,140.13,137.88,138.17,737740.0
2025-06-16,139.69,142.9,139.52,142.32,921444.0
2025-06-17,141.58,145.7,141.13,145.59,1402327.0
2025-06-18,146.21,148.74,145.49,148.26,1106690.0
2025-06-20,149.65,150.82,148.1,148.87,2048895.0
2025-06-23,149.12,151.89,147.95,150.69,914709.0
2025-06-24,150.7,151.38,147.5,147.78,997533.0
2025-06-25,147.93,148.31,145.2,146.19,575199.0
2025-06-26,146.54,147.42,144.34,147.2,830696.0
2025-06-27,147.44,150.66,146.82,149.99,1027399.0
2025-06-30,150.58,151.6,149.89,151.28,963735.0
2025-07-01,150.72,152.2,148.79,149.88,738867.0
2025-07-02,149.87,150.36,148.21,149.11,1227142.0
2025-07-03,149.42,151.08,148.93,149.27,414542.0
2025-07-07,149.27,149.74,146.4,147.39,1184710.0
2025-07-08,147.36,148.05,142.24,144.43,1001003.0
2025-07-09,144.99,145.04,142.48,143.56,956081.0
2025-07-10,143.56,145.68,142.39,144.46,782101.0
