date,open,high,low,close,volume
2025-02-26,279.17,285.0,278.92,282.16,756698.0
2025-02-27,281.48,283.66,276.68,277.21,612656.0
2025-02-28,278.99,282.35,277.76,280.45,873633.0
2025-03-03,280.0,284.48,275.37,277.72,747270.0
2025-03-04,275.79,276.41,268.0,270.8,1152382.0
2025-03-05,269.55,272.47,268.02,271.1,665544.0
2025-03-06,268.08,268.55,262.14,262.63,719358.0
2025-03-07,261.87,264.98,256.65,262.75,1105461.0
2025-03-10,258.36,260.69,255.07,257.22,1131732.0
2025-03-11,254.87,255.93,243.57,246.31,1380777.0
2025-03-12,248.0,249.04,240.19,243.81,1052115.0
2025-03-13,243.47,243.92,236.21,237.29,905279.0
2025-03-14,239.59,243.62,239.0,243.11,539024.0
2025-03-17,243.92,249.4,242.24,248.11,535871.0
2025-03-18,247.08,247.21,239.93,240.39,469174.0
2025-03-19,241.6,248.6,241.52,247.62,460106.0
2025-03-20,245.02,248.02,243.89,244.84,310356.0
2025-03-21,235.41,237.94,229.38,237.49,1529008.0
2025-03-24,240.99,243.49,239.27,242.92,766288.0
2025-03-25,243.73,246.75,241.6,246.48,495103.0
2025-03-26,247.26,250.43,246.07,246.72,903335.0
2025-03-27,245.23,245.98,239.69,244.45,980604.0
2025-03-28,243.78,243.8,236.0,237.01,523735.0
2025-03-31,234.92,239.68,230.92,238.2,687476.0
2025-04-01,237.48,238.98,233.42,238.24,601618.0
2025-04-02,235.34,244.03,235.1,242.56,816345.0
2025-04-03,230.39,230.58,223.36,224.62,1896340.0
2025-04-04,218.33,222.66,212.55,214.58,1740764.0
2025-04-07,207.77,224.14,205.4,213.36,2022045.0
2025-04-08,220.34,222.12,207.62,211.12,1848916.0
2025-04-09,210.62,235.29,208.16,233.39,2233223.0
2025-04-10,228.45,230.22,217.27,222.92,1666844.0
2025-04-11,222.7,227.75,219.01,225.22,960664.0
2025-04-14,224.91,225.47,220.0,223.49,995248.0
2025-04-15,224.63,225.49,221.43,222.58,524881.0
2025-04-16,219.94,223.98,216.68,218.79,742441.0
2025-04-17,221.27,222.42,218.46,220.41,651955.0
2025-04-21,218.3,218.99,212.53,215.69,644316.0
2025-04-22,217.53,221.37,216.97,220.59,683282.0
2025-04-23,229.23,236.44,228.36,229.79,1870171.0
2025-04-24,228.48,237.35,227.55,236.26,1193013.0
2025-04-25,236.52,238.02,232.82,236.2,951060.0
2025-04-28,238.29,240.83,234.07,236.93,1169756.0
2025-04-29,235.33,240.85,235.13,239.67,862030.0
2025-04-30,234.53,239.05,231.21,238.58,1092113.0
2025-05-01,241.43,246.24,240.36,243.95,678205.0
2025-05-02,247.57,250.54,247.13,249.47,454722.0
2025-05-05,248.0,250.84,246.5,247.27,727145.0
2025-05-06,256.14,258.59,250.01,251.96,1164516.0
2025-05-07,251.78,258.1,250.79,255.99,746297.0
2025-05-08,256.88,263.12,255.99,259.3,726977.0
2025-05-09,259.11,259.99,255.69,257.97,791299.0
2025-05-12,269.06,273.42,268.63,271.96,1248772.0
2025-05-13,272.0,276.02,271.2,274.14,629523.0
2025-05-14,272.4,275.62,272.09,272.59,624206.0
2025-05-15,271.99,272.95,270.73,271.47,554474.0
2025-05-16,271.54,273.32,269.33,273.23,378375.0
2025-05-19,269.61,273.76,269.45,273.19,425281.0
2025-05-20,272.6,272.6,266.92,267.34,607896.0
2025-05-21,263.89,264.59,260.14,260.69,392882.0
2025-05-22,261.17,262.11,259.21,260.69,389518.0
2025-05-23,255.69,258.97,255.52,257.7,544218.0
2025-05-27,260.54,266.35,260.08,266.1,489965.0
2025-05-28,266.59,266.89,264.18,264.53,546657.0
2025-05-29,265.23,266.18,261.0,263.61,350647.0
2025-05-30,263.57,265.12,262.1,263.83,342915.0
2025-06-02,262.12,262.74,258.79,261.21,451972.0
2025-06-03,260.16,265.57,260.16,264.4,542209.0
2025-06-04,264.1,265.28,261.93,261.93,358290.0
2025-06-05,261.93,262.9,259.46,259.81,470552.0
2025-06-06,263.85,266.05,262.79,265.63,292634.0
2025-06-09,265.99,267.73,264.67,265.93,441836.0
2025-06-10,266.12,269.08,265.75,268.04,408983.0
2025-06-11,269.03,269.19,265.35,266.06,360572.0
2025-06-12,264.24,265.84,262.56,263.23,418595.0
2025-06-13,259.0,260.58,253.55,254.99,727285.0
2025-06-16,256.59,259.53,256.2,257.91,843178.0
2025-06-17,255.5,259.44,255.0,256.2,403289.0
2025-06-18,256.47,260.84,256.03,257.53,408141.0
2025-06-20,259.57,261.53,257.49,260.19,799422.0
2025-06-23,259.57,264.33,254.49,264.11,718814.0
2025-06-24,266.7,269.91,265.59,268.73,555227.0
2025-06-25,269.01,269.1,264.74,265.99,432192.0
2025-06-26,266.26,270.49,266.26,269.62,500415.0
2025-06-27,269.54,274.51,269.33,273.47,817394.0
2025-06-30,274.92,275.8,270.52,273.21,532976.0
2025-07-01,271.44,279.09,271.43,278.07,616832.0
2025-07-02,277.2,278.18,275.72,277.52,392162.0
2025-07-03,277.62,281.28,277.5,280.03,199664.0
2025-07-07,279.18,280.13,275.55,278.4,421964.0
2025-07-08,279.39,282.36,278.68,279.96,493786.0
2025-07-09,281.34,282.04,278.54,279.19,285604.0
2025-07-10,280.52,283.75,278.9,282.3,655242.0
2025-07-11,281.49,282.61,279.01,281.65,372709.0
2025-07-14,280.97,283.48,279.62,282.87,358143.0
2025-07-15,282.8,282.97,274.67,274.9,651248.0
2025-07-16,274.78,276.91,272.6,273.6,389002.0
2025-07-17,273.01,274.55,270.04,271.6,682049.0
2025-07-18,272.44,273.65,270.74,272.58,724732.0
2025-07-21,273.48,274.71,271.21,271.56,591792.0
2025-07-22,272.61,273.3,270.03,272.98,732929.0
2025-07-23,272.33,273.73,269.5,273.51,530435.0
2025-07-24,272.99,276.3,271.39,272.88,438110.0
2025-07-25,274.04,279.21,272.75,279.11,374786.0
2025-07-28,278.68,280.0,275.61,275.79,765450.0
2025-07-29,276.92,276.95,272.57,273.47,698083.0
2025-07-30,274.66,275.05,269.22,270.04,590482.0
2025-07-31,268.22,270.05,262.95,263.83,912828.0
2025-08-01,261.08,261.08,253.75,255.35,1155310.0
2025-08-04,256.78,259.51,255.42,259.13,796080.0
2025-08-05,259.31,262.26,255.27,259.72,1048732.0
2025-08-06,259.29,263.27,257.33,262.71,617971.0
2025-08-07,265.3,266.41,259.75,260.59,738949.0
2025-08-08,260.17,262.75,257.31,259.92,476655.0
2025-08-11,259.38,261.38,256.49,257.97,588421.0
2025-08-12,259.43,265.49,258.02,265.01,436983.0
2025-08-13,265.14,270.21,264.38,269.7,271225.0
2025-08-14,267.55,268.78,265.67,266.55,519288.0
2025-08-15,268.62,268.62,264.63,265.2,386962.0
2025-08-18,265.13,267.04,263.9,266.26,322044.0
2025-08-19,265.76,270.24,265.76,266.78,462458.0
2025-08-20,266.78,268.65,263.42,263.53,413285.0
2025-08-21,262.38,264.0,261.44,262.27,505716.0
2025-08-22,263.69,274.53,263.05,273.82,759746.0
2025-08-25,272.83,272.83,268.51,268.6,459121.0
2025-08-26,268.2,270.49,266.99,267.85,422909.0
2025-08-27,266.69,269.98,265.92,269.67,341637.0
2025-08-28,270.09,271.57,268.8,270.25,361822.0
2025-08-29,269.1,270.38,266.19,267.86,272026.0
2025-09-02,264.93,265.7,261.57,264.48,475761.0
2025-09-03,264.76,267.09,263.89,265.07,467082.0
2025-09-04,266.61,269.8,265.17,268.85,489319.0
2025-09-05,270.69,271.67,262.0,264.7,642348.0
2025-09-08,265.13,268.38,263.19,268.06,439132.0
2025-09-09,267.76,268.62,263.83,264.0,715492.0
2025-09-10,264.01,265.78,261.1,262.42,602543.0
2025-09-11,263.3,268.92,262.49,267.94,505977.0
2025-09-12,266.88,267.78,263.5,266.5,525783.0
2025-09-15,267.06,268.62,264.39,265.14,569247.0
2025-09-16,265.59,269.1,264.02,267.89,614648.0
2025-09-17,267.39,268.31,260.15,262.05,1001701.0
2025-09-18,262.72,266.62,262.27,263.95,630142.0
2025-09-19,264.65,270.28,264.16,268.52,913983.0
2025-09-22,265.77,266.18,263.07,264.1,710308.0
2025-09-23,263.5,266.02,261.4,261.84,441304.0
2025-09-24,263.15,264.29,260.13,262.14,492760.0
2025-09-25,260.95,262.25,258.89,260.9,587728.0
2025-09-26,261.63,266.0,261.63,264.21,568154.0
2025-09-29,265.4,267.69,264.01,266.82,534566.0
2025-09-30,265.66,265.97,259.62,260.44,558143.0
2025-10-01,258.55,262.26,258.07,261.66,530873.0
2025-10-02,261.08,266.79,261.05,266.4,354961.0
2025-10-03,265.98,268.95,264.96,267.57,1696400.0
2025-10-06,269.17,273.1,267.9,271.94,1056665.0
2025-10-07,272.59,273.04,265.53,267.45,861415.0
2025-10-08,267.88,269.48,264.32,267.98,610031.0
2025-10-09,268.18,272.85,265.93,266.14,578483.0
2025-10-10,266.63,270.22,259.86,260.2,703623.0
2025-10-13,263.61,265.29,261.32,263.26,550112.0
2025-10-14,260.89,269.64,260.42,267.97,546837.0
2025-10-15,267.8,269.79,263.44,266.19,494492.0
2025-10-16,267.38,267.72,257.92,259.04,586238.0
2025-10-17,259.0,263.07,258.62,260.85,666608.0
2025-10-20,262.3,263.81,259.93,260.0,779719.0
2025-10-21,263.01,269.58,262.03,268.43,701199.0
2025-10-22,268.0,276.8,268.0,272.07,614386.0
2025-10-23,272.12,273.04,268.85,269.7,574251.0
2025-10-24,271.39,273.31,269.81,271.32,527177.0
2025-10-27,272.12,274.94,270.05,271.21,402942.0
2025-10-28,269.88,271.19,265.32,265.45,446960.0
2025-10-29,263.37,267.11,262.03,263.12,600091.0
2025-10-30,263.3,267.32,261.7,262.27,580067.0
2025-10-31,260.82,261.55,256.76,260.58,570733.0
2025-11-03,261.63,264.81,258.99,263.89,1396951.0
2025-11-04,264.4,275.66,263.5,272.24,1605068.0
2025-11-05,273.3,285.66,272.66,283.07,1389156.0
2025-11-06,283.31,286.58,279.87,281.14,815126.0
2025-11-07,282.15,291.66,281.93,291.16,1344794.0
2025-11-10,292.12,294.18,286.1,290.47,838388.0
2025-11-11,290.56,294.01,290.04,291.9,859125.0
2025-11-12,291.39,294.99,290.54,291.67,589276.0
2025-11-13,290.44,293.49,287.01,287.43,767787.0
2025-11-14,285.07,288.02,281.19,285.72,684176.0
2025-11-17,286.86,286.89,280.99,282.89,724921.0
2025-11-18,283.32,286.94,281.3,282.9,710734.0
2025-11-19,282.88,285.46,281.52,284.2,557816.0
2025-11-20,285.42,289.36,281.72,282.38,658311.0
2025-11-21,284.37,298.03,284.27,295.84,1374519.0
2025-11-24,295.55,297.96,292.72,296.23,906002.0
2025-11-25,297.15,305.01,296.67,304.12,670340.0
2025-11-26,303.21,306.0,301.94,304.65,623049.0
2025-11-28,304.36,305.14,302.95,304.79,271509.0
2025-12-01,302.43,307.08,302.0,303.44,754748.0
2025-12-02,304.56,305.66,299.33,304.65,538089.0
2025-12-03,303.44,309.43,303.44,306.65,704988.0
2025-12-04,302.93,302.99,292.37,296.0,1242674.0
2025-12-05,295.2,296.28,292.0,292.59,899653.0
2025-12-08,292.07,292.16,286.65,287.82,824395.0
2025-12-09,287.4,287.67,283.1,283.84,929904.0
2025-12-10,283.89,287.98,282.03,286.96,628978.0
2025-12-11,287.33,297.41,285.07,296.46,780794.0
2025-12-12,298.05,300.75,296.63,298.72,617286.0
2025-12-15,304.45,310.23,302.17,308.49,900500.0
2025-12-16,308.31,309.6,303.05,305.97,1041644.0
2025-12-17,305.46,311.66,305.46,310.07,733989.0
2025-12-18,310.42,311.7,304.89,306.82,673644.0
2025-12-19,304.16,311.68,304.16,310.16,1084677.0
2025-12-22,310.74,315.4,309.95,313.75,592688.0
2025-12-23,313.14,316.69,313.14,314.07,578591.0
2025-12-24,313.25,316.22,313.07,315.16,278426.0
2025-12-26,315.16,315.96,314.05,315.58,322214.0
2025-12-29,315.1,315.57,312.43,314.41,374138.0
2025-12-30,314.11,315.52,313.55,313.94,467950.0
2025-12-31,313.93,315.34,309.67,310.24,617952.0
2026-01-02,310.69,314.3,309.0,313.41,583890.0
2026-01-05,311.82,316.32,308.3,311.03,1303476.0
2026-01-06,309.95,322.6,309.6,321.86,950001.0
2026-01-07,319.74,322.24,317.53,319.26,659234.0
2026-01-08,317.65,325.71,316.7,324.91,606019.0
2026-01-09,327.19,331.09,326.52,328.18,889738.0
2026-01-12,325.15,325.15,319.01,323.35,805990.0
2026-01-13,322.97,325.47,319.82,322.96,518976.0
2026-01-14,320.82,322.05,314.75,319.68,726323.0
2026-01-15,322.49,329.69,322.36,325.79,559487.0
2026-01-16,326.7,327.75,322.07,325.88,563533.0
2026-01-20,320.65,321.96,312.66,313.84,794377.0
2026-01-21,314.82,321.84,312.59,320.56,1205291.0
2026-01-22,322.99,327.2,320.71,321.67,960055.0
2026-01-23,318.24,320.74,316.69,319.7,670720.0
2026-01-26,317.4,319.47,313.0,316.7,683571.0
2026-01-27,316.14,316.35,313.26,313.95,495426.0
2026-01-28,315.08,316.0,311.56,312.07,748446.0
2026-01-29,311.97,320.75,311.75,319.77,1013349.0
2026-01-30,317.06,318.95,313.25,315.3,663071.0
2026-02-02,316.19,321.1,314.26,319.29,495143.0
2026-02-03,316.54,322.86,316.07,318.42,580457.0
2026-02-04,321.35,329.78,320.39,324.56,1143528.0
2026-02-05,324.33,326.93,320.4,326.45,617635.0
2026-02-06,326.27,333.96,326.0,333.24,701355.0
2026-02-09,331.25,332.07,326.13,331.21,1371012.0
2026-02-10,349.82,363.54,347.36,359.35,2701311.0
2026-02-11,358.63,367.73,355.0,358.75,1518474.0
2026-02-12,362.22,370.0,352.55,355.08,1075184.0
