date,open,high,low,close,volume
2025-02-26,76.2,76.71,75.84,76.03,858321.0
2025-02-27,75.59,76.36,74.63,74.71,556062.0
2025-02-28,75.01,75.59,74.08,75.18,596127.0
2025-03-03,75.63,76.21,73.65,73.94,952006.0
2025-03-04,73.02,74.09,71.94,72.5,1064369.0
2025-03-05,72.91,75.16,72.68,73.58,643603.0
2025-03-06,73.44,74.56,72.62,74.15,888763.0
2025-03-07,74.04,75.72,73.8,75.2,1618916.0
2025-03-10,75.0,76.36,73.77,73.91,995875.0
2025-03-11,73.69,74.51,71.28,71.39,837961.0
2025-03-12,71.43,72.03,70.46,71.13,708742.0
2025-03-13,71.12,71.38,69.07,69.21,711275.0
2025-03-14,70.15,70.42,69.22,70.31,1319326.0
2025-03-17,70.48,71.35,70.1,71.09,1534698.0
2025-03-18,70.87,71.42,70.36,70.68,1003410.0
2025-03-19,70.65,71.75,70.31,71.61,1146148.0
2025-03-20,71.0,71.67,70.34,70.41,1190284.0
2025-03-21,69.47,69.73,68.52,69.6,1623984.0
2025-03-24,70.37,71.23,69.93,70.78,1095795.0
2025-03-25,70.52,71.23,69.95,70.39,960333.0
2025-03-26,70.34,71.17,69.89,70.41,900075.0
2025-03-27,70.75,70.78,69.97,70.46,1087771.0
2025-03-28,70.89,70.89,68.46,68.67,516971.0
2025-03-31,68.3,69.95,67.84,69.54,824296.0
2025-04-01,69.59,69.99,68.58,69.84,762081.0
2025-04-02,69.18,71.23,68.81,71.06,483330.0
2025-04-03,67.81,67.85,63.12,64.15,2648004.0
2025-04-04,62.14,64.69,60.29,62.92,2432319.0
2025-04-07,61.2,64.04,59.83,60.96,1680296.0
2025-04-08,62.0,62.0,57.81,58.73,1332932.0
2025-04-09,58.0,64.39,57.27,63.77,2481755.0
2025-04-10,62.16,62.46,59.29,61.7,1448377.0
2025-04-11,61.35,62.55,59.67,61.94,1439754.0
2025-04-14,63.04,63.04,61.46,62.41,711008.0
2025-04-15,62.38,63.21,61.67,61.87,1300856.0
