date,open,high,low,close,volume
2025-02-26,60.31,60.37,58.44,59.77,4474238.0
2025-02-27,59.53,59.77,56.7,57.12,5948704.0
2025-02-28,57.2,58.92,56.6,58.86,6433177.0
2025-03-03,62.61,62.64,57.36,57.95,11719816.0
2025-03-04,58.71,60.29,57.97,58.14,6723728.0
2025-03-05,58.7,59.83,56.9,59.64,3506267.0
2025-03-06,58.43,60.03,57.78,58.26,5127887.0
2025-03-07,58.14,60.03,57.83,59.77,3905318.0
2025-03-10,57.96,58.06,52.8,53.45,9027259.0
2025-03-11,54.19,54.4,51.06,52.24,4789474.0
2025-03-12,52.58,53.34,51.64,51.9,3053740.0
2025-03-13,51.54,53.51,51.32,51.89,3255147.0
2025-03-14,52.72,53.62,52.28,53.5,3894752.0
2025-03-17,53.64,55.72,53.62,55.26,2875905.0
2025-03-18,54.81,54.93,53.68,54.2,1730064.0
2025-03-19,53.97,55.37,53.91,54.57,2130663.0
2025-03-20,52.29,52.42,50.96,51.0,7572542.0
2025-03-21,50.62,52.37,49.92,51.72,9498495.0
2025-03-24,53.13,54.48,52.8,53.89,5344555.0
2025-03-25,53.5,54.08,52.28,52.36,2661656.0
2025-03-26,52.42,53.13,51.58,52.17,2831287.0
2025-03-27,51.88,52.04,50.19,50.79,2458557.0
2025-03-28,50.34,50.47,48.26,48.7,6891306.0
2025-03-31,48.17,48.84,47.43,48.41,8431408.0
2025-04-01,48.53,48.71,47.21,48.5,6099055.0
2025-04-02,47.64,49.47,47.48,48.93,3525924.0
2025-04-03,46.8,46.8,39.57,40.71,18925867.0
2025-04-04,38.93,40.18,36.1,36.22,16678900.0
2025-04-07,35.78,40.0,34.12,38.09,14443626.0
2025-04-08,39.76,39.98,34.14,35.34,9528945.0
2025-04-09,35.4,45.58,35.1,44.9,16298700.0
2025-04-10,41.37,41.6,37.4,38.81,15334594.0
2025-04-11,36.96,38.92,35.47,38.71,13001858.0
2025-04-14,40.06,40.31,38.25,38.88,5495815.0
2025-04-15,39.09,39.61,38.31,38.73,3763972.0
2025-04-16,37.33,38.4,36.32,37.95,7292835.0
2025-04-17,38.68,38.71,37.58,38.56,4639800.0
2025-04-21,37.62,39.53,37.41,39.43,9778569.0
2025-04-22,39.86,41.06,39.58,40.29,5220276.0
2025-04-23,42.77,43.37,41.63,41.93,5026048.0
2025-04-24,44.36,47.33,44.12,47.12,12489461.0
2025-04-25,46.2,47.5,46.07,46.89,3795169.0
2025-04-28,46.66,47.85,45.9,47.01,3971427.0
2025-04-29,45.81,46.72,45.5,45.92,4820032.0
2025-04-30,44.54,46.24,44.17,46.08,4313896.0
2025-05-01,47.09,47.2,45.6,45.98,5515993.0
2025-05-02,47.23,48.53,47.11,47.91,5017806.0
2025-05-05,47.12,48.33,46.84,47.78,3940948.0
2025-05-06,46.95,47.7,46.68,47.24,3371036.0
2025-05-07,47.66,48.4,46.92,48.08,5003744.0
2025-05-08,48.88,50.26,48.56,49.14,6837415.0
2025-05-09,55.75,58.06,53.83,55.33,13608590.0
2025-05-12,59.94,62.49,59.34,60.96,11909238.0
2025-05-13,61.03,63.12,60.6,62.3,5733801.0
2025-05-14,62.02,62.08,60.26,60.65,5645091.0
2025-05-15,60.32,61.36,59.3,60.8,4304377.0
2025-05-16,60.67,61.22,60.13,61.21,3956383.0
2025-05-19,59.7,61.05,59.39,60.57,4579604.0
2025-05-20,60.0,60.92,59.79,60.8,2909626.0
2025-05-21,60.01,61.41,58.88,59.25,3355988.0
2025-05-22,59.25,59.78,57.56,58.05,7208727.0
2025-05-23,55.87,56.32,54.54,56.19,5683043.0
2025-05-27,57.42,59.52,56.75,58.68,5114362.0
2025-05-28,58.86,59.09,57.4,57.46,4176259.0
2025-05-29,59.03,59.59,57.38,58.11,3547066.0
