date,open,high,low,close,volume
2025-02-26,65.5,65.5,63.28,63.45,6018661.0
2025-02-27,63.25,64.21,63.09,63.98,3816057.0
2025-02-28,64.68,64.71,63.65,64.23,3995533.0
2025-03-03,64.26,66.01,64.03,65.78,4830092.0
2025-03-04,66.35,67.42,65.17,65.29,7221451.0
2025-03-05,65.25,66.45,65.18,66.3,4644960.0
2025-03-06,66.43,67.24,65.69,66.76,6342933.0
2025-03-07,66.75,69.68,66.63,67.74,8142046.0
2025-03-10,68.28,70.6,67.86,68.15,9366781.0
2025-03-11,68.33,68.49,67.31,67.85,5736793.0
2025-03-12,66.7,66.9,64.86,64.98,5226171.0
2025-03-13,64.73,65.51,64.65,64.69,4915752.0
2025-03-14,64.26,64.84,64.07,64.31,3708831.0
2025-03-17,64.14,65.26,63.9,65.09,3277054.0
2025-03-18,65.21,65.51,64.49,64.65,3183979.0
2025-03-19,63.97,64.43,63.48,64.0,4400294.0
2025-03-20,64.1,64.33,63.57,63.95,3286608.0
2025-03-21,63.86,64.7,63.7,64.51,6180676.0
2025-03-24,64.55,65.07,64.25,64.95,3669581.0
2025-03-25,64.76,64.88,64.14,64.69,4009610.0
2025-03-26,64.77,66.54,64.68,66.33,5447730.0
2025-03-27,66.9,67.62,66.49,67.5,5503359.0
2025-03-28,67.91,68.38,67.02,67.72,7738752.0
2025-03-31,67.85,68.04,67.22,67.85,7369853.0
2025-04-01,68.2,68.28,67.25,67.65,5219920.0
2025-04-02,67.65,67.71,65.66,66.13,7068685.0
2025-04-03,67.69,69.0,67.21,67.9,9106772.0
2025-04-04,68.41,69.12,65.95,66.31,8119814.0
2025-04-07,65.18,66.69,64.63,65.23,9970731.0
2025-04-08,65.32,66.42,63.69,64.06,7536044.0
2025-04-09,63.49,66.65,63.14,66.19,6899302.0
2025-04-10,66.51,66.96,64.71,65.98,5924190.0
2025-04-11,66.59,67.69,66.04,67.05,4812453.0
2025-04-14,66.7,68.6,66.52,68.3,3603547.0
2025-04-15,68.5,68.61,66.87,67.03,2910736.0
2025-04-16,67.25,67.76,66.13,66.48,3286008.0
2025-04-17,66.58,67.85,66.37,67.32,4617772.0
2025-04-21,67.3,67.87,66.91,67.76,3640350.0
2025-04-22,67.98,69.09,67.8,68.29,4019219.0
2025-04-23,67.73,68.54,66.87,67.38,3416140.0
2025-04-24,66.94,66.94,65.48,65.52,5083720.0
2025-04-25,65.89,65.9,64.61,65.59,3632280.0
