date,open,high,low,close,volume
2025-02-26,90.46,91.19,90.0,90.58,2475876.0
2025-02-27,90.3,91.28,90.1,90.74,2552422.0
2025-02-28,91.55,92.4,90.29,92.02,3991545.0
2025-03-03,92.67,94.93,92.3,94.3,6117109.0
2025-03-04,94.75,95.57,92.95,93.03,4512086.0
2025-03-05,93.59,94.73,93.27,94.06,3446218.0
2025-03-06,93.74,93.98,92.56,93.13,3096415.0
2025-03-07,92.6,95.03,92.44,94.5,4285389.0
2025-03-10,94.58,96.25,93.55,93.8,7011133.0
2025-03-11,93.4,93.94,92.67,93.28,3650031.0
2025-03-12,92.89,93.0,90.35,91.51,3377195.0
2025-03-13,91.77,92.74,91.56,92.33,4504635.0
2025-03-14,92.31,93.3,92.12,93.07,4004990.0
2025-03-17,93.07,93.68,92.81,93.35,5332550.0
2025-03-18,93.65,93.72,91.74,92.21,5295018.0
2025-03-19,92.26,92.82,91.14,91.87,5120695.0
2025-03-20,92.0,92.0,90.29,91.22,5996959.0
2025-03-21,90.56,90.84,89.63,90.33,5162895.0
2025-03-24,90.69,90.84,89.7,90.13,2763640.0
2025-03-25,90.28,90.5,87.52,88.59,5708833.0
2025-03-26,88.63,89.16,88.02,88.23,3698471.0
2025-03-27,88.66,89.45,88.0,88.98,4236490.0
2025-03-28,87.85,88.38,87.23,87.63,3389013.0
2025-03-31,87.0,90.31,86.92,89.86,3990457.0
2025-04-01,88.79,89.59,88.21,88.49,3677968.0
2025-04-02,88.43,88.99,87.46,88.86,3086299.0
2025-04-03,88.6,89.54,87.69,87.89,4420428.0
2025-04-04,87.99,88.1,82.68,82.88,6705396.0
2025-04-07,81.22,85.37,80.58,83.15,6153225.0
2025-04-08,84.5,85.31,80.61,81.88,5229883.0
2025-04-09,80.5,85.5,79.55,85.28,7241854.0
2025-04-10,84.83,85.3,80.99,82.54,4606775.0
2025-04-11,83.16,83.44,81.18,82.9,4735967.0
2025-04-14,83.97,84.26,83.12,84.22,3118077.0
2025-04-15,84.63,84.73,82.22,82.37,3022159.0
2025-04-16,83.2,84.49,82.2,82.7,4214150.0
2025-04-17,82.51,83.32,82.12,82.6,3449412.0
2025-04-21,82.6,82.89,81.16,81.8,2937196.0
2025-04-22,82.81,83.62,82.5,83.37,2982842.0
2025-04-23,84.16,85.35,83.35,83.75,4110955.0
2025-04-24,84.03,84.54,83.26,84.3,3618061.0
2025-04-25,84.41,84.66,83.5,84.16,3981991.0
2025-04-28,84.6,84.88,83.38,84.04,2401362.0
2025-04-29,84.0,85.08,83.81,84.6,2491996.0
2025-04-30,84.98,85.0,83.68,84.76,3200325.0
2025-05-01,84.2,84.48,82.95,83.56,3492998.0
2025-05-02,84.48,85.07,83.88,84.85,3222043.0
2025-05-05,84.63,84.8,83.23,83.45,4137559.0
2025-05-06,83.45,83.46,82.04,82.32,4320123.0
2025-05-07,82.32,83.57,81.87,83.16,3550606.0
2025-05-08,83.47,84.58,83.16,83.62,2769785.0
2025-05-09,83.5,84.24,83.35,83.48,3910200.0
2025-05-12,84.45,86.25,84.06,85.81,4688925.0
2025-05-13,85.49,85.8,84.8,85.11,3069603.0
2025-05-14,84.9,85.11,84.09,84.25,3128536.0
2025-05-15,84.8,86.12,84.69,86.11,3765401.0
2025-05-16,86.13,86.45,85.84,86.44,3378592.0
2025-05-19,85.79,87.07,85.69,86.97,4139753.0
2025-05-20,85.42,86.87,85.39,86.37,5360478.0
2025-05-21,86.59,88.28,84.21,84.41,7822392.0
2025-05-22,83.28,83.63,80.87,80.91,9256543.0
2025-05-23,80.62,80.82,79.93,80.68,6764751.0
2025-05-27,81.15,81.6,80.71,81.18,5210196.0
2025-05-28,81.5,82.3,81.13,81.24,4393850.0
2025-05-29,81.28,82.42,81.25,82.41,5270379.0
2025-05-30,82.2,83.27,81.51,82.98,4965151.0
2025-06-02,82.4,83.77,82.21,83.74,4859422.0
2025-06-03,83.14,85.62,83.14,85.54,8004809.0
2025-06-04,85.54,86.35,85.54,85.6,6240381.0
2025-06-05,85.85,87.21,85.49,87.0,6178550.0
2025-06-06,87.29,87.45,86.79,87.44,4991650.0
2025-06-09,87.4,87.81,86.38,87.45,5052554.0
2025-06-10,87.72,88.51,87.46,87.96,3077576.0
2025-06-11,87.93,88.47,87.76,88.06,2548282.0
2025-06-12,88.03,88.53,87.65,88.49,3299420.0
2025-06-13,88.21,88.63,87.07,87.27,3620567.0
2025-06-16,88.21,88.77,87.58,87.92,4910739.0
2025-06-17,88.11,88.14,85.96,86.17,3534039.0
2025-06-18,86.31,86.4,85.41,85.73,4848975.0
2025-06-20,86.14,86.43,85.73,86.34,4558122.0
2025-06-23,86.24,86.34,84.58,85.96,3630513.0
2025-06-24,85.82,86.39,84.94,86.08,5220700.0
2025-06-25,85.86,86.43,85.44,85.97,5216318.0
2025-06-26,85.89,86.68,85.5,86.18,6575219.0
2025-06-27,85.5,86.52,85.22,86.02,4809081.0
2025-06-30,86.65,87.41,86.18,87.17,4772476.0
2025-07-01,86.83,88.75,86.71,88.75,5584950.0
2025-07-02,88.82,89.17,88.02,88.28,3782475.0
2025-07-03,88.37,88.71,88.06,88.39,1449900.0
2025-07-07,88.49,88.65,87.32,87.67,4421105.0
2025-07-08,87.56,89.04,87.3,88.58,2982599.0
2025-07-09,88.83,89.15,87.98,89.0,2935631.0
2025-07-10,89.23,90.49,88.5,89.4,3646251.0
2025-07-11,91.77,91.85,89.06,89.92,8336516.0
2025-07-14,89.75,90.24,88.98,89.73,4974969.0
2025-07-15,89.7,90.12,88.41,89.22,5198973.0
2025-07-16,89.59,89.92,89.02,89.78,2424458.0
2025-07-17,89.54,89.69,88.35,89.53,4046395.0
2025-07-18,89.98,90.53,89.3,89.61,3181970.0
2025-07-21,89.43,90.46,89.18,89.7,2146034.0
2025-07-22,89.97,91.92,89.8,91.65,4119788.0
2025-07-23,91.85,92.77,90.89,92.01,4248841.0
2025-07-24,92.04,92.5,91.32,92.32,3666113.0
2025-07-25,91.97,93.1,91.93,92.94,2542274.0
2025-07-28,92.72,92.75,91.87,91.97,2593145.0
2025-07-29,91.81,92.71,91.75,92.44,2210433.0
2025-07-30,92.26,92.38,91.22,91.64,3155493.0
2025-07-31,91.43,91.69,90.14,90.24,3918091.0
2025-08-01,89.61,89.96,88.69,89.34,3298047.0
2025-08-04,89.45,90.12,88.25,89.64,2921861.0
2025-08-05,90.14,90.2,89.29,89.67,2200059.0
2025-08-06,89.68,90.0,88.96,89.36,3255021.0
2025-08-07,89.99,91.73,89.72,91.24,4487750.0
2025-08-08,91.2,92.96,91.2,92.88,4267980.0
2025-08-11,92.85,93.28,92.35,92.74,3468512.0
2025-08-12,92.84,93.12,91.45,92.08,3000890.0
2025-08-13,92.0,93.16,91.66,92.91,3330547.0
2025-08-14,92.85,92.91,91.72,91.98,4016806.0
2025-08-15,92.52,93.18,92.02,93.02,4030280.0
2025-08-18,92.77,93.32,92.51,92.81,6324220.0
2025-08-19,87.84,90.15,87.5,89.9,10430248.0
2025-08-20,90.36,94.44,90.29,93.22,8070003.0
2025-08-21,93.31,93.79,91.02,91.1,3471060.0
2025-08-22,91.68,92.96,91.68,92.71,2863913.0
2025-08-25,92.74,93.05,91.92,92.04,2767569.0
2025-08-26,92.43,92.5,91.86,92.18,2213801.0
2025-08-27,92.04,92.18,91.33,92.05,2332797.0
2025-08-28,92.1,92.1,91.33,91.96,3368440.0
2025-08-29,92.05,92.82,91.96,92.81,3220805.0
2025-09-02,92.54,93.84,92.4,93.33,4269250.0
2025-09-03,93.15,93.56,91.42,92.25,3155877.0
2025-09-04,92.26,94.35,91.79,92.85,3998460.0
2025-09-05,93.14,93.94,92.52,92.9,2306863.0
2025-09-08,92.16,93.0,91.38,92.99,2293332.0
2025-09-09,92.84,94.31,92.73,94.07,4143106.0
2025-09-10,94.25,94.3,91.59,92.32,3157059.0
2025-09-11,92.31,94.27,92.25,94.25,4393137.0
2025-09-12,93.96,95.29,93.51,94.03,3745179.0
2025-09-15,94.6,94.93,93.22,93.43,3803838.0
2025-09-16,93.27,95.54,93.27,94.19,3283404.0
2025-09-17,94.42,95.12,93.8,94.58,2302142.0
2025-09-18,94.49,95.64,93.81,95.59,3433237.0
2025-09-19,95.91,95.91,94.07,95.08,6583367.0
2025-09-22,95.39,95.5,94.3,94.62,2851094.0
2025-09-23,94.52,95.66,94.16,94.96,2888436.0
2025-09-24,94.85,95.99,94.8,95.74,3907484.0
2025-09-25,95.27,95.63,92.72,94.3,4415405.0
2025-09-26,93.85,94.73,93.48,94.22,2618149.0
2025-09-29,94.21,94.33,93.29,93.97,2499197.0
2025-09-30,93.9,95.39,93.8,95.24,2929568.0
2025-10-01,95.15,95.73,91.86,94.81,4986798.0
2025-10-02,94.41,95.74,93.98,95.48,2971010.0
2025-10-03,95.67,97.94,95.38,97.7,5156601.0
2025-10-06,97.64,98.66,97.63,98.43,3904103.0
2025-10-07,98.33,99.37,97.9,98.33,3589847.0
2025-10-08,98.57,98.68,96.77,97.87,3964868.0
2025-10-09,98.19,98.24,95.96,96.5,3167017.0
2025-10-10,96.68,97.05,95.3,95.45,2676950.0
2025-10-13,95.7,96.41,95.06,95.58,2324537.0
2025-10-14,95.26,96.6,95.26,96.54,2703394.0
2025-10-15,96.07,96.86,94.06,95.34,4090306.0
