date,open,high,low,close,volume
2025-02-26,82.52,83.48,82.27,82.54,1289649.0
2025-02-27,83.0,85.02,83.0,84.05,1847828.0
2025-02-28,84.79,86.21,84.33,86.18,1792094.0
2025-03-03,86.74,87.39,84.87,85.7,1740482.0
2025-03-04,84.48,84.7,81.15,81.56,2218367.0
2025-03-05,81.48,83.48,81.41,83.06,1438677.0
2025-03-06,82.03,83.04,81.13,82.22,1549870.0
2025-03-07,81.79,82.63,80.72,82.25,1767890.0
2025-03-10,79.76,80.49,78.12,79.18,2155011.0
2025-03-11,78.68,79.55,77.99,78.45,2174006.0
2025-03-12,79.12,79.8,78.2,79.18,1706308.0
2025-03-13,79.44,79.91,77.64,77.7,2523030.0
2025-03-14,78.42,80.63,77.86,80.41,1354428.0
2025-03-17,80.15,82.56,79.94,82.16,1333852.0
2025-03-18,82.31,82.94,81.52,81.64,1599052.0
2025-03-19,81.92,83.5,81.57,83.02,1156010.0
2025-03-20,82.25,83.69,82.18,82.72,1178645.0
2025-03-21,82.07,82.82,81.38,82.36,1837105.0
2025-03-24,83.43,84.48,83.2,84.18,1357419.0
2025-03-25,84.48,85.0,83.3,83.74,1707665.0
2025-03-26,84.26,84.99,83.53,83.93,1521259.0
2025-03-27,83.91,84.08,82.83,83.05,1652413.0
2025-03-28,82.52,82.99,78.46,79.23,3743798.0
2025-03-31,78.38,80.71,78.02,80.29,2728003.0
2025-04-01,80.25,81.51,79.45,81.16,1596977.0
2025-04-02,79.8,82.73,79.8,82.49,1785712.0
2025-04-03,78.38,79.25,75.74,75.91,3296324.0
2025-04-04,72.85,73.42,67.89,69.07,4619718.0
2025-04-07,67.19,71.33,65.21,69.34,5585423.0
2025-04-08,72.49,73.34,67.32,68.42,3428680.0
2025-04-09,67.89,75.95,66.83,75.24,4832150.0
2025-04-10,73.17,73.7,69.3,71.11,2687479.0
2025-04-11,70.74,71.64,68.97,71.4,2103038.0
2025-04-14,73.04,73.86,72.22,72.95,1434682.0
2025-04-15,73.02,73.95,72.56,72.71,1034440.0
2025-04-16,72.38,73.29,71.16,71.7,1675290.0
2025-04-17,72.3,73.46,71.91,72.55,1344566.0
2025-04-21,71.79,72.28,69.62,70.4,1865040.0
2025-04-22,72.13,73.28,71.13,73.09,2022099.0
2025-04-23,74.75,76.94,74.01,74.24,1584057.0
2025-04-24,74.24,76.2,73.76,75.86,932131.0
2025-04-25,75.3,75.56,74.39,75.19,1052072.0
2025-04-28,75.66,76.73,75.51,75.94,1394718.0
2025-04-29,75.58,76.61,75.26,76.42,980142.0
2025-04-30,74.57,75.52,73.24,75.37,1571150.0
2025-05-01,76.36,77.25,74.76,75.77,1655391.0
2025-05-02,77.07,78.15,76.28,77.81,1712387.0
2025-05-05,76.95,78.16,76.95,77.41,1376210.0
2025-05-06,76.29,77.37,75.95,76.42,1350295.0
2025-05-07,76.96,77.64,75.92,76.74,1774421.0
2025-05-08,77.6,78.93,77.05,77.59,1964210.0
2025-05-09,78.06,78.54,77.68,77.85,1278761.0
2025-05-12,80.24,81.05,80.1,80.64,1958530.0
2025-05-13,80.58,81.86,80.58,81.16,1377579.0
2025-05-14,81.15,81.33,79.74,79.95,1124248.0
2025-05-15,79.5,80.56,79.11,80.46,1298805.0
2025-05-16,80.49,81.08,79.96,80.83,1488657.0
2025-05-19,80.3,81.1,80.0,80.87,809851.0
2025-05-20,80.69,81.09,80.11,80.33,983556.0
2025-05-21,79.86,80.22,77.85,77.9,1333581.0
2025-05-22,78.14,78.35,77.04,77.66,1298553.0
2025-05-23,75.95,77.52,75.94,77.21,1335370.0
2025-05-27,78.25,79.09,77.61,79.03,1222823.0
2025-05-28,79.02,79.38,77.8,77.99,1140471.0
2025-05-29,78.62,79.03,77.86,78.86,861805.0
2025-05-30,78.63,79.04,78.05,78.58,1007741.0
2025-06-02,78.13,78.68,77.34,78.68,1001030.0
2025-06-03,78.62,79.62,77.76,79.32,1194386.0
2025-06-04,79.59,80.08,78.8,78.81,962402.0
2025-06-05,78.91,79.08,78.02,78.56,928893.0
2025-06-06,79.7,80.13,79.22,79.93,870328.0
2025-06-09,80.15,80.15,79.17,79.62,1023158.0
