date,open,high,low,close,volume
2025-02-26,35.99,36.17,34.86,35.17,3042474.0
2025-02-27,35.25,35.42,34.62,34.67,2398527.0
2025-02-28,34.62,35.09,34.18,34.76,2407184.0
2025-03-03,35.21,35.53,33.19,33.19,3046051.0
2025-03-04,32.77,33.25,31.6,32.61,4101533.0
2025-03-05,32.72,33.26,32.14,32.83,2496798.0
2025-03-06,32.37,32.72,31.49,31.64,3742943.0
2025-03-07,31.36,32.39,30.69,32.03,7047777.0
2025-03-10,31.78,32.95,31.56,31.89,6430552.0
2025-03-11,31.79,32.04,30.79,31.29,4015168.0
2025-03-12,31.29,31.76,30.53,30.99,3393238.0
2025-03-13,31.0,31.48,29.99,30.16,2581395.0
2025-03-14,30.85,31.84,30.7,31.76,3354094.0
2025-03-17,31.91,32.88,31.84,32.42,3167875.0
2025-03-18,32.33,32.48,31.67,31.86,2931518.0
2025-03-19,32.04,32.94,32.0,32.69,2430725.0
2025-03-20,32.57,33.27,32.44,32.53,3021683.0
2025-03-21,32.02,32.22,31.16,31.42,8569576.0
2025-03-24,31.84,32.51,31.75,32.42,3399378.0
2025-03-25,32.61,32.68,31.82,32.04,2818101.0
2025-03-26,31.95,32.33,31.9,32.12,1786917.0
2025-03-27,31.89,32.41,31.59,31.61,2367336.0
2025-03-28,31.26,31.57,30.23,30.36,4359264.0
2025-03-31,29.74,30.07,28.63,29.64,4328802.0
2025-04-01,29.54,30.0,28.97,29.94,4027026.0
2025-04-02,29.47,30.94,29.47,30.75,2954744.0
2025-04-03,28.91,29.14,27.5,27.9,10472918.0
2025-04-04,26.88,27.58,25.61,26.86,8167153.0
2025-04-07,26.06,28.17,25.53,26.3,8610127.0
2025-04-08,27.26,27.76,25.3,25.79,7436353.0
2025-04-09,25.63,30.24,25.62,29.93,6059254.0
2025-04-10,29.22,29.54,27.78,28.75,4704403.0
2025-04-11,28.66,29.68,28.35,29.35,2751382.0
2025-04-14,29.97,30.04,28.96,29.62,3201813.0
2025-04-15,29.62,30.16,29.46,29.71,3822196.0
2025-04-16,29.41,29.66,28.12,28.46,4535336.0
2025-04-17,28.65,29.24,28.36,28.9,2645614.0
2025-04-21,28.66,29.11,28.51,28.92,2779958.0
2025-04-22,29.23,30.38,29.19,30.28,3519525.0
2025-04-23,31.24,32.33,30.61,30.77,3977872.0
2025-04-24,30.75,31.57,30.47,31.42,3778454.0
2025-04-25,31.62,32.3,31.36,31.67,3158498.0
2025-04-28,31.88,32.72,31.84,32.21,3643248.0
2025-04-29,32.0,32.3,31.34,31.8,2730673.0
2025-04-30,31.0,31.62,30.7,31.46,3699927.0
2025-05-01,33.04,33.23,30.21,30.86,6620937.0
2025-05-02,31.49,32.3,31.15,31.97,4662960.0
2025-05-05,31.5,32.64,31.42,32.07,2123494.0
2025-05-06,31.53,31.9,31.21,31.42,2949553.0
2025-05-07,31.64,32.13,31.22,31.74,2656401.0
2025-05-08,31.85,32.72,31.55,32.21,3584072.0
2025-05-09,32.27,32.64,32.19,32.58,1573483.0
2025-05-12,33.96,34.74,33.5,34.66,3345144.0
2025-05-13,34.69,35.11,34.49,34.9,2820625.0
2025-05-14,34.73,35.09,34.67,34.95,2507729.0
2025-05-15,34.56,34.71,33.88,34.39,3129173.0
2025-05-16,34.39,34.4,32.87,33.97,2887523.0
2025-05-19,33.26,33.75,33.2,33.67,1821419.0
2025-05-20,33.43,33.44,32.76,32.9,1558913.0
2025-05-21,32.42,32.53,31.27,31.37,3866251.0
2025-05-22,31.25,31.54,30.75,31.35,2795228.0
2025-05-23,30.65,31.57,30.57,31.35,1771599.0
2025-05-27,31.91,32.26,31.39,31.99,2414656.0
2025-05-28,32.11,32.22,31.75,31.8,1848566.0
2025-05-29,32.22,32.22,31.42,31.73,2654963.0
2025-05-30,31.34,31.84,31.12,31.65,3412179.0
2025-06-02,31.57,31.71,30.72,31.17,3707682.0
2025-06-03,31.04,32.25,30.68,31.96,2823380.0
2025-06-04,31.91,32.24,31.62,31.99,2009689.0
2025-06-05,31.98,32.05,31.08,31.29,1922659.0
2025-06-06,32.08,32.08,31.68,31.86,1912311.0
2025-06-09,32.18,32.54,32.0,32.47,2215881.0
2025-06-10,32.57,33.5,32.5,33.39,2243270.0
2025-06-11,33.7,33.93,33.0,33.23,2904437.0
2025-06-12,32.68,33.24,32.35,33.14,1708407.0
2025-06-13,32.3,32.52,31.48,31.73,3883705.0
2025-06-16,32.71,34.51,32.45,34.3,5642892.0
2025-06-17,34.0,34.08,33.32,33.57,3164456.0
2025-06-18,33.57,34.45,33.57,33.94,3131248.0
2025-06-20,34.31,34.77,33.49,33.77,4202576.0
2025-06-23,33.64,33.64,32.29,33.25,3967336.0
2025-06-24,33.76,34.29,33.66,34.2,2642495.0
2025-06-25,34.21,34.24,33.76,33.88,1587368.0
2025-06-26,33.76,34.25,33.6,33.79,2663930.0
2025-06-27,33.92,34.41,33.81,34.37,1926444.0
2025-06-30,34.44,34.75,34.12,34.39,2260762.0
2025-07-01,34.66,37.08,34.59,36.89,5470429.0
2025-07-02,36.94,37.8,36.63,37.67,3315347.0
2025-07-03,37.86,38.04,37.51,37.59,1385786.0
2025-07-07,36.55,37.4,36.3,37.03,3253626.0
2025-07-08,37.35,37.78,37.13,37.52,2162379.0
2025-07-09,37.78,37.83,37.45,37.69,1764532.0
2025-07-10,38.0,38.87,37.79,38.84,2690825.0
2025-07-11,38.65,38.65,37.91,37.93,2918625.0
2025-07-14,37.75,38.16,37.29,38.11,2156745.0
2025-07-15,38.15,38.33,37.53,37.72,2874392.0
2025-07-16,37.81,38.03,36.96,37.3,2133460.0
2025-07-17,37.55,38.15,37.41,37.57,2517890.0
2025-07-18,37.81,37.81,37.02,37.19,2549776.0
2025-07-21,37.59,37.68,37.1,37.17,2315654.0
2025-07-22,36.87,38.25,36.7,38.14,2840623.0
2025-07-23,38.5,38.87,38.14,38.33,2481670.0
2025-07-24,38.38,38.6,37.33,37.36,2998412.0
2025-07-25,37.58,38.49,37.08,38.44,2615001.0
2025-07-28,38.4,39.29,38.4,38.56,3043118.0
2025-07-29,38.74,38.75,36.93,37.41,4201282.0
2025-07-30,37.2,38.46,37.2,37.88,6782590.0
2025-07-31,36.71,36.8,35.34,36.45,7090996.0
2025-08-01,36.14,36.35,34.97,35.75,4827196.0
2025-08-04,35.76,36.05,35.05,35.51,3076577.0
2025-08-05,35.38,35.41,34.25,34.97,3319320.0
2025-08-06,35.09,35.25,34.85,35.09,2387384.0
2025-08-07,35.48,35.49,34.26,34.71,2836866.0
2025-08-08,34.59,34.63,33.85,34.18,1990940.0
2025-08-11,34.17,34.61,33.94,34.38,2435307.0
2025-08-12,34.61,35.62,34.52,35.4,2507188.0
2025-08-13,35.3,36.56,35.24,36.45,2412130.0
2025-08-14,36.08,36.41,35.75,36.33,1718743.0
2025-08-15,36.59,36.71,35.9,35.92,2072099.0
2025-08-18,35.97,36.33,35.84,36.18,1775457.0
2025-08-19,36.33,36.93,36.28,36.71,2950258.0
2025-08-20,36.41,36.6,36.11,36.31,1957686.0
2025-08-21,36.07,36.55,36.0,36.22,2674347.0
2025-08-22,36.47,38.12,36.36,38.06,3286777.0
2025-08-25,38.07,38.26,37.77,38.12,1888786.0
2025-08-26,38.15,38.64,38.02,38.51,2630547.0
2025-08-27,38.51,39.89,38.3,39.77,2839557.0
2025-08-28,39.97,40.16,39.37,39.59,2059731.0
2025-08-29,39.54,39.76,39.26,39.69,1749375.0
2025-09-02,39.12,39.12,38.36,38.91,2756947.0
2025-09-03,38.66,39.14,38.02,38.11,2051818.0
2025-09-04,38.2,38.31,36.97,37.03,2923243.0
2025-09-05,37.22,38.18,36.33,36.68,3135195.0
2025-09-08,36.65,36.7,35.86,36.2,2712600.0
2025-09-09,36.1,36.41,35.81,36.0,1593174.0
2025-09-10,35.95,36.32,35.79,35.95,1766672.0
2025-09-11,35.75,36.1,35.33,35.34,4424854.0
2025-09-12,35.17,35.23,34.35,34.55,3482759.0
2025-09-15,34.7,36.24,34.61,35.64,3960254.0
2025-09-16,35.59,36.06,34.91,35.36,2727763.0
2025-09-17,35.5,36.04,34.7,35.29,2307166.0
2025-09-18,35.46,36.03,35.18,35.94,2188796.0
2025-09-19,36.31,36.51,35.7,35.8,2458519.0
2025-09-22,35.57,35.6,34.48,34.49,4059507.0
