date,open,high,low,close,volume
2025-02-26,82.42,83.22,79.72,80.16,1280995.0
2025-02-27,79.81,81.89,79.44,81.64,1166562.0
2025-02-28,82.76,83.36,81.35,82.61,814132.0
2025-03-03,82.79,84.78,82.38,84.73,1041123.0
2025-03-04,85.12,85.78,82.34,82.36,1208121.0
2025-03-05,82.01,83.64,81.94,82.73,823359.0
2025-03-06,82.84,82.89,81.26,81.85,835522.0
2025-03-07,81.82,83.89,81.37,82.62,2192993.0
2025-03-10,83.24,86.24,83.16,84.19,2711179.0
2025-03-11,83.92,84.38,82.19,83.18,1675156.0
2025-03-12,82.12,82.59,81.12,81.55,1235442.0
2025-03-13,81.93,81.93,80.14,80.73,1045198.0
2025-03-14,80.2,80.66,79.7,80.33,995355.0
2025-03-17,80.34,82.23,80.22,81.86,662392.0
2025-03-18,81.76,82.07,81.02,81.3,782043.0
2025-03-19,80.53,81.5,80.07,81.34,1314330.0
2025-03-20,81.51,81.53,80.11,80.7,814107.0
2025-03-21,80.58,81.25,79.85,80.17,1819442.0
2025-03-24,79.5,80.79,78.76,80.34,1544767.0
2025-03-25,76.2,81.49,76.11,80.23,4380052.0
2025-03-26,80.36,81.39,79.66,80.87,1592671.0
2025-03-27,80.07,82.08,79.82,81.63,1079897.0
2025-03-28,82.0,82.2,81.0,81.46,826199.0
2025-03-31,82.19,83.15,81.87,82.31,777068.0
2025-04-01,82.61,82.85,80.92,82.25,1003088.0
2025-04-02,82.67,82.77,81.15,81.29,892323.0
2025-04-03,81.99,82.9,80.57,80.84,3124742.0
2025-04-04,81.05,81.61,76.31,76.46,2204437.0
2025-04-07,75.23,76.46,73.25,73.92,2666119.0
2025-04-08,75.08,76.41,71.51,72.21,2055057.0
2025-04-09,71.24,76.37,70.81,75.9,2085102.0
2025-04-10,75.42,76.79,74.19,75.54,1189622.0
2025-04-11,75.69,76.72,74.6,75.98,865230.0
2025-04-14,76.37,77.91,75.79,77.6,1031200.0
2025-04-15,77.65,78.0,75.03,75.27,757452.0
2025-04-16,75.71,75.77,72.99,73.54,1335209.0
