date,open,high,low,close,volume
2025-02-26,144.39,149.26,141.76,147.43,3791024.0
2025-02-27,148.77,152.56,148.21,150.52,3751217.0
2025-02-28,151.5,155.5,151.0,155.12,3948291.0
2025-03-03,155.5,156.35,151.9,153.42,2727443.0
2025-03-04,150.5,151.04,145.62,145.86,3846453.0
2025-03-05,146.76,149.04,145.99,147.61,1920530.0
2025-03-06,146.39,148.13,145.86,146.94,2205990.0
2025-03-07,144.69,147.22,140.78,146.3,3488823.0
2025-03-10,143.47,149.18,143.12,147.62,2727239.0
2025-03-11,145.73,149.49,145.63,147.54,2762499.0
2025-03-12,148.31,151.24,147.2,150.24,2403566.0
2025-03-13,150.28,151.24,145.91,146.1,1637556.0
2025-03-14,147.92,150.79,147.05,150.41,2035159.0
2025-03-17,150.37,153.98,150.0,153.21,2240715.0
2025-03-18,152.57,153.21,150.5,150.92,1444369.0
2025-03-19,151.19,153.97,150.92,153.21,1137368.0
2025-03-20,151.65,153.65,151.09,151.27,1313324.0
2025-03-21,149.9,150.76,148.07,150.36,1824231.0
2025-03-24,151.7,154.03,150.7,153.15,1628763.0
2025-03-25,153.13,155.0,152.68,153.5,2100769.0
2025-03-26,153.45,154.43,152.05,152.68,1514702.0
2025-03-27,152.67,152.67,148.12,148.44,1530697.0
2025-03-28,147.86,148.85,144.33,144.84,1337219.0
2025-03-31,143.99,147.74,142.18,146.86,1722557.0
2025-04-01,145.7,148.69,144.18,147.67,1886263.0
2025-04-02,145.71,148.17,145.59,147.76,2215560.0
2025-04-03,142.84,144.49,138.85,139.74,3503187.0
2025-04-04,134.19,135.32,126.43,126.91,5772727.0
2025-04-07,124.73,134.37,121.97,128.55,3872394.0
2025-04-08,132.24,133.87,124.82,127.16,3371423.0
2025-04-09,124.31,139.23,123.44,138.32,3563572.0
2025-04-10,135.75,135.79,128.68,132.97,2392605.0
2025-04-11,133.13,136.49,131.66,135.95,1565926.0
2025-04-14,138.11,138.29,134.43,136.01,2023559.0
2025-04-15,136.01,137.48,135.14,135.26,1428308.0
2025-04-16,133.51,134.48,129.86,130.46,3090216.0
2025-04-17,130.34,132.95,130.08,130.21,2790132.0
2025-04-21,129.0,129.84,124.65,126.09,3280717.0
2025-04-22,133.28,137.28,130.36,136.33,5135502.0
2025-04-23,139.38,142.15,135.2,136.06,2421789.0
2025-04-24,135.64,139.77,135.11,138.88,1500476.0
2025-04-25,139.0,139.0,137.1,137.32,1027258.0
2025-04-28,137.32,138.41,136.04,137.93,1326276.0
2025-04-29,137.5,139.22,136.84,138.38,877772.0
2025-04-30,138.61,139.31,134.85,138.91,1117951.0
2025-05-01,138.28,140.25,137.66,137.9,1094571.0
2025-05-02,140.0,143.04,139.29,142.08,1422727.0
2025-05-05,140.62,141.87,139.87,140.8,1336055.0
2025-05-06,138.88,139.71,137.63,138.02,1491673.0
2025-05-07,138.27,139.79,137.7,138.64,1245644.0
2025-05-08,140.0,142.36,139.2,141.12,1403290.0
2025-05-09,141.27,142.62,140.95,142.6,1315345.0
2025-05-12,146.09,150.82,145.27,150.33,2754184.0
2025-05-13,150.81,151.75,150.17,150.74,1701583.0
2025-05-14,150.75,150.77,146.96,147.88,1973498.0
2025-05-15,146.33,149.18,145.36,148.74,1374633.0
2025-05-16,149.43,153.28,148.95,153.11,1894662.0
2025-05-19,151.95,154.26,151.11,154.14,1198852.0
2025-05-20,153.25,154.73,153.25,154.15,1376759.0
2025-05-21,152.32,153.17,149.33,149.4,1347663.0
2025-05-22,149.72,150.57,147.67,149.78,1586472.0
2025-05-23,147.45,148.69,147.01,147.62,1050713.0
2025-05-27,150.0,150.0,146.66,149.49,1089018.0
2025-05-28,149.65,150.0,148.19,148.66,940344.0
2025-05-29,149.87,150.36,148.18,149.63,822765.0
2025-05-30,148.73,149.45,147.6,148.35,1280545.0
2025-06-02,147.87,148.3,143.91,146.4,1222106.0
2025-06-03,146.31,148.36,145.21,148.13,909980.0
2025-06-04,148.91,148.95,146.71,146.81,1164181.0
2025-06-05,147.04,147.27,144.89,146.26,2095851.0
2025-06-06,148.0,148.46,145.44,145.5,1163468.0
2025-06-09,145.55,146.03,142.67,144.23,1541234.0
2025-06-10,144.24,145.31,143.15,145.06,1375065.0
2025-06-11,145.05,148.05,144.42,147.18,1371422.0
2025-06-12,146.42,147.27,144.49,144.77,1046738.0
2025-06-13,143.13,144.45,141.73,142.32,1213068.0
2025-06-16,143.68,145.39,143.5,145.07,624168.0
2025-06-17,144.06,144.88,141.97,142.21,697463.0
2025-06-18,142.13,143.67,141.57,142.51,1292536.0
2025-06-20,143.31,144.05,141.82,144.03,2168542.0
2025-06-23,144.39,147.72,143.35,147.6,1441097.0
2025-06-24,148.64,150.29,148.01,149.87,1115367.0
2025-06-25,149.7,149.86,147.12,147.75,1136888.0
2025-06-26,147.69,151.11,147.31,150.76,1332947.0
2025-06-27,151.14,152.87,150.56,152.02,1230661.0
2025-06-30,152.28,152.46,151.0,152.24,744372.0
2025-07-01,152.0,156.09,151.42,153.81,1659652.0
2025-07-02,154.21,155.45,153.2,153.97,1587458.0
2025-07-03,154.25,155.0,149.5,152.94,1673194.0
2025-07-07,152.8,154.47,150.95,151.84,1721531.0
2025-07-08,151.73,154.62,151.53,153.74,1603756.0
2025-07-09,154.38,156.65,153.84,155.98,1341746.0
2025-07-10,156.11,159.47,155.96,157.32,1707849.0
2025-07-11,156.05,156.55,154.82,155.84,1251273.0
2025-07-14,155.59,158.11,154.92,157.91,1529935.0
2025-07-15,157.91,158.28,156.03,156.59,1241080.0
2025-07-16,157.65,157.68,154.85,157.56,1677184.0
2025-07-17,157.26,159.47,156.78,159.04,2559568.0
2025-07-18,162.54,164.15,150.25,153.23,6406241.0
2025-07-21,152.25,153.65,149.34,152.82,2618302.0
2025-07-22,152.98,154.07,150.31,151.2,2547605.0
2025-07-23,151.92,152.65,149.8,150.82,2421900.0
2025-07-24,150.0,151.3,147.81,149.3,2623589.0
2025-07-25,150.0,151.4,149.2,151.27,1450777.0
2025-07-28,150.61,153.88,150.14,152.05,2221694.0
2025-07-29,152.4,153.1,151.15,151.79,1658410.0
2025-07-30,152.48,152.5,146.5,146.62,1746702.0
2025-07-31,146.19,149.56,145.56,149.22,1864484.0
2025-08-01,146.5,146.72,144.25,144.41,2036824.0
2025-08-04,145.39,148.18,145.0,147.87,1861888.0
2025-08-05,148.46,151.22,148.0,150.09,1982430.0
2025-08-06,150.27,151.39,148.64,150.82,1320729.0
2025-08-07,151.98,152.48,149.97,151.74,1207800.0
2025-08-08,152.4,153.69,151.42,153.3,1312910.0
2025-08-11,153.75,155.61,153.16,155.31,1475790.0
2025-08-12,155.79,158.46,155.61,157.85,1369076.0
2025-08-13,158.39,160.47,156.62,160.2,1683410.0
2025-08-14,159.6,160.07,156.63,156.65,1175332.0
2025-08-15,157.37,157.37,151.61,152.39,2118396.0
2025-08-18,152.36,155.43,152.19,152.86,973611.0
2025-08-19,152.84,155.72,152.05,154.34,1055758.0
2025-08-20,154.12,155.34,153.17,154.75,1457614.0
2025-08-21,154.37,155.21,153.15,154.38,952863.0
2025-08-22,155.75,159.11,155.0,158.72,950525.0
2025-08-25,157.59,157.92,155.8,155.85,515704.0
2025-08-26,155.76,156.72,154.58,156.57,901924.0
2025-08-27,156.04,157.22,155.75,156.53,1058801.0
2025-08-28,157.76,158.47,156.58,157.56,1096439.0
2025-08-29,157.6,158.24,155.31,155.53,1297760.0
2025-09-02,154.0,154.49,151.7,154.27,1224473.0
2025-09-03,153.5,154.09,150.43,152.0,1904170.0
2025-09-04,152.2,155.6,152.02,155.52,1249432.0
2025-09-05,155.8,157.56,154.28,155.3,745231.0
2025-09-08,154.61,154.98,152.0,154.0,1123285.0
2025-09-09,154.15,154.15,151.55,153.08,823358.0
2025-09-10,153.16,155.21,152.46,153.57,1224398.0
2025-09-11,153.79,159.5,153.4,159.47,1658953.0
2025-09-12,159.11,162.1,157.81,157.87,1435758.0
2025-09-15,158.0,158.38,155.25,156.66,1495701.0
2025-09-16,156.9,157.48,153.63,156.5,941580.0
2025-09-17,156.5,158.54,153.54,155.16,1258067.0
2025-09-18,155.15,156.92,154.31,155.4,721221.0
2025-09-19,155.91,157.41,154.69,156.6,1464666.0
2025-09-22,155.6,155.71,153.64,153.86,1143730.0
2025-09-23,153.84,158.14,153.84,156.29,1022263.0
2025-09-24,156.0,156.5,154.46,154.6,645026.0
2025-09-25,154.0,154.0,151.82,153.03,1012865.0
2025-09-26,154.02,154.5,152.37,152.81,949248.0
2025-09-29,153.5,154.4,152.54,154.08,592247.0
2025-09-30,153.85,155.22,152.43,155.18,659994.0
2025-10-01,154.45,156.54,154.25,156.0,857399.0
2025-10-02,157.26,159.58,156.53,158.8,932283.0
2025-10-03,158.92,160.39,157.71,158.66,1556561.0
2025-10-06,158.7,159.21,154.63,155.93,1120960.0
2025-10-07,156.83,157.94,155.18,155.33,672410.0
2025-10-08,155.71,156.09,152.78,156.0,1052398.0
2025-10-09,156.1,156.6,151.37,152.88,1295687.0
2025-10-10,153.24,154.25,148.45,148.75,1666279.0
2025-10-13,150.57,152.43,150.41,151.1,1363925.0
2025-10-14,149.27,153.71,149.27,152.53,1282436.0
2025-10-15,153.69,155.66,152.71,153.47,912452.0
2025-10-16,154.47,154.47,150.61,151.41,2120673.0
2025-10-17,151.45,153.07,151.27,152.64,1360043.0
2025-10-20,153.23,156.07,153.03,154.78,2296551.0
