date,open,high,low,close,volume
2025-02-26,55.77,56.07,54.67,54.85,5305447.0
2025-02-27,54.75,55.3,54.57,55.08,4301194.0
2025-02-28,55.55,56.09,55.27,55.85,4522457.0
2025-03-03,55.8,57.49,55.79,57.31,7166382.0
2025-03-04,57.82,58.59,56.26,56.3,11617868.0
2025-03-05,56.15,56.6,55.79,55.95,3922824.0
2025-03-06,56.1,57.23,55.52,57.01,6580012.0
2025-03-07,56.85,58.55,56.8,57.79,8510796.0
2025-03-10,58.0,59.67,57.99,58.99,11722421.0
2025-03-11,58.8,58.9,57.87,58.15,8172141.0
2025-03-12,57.86,58.07,57.31,57.81,5985186.0
2025-03-13,58.12,58.87,58.01,58.55,6214946.0
2025-03-14,58.15,59.11,58.15,58.91,5486791.0
2025-03-17,59.08,59.32,58.69,58.9,5464853.0
2025-03-18,58.9,59.25,58.3,58.34,4882825.0
2025-03-19,58.28,58.4,57.59,57.95,5581933.0
2025-03-20,57.98,58.21,57.75,58.09,4607163.0
2025-03-21,58.13,58.13,57.07,57.6,9133082.0
2025-03-24,57.57,57.87,57.39,57.65,6159705.0
2025-03-25,56.5,56.79,56.23,56.71,6876622.0
2025-03-26,56.68,57.93,56.68,57.75,5779729.0
2025-03-27,57.86,58.48,57.86,58.3,5820461.0
2025-03-28,58.5,58.56,57.76,58.15,7856901.0
2025-03-31,58.45,60.18,58.45,60.02,11509885.0
2025-04-01,59.91,60.1,58.5,58.79,8830507.0
2025-04-02,58.78,58.92,55.71,57.12,14014056.0
2025-04-03,57.99,59.24,57.77,57.89,10484934.0
2025-04-04,57.65,58.83,55.81,56.07,11060120.0
2025-04-07,53.0,56.17,52.82,55.66,11269801.0
2025-04-08,56.44,56.97,55.07,55.56,7837812.0
2025-04-09,55.01,57.15,54.94,56.36,10672275.0
2025-04-10,56.53,56.77,55.51,56.38,8942465.0
2025-04-11,56.56,56.94,55.92,56.65,6484007.0
2025-04-14,56.79,57.51,56.43,57.13,6394637.0
2025-04-15,57.65,57.9,57.17,57.52,3994323.0
2025-04-16,57.99,58.19,57.06,57.27,5739858.0
2025-04-17,57.48,58.52,57.44,58.16,5866223.0
2025-04-21,58.3,58.45,57.02,57.63,4280916.0
2025-04-22,57.8,59.0,57.78,58.82,5746499.0
2025-04-23,58.53,58.93,57.95,58.56,5199164.0
2025-04-24,58.49,58.78,58.23,58.71,3194845.0
2025-04-25,58.75,58.93,57.95,58.26,3335393.0
2025-04-28,58.25,58.78,57.87,58.19,5898920.0
2025-04-29,57.0,59.44,56.81,58.77,8282337.0
2025-04-30,59.12,59.66,58.58,59.15,8894726.0
2025-05-01,58.92,59.56,58.61,59.31,6093520.0
2025-05-02,59.36,59.72,59.05,59.61,4222697.0
2025-05-05,59.76,60.05,59.12,59.87,3779767.0
2025-05-06,59.92,60.62,59.85,60.48,3873383.0
2025-05-07,60.53,61.26,60.37,60.91,4698676.0
2025-05-08,60.48,60.98,60.09,60.4,3926975.0
2025-05-09,60.12,60.16,59.36,59.43,3330731.0
2025-05-12,58.33,58.33,56.52,56.95,11690677.0
2025-05-13,56.95,56.97,56.3,56.47,7485364.0
2025-05-14,56.35,56.73,56.06,56.33,6293511.0
2025-05-15,56.65,58.35,56.62,58.06,5983005.0
2025-05-16,58.2,58.95,58.08,58.89,3330285.0
2025-05-19,59.05,59.48,58.79,59.47,3415794.0
2025-05-20,59.4,60.09,59.39,59.9,3851639.0
2025-05-21,59.9,59.95,59.38,59.45,3913406.0
2025-05-22,59.4,59.59,58.74,59.3,3751807.0
2025-05-23,59.63,59.81,59.26,59.74,3175067.0
2025-05-27,59.73,59.78,59.14,59.62,3343883.0
2025-05-28,59.6,59.73,59.34,59.48,2588236.0
2025-05-29,59.19,59.56,58.89,59.48,3191293.0
