date,open,high,low,close,volume
2025-02-26,25.47,25.66,25.01,25.22,2443010.0
2025-02-27,25.42,25.51,25.03,25.09,2609427.0
2025-02-28,24.5,24.73,23.05,23.92,9595019.0
2025-03-03,24.9,24.9,23.15,23.33,4924474.0
2025-03-04,22.98,23.74,22.48,23.08,9036941.0
2025-03-05,23.7,24.44,23.42,24.13,3262020.0
2025-03-06,23.94,25.08,23.94,24.72,3259253.0
2025-03-07,24.76,25.75,24.72,25.14,3746110.0
2025-03-10,25.11,25.77,24.65,24.88,3620934.0
2025-03-11,24.76,25.11,24.4,24.86,3101357.0
2025-03-12,24.92,25.11,24.59,24.69,2055798.0
2025-03-13,24.71,25.43,24.58,25.06,2880106.0
2025-03-14,25.4,25.99,25.29,25.9,3117798.0
2025-03-17,25.9,26.71,25.9,26.53,2660859.0
2025-03-18,26.72,27.4,26.6,27.2,4707794.0
2025-03-19,27.86,28.34,27.54,27.97,5762186.0
2025-03-20,28.23,28.66,27.8,28.38,4686882.0
2025-03-21,28.18,28.31,27.76,27.83,3422766.0
2025-03-24,27.83,28.12,27.36,27.63,2852087.0
2025-03-25,27.68,27.9,26.64,27.18,5174497.0
2025-03-26,27.2,27.38,26.83,27.12,3150134.0
2025-03-27,27.0,27.72,26.83,27.48,1836569.0
2025-03-28,27.51,27.8,27.15,27.25,2154643.0
2025-03-31,26.85,27.21,26.65,27.01,1984936.0
2025-04-01,27.13,27.19,26.43,26.8,1958228.0
2025-04-02,26.25,26.52,26.0,26.47,2289593.0
2025-04-03,25.4,26.59,25.27,25.96,4585242.0
2025-04-04,24.97,25.01,22.69,23.45,6979563.0
2025-04-07,22.76,24.61,22.36,23.57,5689125.0
2025-04-08,24.3,24.48,22.37,22.76,4769131.0
2025-04-09,22.54,25.13,22.46,24.68,6744635.0
2025-04-10,24.28,24.61,23.62,24.2,2902255.0
2025-04-11,24.61,25.94,24.35,25.81,3776210.0
2025-04-14,25.75,27.0,25.59,26.58,2819794.0
2025-04-15,26.61,26.88,26.26,26.39,1766761.0
2025-04-16,26.38,27.66,26.3,26.97,3846823.0
2025-04-17,27.15,27.49,26.87,27.27,2621646.0
2025-04-21,27.16,27.73,26.92,27.2,2157463.0
2025-04-22,27.49,27.93,27.16,27.86,2491958.0
2025-04-23,28.0,28.38,27.17,27.95,3052458.0
2025-04-24,28.4,29.22,28.15,28.93,4208570.0
2025-04-25,28.75,29.17,28.69,29.13,2321543.0
2025-04-28,29.11,29.84,29.11,29.54,3315808.0
2025-04-29,29.54,30.39,29.14,30.25,4121199.0
2025-04-30,29.93,30.52,29.41,30.4,2943224.0
2025-05-01,30.5,30.9,30.36,30.47,3954979.0
2025-05-02,30.83,30.84,30.22,30.51,3339422.0
2025-05-05,30.52,30.86,30.21,30.6,3900829.0
2025-05-06,30.74,31.09,30.32,30.45,4827132.0
2025-05-07,30.37,31.99,29.45,31.56,8244125.0
