date,open,high,low,close,volume
2025-02-26,91.3,91.37,88.86,89.38,7742175.0
2025-02-27,89.35,90.97,89.25,90.58,6541675.0
2025-02-28,90.7,92.35,90.7,92.25,6463319.0
2025-03-03,91.78,93.21,91.77,93.15,7500638.0
2025-03-04,93.57,95.36,92.32,92.56,8857979.0
2025-03-05,91.08,93.45,90.5,93.19,5913609.0
2025-03-06,93.13,94.05,91.78,94.0,5880035.0
2025-03-07,94.26,97.37,93.85,94.65,11321246.0
2025-03-10,94.69,97.0,94.68,95.23,9390473.0
2025-03-11,94.98,95.38,93.58,94.73,8467047.0
2025-03-12,94.07,94.4,92.85,93.35,6761138.0
2025-03-13,93.4,96.34,93.4,94.71,5546563.0
2025-03-14,94.28,94.88,93.45,94.57,6477145.0
2025-03-17,93.65,95.3,93.08,94.79,5944078.0
2025-03-18,95.23,95.41,93.84,94.72,4438614.0
2025-03-19,95.25,95.43,93.64,94.02,5476360.0
2025-03-20,94.11,95.16,93.68,94.73,6406364.0
2025-03-21,94.58,94.68,93.07,93.11,11883012.0
2025-03-24,92.9,93.11,91.56,92.31,7931221.0
2025-03-25,92.31,92.31,87.08,87.87,11873903.0
2025-03-26,88.24,89.32,87.31,88.11,8239575.0
2025-03-27,88.5,88.56,87.38,87.6,6864831.0
2025-03-28,88.2,90.14,87.67,89.23,7400817.0
2025-03-31,89.25,90.27,88.37,89.76,7770729.0
2025-04-01,89.75,89.75,86.61,87.12,8218677.0
2025-04-02,86.88,87.07,85.32,86.6,6621318.0
2025-04-03,88.73,88.9,86.26,86.39,7113063.0
2025-04-04,86.12,86.27,81.08,81.47,12374102.0
2025-04-07,81.01,83.21,79.3,81.18,16059172.0
2025-04-08,83.21,83.27,77.54,78.95,11847585.0
2025-04-09,76.76,81.99,76.0,81.91,14848918.0
2025-04-10,80.61,81.12,75.96,77.55,10895322.0
2025-04-11,77.87,79.44,76.35,79.18,9621913.0
2025-04-14,80.02,80.02,78.36,79.17,10217145.0
2025-04-15,79.55,79.96,77.72,78.39,8954425.0
2025-04-16,78.47,78.69,75.93,76.46,9932614.0
2025-04-17,76.89,78.75,76.88,78.0,9286026.0
2025-04-21,78.08,78.19,76.99,77.85,5707688.0
2025-04-22,78.03,79.04,77.66,78.97,6662298.0
2025-04-23,78.5,80.2,78.0,78.74,10091557.0
2025-04-24,78.28,79.97,76.03,79.84,12225657.0
2025-04-25,80.17,83.28,78.06,82.74,18932700.0
2025-04-28,83.0,83.68,82.4,83.19,7777849.0
2025-04-29,83.78,85.69,82.75,84.71,7922884.0
2025-04-30,85.27,85.83,83.79,85.2,6438717.0
2025-05-01,84.51,84.58,83.17,83.26,5583197.0
2025-05-02,83.96,84.71,82.95,83.18,7362099.0
2025-05-05,83.23,83.58,81.91,82.84,5474882.0
2025-05-06,82.47,82.48,78.29,79.04,10043981.0
2025-05-07,79.62,79.9,78.76,79.12,7183821.0
2025-05-08,78.5,78.8,76.93,77.65,9040127.0
2025-05-09,77.96,78.45,75.82,75.97,9709110.0
2025-05-12,75.92,81.27,75.83,80.43,13955055.0
2025-05-13,76.95,78.55,76.56,76.63,14689361.0
2025-05-14,77.46,77.46,73.32,73.47,14322338.0
2025-05-15,73.77,74.81,73.31,74.8,10294630.0
2025-05-16,74.98,76.17,74.36,76.06,8729966.0
2025-05-19,75.96,77.25,75.69,77.23,7548931.0
2025-05-20,77.55,79.18,77.42,77.97,8832647.0
2025-05-21,77.77,78.1,76.87,76.98,7480354.0
2025-05-22,76.72,78.36,76.68,77.84,7482938.0
2025-05-23,77.36,77.9,77.08,77.58,5950761.0
2025-05-27,78.02,78.2,77.05,77.59,6931589.0
2025-05-28,77.43,77.73,75.59,76.17,7782589.0
2025-05-29,75.83,77.0,75.69,76.4,6332822.0
2025-05-30,76.94,77.56,75.59,76.84,8300668.0
2025-06-02,77.02,77.02,75.4,76.25,7129162.0
2025-06-03,76.0,77.19,75.43,77.14,10977592.0
2025-06-04,77.46,79.14,77.33,78.27,7667881.0
2025-06-05,78.41,78.55,77.25,77.62,6221697.0
2025-06-06,78.3,79.49,78.21,78.97,5150714.0
2025-06-09,79.61,80.41,78.67,79.33,7330579.0
2025-06-10,79.34,81.88,79.33,81.35,8100853.0
