date,open,high,low,close,volume
2025-02-26,96.01,99.72,95.5,97.71,13870942.0
2025-02-27,97.78,99.89,91.49,91.82,13548972.0
2025-02-28,91.07,94.46,89.87,93.63,12583759.0
2025-03-03,95.77,96.2,89.39,90.54,10423802.0
2025-03-04,90.15,93.59,86.8,91.2,14159982.0
2025-03-05,92.15,95.05,90.43,94.34,8366964.0
2025-03-06,90.9,93.29,89.03,89.27,11715663.0
2025-03-07,90.35,93.34,89.49,92.96,12879752.0
2025-03-10,89.65,91.37,85.76,87.08,13443698.0
2025-03-11,87.9,91.1,86.07,89.05,12840832.0
2025-03-12,92.53,96.99,92.24,95.64,15624856.0
2025-03-13,94.25,98.12,94.0,94.88,12758397.0
2025-03-14,98.75,102.78,98.75,100.79,16759575.0
2025-03-17,101.06,104.45,100.96,103.11,10531256.0
2025-03-18,101.9,103.31,100.29,101.72,8466810.0
2025-03-19,100.83,103.6,100.49,102.06,9171010.0
2025-03-20,101.51,104.69,101.35,103.0,13959325.0
2025-03-21,98.2,98.5,93.7,94.72,43107473.0
2025-03-24,96.05,98.42,95.33,96.94,19505081.0
2025-03-25,96.24,96.38,93.25,94.18,15212748.0
2025-03-26,95.99,96.64,90.97,92.13,17826151.0
2025-03-27,91.09,92.21,89.61,91.16,10826900.0
2025-03-28,90.6,90.89,87.6,88.44,10270758.0
2025-03-31,86.08,87.09,84.1,86.89,12929772.0
2025-04-01,88.51,88.89,86.24,88.71,9948020.0
2025-04-02,87.13,89.93,86.7,88.6,8585663.0
2025-04-03,82.95,83.35,74.21,74.34,32092229.0
2025-04-04,70.78,71.34,63.86,64.72,34750443.0
2025-04-07,63.89,72.46,61.54,68.37,34442784.0
2025-04-08,71.56,72.97,63.52,65.54,26355024.0
2025-04-09,66.33,78.56,63.7,77.87,42376632.0
2025-04-10,72.5,73.05,67.5,70.05,31254420.0
2025-04-11,69.12,70.17,66.82,69.55,21814404.0
2025-04-14,74.76,74.78,69.97,71.02,22933005.0
2025-04-15,71.11,72.8,70.55,71.04,11799728.0
2025-04-16,67.89,70.46,67.17,69.33,18154017.0
2025-04-17,70.47,70.48,67.0,68.8,12155482.0
2025-04-21,67.78,68.0,65.64,66.74,10475489.0
2025-04-22,67.54,70.4,67.44,70.21,12634449.0
2025-04-23,73.71,75.4,72.5,72.93,17502256.0
2025-04-24,74.57,77.59,73.6,77.42,15815729.0
2025-04-25,77.55,80.3,76.9,79.78,13011436.0
2025-04-28,78.77,79.61,76.92,78.56,9276790.0
2025-04-29,77.88,78.19,76.47,76.88,10767949.0
2025-04-30,73.72,77.15,73.5,76.95,11783622.0
2025-05-01,79.47,79.89,77.64,77.77,9233584.0
2025-05-02,79.64,81.67,79.1,80.72,10663083.0
2025-05-05,79.41,81.15,79.05,80.42,7821459.0
2025-05-06,79.02,81.22,78.54,80.51,7679218.0
2025-05-07,80.99,82.87,80.2,82.62,8403016.0
2025-05-08,84.25,86.21,83.36,85.15,11481497.0
2025-05-09,85.68,86.27,84.68,85.86,8273316.0
2025-05-12,92.79,94.2,91.95,92.29,17022421.0
2025-05-13,92.57,97.41,92.54,96.93,18352882.0
2025-05-14,96.26,97.65,94.32,95.32,18042278.0
2025-05-15,94.01,95.61,92.17,95.45,14475525.0
2025-05-16,95.97,98.19,95.7,98.0,14561541.0
2025-05-19,95.71,99.02,95.7,98.65,9091554.0
2025-05-20,97.9,98.63,96.97,98.1,7095405.0
2025-05-21,97.11,98.82,95.26,95.84,8864562.0
2025-05-22,95.41,97.22,94.37,94.83,8701670.0
2025-05-23,92.22,93.84,90.93,93.37,10263765.0
2025-05-27,95.18,96.7,94.19,96.38,10266956.0
2025-05-28,96.67,97.21,95.6,96.18,6150436.0
2025-05-29,98.52,99.63,96.11,96.8,9414540.0
2025-05-30,96.03,96.61,92.22,94.46,11508316.0
2025-06-02,94.63,99.24,94.4,98.18,11848856.0
2025-06-03,98.36,102.93,96.96,102.25,14208597.0
2025-06-04,102.45,103.91,101.7,103.25,9327667.0
2025-06-05,106.3,109.03,105.53,106.29,19665821.0
2025-06-06,108.13,111.05,108.04,108.56,13024270.0
2025-06-09,109.5,112.53,108.58,110.95,11300258.0
2025-06-10,111.67,114.93,111.23,114.14,14900850.0
2025-06-11,115.6,117.26,114.73,116.03,14048844.0
2025-06-12,114.09,116.48,113.52,116.18,10069859.0
2025-06-13,113.8,117.1,113.66,115.6,11112631.0
2025-06-16,117.81,120.97,117.32,119.84,13083167.0
2025-06-17,119.66,123.51,119.35,120.34,13957064.0
2025-06-18,120.46,122.98,120.18,121.82,11959432.0
2025-06-20,122.78,124.16,120.38,123.6,16865179.0
2025-06-23,123.67,124.51,119.81,122.08,13709860.0
2025-06-24,125.06,128.1,124.96,127.91,16606530.0
2025-06-25,126.45,127.5,125.62,127.25,18363595.0
2025-06-26,129.53,129.85,123.79,126.0,43375119.0
2025-06-27,125.13,127.54,123.39,124.76,19938975.0
2025-06-30,124.9,125.08,121.85,123.25,14464369.0
2025-07-01,122.31,123.99,119.08,120.89,15503349.0
2025-07-02,120.48,123.0,118.06,121.74,20621487.0
2025-07-03,122.29,123.63,121.83,122.29,9178097.0
2025-07-07,121.18,121.51,118.91,119.92,12384828.0
2025-07-08,122.37,125.45,121.95,124.42,14312091.0
2025-07-09,124.83,126.15,121.28,122.24,12922660.0
2025-07-10,124.3,124.35,122.02,123.11,9585094.0
2025-07-11,122.01,124.81,121.24,124.53,9969087.0
2025-07-14,120.38,120.44,117.02,118.61,22950599.0
2025-07-15,120.97,121.39,119.12,120.11,14326275.0
2025-07-16,119.05,119.09,114.81,116.43,18954470.0
2025-07-17,113.91,114.2,110.95,113.26,23588270.0
2025-07-18,114.24,114.8,113.28,114.39,11536550.0
2025-07-21,113.6,115.92,112.67,113.23,12707581.0
2025-07-22,113.0,113.0,108.12,109.22,19128022.0
2025-07-23,109.43,110.29,108.87,109.83,11340468.0
2025-07-24,111.03,112.73,110.25,111.73,13268553.0
2025-07-25,110.91,111.5,108.83,111.26,10110903.0
2025-07-28,111.72,112.0,109.86,111.25,8317262.0
2025-07-29,111.98,113.54,110.67,111.96,10706804.0
2025-07-30,112.6,114.89,112.41,114.74,10183303.0
2025-07-31,112.22,112.27,106.94,109.14,19380202.0
2025-08-01,105.49,106.5,103.38,104.88,14518723.0
2025-08-04,106.12,107.88,105.46,107.77,8590303.0
2025-08-05,109.34,110.64,106.83,109.06,10062804.0
2025-08-06,107.73,108.96,106.75,108.78,7664006.0
2025-08-07,114.19,115.28,110.79,111.87,12148341.0
2025-08-08,112.17,119.33,111.67,118.89,20685710.0
2025-08-11,124.96,127.28,121.65,123.72,22707776.0
2025-08-12,124.74,128.55,123.04,127.75,17727348.0
2025-08-13,127.58,128.6,123.35,124.27,11249694.0
2025-08-14,123.2,125.74,121.4,125.29,8044407.0
2025-08-15,123.17,123.38,119.44,120.87,12614751.0
2025-08-18,121.35,123.68,120.66,123.55,6905783.0
2025-08-19,122.94,124.24,121.31,122.05,7349997.0
2025-08-20,118.74,118.91,113.46,117.21,17438861.0
2025-08-21,116.78,117.73,115.61,115.79,7203332.0
2025-08-22,117.65,120.7,116.51,117.68,11194762.0
2025-08-25,117.68,118.08,116.1,116.42,5407540.0
2025-08-26,116.0,118.36,115.81,116.5,7479415.0
2025-08-27,116.87,118.73,116.44,117.75,10423154.0
2025-08-28,118.99,122.58,118.73,122.0,12232774.0
2025-08-29,122.63,122.77,118.06,119.01,9994219.0
2025-09-02,115.91,118.56,114.25,118.48,7557428.0
2025-09-03,119.36,119.44,117.29,118.72,6049929.0
2025-09-04,118.77,124.41,118.52,124.21,11670011.0
2025-09-05,127.77,131.41,125.66,131.37,19672042.0
2025-09-08,130.58,132.26,128.4,131.46,12405883.0
2025-09-09,131.89,138.0,131.56,135.24,14214411.0
2025-09-10,140.01,142.24,138.34,140.0,16176613.0
2025-09-11,147.79,156.26,147.61,150.57,35598978.0
2025-09-12,153.51,158.28,153.21,157.23,20628873.0
2025-09-15,157.12,160.34,156.55,157.77,12035632.0
2025-09-16,157.96,159.56,157.16,158.82,9869661.0
2025-09-17,157.36,160.59,155.26,159.99,12555012.0
2025-09-18,162.92,170.45,162.6,168.89,17325864.0
2025-09-19,162.75,163.7,159.38,162.73,21358627.0
2025-09-22,164.38,167.26,161.59,164.62,16000510.0
2025-09-23,165.68,168.99,165.23,166.41,20479112.0
2025-09-24,165.22,166.0,158.3,161.71,34259339.0
2025-09-25,157.42,158.95,154.65,156.83,19818123.0
2025-09-26,158.51,158.92,155.18,157.27,12814815.0
2025-09-29,159.89,165.8,159.89,163.9,15513623.0
2025-09-30,164.11,168.95,163.96,167.32,12617787.0
2025-10-01,165.62,182.39,165.5,182.15,28508136.0
2025-10-02,184.93,186.18,181.21,183.75,16076721.0
2025-10-03,185.21,191.85,184.92,187.83,20289972.0
2025-10-06,195.03,201.0,189.43,190.96,21147584.0
2025-10-07,194.99,195.3,183.24,185.69,15510532.0
