date,open,high,low,close,volume
2025-02-26,24.89,25.28,24.76,25.05,9403120.0
2025-02-27,25.83,26.0,23.08,23.72,20104134.0
2025-02-28,23.54,23.68,22.28,22.72,19275780.0
2025-03-03,22.97,23.28,21.66,21.95,12825423.0
2025-03-04,21.4,21.51,20.28,21.13,20291666.0
2025-03-05,21.3,21.53,20.81,21.3,10620997.0
2025-03-06,20.61,21.03,19.91,20.0,12893078.0
2025-03-07,19.67,20.1,19.13,20.06,14893114.0
2025-03-10,19.3,19.41,18.29,18.74,15267877.0
2025-03-11,18.6,19.01,17.7,18.77,14635405.0
2025-03-12,19.25,19.61,18.76,19.01,13089089.0
2025-03-13,19.1,19.32,18.21,18.53,8535156.0
2025-03-14,18.86,19.3,18.65,19.19,8439304.0
2025-03-17,20.05,20.31,19.53,20.04,16635253.0
2025-03-18,19.71,19.81,18.85,19.07,14364485.0
2025-03-19,19.26,20.1,19.2,19.84,11103277.0
2025-03-20,19.61,20.32,19.56,20.09,8916895.0
2025-03-21,19.77,20.58,19.25,20.4,11278453.0
2025-03-24,20.55,20.88,20.39,20.69,9092895.0
2025-03-25,20.76,20.87,20.16,20.47,8204349.0
2025-03-26,20.5,20.57,20.12,20.22,5561421.0
2025-03-27,19.95,20.28,19.67,19.89,5285239.0
2025-03-28,19.66,19.8,19.01,19.15,7341303.0
2025-03-31,18.5,19.11,18.19,18.96,6972337.0
2025-04-01,18.95,19.16,18.34,19.06,5205567.0
2025-04-02,18.68,19.59,18.65,19.5,7742837.0
2025-04-03,18.18,18.28,16.24,16.31,22653916.0
2025-04-04,15.7,15.89,14.5,15.69,15991277.0
2025-04-07,14.84,16.58,14.21,15.5,19618972.0
2025-04-08,16.9,16.97,15.3,15.54,14440549.0
2025-04-09,15.6,18.65,15.23,18.39,24164700.0
2025-04-10,17.4,17.55,16.11,16.69,15699199.0
2025-04-11,16.59,16.66,15.81,16.32,12730631.0
2025-04-14,16.96,17.25,16.24,16.3,12059407.0
2025-04-15,16.51,16.6,16.17,16.31,13299987.0
2025-04-16,16.13,16.63,15.85,16.09,10187148.0
2025-04-17,16.12,16.52,15.97,16.38,7299066.0
2025-04-21,16.3,16.67,15.84,16.05,9128312.0
2025-04-22,16.19,16.66,16.19,16.61,8003784.0
2025-04-23,17.57,18.2,16.96,17.0,14456140.0
2025-04-24,16.82,17.23,16.66,17.15,12014715.0
2025-04-25,17.1,17.26,16.95,17.23,7595642.0
2025-04-28,17.48,18.06,17.23,17.44,10199068.0
2025-04-29,17.72,17.76,16.92,17.38,13561776.0
2025-04-30,15.64,16.08,15.31,16.03,26632837.0
2025-05-01,16.23,16.43,16.05,16.26,16414531.0
2025-05-02,16.71,17.56,16.68,17.37,16933710.0
2025-05-05,17.0,17.72,16.9,17.37,11312544.0
2025-05-06,16.98,17.45,16.78,17.27,7683091.0
2025-05-07,17.33,17.6,17.14,17.31,7645621.0
2025-05-08,17.55,18.09,17.45,17.88,10534230.0
2025-05-09,17.81,17.96,17.46,17.7,7018314.0
2025-05-12,18.89,19.4,18.67,19.15,18141008.0
2025-05-13,19.22,19.51,19.08,19.34,17764116.0
2025-05-14,19.34,19.68,19.33,19.44,11742033.0
2025-05-15,19.24,19.37,18.86,19.09,8538736.0
2025-05-16,19.22,19.37,19.08,19.27,8006716.0
2025-05-19,18.71,18.97,18.38,18.91,9898002.0
2025-05-20,18.43,18.55,18.06,18.17,11511425.0
2025-05-21,17.9,17.9,17.12,17.22,11425521.0
2025-05-22,17.24,17.6,17.05,17.44,9452324.0
2025-05-23,16.91,17.4,16.87,17.32,5515146.0
2025-05-27,17.77,18.31,17.71,18.09,12548161.0
2025-05-28,18.02,18.1,17.52,17.54,7679534.0
2025-05-29,17.65,17.84,17.43,17.6,7343001.0
2025-05-30,17.5,17.8,17.42,17.65,8101985.0
2025-06-02,17.5,17.74,17.2,17.67,7247754.0
2025-06-03,17.68,18.33,17.6,18.28,8212858.0
2025-06-04,18.26,18.46,18.04,18.4,9937505.0
2025-06-05,18.6,19.72,18.48,19.35,22809389.0
2025-06-06,19.65,19.86,19.28,19.56,11364124.0
2025-06-09,19.8,20.15,19.48,19.59,12467152.0
2025-06-10,19.62,19.85,19.48,19.74,9852846.0
2025-06-11,19.79,19.84,18.98,19.08,12191580.0
2025-06-12,18.75,18.95,18.52,18.72,8113017.0
2025-06-13,17.77,18.41,17.61,17.78,13620714.0
2025-06-16,18.0,18.6,17.99,18.55,10404650.0
2025-06-17,18.32,18.63,18.05,18.13,9658668.0
2025-06-18,17.82,18.5,17.82,18.39,10430985.0
2025-06-20,18.61,18.97,18.54,18.86,9630942.0
2025-06-23,18.42,18.68,17.42,18.6,27593573.0
2025-06-24,19.3,19.99,19.26,19.4,23313049.0
2025-06-25,19.45,19.5,18.88,19.02,10033294.0
2025-06-26,19.24,19.5,19.04,19.46,12038593.0
2025-06-27,19.55,20.26,19.37,20.18,13062866.0
2025-06-30,20.19,20.44,20.03,20.28,11072121.0
2025-07-01,20.1,21.16,20.08,20.98,15997775.0
2025-07-02,20.99,21.54,20.99,21.37,15830797.0
2025-07-03,21.6,22.09,21.49,21.98,9098310.0
2025-07-07,21.8,22.23,21.22,21.45,11555206.0
2025-07-08,21.84,21.9,21.38,21.64,11585594.0
2025-07-09,21.98,22.15,21.73,21.96,8444709.0
2025-07-10,22.3,23.24,22.25,23.15,16077123.0
2025-07-11,22.61,23.01,22.58,22.62,8366477.0
2025-07-14,22.54,23.32,22.49,23.27,10617617.0
2025-07-15,23.38,23.38,22.71,22.74,10979611.0
2025-07-16,23.0,23.45,22.81,23.05,13763939.0
2025-07-17,23.17,23.71,23.09,23.6,9747137.0
2025-07-18,23.82,23.87,23.58,23.59,6575993.0
2025-07-21,23.64,23.76,23.17,23.19,9030087.0
2025-07-22,23.56,23.66,22.86,23.6,11718064.0
2025-07-23,23.89,24.44,23.87,24.32,11173601.0
2025-07-24,24.11,24.26,23.48,23.5,9097088.0
2025-07-25,23.63,23.86,23.32,23.82,6813586.0
2025-07-28,24.01,24.33,23.63,23.88,11538889.0
2025-07-29,23.2,23.87,23.13,23.41,11962242.0
2025-07-30,23.53,23.79,23.15,23.4,12013075.0
2025-07-31,26.12,27.1,25.16,25.56,30265674.0
2025-08-01,24.99,25.09,23.71,24.5,16487462.0
2025-08-04,24.74,25.37,24.68,25.34,12301963.0
2025-08-05,25.34,25.35,24.53,25.0,8256683.0
2025-08-06,25.14,25.17,24.62,24.81,7995357.0
2025-08-07,25.11,25.48,24.28,24.47,13131721.0
2025-08-08,24.62,24.63,23.98,24.0,9517448.0
2025-08-11,23.93,24.12,23.57,23.73,9343465.0
2025-08-12,23.96,24.45,23.91,24.24,11418284.0
2025-08-13,24.38,24.88,24.28,24.76,9427734.0
2025-08-14,24.3,24.45,23.98,24.36,8772590.0
2025-08-15,24.46,24.56,24.13,24.3,7357131.0
2025-08-18,24.22,24.92,23.96,24.58,10481362.0
2025-08-19,24.52,24.65,24.27,24.43,8003019.0
2025-08-20,24.22,24.23,23.51,23.85,11477821.0
2025-08-21,23.46,23.5,23.12,23.36,10689585.0
2025-08-22,23.53,25.18,23.4,25.05,17219731.0
2025-08-25,24.82,24.97,24.61,24.64,8335776.0
2025-08-26,24.63,24.84,24.29,24.76,9515282.0
2025-08-27,24.58,25.02,24.53,24.88,5796972.0
2025-08-28,25.08,25.59,25.03,25.39,10489175.0
2025-08-29,25.35,25.52,24.69,24.84,9653776.0
2025-09-02,24.1,24.74,23.95,24.72,10571547.0
2025-09-03,24.76,25.63,24.64,25.34,13646987.0
2025-09-04,25.32,25.79,25.23,25.59,12809771.0
2025-09-05,25.71,26.28,25.45,25.66,11711873.0
2025-09-08,25.44,25.74,24.48,24.53,26311284.0
2025-09-09,24.6,25.6,24.36,25.37,20944397.0
2025-09-10,25.37,25.66,24.52,25.43,14312684.0
2025-09-11,25.86,27.01,25.83,26.94,17301733.0
2025-09-12,27.09,27.18,26.64,26.65,11821622.0
2025-09-15,26.73,26.73,25.71,26.01,11457325.0
2025-09-16,25.98,25.98,25.06,25.58,11032625.0
2025-09-17,25.6,25.97,25.11,25.38,11967857.0
2025-09-18,25.51,25.83,25.03,25.41,9781612.0
2025-09-19,25.52,25.52,24.87,25.23,8576811.0
2025-09-22,25.13,25.45,24.77,25.39,7142366.0
2025-09-23,25.55,26.09,25.44,25.57,6576026.0
2025-09-24,25.64,25.71,25.07,25.23,5390217.0
2025-09-25,24.99,25.29,24.72,25.0,6770643.0
2025-09-26,25.08,25.34,24.8,25.04,10208357.0
2025-09-29,25.81,26.09,24.2,24.75,14808506.0
2025-09-30,24.74,25.24,24.25,24.63,9042773.0
2025-10-01,24.28,24.47,24.11,24.19,9046662.0
2025-10-02,24.3,24.68,24.19,24.57,7126892.0
2025-10-03,24.9,24.94,24.2,24.32,6854216.0
2025-10-06,24.32,24.47,23.65,24.1,8500245.0
2025-10-07,24.2,24.21,23.37,23.9,8013701.0
2025-10-08,24.0,24.1,23.54,23.68,8358284.0
2025-10-09,23.9,23.93,23.22,23.29,7326925.0
2025-10-10,23.16,23.62,22.43,22.45,11010259.0
2025-10-13,22.95,23.25,22.79,23.04,7139489.0
2025-10-14,22.55,23.99,22.46,23.75,8386326.0
2025-10-15,23.91,23.99,23.48,23.58,7547241.0
2025-10-16,23.68,23.77,22.71,22.85,7523659.0
2025-10-17,22.77,23.12,22.43,22.94,7641250.0
2025-10-20,23.11,23.33,23.01,23.25,7270107.0
2025-10-21,23.33,24.03,23.29,23.92,9842205.0
2025-10-22,23.83,24.23,23.57,23.63,16616133.0
2025-10-23,23.59,23.81,23.04,23.48,19848790.0
2025-10-24,23.78,23.95,23.4,23.47,12474047.0
2025-10-27,23.8,23.86,23.32,23.51,15280303.0
2025-10-28,22.85,22.88,22.17,22.35,16683431.0
2025-10-29,22.21,22.59,22.02,22.22,12079008.0
2025-10-30,21.92,22.76,21.84,22.22,13134815.0
2025-10-31,22.13,22.49,22.07,22.42,11903161.0
2025-11-03,22.34,22.46,21.92,22.18,23282457.0
2025-11-04,20.4,20.84,18.63,18.79,49391855.0
2025-11-05,18.9,18.94,18.32,18.61,27621455.0
2025-11-06,18.57,18.93,18.06,18.24,18082217.0
2025-11-07,18.42,19.46,18.38,19.07,20848358.0
2025-11-10,19.63,19.69,18.85,19.04,15690006.0
2025-11-11,18.92,19.15,18.75,18.82,11790324.0
2025-11-12,18.91,19.47,18.84,18.94,11380995.0
2025-11-13,18.93,19.29,18.55,18.56,10770480.0
2025-11-14,18.31,18.5,18.18,18.29,8054332.0
2025-11-17,18.2,18.25,17.46,17.53,12316599.0
2025-11-18,17.51,18.04,17.47,17.84,10856091.0
2025-11-19,17.95,18.06,17.61,17.78,8781545.0
2025-11-20,18.0,18.36,17.47,17.5,11126633.0
2025-11-21,17.74,18.42,17.58,18.2,11296439.0
2025-11-24,18.31,18.4,17.34,17.75,14428125.0
2025-11-25,17.84,18.71,17.84,18.35,14044129.0
2025-11-26,18.4,18.64,18.26,18.33,8486278.0
2025-11-28,18.42,18.72,18.41,18.46,4482540.0
2025-12-01,18.22,18.64,18.12,18.57,10303941.0
2025-12-02,18.68,18.71,18.3,18.43,10879735.0
2025-12-03,18.51,19.08,18.4,18.83,10668989.0
2025-12-04,18.79,18.9,18.62,18.8,9484311.0
2025-12-05,18.75,19.23,18.66,18.92,10092454.0
2025-12-08,19.0,19.15,18.81,19.11,11354222.0
2025-12-09,18.72,19.1,18.64,18.72,12066388.0
2025-12-10,18.75,19.35,18.51,19.24,13737840.0
2025-12-11,19.14,20.64,19.13,20.55,18620107.0
2025-12-12,20.98,21.33,20.65,20.86,13741202.0
2025-12-15,20.85,21.79,20.73,21.65,17204998.0
2025-12-16,21.68,22.05,21.53,21.54,12615883.0
2025-12-17,21.6,22.39,21.51,21.54,11860257.0
2025-12-18,21.78,22.1,21.57,21.63,11469768.0
2025-12-19,21.61,23.23,21.51,23.04,16381030.0
2025-12-22,22.91,24.32,22.84,24.27,13723237.0
2025-12-23,24.23,24.31,23.08,23.11,10352378.0
2025-12-24,23.2,23.27,23.03,23.17,3039318.0
2025-12-26,23.19,23.2,22.51,22.81,5831989.0
2025-12-29,22.6,22.63,22.15,22.41,5828739.0
2025-12-30,22.46,22.62,22.38,22.43,4244588.0
2025-12-31,22.41,22.47,22.25,22.32,4489188.0
2026-01-02,22.52,22.97,22.22,22.78,6276251.0
2026-01-05,22.5,22.98,21.96,22.58,12389777.0
2026-01-06,22.7,24.24,22.65,23.8,15424353.0
2026-01-07,23.6,24.46,23.45,24.42,11175925.0
2026-01-08,24.39,25.13,24.2,24.37,10863619.0
2026-01-09,24.73,24.81,24.19,24.53,11374937.0
2026-01-12,24.2,24.42,23.73,24.34,9911755.0
2026-01-13,24.18,24.79,23.5,23.82,10867281.0
2026-01-14,23.65,23.69,22.65,23.09,12493978.0
2026-01-15,23.31,23.78,22.8,22.87,14363616.0
2026-01-16,22.9,23.0,21.94,22.01,14388452.0
2026-01-20,21.05,21.2,20.33,20.37,21521164.0
2026-01-21,20.41,21.17,20.33,20.87,14918802.0
2026-01-22,21.19,21.33,20.76,20.82,12415357.0
