date,open,high,low,close,volume
2025-02-26,71.19,71.64,70.51,71.01,4257675.0
2025-02-27,70.57,70.91,69.31,69.38,5299849.0
2025-02-28,69.59,70.22,69.28,70.17,4823075.0
2025-03-03,70.05,71.7,70.0,71.62,5601927.0
2025-03-04,71.96,73.08,70.76,70.85,11483531.0
2025-03-05,70.53,70.89,69.39,70.48,4613889.0
2025-03-06,70.02,70.11,69.02,70.01,4812559.0
2025-03-07,70.18,73.12,70.06,72.83,7280126.0
2025-03-10,73.0,76.29,72.48,76.16,14494311.0
2025-03-11,75.9,76.26,73.2,74.03,9462879.0
2025-03-12,73.0,73.38,71.78,72.92,7422891.0
2025-03-13,73.2,73.55,72.05,72.73,5421065.0
2025-03-14,72.78,73.68,72.33,73.55,5137484.0
2025-03-17,73.43,73.43,71.07,72.11,8015033.0
2025-03-18,72.2,72.21,70.27,70.7,7091900.0
2025-03-19,71.02,71.18,70.0,70.5,5109637.0
2025-03-20,71.04,72.09,70.59,71.15,4852209.0
2025-03-21,71.02,71.96,70.17,70.88,7062305.0
2025-03-24,70.95,71.79,69.91,70.07,4944653.0
2025-03-25,70.48,70.48,68.42,68.59,6498560.0
2025-03-26,68.77,69.84,68.68,69.73,4814691.0
2025-03-27,69.76,71.02,69.61,70.03,5539725.0
2025-03-28,70.44,70.98,70.16,70.45,5095896.0
2025-03-31,70.71,71.75,70.62,70.89,5537639.0
2025-04-01,71.0,71.57,70.52,70.92,5560609.0
2025-04-02,71.09,71.29,70.13,70.48,5418498.0
2025-04-03,71.67,72.96,71.37,72.14,9299216.0
2025-04-04,72.79,73.42,66.86,66.91,13424365.0
2025-04-07,65.5,67.27,63.93,65.06,12388227.0
2025-04-08,66.43,66.59,63.2,64.11,8234531.0
2025-04-09,63.39,67.79,61.72,67.58,14203054.0
2025-04-10,66.8,67.5,65.24,66.72,7827935.0
2025-04-11,66.45,66.99,64.6,65.81,9624994.0
2025-04-14,66.48,68.12,65.96,67.69,6447265.0
2025-04-15,67.86,68.44,67.52,67.66,4238437.0
2025-04-16,67.95,68.05,65.3,65.64,7147869.0
2025-04-17,66.04,67.35,65.97,66.31,7391606.0
2025-04-21,65.82,66.06,63.64,64.68,7613612.0
2025-04-22,65.45,66.8,65.35,66.64,9957161.0
2025-04-23,67.55,69.1,66.99,67.27,13564422.0
2025-04-24,67.04,67.2,65.24,66.35,8785840.0
2025-04-25,66.66,66.87,65.36,66.09,5187153.0
2025-04-28,66.16,66.34,65.28,66.19,3792073.0
2025-04-29,66.05,67.4,65.72,67.25,4790190.0
2025-04-30,67.01,67.21,65.46,66.88,5487044.0
2025-05-01,67.49,67.63,65.94,66.05,7469324.0
2025-05-02,66.1,67.37,65.99,67.09,7135933.0
2025-05-05,67.0,67.03,65.88,66.1,4453935.0
2025-05-06,65.81,66.9,65.35,66.54,4308047.0
2025-05-07,66.26,67.98,65.97,67.36,5807751.0
2025-05-08,67.27,69.38,66.91,68.32,7902091.0
2025-05-09,68.68,70.49,68.45,70.31,11052246.0
2025-05-12,70.91,70.99,68.7,69.69,12306193.0
2025-05-13,70.07,72.48,69.96,72.11,14611507.0
2025-05-14,71.8,72.44,70.75,72.19,10079668.0
2025-05-15,73.0,74.83,72.45,74.55,11839782.0
2025-05-16,74.55,75.0,73.71,75.0,7780103.0
2025-05-19,74.23,74.25,73.16,73.86,8488557.0
2025-05-20,74.0,75.21,73.83,74.41,4243994.0
2025-05-21,74.07,74.34,71.36,71.54,10269203.0
2025-05-22,68.9,69.0,63.88,66.94,26414237.0
2025-05-23,67.01,67.95,65.97,67.76,10694035.0
2025-05-27,67.75,68.37,67.46,68.04,5508857.0
2025-05-28,67.89,68.15,66.83,67.21,4238580.0
2025-05-29,66.77,69.1,66.77,68.99,7434750.0
2025-05-30,68.8,70.7,68.5,70.64,9106261.0
2025-06-02,69.75,70.2,69.03,70.15,5615478.0
2025-06-03,70.3,71.08,69.86,70.95,6868416.0
2025-06-04,71.15,71.15,69.79,69.88,5399490.0
