date,open,high,low,close,volume
2025-02-26,43.1,43.94,42.6,43.58,5467331.0
2025-02-27,43.12,43.26,42.04,42.12,7138851.0
2025-02-28,41.6,42.86,41.23,42.84,7055479.0
2025-03-03,43.7,43.95,42.15,42.36,7617669.0
2025-03-04,42.74,43.07,41.93,42.51,6619724.0
2025-03-05,42.85,43.92,42.56,43.85,6104853.0
2025-03-06,43.67,44.25,43.56,43.92,5350333.0
2025-03-07,43.8,45.04,43.48,43.87,5721660.0
2025-03-10,43.5,43.9,42.03,42.37,5734521.0
2025-03-11,42.66,43.87,42.66,43.42,5785772.0
2025-03-12,43.3,43.96,42.9,43.63,4448689.0
2025-03-13,44.07,46.27,43.93,45.65,7953711.0
2025-03-14,46.67,46.83,45.82,46.24,6935501.0
2025-03-17,46.7,47.84,46.4,47.52,6696439.0
2025-03-18,48.34,48.68,47.48,47.81,7634960.0
2025-03-19,47.85,48.37,47.48,47.99,5900552.0
2025-03-20,47.5,48.18,47.2,47.76,3853206.0
2025-03-21,47.12,47.36,46.35,47.36,7820184.0
2025-03-24,47.25,47.62,46.6,46.82,6533742.0
2025-03-25,47.31,48.21,47.3,47.55,5231897.0
2025-03-26,47.91,48.06,47.13,47.39,4460876.0
2025-03-27,47.79,48.48,47.64,48.39,6765369.0
2025-03-28,48.98,49.52,47.98,48.08,8011446.0
2025-03-31,48.5,48.59,47.12,48.28,7459882.0
2025-04-01,48.37,48.87,47.79,48.29,6726159.0
2025-04-02,48.7,48.85,47.83,48.73,5945412.0
2025-04-03,46.7,49.32,46.57,48.33,12438766.0
2025-04-04,46.87,47.0,43.59,44.18,15099621.0
2025-04-07,43.54,46.97,42.93,44.86,15526108.0
2025-04-08,46.64,47.12,44.39,44.96,11543125.0
2025-04-09,46.2,48.94,45.72,48.75,19149836.0
2025-04-10,48.9,51.6,48.72,50.94,16236060.0
2025-04-11,53.84,55.86,53.38,54.97,24362942.0
2025-04-14,53.7,55.23,53.17,54.79,9584361.0
2025-04-15,55.01,55.16,54.14,54.58,8294502.0
2025-04-16,56.49,57.08,55.5,55.95,13111566.0
2025-04-17,55.6,56.2,54.76,55.08,10955497.0
2025-04-21,57.0,57.16,54.42,55.21,13670215.0
2025-04-22,55.73,56.16,54.35,54.54,12953470.0
2025-04-23,51.75,53.5,51.64,53.15,15227182.0
2025-04-24,54.74,55.74,54.04,55.7,9548895.0
2025-04-25,54.29,54.42,53.48,53.94,8526975.0
2025-04-28,53.51,54.12,53.1,54.07,6075618.0
2025-04-29,53.69,53.95,52.78,52.96,6896909.0
2025-04-30,52.61,52.95,52.2,52.68,6345214.0
2025-05-01,51.48,51.65,50.77,51.49,8571378.0
2025-05-02,52.17,52.47,51.16,51.53,5664424.0
2025-05-05,52.8,53.06,52.25,53.04,8050796.0
2025-05-06,53.77,54.74,53.25,54.61,9693686.0
2025-05-07,53.41,54.33,53.21,53.99,7971251.0
2025-05-08,53.79,54.2,52.73,52.83,5894242.0
2025-05-09,53.47,54.11,52.97,53.98,5696391.0
2025-05-12,51.02,51.77,50.0,50.78,13739852.0
2025-05-13,50.39,50.69,49.63,50.07,11678186.0
2025-05-14,49.2,49.24,48.27,48.66,13243412.0
2025-05-15,49.0,49.87,48.4,49.84,9731575.0
2025-05-16,48.75,50.12,48.61,50.1,7349472.0
2025-05-19,50.78,50.98,49.99,50.93,6958905.0
2025-05-20,50.88,52.37,50.79,52.3,6834654.0
2025-05-21,52.67,53.19,52.08,52.64,8565668.0
2025-05-22,52.6,52.96,52.14,52.65,5711744.0
2025-05-23,53.65,53.8,53.01,53.65,6842225.0
2025-05-27,52.55,53.18,52.49,52.71,6109692.0
2025-05-28,52.92,53.05,52.4,52.85,4984693.0
2025-05-29,52.91,53.1,52.37,52.52,5751561.0
2025-05-30,52.3,52.73,51.8,52.72,6878842.0
2025-06-02,53.9,55.89,53.86,55.58,10668475.0
2025-06-03,54.8,55.45,54.18,55.34,6675163.0
2025-06-04,55.4,55.73,55.09,55.28,5585471.0
2025-06-05,55.73,56.53,54.35,54.51,9577711.0
2025-06-06,54.49,54.51,52.26,52.36,9076249.0
2025-06-09,52.36,53.63,52.08,53.28,5423937.0
2025-06-10,53.41,53.8,52.3,52.56,6936980.0
2025-06-11,53.05,53.33,52.42,53.31,4557005.0
2025-06-12,54.33,55.96,54.14,55.92,9095380.0
2025-06-13,56.5,58.16,56.44,57.9,13786812.0
2025-06-16,56.87,58.78,56.87,58.12,11224267.0
2025-06-17,58.38,58.81,58.06,58.52,7309636.0
2025-06-18,58.0,59.03,57.9,58.26,7385959.0
2025-06-20,58.03,59.16,57.97,58.23,8381302.0
2025-06-23,58.36,60.31,58.31,59.46,8596006.0
2025-06-24,57.79,58.64,57.17,58.09,9217535.0
2025-06-25,57.58,58.53,57.56,58.06,6136907.0
2025-06-26,58.25,59.22,58.06,59.19,6494832.0
2025-06-27,57.44,57.7,56.46,56.76,10513331.0
2025-06-30,56.89,58.32,56.75,58.26,5921972.0
2025-07-01,58.92,59.3,58.39,58.83,6528811.0
2025-07-02,58.94,60.18,58.94,60.06,6484845.0
2025-07-03,59.3,60.19,59.06,59.9,3457468.0
2025-07-07,59.3,60.18,58.41,60.16,5474255.0
2025-07-08,59.61,59.7,56.9,57.61,9732472.0
2025-07-09,57.79,59.0,57.37,58.75,6548707.0
2025-07-10,59.03,59.81,58.59,59.78,5760450.0
2025-07-11,59.88,60.28,59.54,60.13,5971155.0
2025-07-14,60.01,61.17,60.01,60.82,6271541.0
2025-07-15,60.56,60.63,55.37,57.35,22031092.0
2025-07-16,58.09,58.84,57.3,58.45,12525782.0
2025-07-17,57.51,58.08,56.73,57.99,9161502.0
2025-07-18,57.86,58.66,57.86,58.19,7296018.0
2025-07-21,59.0,60.67,58.97,59.86,7401834.0
2025-07-22,60.44,61.87,60.41,61.7,6627075.0
2025-07-23,61.4,62.56,60.93,61.42,8093129.0
2025-07-24,60.68,61.78,59.96,61.51,7544777.0
2025-07-25,63.88,66.57,63.36,65.75,23195119.0
2025-07-28,64.82,65.05,62.66,63.66,7912479.0
2025-07-29,63.83,64.15,63.32,63.99,4775143.0
2025-07-30,63.24,63.56,61.9,62.31,6821518.0
2025-07-31,62.75,63.05,61.76,62.1,5736731.0
2025-08-01,63.66,63.78,61.83,62.59,7282489.0
2025-08-04,63.15,65.46,63.13,65.42,6803781.0
2025-08-05,64.96,67.43,64.96,67.24,7311853.0
2025-08-06,66.94,68.44,66.94,67.92,6097215.0
2025-08-07,68.46,69.31,68.31,69.07,6314101.0
2025-08-08,70.0,70.29,68.57,68.98,6358527.0
2025-08-11,67.5,69.4,67.11,68.87,5505196.0
2025-08-12,68.9,69.48,68.27,68.93,4017481.0
2025-08-13,69.65,69.85,68.32,68.56,6655399.0
2025-08-14,68.7,68.9,67.95,68.48,3479268.0
2025-08-15,68.77,69.54,67.95,69.33,5209878.0
2025-08-18,69.46,69.7,68.76,69.0,3650949.0
2025-08-19,68.85,68.98,67.2,67.38,4988703.0
2025-08-20,67.92,69.05,67.69,69.0,4830481.0
2025-08-21,69.04,70.76,68.9,70.09,4276159.0
2025-08-22,69.18,71.1,69.05,70.77,4624139.0
2025-08-25,70.91,71.75,70.88,71.1,3930319.0
2025-08-26,70.91,72.79,70.91,72.43,4947552.0
2025-08-27,71.91,72.55,71.48,72.39,4249815.0
2025-08-28,72.44,73.29,72.23,72.97,4268292.0
2025-08-29,72.9,74.52,72.77,74.4,3803728.0
2025-09-02,74.97,76.52,73.55,75.86,10648954.0
2025-09-03,76.3,76.51,75.21,75.42,5724070.0
2025-09-04,74.35,75.18,73.44,74.88,4956131.0
2025-09-05,76.12,77.3,75.52,76.17,5769352.0
2025-09-08,76.69,77.18,75.21,75.75,6362071.0
2025-09-09,76.27,76.67,75.45,75.92,7613638.0
2025-09-10,77.33,78.78,77.14,78.43,7863958.0
2025-09-11,77.65,79.77,77.56,79.65,5402103.0
2025-09-12,79.72,80.07,78.76,79.25,5607350.0
2025-09-15,78.31,79.61,77.66,79.36,6673513.0
2025-09-16,79.33,79.62,78.13,79.02,5892696.0
2025-09-17,78.18,79.6,77.5,78.69,6972638.0
2025-09-18,77.79,78.41,77.0,78.32,6208085.0
2025-09-19,78.88,82.05,78.49,81.72,8740804.0
2025-09-22,83.45,83.89,81.81,83.72,8674276.0
2025-09-23,84.7,86.62,83.98,84.67,10822130.0
2025-09-24,84.54,84.74,83.26,83.47,6289265.0
2025-09-25,83.49,84.0,81.86,83.67,5548967.0
2025-09-26,83.85,85.39,83.6,85.25,4948022.0
2025-09-29,87.59,87.93,83.31,84.54,9371426.0
2025-09-30,83.57,85.28,82.3,84.31,7603818.0
2025-10-01,84.97,86.31,84.5,85.95,6970477.0
2025-10-02,86.93,86.93,83.24,86.43,8235971.0
2025-10-03,86.17,87.39,85.9,86.86,4457643.0
2025-10-06,87.95,89.37,87.4,88.51,5384970.0
2025-10-07,88.64,88.91,86.63,86.95,5515713.0
2025-10-08,88.81,89.0,87.26,88.4,6880861.0
2025-10-09,88.54,88.96,84.4,85.21,7108365.0
2025-10-10,86.25,86.74,84.73,85.14,5993083.0
2025-10-13,88.01,89.42,87.56,89.4,6076070.0
2025-10-14,87.7,91.24,87.7,90.54,5644669.0
2025-10-15,92.26,93.93,91.26,93.58,5585470.0
2025-10-16,95.04,98.58,94.11,98.27,8220392.0
2025-10-17,96.36,96.36,89.92,90.77,12870327.0
2025-10-20,93.86,95.02,91.85,94.89,6717718.0
2025-10-21,89.03,89.03,85.4,86.32,11126563.0
2025-10-22,83.1,87.61,82.8,87.01,10029108.0
2025-10-23,89.15,90.19,87.27,88.91,8797001.0
2025-10-24,82.54,86.0,81.29,83.37,14262016.0
2025-10-27,79.24,80.16,76.85,78.63,15295025.0
2025-10-28,76.75,79.86,76.04,79.34,7706606.0
2025-10-29,81.32,81.84,79.31,79.67,6159256.0
2025-10-30,79.81,83.12,79.57,82.31,6578327.0
2025-10-31,82.02,82.25,79.8,80.97,4527534.0
2025-11-03,80.7,82.05,80.41,81.62,4489968.0
2025-11-04,79.01,80.7,78.59,78.9,5795874.0
2025-11-05,80.71,81.92,80.49,81.63,4901169.0
2025-11-06,82.43,84.34,82.1,82.53,5767304.0
2025-11-07,82.75,83.51,81.49,83.39,3616684.0
2025-11-10,86.62,88.86,85.8,88.26,5797522.0
2025-11-11,88.95,90.35,87.42,89.95,4953838.0
2025-11-12,90.45,93.98,89.7,93.07,5935034.0
2025-11-13,93.22,93.75,89.57,89.72,5800159.0
2025-11-14,86.19,89.47,85.91,87.8,5907207.0
2025-11-17,87.42,89.2,86.11,87.09,4488509.0
2025-11-18,87.07,88.34,85.31,86.6,3953518.0
2025-11-19,88.28,89.27,86.93,87.51,3525699.0
2025-11-20,87.69,88.31,81.89,82.0,6665170.0
2025-11-21,82.01,83.89,81.34,83.49,5049039.0
2025-11-24,83.11,87.3,83.11,86.53,4167847.0
2025-11-25,86.06,87.47,85.26,86.27,3109817.0
2025-11-26,87.2,90.9,87.17,90.52,4342255.0
2025-11-28,91.8,91.97,90.26,90.73,2529154.0
2025-12-01,92.0,92.89,90.84,91.83,3979613.0
2025-12-02,91.49,91.73,88.25,90.48,4256846.0
2025-12-03,91.86,91.93,89.57,89.65,2832307.0
2025-12-04,88.9,90.88,88.65,90.72,3321435.0
2025-12-05,90.6,92.7,89.67,89.76,3522911.0
2025-12-08,90.19,91.13,88.9,89.0,3586279.0
2025-12-09,89.98,94.22,89.53,94.09,5468496.0
2025-12-10,92.85,95.29,91.7,94.4,5568119.0
2025-12-11,95.0,100.41,94.79,99.42,7395328.0
2025-12-12,102.13,102.13,96.5,98.14,5880893.0
2025-12-15,100.36,101.48,98.4,99.69,4702592.0
2025-12-16,99.7,100.23,97.12,98.03,3940392.0
2025-12-17,99.3,100.28,97.86,99.45,3488037.0
2025-12-18,98.36,100.85,97.9,99.34,3415493.0
2025-12-19,99.29,102.36,99.05,101.29,6434973.0
2025-12-22,104.8,105.68,102.82,104.88,4790288.0
2025-12-23,105.73,105.73,103.3,105.25,2988293.0
2025-12-24,104.5,105.34,103.2,104.73,1182461.0
2025-12-26,105.64,106.34,104.55,105.78,2417600.0
2025-12-29,100.6,101.43,97.67,99.81,5844510.0
2025-12-30,102.21,102.71,100.3,101.86,3627112.0
2025-12-31,100.72,101.44,99.72,99.85,2321401.0
2026-01-02,100.99,101.95,98.21,101.22,3817477.0
2026-01-05,102.65,105.86,102.59,103.53,4999374.0
2026-01-06,104.65,109.3,104.65,109.2,6356953.0
2026-01-07,105.79,109.06,104.5,108.01,5213987.0
2026-01-08,106.2,106.95,104.4,106.89,3772359.0
2026-01-09,107.43,109.09,106.27,108.99,4317793.0
2026-01-12,112.56,113.72,111.89,112.96,4754042.0
2026-01-13,113.17,115.01,112.86,114.63,4097267.0
2026-01-14,115.55,115.7,112.15,114.15,4471719.0
2026-01-15,113.47,114.97,112.31,114.21,4897485.0
2026-01-16,113.92,114.75,111.28,114.12,4477912.0
